t_s,excitement_z,track,wrist_x,wrist_y,paddle_x,paddle_y
252.562,2.18,2,771.8,652.1,774.3,667.1
253.545,1.54,2,866.9,591.6,881.7,587.3
253.895,2.38,2,821.9,638.9,835.0,655.0
254.662,1.36,0,482.9,95.0,475.1,95.7
255.112,2.05,0,488.2,100.8,491.4,107.1
255.662,2.69,1,823.1,574.9,832.4,572.7
256.345,3.0,1,782.0,672.0,785.5,689.6
256.995,1.71,3,652.9,213.0,652.3,223.5
257.812,1.35,0,505.8,130.5,510.8,122.6
258.179,1.22,0,486.6,165.3,494.2,162.1
258.595,1.56,2,487.3,497.0,497.1,510.3
259.262,1.59,1,710.2,360.0,708.0,348.5
259.845,2.69,1,656.5,378.1,655.7,387.1
260.212,1.63,1,634.6,351.8,631.2,355.1
260.662,1.83,1,670.5,353.7,676.7,350.2
261.162,2.24,0,490.7,214.4,494.3,222.7
261.545,2.01,1,754.0,364.0,759.9,365.4
261.979,3.47,1,796.4,367.2,787.0,373.1
262.345,2.0,1,884.5,341.9,884.7,331.7
262.895,1.46,0,517.7,187.4,515.7,193.4
263.245,3.5,0,492.4,231.0,496.9,239.3
263.679,1.57,2,412.5,330.7,407.4,327.6
264.162,1.65,2,447.6,344.7,454.0,353.1
265.062,1.84,3,827.9,211.0,834.0,216.1
265.495,1.43,1,798.3,350.9,785.2,353.2
265.845,1.33,2,610.7,375.2,618.6,382.7
266.495,1.66,3,768.9,214.0,770.4,218.7
266.845,5.73,3,795.4,227.2,798.2,230.5
267.795,2.78,2,365.8,369.9,366.7,379.7
268.162,2.49,1,659.6,344.6,664.7,340.3
268.745,2.17,3,826.6,198.3,835.3,197.6
269.095,7.54,3,912.4,239.2,920.6,245.6
269.462,2.25,3,854.5,212.6,857.8,222.5
269.962,4.85,2,514.4,360.3,511.0,369.3
270.312,1.98,0,563.8,168.7,564.2,174.2
270.862,1.74,2,509.2,346.5,500.4,356.1
271.412,2.31,3,745.6,198.9,748.4,207.9
272.129,1.48,1,708.3,352.9,708.5,361.6
273.312,1.23,3,698.1,187.3,696.1,193.1
273.995,2.34,0,506.3,154.9,512.5,156.8
274.379,1.73,0,487.7,149.3,486.0,144.8
274.745,4.83,0,520.9,174.7,527.1,181.0
275.095,1.35,0,621.7,137.9,630.6,137.7
275.845,1.49,1,779.9,327.8,791.4,326.0
276.629,3.48,1,815.2,436.6,808.0,428.4
277.245,2.22,0,718.0,114.4,718.2,120.6
277.745,2.31,2,527.1,354.8,520.9,364.5
278.095,1.34,2,570.4,269.8,580.9,261.9
278.462,1.7,0,745.2,135.3,743.7,142.2
279.629,4.08,2,440.3,370.5,437.8,382.9
280.279,2.3,1,775.1,349.4,775.6,358.9
280.912,3.9,0,811.2,146.9,818.2,153.5
281.712,3.1,2,452.5,372.1,456.4,387.3
282.062,1.31,2,450.1,284.3,456.2,280.8
282.712,1.8,0,728.6,147.6,721.4,150.0
283.062,2.4,3,633.7,154.3,640.6,151.4
283.629,4.1,2,537.2,344.6,539.1,356.6
283.979,3.28,0,676.7,183.8,676.3,194.4
284.395,1.66,2,583.8,338.9,581.8,350.8
284.745,1.95,0,593.1,167.9,588.8,175.8
285.212,1.88,0,569.9,177.2,564.2,185.7
285.579,3.93,1,896.9,358.9,896.4,369.5
285.945,2.63,2,705.0,337.2,700.3,348.7
286.295,1.63,1,856.1,320.0,847.3,328.3
286.729,2.02,0,500.5,194.7,504.4,203.6
287.195,1.91,0,441.1,199.8,439.2,209.0
288.095,1.39,2,739.4,398.5,739.3,413.2
288.462,2.22,2,692.2,424.2,689.5,437.8
288.929,2.65,2,591.9,443.1,587.5,458.0
289.445,5.89,2,578.7,483.7,574.8,499.3
