t_s,excitement_z,track,wrist_x,wrist_y,paddle_x,paddle_y
456.003,1.24,2,720.4,86.3,714.2,88.7
456.686,2.62,2,751.3,64.4,746.8,59.2
457.969,1.23,1,716.4,369.5,711.2,382.8
458.369,3.63,1,675.6,360.8,670.1,372.1
459.219,2.9,1,544.5,329.2,539.0,328.8
459.686,3.6,0,490.7,131.0,488.5,139.0
460.336,1.27,1,450.5,335.0,443.1,339.1
460.686,2.78,4,675.0,364.3,668.9,374.9
461.119,1.6,0,476.0,162.8,473.3,171.9
461.736,1.69,0,483.4,169.6,480.3,178.3
462.303,3.48,0,507.5,130.6,505.6,122.1
463.403,1.22,0,561.9,144.0,563.6,150.2
463.886,2.79,2,627.2,206.2,626.4,215.8
464.753,1.86,0,568.7,120.6,572.1,127.7
465.103,2.33,0,566.1,115.6,570.9,123.0
465.503,2.08,2,605.3,147.1,609.9,144.9
466.169,1.65,1,595.5,650.1,592.2,670.8
