t_s,excitement_z,track,wrist_x,wrist_y,paddle_x,paddle_y
40.544,2.31,3,786.3,590.3,776.5,595.6
40.894,5.07,3,796.5,555.4,781.9,551.6
42.027,1.9,1,536.3,94.9,535.1,100.0
42.427,1.41,1,524.6,94.3,530.2,90.0
42.927,1.27,2,432.2,569.4,448.9,562.4
43.277,2.74,2,394.6,625.6,407.9,638.3
43.627,1.26,0,662.1,213.1,653.5,217.1
44.061,2.58,1,500.5,169.7,510.7,169.8
44.461,2.01,1,479.0,171.6,484.7,170.4
44.844,2.05,3,793.7,544.4,784.5,548.2
45.327,1.28,1,524.1,206.7,521.1,211.7
45.677,4.26,1,490.3,245.8,490.7,256.6
46.027,4.0,1,527.7,204.1,532.4,208.7
46.694,4.17,3,857.1,516.2,850.6,532.2
47.444,2.43,0,798.9,218.1,800.7,226.6
48.194,2.36,3,726.4,428.1,711.1,429.7
48.561,1.51,0,741.2,210.0,732.6,214.5
48.977,2.84,0,636.1,214.2,626.5,219.7
49.377,4.17,0,655.9,213.6,655.5,217.9
49.727,2.14,2,452.9,431.1,447.5,445.5
50.094,1.35,2,465.9,420.0,463.1,434.5
50.461,1.87,1,574.5,176.5,580.2,179.7
50.911,2.3,1,560.5,205.4,563.6,215.1
51.544,1.2,2,327.7,408.7,319.7,417.7
52.211,1.27,1,563.2,193.5,565.2,203.1
52.561,1.96,1,533.5,194.3,534.5,204.5
52.911,3.89,2,296.6,396.8,295.4,405.7
53.277,1.66,2,302.5,412.5,308.9,425.1
53.627,1.76,2,310.8,431.8,316.6,443.8
54.394,1.73,2,421.5,433.2,438.2,438.7
54.744,1.42,2,430.3,448.3,441.0,456.8
55.961,1.9,0,806.0,101.3,810.8,109.0
56.327,1.66,2,446.6,539.3,462.2,538.4
56.794,1.96,2,403.4,635.2,407.1,656.0
57.194,2.38,2,396.6,634.8,402.2,653.8
