t_s,excitement_z,track,wrist_x,wrist_y,paddle_x,paddle_y
58.96,2.18,2,465.0,560.3,480.8,557.5
59.36,1.36,2,474.1,588.8,483.1,599.3
60.56,2.15,1,794.7,108.7,801.6,109.8
61.294,1.34,1,738.7,137.4,736.2,144.8
61.827,2.0,2,271.2,593.0,267.7,610.1
62.444,1.68,1,653.0,176.3,643.6,174.6
63.144,2.63,3,722.5,612.9,706.9,621.8
63.777,1.38,3,709.0,624.2,696.7,637.3
64.144,2.42,0,507.4,204.3,510.8,210.7
64.91,1.79,2,359.6,524.8,354.3,542.7
65.41,1.76,1,666.2,227.0,666.4,235.0
65.76,3.67,1,674.5,243.1,673.7,251.9
66.527,1.68,3,702.4,481.6,693.1,488.2
67.027,1.33,3,677.8,413.5,677.3,404.0
67.76,2.18,1,642.1,175.7,639.3,181.1
68.51,2.02,1,587.8,115.8,592.1,115.7
68.927,1.39,1,552.8,107.1,545.5,110.5
70.027,1.35,2,566.2,337.9,578.2,333.7
70.594,2.08,2,641.6,256.9,650.2,244.9
71.144,3.31,2,677.6,277.9,685.2,272.1
71.677,2.02,1,734.7,86.7,734.7,81.9
72.594,2.3,2,554.1,348.2,550.8,362.6
73.277,1.8,0,465.5,132.1,461.2,138.3
73.644,2.67,0,453.7,125.2,450.9,127.9
74.027,2.73,2,440.2,330.3,440.2,330.3
74.394,2.25,2,409.1,350.4,410.4,361.6
74.927,1.81,2,262.8,286.4,257.2,283.1
75.494,1.94,3,568.8,333.3,573.7,330.6
76.194,3.3,0,521.9,187.7,529.3,193.0
76.56,5.76,0,559.0,194.9,561.2,202.8
76.91,2.99,0,507.4,164.8,505.1,174.2
77.41,2.83,3,894.9,382.0,904.4,386.6
77.777,1.28,3,1036.5,429.6,1048.9,437.8
78.41,1.7,2,642.9,357.9,645.2,371.4
79.06,2.89,1,829.1,204.2,838.1,209.7
79.477,1.24,3,990.0,501.2,978.4,511.5
79.86,1.23,3,938.0,510.2,927.1,516.6
80.41,3.32,0,574.7,146.8,580.2,154.6
81.027,1.35,2,759.7,462.7,760.2,478.4
81.394,4.17,1,674.2,186.5,675.2,195.8
81.91,1.99,3,478.4,589.9,467.1,603.2
82.277,3.74,3,417.9,649.2,408.7,665.3
82.66,3.84,3,445.7,622.0,442.4,636.1
83.094,2.06,3,491.2,606.5,489.0,621.2
83.744,1.78,0,556.8,99.8,559.9,107.0
84.877,1.59,3,800.6,637.1,810.7,651.8
86.06,1.54,0,453.4,96.1,452.4,103.8
86.71,1.71,0,456.3,96.1,455.6,103.8
87.194,1.92,3,924.6,680.7,919.7,699.6
87.56,2.56,3,922.1,665.4,908.1,674.2
88.527,2.75,0,484.0,90.5,480.3,92.6
