t_s,excitement_z,track,wrist_x,wrist_y,paddle_x,paddle_y
483.867,1.22,7,731.1,97.0,729.4,104.5
484.851,2.23,7,686.7,77.4,679.9,76.1
485.601,3.59,7,728.3,110.8,728.5,121.1
487.634,1.67,7,750.7,129.4,744.0,136.3
488.051,3.04,7,807.0,98.8,807.0,98.8
488.434,3.65,7,792.2,91.9,802.2,88.6
489.401,1.72,7,782.6,143.0,783.3,151.2
490.784,2.49,5,826.7,358.3,822.0,367.2
491.317,1.95,7,723.4,205.3,721.6,213.7
491.684,5.28,4,564.2,247.6,570.2,253.4
492.034,1.61,4,541.4,216.2,550.2,215.4
493.251,1.65,7,748.9,214.7,751.2,223.7
493.601,3.73,7,782.1,237.1,788.4,246.3
494.601,1.71,5,744.6,357.7,746.1,366.4
495.317,1.21,7,731.2,199.9,734.5,209.1
495.684,2.41,7,632.0,232.2,628.5,240.4
496.501,1.67,5,804.7,356.2,808.3,363.6
496.934,1.92,5,861.8,391.0,855.5,401.4
497.501,3.74,7,795.8,238.0,802.7,247.7
498.001,1.37,7,857.5,188.0,860.0,197.5
498.734,2.15,5,756.9,313.5,756.9,313.5
499.117,1.41,4,599.4,209.4,605.4,214.0
499.467,4.41,4,616.1,234.6,621.4,241.6
499.817,1.51,5,758.6,335.0,751.1,336.6
500.484,3.18,5,720.0,329.7,715.5,318.8
501.251,1.33,4,567.2,205.2,572.1,210.6
501.601,3.38,4,584.8,235.0,589.2,242.1
502.684,1.52,5,734.3,331.6,733.2,323.8
503.601,1.94,7,663.3,194.3,658.1,202.8
504.134,1.21,15,504.5,347.0,497.2,346.8
504.517,2.2,15,380.1,361.8,367.9,366.6
505.217,1.28,4,538.6,202.1,547.6,203.3
505.967,7.21,4,633.1,183.3,643.7,184.8
506.534,2.76,5,796.4,376.0,798.2,389.3
507.467,2.99,5,707.4,349.1,697.6,357.1
507.951,1.31,5,632.1,361.8,621.8,370.9
508.351,1.41,5,626.0,392.5,618.8,403.6
508.734,1.81,7,591.5,161.1,584.1,164.4
509.367,1.44,5,711.1,462.6,714.9,476.2
509.934,1.41,5,729.5,505.3,732.1,520.4
510.351,1.65,7,577.3,134.4,574.0,143.2
511.101,1.47,5,820.7,600.4,823.1,616.9
511.451,2.23,5,790.9,653.5,792.3,672.3
511.917,3.86,5,915.7,696.7,922.1,716.4
512.267,5.26,15,381.3,416.6,384.7,431.0
512.617,3.53,5,892.9,697.2,892.9,694.1
513.151,3.59,5,972.4,684.3,981.4,678.1
513.501,1.79,5,1028.6,698.8,1018.0,698.6
514.134,2.25,5,920.6,643.8,925.8,621.6
514.534,1.52,5,961.2,680.8,971.2,674.3
514.884,1.57,5,960.2,681.9,969.9,676.3
