t_s,excitement_z,track,wrist_x,wrist_y,paddle_x,paddle_y
146.357,1.27,11,766.6,532.5,774.5,525.7
147.107,2.78,13,732.7,169.1,726.1,166.3
148.757,1.63,11,572.6,431.3,573.1,418.1
149.573,2.92,12,495.3,186.5,502.3,189.2
150.04,2.21,10,681.0,407.2,669.8,408.5
150.573,2.43,10,736.6,383.7,742.1,378.4
151.207,2.76,10,859.5,491.5,862.1,501.3
151.573,1.23,10,893.4,477.8,901.4,489.4
152.107,1.77,13,827.0,193.2,823.4,202.7
152.607,1.72,12,676.1,168.7,681.6,174.1
153.323,1.87,11,651.1,452.5,652.9,466.4
153.673,1.22,12,803.9,143.0,810.3,149.2
154.357,1.74,11,779.3,478.5,784.8,493.1
154.773,1.26,12,774.1,107.3,774.1,107.3
155.673,2.81,11,918.0,528.9,927.1,537.6
156.107,1.27,13,861.4,80.1,865.6,77.9
156.607,2.12,13,848.2,86.0,848.9,92.6
156.973,2.96,13,838.5,119.7,838.1,127.7
157.34,3.53,13,833.7,72.2,836.4,77.3
157.757,1.43,11,933.9,644.3,929.3,662.2
158.107,1.88,13,779.1,80.5,773.4,84.3
158.607,1.97,13,740.0,57.5,734.4,55.5
159.007,1.72,11,1018.2,654.3,1019.4,671.2
159.357,1.42,11,1040.4,653.0,1044.1,670.8
159.923,1.55,11,966.7,660.4,968.4,677.5
160.29,1.72,11,955.1,668.5,959.4,685.1
