t_s,excitement_z,track,wrist_x,wrist_y,paddle_x,paddle_y
89.755,2.19,1,724.1,191.5,722.7,199.7
91.005,1.42,2,856.6,621.0,867.7,638.4
91.888,1.77,0,450.9,94.9,446.7,99.0
92.255,2.7,0,469.9,100.1,471.6,107.8
93.172,2.31,3,832.6,563.8,828.9,580.3
93.705,2.67,2,450.1,481.3,441.5,492.4
94.288,3.19,0,561.1,171.9,567.7,173.6
94.655,2.36,3,708.4,435.7,698.0,441.6
95.022,1.68,2,503.1,442.4,493.6,455.5
95.405,2.78,1,712.8,227.5,714.8,235.0
95.772,1.29,1,707.2,219.9,707.8,227.0
96.738,1.99,2,291.0,421.7,286.0,432.1
97.272,2.62,1,761.1,228.8,770.0,232.9
97.638,4.14,1,784.9,223.3,785.5,230.6
98.322,1.48,2,353.1,354.3,345.7,362.2
98.888,1.79,0,518.2,197.0,527.3,198.5
99.255,3.4,0,467.6,172.3,459.1,168.9
99.605,2.09,3,681.6,414.9,669.5,412.4
100.022,1.76,3,737.0,370.6,735.7,354.6
100.455,2.68,1,786.2,174.4,788.9,163.8
101.022,2.35,3,752.9,443.4,743.3,450.0
101.805,3.34,0,530.0,218.1,530.9,225.9
102.238,2.48,0,526.9,201.4,529.0,207.9
102.955,5.42,2,504.5,334.0,489.5,336.6
103.355,2.6,1,733.6,207.3,743.2,209.7
103.738,2.77,1,776.2,230.3,781.3,239.3
104.388,2.22,3,730.7,357.3,721.9,361.7
105.088,1.87,3,729.0,370.3,730.8,381.4
105.672,1.93,3,641.5,397.5,639.1,409.0
106.022,3.06,1,819.2,235.0,823.8,245.9
106.388,2.43,1,821.6,240.5,823.8,251.4
106.755,2.98,1,819.0,232.7,821.4,242.4
107.205,1.62,0,638.2,192.3,639.4,202.5
107.555,1.47,0,680.4,182.7,685.9,190.7
107.988,1.65,0,703.4,169.8,712.1,173.9
108.338,1.99,0,685.8,173.2,693.5,178.4
108.805,1.9,1,720.6,178.9,715.6,184.1
109.505,1.71,0,601.3,203.3,604.9,213.3
109.855,3.55,0,535.3,197.0,528.1,202.2
115.005,2.15,1,802.4,81.4,802.7,89.4
