t_s,excitement_z,track,wrist_x,wrist_y,paddle_x,paddle_y
516.225,1.52,3,980.6,679.8,969.5,676.5
516.575,3.04,2,549.2,105.8,543.9,111.7
517.092,4.23,2,587.7,116.7,596.2,126.7
517.759,2.77,3,1033.9,704.5,1049.7,715.9
518.109,1.36,3,917.8,585.1,910.1,582.5
518.642,1.46,1,509.5,365.7,508.9,376.8
519.059,1.56,2,655.2,116.4,651.3,120.6
519.709,1.67,1,559.6,363.3,559.2,374.0
520.259,3.23,3,744.5,333.8,732.4,339.4
520.675,1.86,3,761.9,347.1,757.6,355.9
521.025,2.89,0,501.7,141.4,508.1,144.0
521.642,2.63,1,475.6,310.4,476.8,306.1
522.609,1.27,1,465.0,329.1,465.0,329.1
522.959,3.6,0,605.0,131.3,612.9,135.2
523.492,2.17,3,757.5,353.3,761.8,364.9
523.925,1.4,3,675.7,319.9,674.1,330.1
524.592,2.41,3,655.6,362.6,656.5,374.2
524.942,1.32,3,647.0,336.7,648.1,344.9
525.575,1.49,3,629.2,272.2,627.8,264.9
526.642,1.92,0,535.5,124.4,531.4,132.4
527.059,1.38,3,468.9,256.3,471.3,247.6
