t_s,excitement_z,track,wrist_x,wrist_y,paddle_x,paddle_y
117.279,1.51,2,316.1,647.1,321.9,665.1
117.896,1.59,2,385.8,578.2,399.3,579.7
118.729,1.4,2,396.2,539.9,408.3,543.5
119.896,4.6,1,797.5,127.5,798.2,133.3
120.479,1.34,1,779.4,125.8,780.9,132.5
120.846,2.54,2,528.7,549.6,546.2,550.7
121.229,1.84,2,517.6,626.1,525.3,644.7
121.862,1.3,3,821.9,519.3,811.9,517.3
122.296,1.97,3,856.8,523.2,847.1,523.8
122.879,2.32,3,922.7,542.3,922.7,556.7
123.462,3.04,3,863.4,480.8,852.1,482.1
124.246,4.67,0,521.7,174.8,529.8,182.1
124.862,2.96,3,751.3,411.5,754.1,420.8
125.379,1.91,1,679.8,182.5,674.1,186.3
126.112,1.79,3,717.3,356.4,710.9,360.8
126.462,3.5,0,491.7,167.0,491.6,175.8
126.829,1.72,2,436.3,347.2,425.9,349.4
127.346,3.99,2,396.6,376.3,390.8,390.7
128.046,1.52,2,448.0,336.5,456.0,335.5
128.662,3.12,1,854.7,224.4,860.3,231.0
129.362,4.23,2,428.2,381.4,421.3,393.7
129.796,2.31,3,734.5,359.1,729.7,365.3
130.196,1.22,0,523.3,198.9,516.9,204.0
130.546,2.08,3,760.0,345.5,752.6,347.3
131.329,2.97,2,365.9,344.5,348.0,345.4
131.696,1.46,2,437.1,333.7,446.9,341.3
132.079,1.62,1,800.4,205.8,807.9,209.7
132.446,4.76,1,852.3,229.1,859.0,235.6
133.729,2.08,3,765.0,366.0,766.8,378.3
134.379,3.29,0,568.3,220.4,571.8,228.9
134.746,4.51,0,557.9,229.9,560.7,236.8
135.112,1.9,0,556.3,215.4,559.0,222.5
135.646,2.89,1,747.8,205.0,745.9,214.9
136.179,1.45,3,823.6,525.8,830.0,539.8
136.546,2.33,1,661.5,196.2,653.1,201.8
137.279,1.34,0,603.6,182.4,607.0,191.3
137.996,2.07,3,807.8,561.8,806.7,578.6
138.362,1.23,3,814.2,574.6,810.9,590.3
139.012,1.61,3,849.4,600.2,840.5,614.5
139.379,1.49,3,893.4,615.7,886.2,630.4
140.012,2.5,3,951.8,660.3,946.0,678.8
140.379,2.8,3,961.7,673.7,950.7,688.8
140.746,1.67,3,997.9,595.5,999.3,581.1
