t_s,excitement_z,track,wrist_x,wrist_y,paddle_x,paddle_y
295.733,5.38,11,519.3,539.0,515.7,529.8
296.366,2.78,11,569.5,504.3,568.5,490.3
296.9,2.75,9,770.7,106.2,777.6,104.9
297.933,1.52,10,318.2,573.2,318.7,589.1
298.716,1.48,9,753.5,210.4,756.8,215.1
299.083,4.32,9,777.9,252.9,784.4,262.2
299.45,5.32,9,763.4,190.4,763.1,182.7
299.95,3.06,11,697.9,334.3,695.7,326.8
300.4,1.84,11,698.2,351.6,704.7,353.2
300.75,2.64,10,421.6,233.7,419.6,221.2
301.166,4.33,9,878.0,214.0,884.9,218.2
301.583,3.13,9,888.7,198.4,898.2,202.5
302.116,2.17,10,594.0,280.3,604.7,271.4
302.583,2.87,10,526.6,338.7,515.0,345.9
303.433,1.89,10,497.8,386.3,498.0,380.7
303.933,2.06,10,355.3,335.7,352.8,339.9
304.65,3.21,9,742.9,160.9,749.8,165.2
305.0,1.79,11,727.6,333.6,721.8,330.0
305.55,2.52,11,711.7,308.4,716.0,300.6
306.0,2.15,9,742.9,160.2,739.8,166.7
306.583,1.62,8,521.2,113.6,526.5,115.9
307.266,2.68,8,471.0,131.4,468.3,138.5
307.65,4.41,8,395.3,165.3,393.6,173.6
308.616,1.64,11,830.8,352.2,824.3,350.4
308.966,1.7,10,639.3,347.3,646.7,345.9
309.5,1.69,9,776.4,109.5,779.3,108.8
309.933,1.69,11,729.6,338.4,719.5,337.4
310.35,1.99,11,718.4,293.4,737.1,287.0
310.75,1.62,11,683.7,322.7,687.7,315.7
311.483,1.33,11,703.1,330.4,698.2,325.5
311.866,2.47,10,442.1,357.7,439.9,369.1
312.216,1.45,11,698.8,319.8,697.1,310.4
312.583,1.23,9,743.5,182.6,752.2,183.9
312.933,2.45,9,758.8,217.1,758.6,225.2
313.733,1.94,10,606.0,363.3,609.3,375.2
314.433,2.74,11,630.3,350.7,628.0,346.7
314.966,1.42,8,470.7,192.9,467.5,201.1
315.333,1.8,8,451.8,179.0,452.1,187.8
315.683,2.06,10,403.8,365.4,396.8,377.4
316.133,1.22,10,479.5,325.0,477.4,328.6
316.5,2.3,11,712.9,328.8,711.1,319.8
316.916,4.61,11,715.0,359.9,705.4,363.0
317.333,2.44,8,550.8,185.8,553.5,192.1
317.7,5.92,8,563.2,201.5,564.6,209.9
318.05,1.36,8,490.0,121.1,482.5,117.8
318.833,1.21,10,413.5,365.9,414.8,378.7
319.966,1.46,8,592.0,140.9,592.2,145.1
320.716,1.4,8,565.0,125.9,558.8,122.2
321.5,1.38,8,546.4,101.0,548.4,93.2
322.033,2.19,10,9.1,518.2,10.0,536.9
322.716,1.26,11,759.2,554.3,750.1,561.7
323.116,1.51,8,552.3,111.2,555.3,119.4
323.5,1.52,8,555.1,103.7,558.0,111.8
324.333,1.88,11,839.3,649.3,828.8,664.5
324.683,2.29,11,880.2,664.8,879.4,684.5
325.25,4.64,8,539.9,80.8,543.0,88.2
325.716,1.65,11,817.9,630.2,805.9,639.3
326.083,1.28,8,548.0,72.1,552.8,78.5
326.95,1.24,8,487.6,81.5,486.1,88.9
327.3,1.7,9,731.8,209.8,735.7,221.0
328.016,1.74,11,682.1,645.6,668.5,646.2
328.366,3.66,11,696.5,667.1,686.9,678.9
328.733,1.6,11,696.9,652.2,687.1,655.9
330.116,1.89,9,786.5,179.9,779.3,184.2
331.816,1.52,11,892.1,641.5,905.9,652.9
333.866,1.39,8,556.0,87.0,558.9,89.5
334.266,1.28,8,559.7,117.6,557.2,120.2
336.083,1.71,11,538.1,591.8,523.7,585.9
337.066,8.01,8,488.9,193.0,486.8,201.5
338.016,1.88,11,309.1,649.9,293.2,650.2
338.433,1.62,11,266.0,645.1,249.0,640.4
339.016,1.89,11,373.1,630.1,365.2,637.8
339.683,2.3,11,460.4,621.7,467.6,629.5
