t_s,excitement_z,track,wrist_x,wrist_y,paddle_x,paddle_y
427.24,1.78,1,465.9,131.9,466.1,140.3
427.724,1.86,1,443.9,128.8,441.1,135.3
428.407,2.57,1,482.7,90.7,480.1,92.0
428.907,1.56,2,569.7,346.9,570.8,338.1
430.14,3.05,2,675.7,339.8,672.2,343.3
430.74,2.7,0,584.7,117.8,579.6,117.6
431.34,1.38,0,622.2,132.7,621.8,135.9
431.957,3.36,0,683.2,178.6,683.9,185.5
432.557,1.91,2,704.3,332.6,711.4,331.0
432.957,1.56,2,662.3,318.1,654.2,314.7
433.557,2.11,1,514.7,184.6,515.1,192.4
433.907,1.24,1,500.0,170.0,498.8,176.2
435.057,1.49,2,678.0,370.5,685.6,376.2
435.624,1.54,0,809.4,198.8,818.3,200.5
435.99,3.01,0,834.0,201.8,833.7,209.4
436.557,1.63,0,808.0,155.9,815.6,155.2
436.924,1.98,6,541.2,373.0,541.7,380.8
437.374,2.64,6,560.4,324.4,561.7,310.8
437.874,1.44,1,575.8,156.3,580.4,161.3
438.84,2.27,2,684.7,426.1,682.2,426.8
439.307,2.57,0,691.6,193.4,692.2,198.5
439.807,3.1,2,711.6,337.8,713.5,325.2
440.374,2.32,0,660.2,176.3,664.9,177.3
440.724,1.35,6,488.8,396.9,488.0,408.4
441.124,1.73,2,681.3,409.0,673.2,419.5
441.84,1.55,6,528.8,384.0,529.1,398.9
442.24,2.04,6,567.9,383.3,568.8,397.3
442.59,3.6,1,399.0,252.6,394.1,262.9
442.957,3.74,1,400.7,258.7,399.9,268.9
443.49,2.29,1,410.9,211.5,406.3,217.5
443.874,1.61,1,459.5,203.0,461.3,212.3
444.24,4.24,1,459.4,194.8,462.7,203.2
444.89,2.03,2,361.3,676.9,365.2,695.8
445.24,2.52,2,328.0,693.6,334.7,709.8
445.624,3.9,2,191.6,701.8,178.5,715.7
445.974,2.58,2,218.9,692.8,227.4,694.5
446.34,2.15,2,187.9,708.2,199.6,709.3
446.707,2.33,2,244.7,712.4,247.8,715.0
447.057,2.77,2,259.4,714.3,261.9,721.6
448.624,1.31,6,658.2,410.9,653.9,408.0
449.39,1.4,6,731.8,412.5,742.8,414.5
449.74,1.47,6,701.4,369.9,686.0,371.4
451.474,2.14,6,1228.3,419.9,1233.5,429.6
