rally_cum,game,rally_in_game,slot,match_id,t0s,t1s,dur_s,lead_s,approx,slack_s,start_score,outcome,server_uuid,receiver_uuid,state_check
1,1,1,,,163.3,193.3,30.0,30.0,1,,0-0-2,sideout,db5eef5c-99dd-49d9-bbfc-65171a366bda,fec65f7e-f2c8-482f-ab5b-541cf53b1064,unmatched
2,1,2,,,270.0,282.2,25.0,25.0,0,,0-0-1,point,fec65f7e-f2c8-482f-ab5b-541cf53b1064,db5eef5c-99dd-49d9-bbfc-65171a366bda,bugstate
3,1,3,,,282.5,286.8,27.0,27.0,0,2.5,1-0-1,second,fec65f7e-f2c8-482f-ab5b-541cf53b1064,fc05556e-3e38-4a38-99c2-f855174a7c28,bugstate
4,1,4,,,285.0,337.2,1.0,1.0,0,18.9,1-0-2,point,79a11da1-6aeb-4719-9b1e-9918e0163cec,db5eef5c-99dd-49d9-bbfc-65171a366bda,bugstate
5,1,5,,,265.2,265.2,0.0,0.0,1,5.7,2-0-2,sideout,79a11da1-6aeb-4719-9b1e-9918e0163cec,fc05556e-3e38-4a38-99c2-f855174a7c28,unmatched
6,1,6,,,382.0,392.2,14.0,14.0,0,0.3,0-2-1,point,db5eef5c-99dd-49d9-bbfc-65171a366bda,fec65f7e-f2c8-482f-ab5b-541cf53b1064,bugstate
7,1,7,,,390.5,393.2,19.0,19.0,0,4.8,1-2-1,point,db5eef5c-99dd-49d9-bbfc-65171a366bda,79a11da1-6aeb-4719-9b1e-9918e0163cec,bugstate
8,1,8,,,395.5,398.2,20.0,20.0,0,-0.7,2-2-1,second,db5eef5c-99dd-49d9-bbfc-65171a366bda,fec65f7e-f2c8-482f-ab5b-541cf53b1064,bugstate
9,1,9,,,400.5,410.8,12.0,12.0,0,2.8,2-2-2,point,fc05556e-3e38-4a38-99c2-f855174a7c28,79a11da1-6aeb-4719-9b1e-9918e0163cec,bugstate
10,1,10,,,409.0,417.2,10.0,10.0,0,0.8,3-2-2,sideout,fc05556e-3e38-4a38-99c2-f855174a7c28,fec65f7e-f2c8-482f-ab5b-541cf53b1064,bugstate
11,1,11,,,453.0,455.8,3.0,3.0,0,1.3,2-3-1,sideout,fec65f7e-f2c8-482f-ab5b-541cf53b1064,fc05556e-3e38-4a38-99c2-f855174a7c28,bugstate
