rally,t,ang,claimed,truth,dy_pre,dy_post,sp_pre,sp_post,sp_ratio
7,165.884,132.4,1,CONTACT,-684.2,52.6,774.7,300.2,0.39
7,167.0,175.6,1,CONTACT,1025.9,-843.2,1317.3,1021.5,0.78
7,167.95,117.0,0,BOUNCE,176.0,-333.7,217.3,342.7,1.58
7,168.217,34.2,1,CONTACT,-180.4,-252.5,198.1,377.2,1.9
7,169.184,161.5,1,CONTACT,629.4,-434.5,734.8,657.4,0.89
7,170.117,71.0,1,BOUNCE,236.3,-154.2,388.0,245.2,0.63
7,170.45,160.7,1,CONTACT,-65.2,16.4,134.5,247.5,1.84
7,170.917,112.7,0,CONTACT,340.0,-635.5,532.4,654.1,1.23
7,172.217,172.7,1,CONTACT,252.9,-431.5,300.2,459.1,1.53
7,173.35,148.1,1,CONTACT,242.0,-233.2,359.2,1326.9,3.69
7,173.684,116.8,1,WOBBLE,120.6,352.8,193.6,402.7,2.08
7,173.984,43.3,0,WOBBLE,-23.2,-230.9,61.2,1087.7,17.77
7,174.234,111.4,1,WOBBLE,-16.7,389.7,161.2,394.9,2.45
7,174.484,57.5,0,WOBBLE,-114.5,157.8,114.7,844.1,7.36
7,174.75,171.2,1,WOBBLE,-46.4,46.1,48.6,194.1,4.0
7,175.034,33.6,0,WOBBLE,-231.2,-241.5,605.7,261.3,0.43
