rally_cum,game,track,frames,appearance,appearance_frac,carried,agree
63,2,14,6,Bright,1.00,UNNAMED,0
63,2,15,1,Bright,1.00,UNNAMED,0
63,2,16,1,Bright,1.00,UNNAMED,0
65,2,7,23,Patriquin,1.00,Patriquin,1
65,2,8,29,Black,0.93,Black,1
65,2,9,26,Bright,0.77,UNNAMED,0
65,2,10,28,Alshon,0.93,Alshon,1
65,2,13,3,Bright,1.00,Bright,1
65,2,14,7,Bright,1.00,UNNAMED,0
67,2,1,12,Patriquin,0.92,Patriquin,1
67,2,2,16,Alshon,1.00,Alshon,1
67,2,3,17,Black,1.00,Black,1
67,2,7,13,Bright,0.62,UNNAMED,0
67,2,9,4,Bright,1.00,Bright,1
67,2,8,1,Bright,1.00,UNNAMED,0
69,2,5,7,Bright,1.00,Patriquin,0
69,2,3,7,Bright,1.00,Bright,1
69,2,14,10,Alshon,1.00,Alshon,1
69,2,8,2,Black,1.00,Black,1
69,2,16,3,Bright,1.00,UNNAMED,0
70,2,1,25,Patriquin,1.00,Bright,0
70,2,2,26,Alshon,1.00,Black,0
70,2,3,21,Alshon,0.62,Alshon,1
70,2,4,19,Patriquin,0.79,Patriquin,1
70,2,8,6,Bright,1.00,UNNAMED,0
70,2,9,4,Bright,1.00,UNNAMED,0
71,2,3,8,Alshon,1.00,Black,0
71,2,9,1,Bright,1.00,UNNAMED,0
71,2,1,1,Black,1.00,Alshon,0
71,2,2,1,Bright,1.00,Bright,1
73,2,5,29,Alshon,1.00,Alshon,1
73,2,7,27,Black,0.89,Black,1
73,2,16,15,Patriquin,0.93,Bright,0
73,2,6,11,Patriquin,0.64,Patriquin,1
73,2,21,3,Bright,1.00,UNNAMED,0
77,2,4,10,Patriquin,0.90,Patriquin,1
77,2,5,18,Black,0.61,Alshon,0
77,2,2,21,Alshon,0.90,Black,0
77,2,7,14,Patriquin,0.57,Bright,0
79,2,5,30,Patriquin,0.93,Patriquin,1
79,2,6,38,Alshon,1.00,Alshon,1
79,2,4,31,Alshon,0.58,Black,0
79,2,9,24,Patriquin,0.83,Bright,0
79,2,11,1,Bright,1.00,UNNAMED,0
79,2,12,1,Bright,1.00,UNNAMED,0
80,2,2,47,Alshon,0.72,Black,0
80,2,0,29,Black,1.00,Alshon,0
80,2,7,2,Bright,1.00,Bright,1
80,2,4,1,Bright,1.00,UNNAMED,0
80,2,6,27,Bright,0.74,Patriquin,0
80,2,8,1,Bright,1.00,UNNAMED,0
80,2,9,6,Bright,1.00,UNNAMED,0
81,2,8,31,Alshon,1.00,Black,0
81,2,5,29,Black,0.55,Alshon,0
81,2,10,4,Bright,1.00,Bright,1
81,2,7,20,Bright,0.55,UNNAMED,0
81,2,13,1,Bright,1.00,UNNAMED,0
81,2,6,14,Patriquin,0.79,Patriquin,1
81,2,14,1,Bright,1.00,Bright,1
