rally,game,t_start,t_end,duration_s,gap_after_s,lead_s,start_score,end_score,outcome,server_uuid,receiver_uuid
81,2,2026-01-25T18:50:01+00:00,2026-01-25T18:50:29+00:00,28.0,4.0,28.0,6-5-2,5-6-1,sideout,79a11da1-6aeb-4719-9b1e-9918e0163cec,db5eef5c-99dd-49d9-bbfc-65171a366bda
82,2,2026-01-25T18:50:33+00:00,2026-01-25T18:50:47+00:00,14.0,3.0,14.0,5-6-1,6-6-1,point,fc05556e-3e38-4a38-99c2-f855174a7c28,fec65f7e-f2c8-482f-ab5b-541cf53b1064
83,2,2026-01-25T18:50:50+00:00,2026-01-25T18:51:06+00:00,16.0,4.0,16.0,6-6-1,7-6-1,point,fc05556e-3e38-4a38-99c2-f855174a7c28,79a11da1-6aeb-4719-9b1e-9918e0163cec
84,2,2026-01-25T18:51:10+00:00,2026-01-25T18:51:25+00:00,15.0,68.0,15.0,7-6-1,8-6-1,point,fc05556e-3e38-4a38-99c2-f855174a7c28,fec65f7e-f2c8-482f-ab5b-541cf53b1064
85,2,2026-01-25T18:52:33+00:00,2026-01-25T18:53:12+00:00,39.0,3.0,39.0,8-6-1,8-6-2,second,fc05556e-3e38-4a38-99c2-f855174a7c28,79a11da1-6aeb-4719-9b1e-9918e0163cec
86,2,2026-01-25T18:53:15+00:00,2026-01-25T18:53:34+00:00,19.0,6.0,19.0,8-6-2,6-8-1,sideout,db5eef5c-99dd-49d9-bbfc-65171a366bda,fec65f7e-f2c8-482f-ab5b-541cf53b1064
87,2,2026-01-25T18:53:40+00:00,2026-01-25T18:53:54+00:00,14.0,3.0,14.0,6-8-1,6-8-2,second,fec65f7e-f2c8-482f-ab5b-541cf53b1064,db5eef5c-99dd-49d9-bbfc-65171a366bda
88,2,2026-01-25T18:53:57+00:00,2026-01-25T18:54:43+00:00,46.0,3.0,46.0,6-8-2,7-8-2,point,79a11da1-6aeb-4719-9b1e-9918e0163cec,fc05556e-3e38-4a38-99c2-f855174a7c28
89,2,2026-01-25T18:54:46+00:00,2026-01-25T18:55:00+00:00,14.0,5.0,14.0,7-8-2,8-7-1,sideout,79a11da1-6aeb-4719-9b1e-9918e0163cec,db5eef5c-99dd-49d9-bbfc-65171a366bda
90,2,2026-01-25T18:55:05+00:00,2026-01-25T18:55:28+00:00,23.0,6.0,23.0,8-7-1,8-7-2,second,db5eef5c-99dd-49d9-bbfc-65171a366bda,79a11da1-6aeb-4719-9b1e-9918e0163cec
91,2,2026-01-25T18:55:34+00:00,2026-01-25T18:55:43+00:00,9.0,5.0,9.0,8-7-2,7-8-1,sideout,fc05556e-3e38-4a38-99c2-f855174a7c28,fec65f7e-f2c8-482f-ab5b-541cf53b1064
92,2,2026-01-25T18:55:48+00:00,2026-01-25T18:56:03+00:00,15.0,3.0,15.0,7-8-1,8-8-1,point,79a11da1-6aeb-4719-9b1e-9918e0163cec,db5eef5c-99dd-49d9-bbfc-65171a366bda
93,2,2026-01-25T18:56:06+00:00,2026-01-25T18:56:20+00:00,14.0,5.0,14.0,8-8-1,8-8-2,second,79a11da1-6aeb-4719-9b1e-9918e0163cec,fc05556e-3e38-4a38-99c2-f855174a7c28
94,2,2026-01-25T18:56:25+00:00,2026-01-25T18:56:36+00:00,11.0,7.0,11.0,8-8-2,9-8-2,point,fec65f7e-f2c8-482f-ab5b-541cf53b1064,db5eef5c-99dd-49d9-bbfc-65171a366bda
95,2,2026-01-25T18:56:43+00:00,2026-01-25T18:57:05+00:00,22.0,11.0,22.0,9-8-2,8-9-1,sideout,fec65f7e-f2c8-482f-ab5b-541cf53b1064,fc05556e-3e38-4a38-99c2-f855174a7c28
96,2,2026-01-25T18:57:16+00:00,2026-01-25T18:57:33+00:00,17.0,2.0,17.0,8-9-1,8-9-2,second,db5eef5c-99dd-49d9-bbfc-65171a366bda,79a11da1-6aeb-4719-9b1e-9918e0163cec
97,2,2026-01-25T18:57:35+00:00,2026-01-25T18:57:46+00:00,11.0,14.0,11.0,8-9-2,9-8-1,sideout,fc05556e-3e38-4a38-99c2-f855174a7c28,fec65f7e-f2c8-482f-ab5b-541cf53b1064
98,2,2026-01-25T18:58:00+00:00,2026-01-25T18:58:16+00:00,16.0,4.0,16.0,9-8-1,10-8-1,point,79a11da1-6aeb-4719-9b1e-9918e0163cec,db5eef5c-99dd-49d9-bbfc-65171a366bda
99,2,2026-01-25T18:58:20+00:00,2026-01-25T18:58:37+00:00,17.0,3.0,17.0,10-8-1,10-8-2,second,79a11da1-6aeb-4719-9b1e-9918e0163cec,fc05556e-3e38-4a38-99c2-f855174a7c28
100,2,2026-01-25T18:58:40+00:00,2026-01-25T18:58:58+00:00,18.0,5.0,18.0,10-8-2,8-10-1,sideout,fec65f7e-f2c8-482f-ab5b-541cf53b1064,db5eef5c-99dd-49d9-bbfc-65171a366bda
101,2,2026-01-25T18:59:03+00:00,2026-01-25T18:59:19+00:00,16.0,7.0,16.0,8-10-1,9-10-1,point,db5eef5c-99dd-49d9-bbfc-65171a366bda,fec65f7e-f2c8-482f-ab5b-541cf53b1064
102,2,2026-01-25T18:59:26+00:00,2026-01-25T18:59:42+00:00,16.0,4.0,16.0,9-10-1,9-10-2,second,db5eef5c-99dd-49d9-bbfc-65171a366bda,79a11da1-6aeb-4719-9b1e-9918e0163cec
103,2,2026-01-25T18:59:46+00:00,2026-01-25T19:00:00+00:00,14.0,7.0,14.0,9-10-2,10-9-1,sideout,fc05556e-3e38-4a38-99c2-f855174a7c28,fec65f7e-f2c8-482f-ab5b-541cf53b1064
104,2,2026-01-25T19:00:07+00:00,2026-01-25T19:00:24+00:00,17.0,305.0,17.0,10-9-1,11-9-1,point,fec65f7e-f2c8-482f-ab5b-541cf53b1064,fc05556e-3e38-4a38-99c2-f855174a7c28
105,3,2026-01-25T19:05:29+00:00,2026-01-25T19:05:56+00:00,27.0,4.0,27.0,0-0-2,1-0-2,point,db5eef5c-99dd-49d9-bbfc-65171a366bda,fec65f7e-f2c8-482f-ab5b-541cf53b1064
