rally,game,t_start,t_end,outcome,start_score,server_uuid,receiver_uuid,pred_receiver_uuid,receiver_ok,parity_ok,team_A_R,team_A_L,team_B_R,team_B_L,server_half,server_team
13,1,2026-08-02T16:11:13+00:00,2026-08-02T16:11:53+00:00,point,3-1-2,129b2771-34b5-4b7f-9c23-e020a6aa3e6a,db5eef5c-99dd-49d9-bbfc-65171a366bda,db5eef5c-99dd-49d9-bbfc-65171a366bda,1,1,129b2771-34b5-4b7f-9c23-e020a6aa3e6a,b51ea0fb-c243-4427-85f8-b798febb51ff,db5eef5c-99dd-49d9-bbfc-65171a366bda,3af01041-5679-400a-87b8-12c01db8cec4,R,A
14,1,2026-08-02T16:12:06+00:00,2026-08-02T16:12:15+00:00,point,4-1-2,129b2771-34b5-4b7f-9c23-e020a6aa3e6a,3af01041-5679-400a-87b8-12c01db8cec4,3af01041-5679-400a-87b8-12c01db8cec4,1,1,b51ea0fb-c243-4427-85f8-b798febb51ff,129b2771-34b5-4b7f-9c23-e020a6aa3e6a,db5eef5c-99dd-49d9-bbfc-65171a366bda,3af01041-5679-400a-87b8-12c01db8cec4,L,A
15,1,2026-08-02T16:12:19+00:00,2026-08-02T16:12:31+00:00,point,5-1-2,129b2771-34b5-4b7f-9c23-e020a6aa3e6a,db5eef5c-99dd-49d9-bbfc-65171a366bda,db5eef5c-99dd-49d9-bbfc-65171a366bda,1,1,129b2771-34b5-4b7f-9c23-e020a6aa3e6a,b51ea0fb-c243-4427-85f8-b798febb51ff,db5eef5c-99dd-49d9-bbfc-65171a366bda,3af01041-5679-400a-87b8-12c01db8cec4,R,A
16,1,2026-08-02T16:15:12+00:00,2026-08-02T16:15:27+00:00,sideout,6-1-2,129b2771-34b5-4b7f-9c23-e020a6aa3e6a,3af01041-5679-400a-87b8-12c01db8cec4,3af01041-5679-400a-87b8-12c01db8cec4,1,1,b51ea0fb-c243-4427-85f8-b798febb51ff,129b2771-34b5-4b7f-9c23-e020a6aa3e6a,db5eef5c-99dd-49d9-bbfc-65171a366bda,3af01041-5679-400a-87b8-12c01db8cec4,L,A
17,1,2026-08-02T16:15:30+00:00,2026-08-02T16:15:52+00:00,point,1-6-1,db5eef5c-99dd-49d9-bbfc-65171a366bda,b51ea0fb-c243-4427-85f8-b798febb51ff,b51ea0fb-c243-4427-85f8-b798febb51ff,1,1,b51ea0fb-c243-4427-85f8-b798febb51ff,129b2771-34b5-4b7f-9c23-e020a6aa3e6a,db5eef5c-99dd-49d9-bbfc-65171a366bda,3af01041-5679-400a-87b8-12c01db8cec4,R,B
18,1,2026-08-02T16:15:55+00:00,2026-08-02T16:16:24+00:00,second,2-6-1,db5eef5c-99dd-49d9-bbfc-65171a366bda,129b2771-34b5-4b7f-9c23-e020a6aa3e6a,129b2771-34b5-4b7f-9c23-e020a6aa3e6a,1,1,b51ea0fb-c243-4427-85f8-b798febb51ff,129b2771-34b5-4b7f-9c23-e020a6aa3e6a,3af01041-5679-400a-87b8-12c01db8cec4,db5eef5c-99dd-49d9-bbfc-65171a366bda,L,B
19,1,2026-08-02T16:16:27+00:00,2026-08-02T16:16:46+00:00,sideout,2-6-2,3af01041-5679-400a-87b8-12c01db8cec4,b51ea0fb-c243-4427-85f8-b798febb51ff,b51ea0fb-c243-4427-85f8-b798febb51ff,1,1,b51ea0fb-c243-4427-85f8-b798febb51ff,129b2771-34b5-4b7f-9c23-e020a6aa3e6a,3af01041-5679-400a-87b8-12c01db8cec4,db5eef5c-99dd-49d9-bbfc-65171a366bda,R,B
20,1,2026-08-02T16:16:50+00:00,2026-08-02T16:17:07+00:00,second,6-2-1,b51ea0fb-c243-4427-85f8-b798febb51ff,3af01041-5679-400a-87b8-12c01db8cec4,3af01041-5679-400a-87b8-12c01db8cec4,1,1,b51ea0fb-c243-4427-85f8-b798febb51ff,129b2771-34b5-4b7f-9c23-e020a6aa3e6a,3af01041-5679-400a-87b8-12c01db8cec4,db5eef5c-99dd-49d9-bbfc-65171a366bda,R,A
21,1,2026-08-02T16:17:13+00:00,2026-08-02T16:17:29+00:00,point,6-2-2,129b2771-34b5-4b7f-9c23-e020a6aa3e6a,db5eef5c-99dd-49d9-bbfc-65171a366bda,db5eef5c-99dd-49d9-bbfc-65171a366bda,1,1,b51ea0fb-c243-4427-85f8-b798febb51ff,129b2771-34b5-4b7f-9c23-e020a6aa3e6a,3af01041-5679-400a-87b8-12c01db8cec4,db5eef5c-99dd-49d9-bbfc-65171a366bda,L,A
22,1,2026-08-02T16:17:37+00:00,2026-08-02T16:17:54+00:00,sideout,7-2-2,129b2771-34b5-4b7f-9c23-e020a6aa3e6a,3af01041-5679-400a-87b8-12c01db8cec4,3af01041-5679-400a-87b8-12c01db8cec4,1,1,129b2771-34b5-4b7f-9c23-e020a6aa3e6a,b51ea0fb-c243-4427-85f8-b798febb51ff,3af01041-5679-400a-87b8-12c01db8cec4,db5eef5c-99dd-49d9-bbfc-65171a366bda,R,A
