rally,t,ang,claimed,truth,dy_pre,dy_post,sp_pre,sp_post,sp_ratio
10,295.867,176.8,1,CONTACT,555.0,-829.5,596.1,901.5,1.51
10,296.467,99.1,1,BOUNCE,167.1,-452.6,209.4,484.2,2.31
10,296.934,7.3,1,CONTACT,122.5,52.2,207.8,322.8,1.55
10,297.867,148.8,1,BOUNCE,999.5,-198.9,1122.0,470.6,0.42
10,298.934,136.2,1,BOUNCE,240.7,-363.2,399.5,364.4,0.91
10,299.2,0.0,1,CONTACT,174.2,41.3,438.0,441.3,1.01
10,300.067,179.3,1,BOUNCE,443.6,-592.8,637.5,836.1,1.31
10,301.017,54.0,1,BOUNCE,205.4,-212.7,588.3,394.6,0.67
10,301.284,47.6,0,CONTACT,-31.6,-303.2,102.8,387.0,3.77
10,302.734,90.7,1,BOUNCE,-583.1,-244.9,598.3,244.9,0.41
10,303.0,136.0,0,CONTACT,256.4,-541.2,291.9,544.6,1.87
10,303.434,94.6,1,WOBBLE,40.0,161.6,171.5,170.0,0.99
10,304.0,132.2,1,CONTACT,590.5,-495.6,592.7,802.8,1.35
10,304.667,58.3,1,CONTACT,116.5,-93.5,324.0,169.6,0.52
10,305.067,48.9,1,BOUNCE,93.0,316.8,432.1,378.7,0.88
10,305.367,172.1,1,BOUNCE,364.2,-436.3,379.6,485.9,1.28
10,306.017,168.3,1,CONTACT,84.0,0.0,186.9,0.0,0.0
10,306.834,68.2,0,CONTACT,311.3,-127.9,358.5,638.9,1.78
10,307.267,94.7,1,BOUNCE,52.4,-436.3,345.7,438.9,1.27
10,307.9,0.0,0,WOBBLE,-218.9,0.0,323.7,0.0,0.0
10,308.284,42.7,0,WOBBLE,0.0,209.4,0.0,334.4,
10,308.75,36.4,1,CONTACT,458.8,90.3,530.5,310.2,0.58
10,309.134,120.7,1,BOUNCE,248.8,-520.8,345.2,533.0,1.54
10,309.534,95.4,1,CONTACT,84.5,268.1,93.3,579.0,6.21
10,309.9,77.3,1,CONTACT,-108.7,281.9,109.2,403.0,3.69
10,310.217,104.0,1,CONTACT,1060.7,-34.5,1118.5,329.8,0.29
10,311.484,140.1,1,WOBBLE,-432.5,29.4,435.6,50.6,0.12
10,311.75,77.5,0,WOBBLE,104.9,280.2,130.8,398.8,3.05
10,312.067,147.6,1,CONTACT,569.8,-348.4,603.4,575.4,0.95
10,312.767,34.9,1,BOUNCE,201.7,545.9,362.1,640.1,1.77
10,313.034,179.9,1,CONTACT,76.3,-420.8,89.7,437.2,4.88
10,313.367,114.7,0,WOBBLE,-259.8,28.5,259.8,164.1,0.63
10,313.95,142.5,1,BOUNCE,743.0,-442.0,743.1,540.1,0.73
10,315.217,172.6,1,CONTACT,175.8,-130.3,268.3,238.0,0.89
10,315.517,142.0,1,CONTACT,174.2,-107.3,262.0,494.6,1.89
10,315.984,124.2,1,CONTACT,475.6,-474.1,520.0,533.4,1.03
10,316.417,114.3,1,CONTACT,-275.2,-6.0,288.5,363.8,1.26
10,316.9,179.6,1,CONTACT,345.2,-401.4,577.8,715.9,1.24
10,317.367,64.6,1,CONTACT,140.1,-230.3,242.5,409.1,1.69
10,318.384,104.1,0,WOBBLE,581.9,-191.5,654.9,261.1,0.4
