t_s,rms,cheer_2_8k
53.00,0.07362,0.0002361
53.25,0.07103,0.0003058
53.50,0.06511,0.0002337
53.75,0.05856,0.0001894
54.00,0.05204,0.0001127
54.25,0.03371,0.0001098
54.50,0.02308,0.0001060
54.75,0.04166,0.0001020
55.00,0.05834,0.0002066
55.25,0.05174,0.0002009
55.50,0.05071,0.0000574
55.75,0.06135,0.0000769
56.00,0.05989,0.0003525
56.25,0.05252,0.0000888
56.50,0.05499,0.0000918
56.75,0.05553,0.0000538
57.00,0.03690,0.0000534
57.25,0.03745,0.0000981
57.50,0.05768,0.0002940
57.75,0.06512,0.0001043
58.00,0.06501,0.0001550
58.25,0.05949,0.0002130
58.50,0.05432,0.0001440
58.75,0.05429,0.0000459
59.00,0.05353,0.0000552
59.25,0.06002,0.0000945
59.50,0.06067,0.0001766
59.75,0.05292,0.0001341
60.00,0.04237,0.0001577
60.25,0.03129,0.0000452
60.50,0.03332,0.0001243
60.75,0.02876,0.0000698
61.00,0.01985,0.0000505
61.25,0.01443,0.0000438
61.50,0.01343,0.0000396
61.75,0.03374,0.0001343
62.00,0.03595,0.0000949
62.25,0.03361,0.0001150
62.50,0.03873,0.0001329
62.75,0.02818,0.0000774
63.00,0.02691,0.0000831
63.25,0.02727,0.0000678
63.50,0.03657,0.0001244
63.75,0.04039,0.0000917
64.00,0.03638,0.0000915
64.25,0.03375,0.0000992
64.50,0.01955,0.0000681
64.75,0.02327,0.0000668
65.00,0.02510,0.0000509
65.25,0.02256,0.0000730
65.50,0.02165,0.0000739
65.75,0.02725,0.0001264
66.00,0.02862,0.0000969
66.25,0.02304,0.0000710
66.50,0.02634,0.0001099
66.75,0.02451,0.0000614
67.00,0.02289,0.0000712
67.25,0.02864,0.0000888
67.50,0.02715,0.0001201
67.75,0.01885,0.0000763
68.00,0.01420,0.0000475
68.25,0.01411,0.0000592
68.50,0.01558,0.0001131
68.75,0.02110,0.0000675
69.00,0.02187,0.0000672
69.25,0.01674,0.0000545
69.50,0.01687,0.0000884
69.75,0.01562,0.0000693
70.00,0.01189,0.0000518
70.25,0.01109,0.0000475
70.50,0.01270,0.0000438
70.75,0.02171,0.0000588
71.00,0.02821,0.0001624
71.25,0.02531,0.0000787
71.50,0.01920,0.0000611
71.75,0.03055,0.0001093
72.00,0.03218,0.0000830
72.25,0.01997,0.0000750
72.50,0.02968,0.0001080
72.75,0.03045,0.0001004
73.00,0.01745,0.0000689
73.25,0.02139,0.0000648
73.50,0.02363,0.0000971
73.75,0.01884,0.0000584
74.00,0.01683,0.0000748
74.25,0.01642,0.0000681
74.50,0.02188,0.0001133
74.75,0.03002,0.0001466
75.00,0.03496,0.0001025
75.25,0.03220,0.0000766
75.50,0.03242,0.0000733
75.75,0.03297,0.0001264
76.00,0.02867,0.0000790
76.25,0.02989,0.0000884
76.50,0.02559,0.0000669
76.75,0.01649,0.0000454
77.00,0.01332,0.0000473
77.25,0.01520,0.0000526
77.50,0.02900,0.0000758
77.75,0.03033,0.0000798
78.00,0.04602,0.0000475
78.25,0.06170,0.0001450
78.50,0.07040,0.0002448
78.75,0.06974,0.0003340
79.00,0.05607,0.0002710
79.25,0.04448,0.0001834
79.50,0.03451,0.0001734
79.75,0.03577,0.0001795
80.00,0.03941,0.0001802
80.25,0.04029,0.0001888
80.50,0.05647,0.0001672
80.75,0.06101,0.0001477
81.00,0.05437,0.0001923
81.25,0.04807,0.0002107
81.50,0.04401,0.0001361
81.75,0.04130,0.0001378
82.00,0.02690,0.0000985
82.25,0.01992,0.0000645
82.50,0.01741,0.0000834
82.75,0.01569,0.0000541
83.00,0.01763,0.0000686
83.25,0.02299,0.0001034
83.50,0.02454,0.0001391
83.75,0.02438,0.0000877
84.00,0.02908,0.0001167
84.25,0.02988,0.0001281
84.50,0.02282,0.0000972
84.75,0.02094,0.0000995
85.00,0.02929,0.0000758
85.25,0.03664,0.0001067
85.50,0.03198,0.0000716
85.75,0.03084,0.0000861
86.00,0.02803,0.0000766
86.25,0.01294,0.0000372
86.50,0.01200,0.0000482
86.75,0.01213,0.0000398
87.00,0.01744,0.0000678
87.25,0.02054,0.0000623
87.50,0.02721,0.0000762
87.75,0.02990,0.0000890
88.00,0.02282,0.0000771
88.25,0.01951,0.0000638
88.50,0.01862,0.0000669
88.75,0.03632,0.0001063
89.00,0.04168,0.0001163
89.25,0.03211,0.0001110
89.50,0.02687,0.0000846
89.75,0.02170,0.0000649
90.00,0.02474,0.0000687
90.25,0.03183,0.0001015
90.50,0.03031,0.0001116
90.75,0.02083,0.0000819
91.00,0.03490,0.0001422
91.25,0.03692,0.0001076
91.50,0.01858,0.0000586
91.75,0.01107,0.0000360
92.00,0.02918,0.0000945
92.25,0.03683,0.0001491
92.50,0.02567,0.0000790
92.75,0.01345,0.0000497
93.00,0.00996,0.0000332
93.25,0.02481,0.0000656
93.50,0.02842,0.0000620
93.75,0.02007,0.0000802
94.00,0.03185,0.0000846
94.25,0.03502,0.0000970
94.50,0.03591,0.0000892
94.75,0.03275,0.0000637
95.00,0.02064,0.0000531
95.25,0.02434,0.0000628
95.50,0.02135,0.0000774
95.75,0.01260,0.0000413
96.00,0.01646,0.0000531
96.25,0.01988,0.0000677
96.50,0.02208,0.0000613
96.75,0.01919,0.0000455
97.00,0.00916,0.0000285
97.25,0.01714,0.0000255
97.50,0.02434,0.0000775
97.75,0.02222,0.0000547
98.00,0.02384,0.0000432
98.25,0.02487,0.0000803
98.50,0.01644,0.0000487
98.75,0.02009,0.0000456
99.00,0.02392,0.0000818
99.25,0.02570,0.0000740
99.50,0.03845,0.0001139
99.75,0.03947,0.0001210
100.00,0.02713,0.0000836
100.25,0.01823,0.0000719
100.50,0.03201,0.0000833
100.75,0.03927,0.0000923
101.00,0.03075,0.0001120
101.25,0.02462,0.0000720
101.50,0.03513,0.0000997
101.75,0.03311,0.0000783
102.00,0.02229,0.0000752
102.25,0.04525,0.0000757
102.50,0.04396,0.0002017
102.75,0.02553,0.0001282
103.00,0.02380,0.0000747
103.25,0.01626,0.0000627
103.50,0.01672,0.0000611
103.75,0.01824,0.0000649
104.00,0.02089,0.0000650
104.25,0.02424,0.0000779
104.50,0.03437,0.0001001
104.75,0.04509,0.0002078
105.00,0.04976,0.0002087
105.25,0.04469,0.0001844
105.50,0.03971,0.0001817
105.75,0.03976,0.0001636
106.00,0.04716,0.0002357
106.25,0.05887,0.0003716
106.50,0.05043,0.0002423
106.75,0.03461,0.0001631
107.00,0.03411,0.0001351
107.25,0.03687,0.0001128
107.50,0.03446,0.0001266
107.75,0.03165,0.0001339
108.00,0.03264,0.0001637
108.25,0.03020,0.0001421
108.50,0.02628,0.0001039
108.75,0.03322,0.0001364
109.00,0.03377,0.0001273
109.25,0.01937,0.0000546
109.50,0.01848,0.0000553
109.75,0.02615,0.0000440
110.00,0.02828,0.0000459
110.25,0.02238,0.0000574
110.50,0.01458,0.0000427
110.75,0.01046,0.0000398
111.00,0.00866,0.0000357
111.25,0.01475,0.0000534
111.50,0.01975,0.0000431
111.75,0.01909,0.0000448
112.00,0.01882,0.0000620
112.25,0.02401,0.0000866
112.50,0.02712,0.0001152
112.75,0.02213,0.0000699
113.00,0.01411,0.0000460
113.25,0.01594,0.0000347
113.50,0.02596,0.0000608
113.75,0.02819,0.0000892
114.00,0.02213,0.0000651
114.25,0.01949,0.0000651
114.50,0.01579,0.0000411
114.75,0.00930,0.0000237
115.00,0.01065,0.0000230
115.25,0.01532,0.0000642
115.50,0.01812,0.0000593
115.75,0.02082,0.0000730
116.00,0.01880,0.0000547
116.25,0.01230,0.0000384
116.50,0.02278,0.0000865
116.75,0.03894,0.0001400
117.00,0.04095,0.0001276
117.25,0.02961,0.0000879
117.50,0.01741,0.0000483
117.75,0.01137,0.0000377
118.00,0.01049,0.0000356
118.25,0.00831,0.0000242
118.50,0.02312,0.0000308
118.75,0.03381,0.0001229
119.00,0.02753,0.0000610
119.25,0.01254,0.0000322
119.50,0.01023,0.0000335
119.75,0.03267,0.0001179
120.00,0.03860,0.0001133
120.25,0.02768,0.0000783
120.50,0.01951,0.0000971
120.75,0.02070,0.0000632
121.00,0.03031,0.0000736
121.25,0.04059,0.0001404
121.50,0.03627,0.0000785
121.75,0.03398,0.0000855
122.00,0.03423,0.0000644
122.25,0.02020,0.0000616
122.50,0.01760,0.0000623
