t_s,rms,cheer_2_8k
1202.25,0.03179,0.0000849
1202.50,0.02433,0.0000928
1202.75,0.02272,0.0000985
1203.00,0.02547,0.0000705
1203.25,0.02694,0.0000758
1203.50,0.02161,0.0000673
1203.75,0.01790,0.0000579
1204.00,0.02085,0.0001382
1204.25,0.03703,0.0000798
1204.50,0.04716,0.0002037
1204.75,0.04702,0.0000972
1205.00,0.04543,0.0001800
1205.25,0.04317,0.0002033
1205.50,0.05250,0.0001557
1205.75,0.04947,0.0001709
1206.00,0.04080,0.0002316
1206.25,0.04066,0.0001704
1206.50,0.02722,0.0000990
1206.75,0.05997,0.0002144
1207.00,0.09491,0.0004923
1207.25,0.09634,0.0004267
1207.50,0.08095,0.0003474
1207.75,0.06686,0.0002594
1208.00,0.05249,0.0002442
1208.25,0.04799,0.0002270
1208.50,0.05166,0.0002476
1208.75,0.05232,0.0002435
1209.00,0.05320,0.0002471
1209.25,0.04938,0.0002140
1209.50,0.03778,0.0001743
1209.75,0.03455,0.0001536
1210.00,0.03968,0.0001577
1210.25,0.04584,0.0001613
1210.50,0.04051,0.0001562
1210.75,0.03023,0.0001368
1211.00,0.02591,0.0001130
1211.25,0.02286,0.0001151
1211.50,0.02061,0.0001018
1211.75,0.02063,0.0000954
1212.00,0.01713,0.0000594
1212.25,0.01068,0.0000377
1212.50,0.00925,0.0000306
1212.75,0.01461,0.0000591
1213.00,0.01550,0.0000529
1213.25,0.01335,0.0000410
1213.50,0.02657,0.0000533
1213.75,0.04861,0.0001027
1214.00,0.05689,0.0000600
1214.25,0.06443,0.0001027
1214.50,0.07019,0.0001829
1214.75,0.06217,0.0000601
1215.00,0.05720,0.0000556
1215.25,0.05554,0.0000877
1215.50,0.05830,0.0000550
1215.75,0.06995,0.0000478
1216.00,0.05918,0.0000360
1216.25,0.05625,0.0000616
1216.50,0.05878,0.0001651
1216.75,0.05282,0.0001179
1217.00,0.05779,0.0001209
1217.25,0.05862,0.0000974
1217.50,0.05285,0.0000778
1217.75,0.02894,0.0000406
1218.00,0.02605,0.0000468
1218.25,0.03523,0.0001145
1218.50,0.05314,0.0001264
1218.75,0.05274,0.0002315
1219.00,0.04850,0.0000861
1219.25,0.05937,0.0001061
1219.50,0.04629,0.0000918
1219.75,0.02350,0.0000909
1220.00,0.01605,0.0000675
1220.25,0.01218,0.0000630
1220.50,0.01154,0.0000591
1220.75,0.03793,0.0001712
1221.00,0.04173,0.0001238
1221.25,0.02228,0.0000857
1221.50,0.02563,0.0000704
1221.75,0.07548,0.0001665
1222.00,0.10701,0.0002029
1222.25,0.11329,0.0001581
1222.50,0.10222,0.0003052
1222.75,0.08479,0.0002184
1223.00,0.08123,0.0003603
1223.25,0.07981,0.0003564
1223.50,0.07694,0.0003904
1223.75,0.07449,0.0003659
1224.00,0.07609,0.0003475
1224.25,0.07734,0.0002969
1224.50,0.07840,0.0003079
1224.75,0.07324,0.0002693
1225.00,0.06859,0.0002816
1225.25,0.06689,0.0003003
1225.50,0.05996,0.0002682
1225.75,0.06121,0.0002970
1226.00,0.05806,0.0002526
1226.25,0.05024,0.0002406
1226.50,0.05142,0.0001968
1226.75,0.05260,0.0002173
1227.00,0.04242,0.0001593
1227.25,0.02758,0.0001381
1227.50,0.02040,0.0001015
1227.75,0.01664,0.0000758
1228.00,0.01302,0.0000641
1228.25,0.01034,0.0000422
1228.50,0.01050,0.0000446
1228.75,0.01606,0.0000485
1229.00,0.01775,0.0000703
1229.25,0.02495,0.0000932
1229.50,0.02651,0.0000980
1229.75,0.01803,0.0000556
1230.00,0.01376,0.0000395
1230.25,0.01099,0.0000341
1230.50,0.00993,0.0000309
1230.75,0.01783,0.0000418
1231.00,0.04775,0.0001753
1231.25,0.06249,0.0001652
1231.50,0.06349,0.0001687
1231.75,0.07360,0.0002274
1232.00,0.07513,0.0003851
1232.25,0.06073,0.0001658
1232.50,0.04495,0.0001518
1232.75,0.03127,0.0000755
1233.00,0.02854,0.0000728
1233.25,0.03661,0.0001258
1233.50,0.03332,0.0000834
1233.75,0.02130,0.0000885
1234.00,0.02827,0.0000739
1234.25,0.03517,0.0001130
1234.50,0.02779,0.0000666
1234.75,0.01838,0.0000589
1235.00,0.01862,0.0000541
1235.25,0.01691,0.0000612
1235.50,0.01352,0.0000488
1235.75,0.01419,0.0000783
1236.00,0.02750,0.0000729
1236.25,0.03434,0.0001338
1236.50,0.02691,0.0000509
1236.75,0.01526,0.0000361
1237.00,0.02065,0.0000785
1237.25,0.02293,0.0001010
1237.50,0.01456,0.0000709
1237.75,0.01183,0.0000622
1238.00,0.01119,0.0000565
1238.25,0.02261,0.0000538
1238.50,0.02428,0.0000572
1238.75,0.01371,0.0000354
1239.00,0.01573,0.0000528
1239.25,0.01794,0.0000637
1239.50,0.01845,0.0000722
1239.75,0.02429,0.0001403
1240.00,0.02340,0.0000897
1240.25,0.02219,0.0000490
1240.50,0.02039,0.0000793
1240.75,0.01148,0.0000386
1241.00,0.01334,0.0000823
1241.25,0.01745,0.0000634
1241.50,0.02256,0.0001434
1241.75,0.02002,0.0000670
1242.00,0.01409,0.0000465
1242.25,0.02141,0.0001096
1242.50,0.02177,0.0000832
1242.75,0.01545,0.0000739
1243.00,0.01400,0.0000437
1243.25,0.01290,0.0000462
1243.50,0.01389,0.0000569
1243.75,0.01442,0.0000613
1244.00,0.01424,0.0000477
1244.25,0.01985,0.0000364
1244.50,0.02640,0.0000953
1244.75,0.03189,0.0001165
1245.00,0.03049,0.0001024
1245.25,0.02318,0.0001330
1245.50,0.05226,0.0001408
1245.75,0.07739,0.0003694
1246.00,0.08941,0.0003051
1246.25,0.09217,0.0003442
1246.50,0.08899,0.0003064
1246.75,0.08062,0.0004653
1247.00,0.07633,0.0002528
1247.25,0.09179,0.0003503
1247.50,0.08917,0.0002966
1247.75,0.07748,0.0003232
1248.00,0.07861,0.0002375
1248.25,0.07460,0.0002491
1248.50,0.07101,0.0003130
1248.75,0.07128,0.0003255
1249.00,0.07372,0.0003123
1249.25,0.07573,0.0003403
1249.50,0.07471,0.0003352
1249.75,0.06809,0.0002720
1250.00,0.06098,0.0002593
1250.25,0.06129,0.0002613
1250.50,0.06283,0.0002829
1250.75,0.06040,0.0002562
1251.00,0.05953,0.0002464
1251.25,0.05412,0.0002335
1251.50,0.04552,0.0002025
1251.75,0.05351,0.0002421
1252.00,0.06962,0.0002940
1252.25,0.07582,0.0002747
1252.50,0.08098,0.0001744
1252.75,0.07181,0.0001714
1253.00,0.04298,0.0002191
1253.25,0.02668,0.0000909
1253.50,0.02014,0.0000695
1253.75,0.02057,0.0000715
1254.00,0.02486,0.0000595
1254.25,0.03132,0.0000630
1254.50,0.05273,0.0000814
1254.75,0.06665,0.0000689
1255.00,0.06239,0.0001274
1255.25,0.05472,0.0000615
1255.50,0.05904,0.0000671
1255.75,0.05429,0.0000543
1256.00,0.04845,0.0001644
1256.25,0.07563,0.0000985
1256.50,0.09566,0.0001566
1256.75,0.08196,0.0000913
1257.00,0.06711,0.0000955
1257.25,0.06479,0.0002163
1257.50,0.04030,0.0000218
1257.75,0.01775,0.0000606
1258.00,0.02447,0.0000332
1258.25,0.04438,0.0000313
1258.50,0.05686,0.0001049
1258.75,0.04339,0.0000737
1259.00,0.03758,0.0000867
1259.25,0.05984,0.0000776
1259.50,0.06518,0.0001018
1259.75,0.06231,0.0001527
1260.00,0.06529,0.0000557
1260.25,0.05562,0.0000528
1260.50,0.05040,0.0000701
1260.75,0.06885,0.0000868
1261.00,0.06877,0.0001298
1261.25,0.05873,0.0001475
1261.50,0.06737,0.0000977
1261.75,0.06671,0.0001191
1262.00,0.05390,0.0001467
1262.25,0.04950,0.0002653
1262.50,0.05561,0.0000996
1262.75,0.05070,0.0000409
1263.00,0.04030,0.0001251
1263.25,0.05552,0.0001477
1263.50,0.06722,0.0002155
1263.75,0.06859,0.0001959
1264.00,0.05690,0.0002070
1264.25,0.03829,0.0000881
1264.50,0.03963,0.0000915
1264.75,0.06375,0.0001202
1265.00,0.07928,0.0002026
1265.25,0.06791,0.0001497
1265.50,0.04613,0.0001546
1265.75,0.04214,0.0002054
1266.00,0.03710,0.0001431
1266.25,0.02126,0.0000663
1266.50,0.03485,0.0001674
1266.75,0.04028,0.0001343
1267.00,0.02890,0.0000836
1267.25,0.02861,0.0000751
1267.50,0.02398,0.0000687
1267.75,0.01464,0.0000584
1268.00,0.01646,0.0000573
1268.25,0.01586,0.0000567
1268.50,0.02977,0.0001306
1268.75,0.03302,0.0001242
1269.00,0.02143,0.0001065
1269.25,0.01452,0.0000523
1269.50,0.03128,0.0000760
1269.75,0.04170,0.0001541
1270.00,0.03436,0.0001709
1270.25,0.03443,0.0001535
1270.50,0.03777,0.0001800
1270.75,0.03313,0.0001139
1271.00,0.02908,0.0001197
1271.25,0.02048,0.0000581
1271.50,0.01164,0.0000440
1271.75,0.00945,0.0000433
1272.00,0.01465,0.0000743
1272.25,0.01600,0.0000400
1272.50,0.02434,0.0000715
1272.75,0.02728,0.0000475
1273.00,0.01933,0.0000929
1273.25,0.02450,0.0000766
1273.50,0.02752,0.0001024
1273.75,0.02538,0.0000484
1274.00,0.02283,0.0000752
1274.25,0.01595,0.0000492
1274.50,0.01668,0.0000406
1274.75,0.01767,0.0001003
1275.00,0.01231,0.0000521
1275.25,0.00972,0.0000332
1275.50,0.01876,0.0000788
1275.75,0.01867,0.0000347
1276.00,0.00986,0.0000334
1276.25,0.00984,0.0000513
1276.50,0.00906,0.0000281
1276.75,0.01886,0.0000422
1277.00,0.02128,0.0001113
1277.25,0.01363,0.0000506
1277.50,0.00892,0.0000374
1277.75,0.02012,0.0000509
1278.00,0.03090,0.0001343
1278.25,0.04120,0.0000913
1278.50,0.05152,0.0001558
1278.75,0.05698,0.0003576
1279.00,0.05976,0.0002328
1279.25,0.05721,0.0001693
1279.50,0.05399,0.0001920
1279.75,0.06262,0.0002818
1280.00,0.08287,0.0002948
1280.25,0.08577,0.0003644
1280.50,0.07036,0.0001983
1280.75,0.06768,0.0002180
1281.00,0.07741,0.0002134
1281.25,0.07766,0.0003350
1281.50,0.06976,0.0003289
1281.75,0.06723,0.0002840
1282.00,0.06219,0.0002408
1282.25,0.07007,0.0003142
1282.50,0.07922,0.0002919
1282.75,0.07455,0.0003042
1283.00,0.07090,0.0003157
1283.25,0.07461,0.0002373
1283.50,0.07702,0.0002042
1283.75,0.07443,0.0003974
1284.00,0.06983,0.0002911
1284.25,0.06782,0.0002348
1284.50,0.06977,0.0001970
1284.75,0.06750,0.0001982
1285.00,0.06469,0.0001973
1285.25,0.06420,0.0003133
1285.50,0.05399,0.0002030
1285.75,0.05166,0.0001117
1286.00,0.05933,0.0001397
1286.25,0.05611,0.0002726
1286.50,0.03904,0.0000844
1286.75,0.01191,0.0000264
1287.00,0.04654,0.0000228
1287.25,0.07168,0.0002139
1287.50,0.06535,0.0001267
1287.75,0.05602,0.0001864
1288.00,0.06067,0.0001912
1288.25,0.05597,0.0001241
1288.50,0.04501,0.0001477
1288.75,0.05799,0.0002118
1289.00,0.06932,0.0001905
1289.25,0.06156,0.0000891
1289.50,0.06097,0.0000679
1289.75,0.05664,0.0002196
1290.00,0.03867,0.0000707
1290.25,0.02893,0.0000486
1290.50,0.02653,0.0000893
1290.75,0.01858,0.0000652
1291.00,0.01338,0.0000453
1291.25,0.03112,0.0001030
1291.50,0.06189,0.0001440
1291.75,0.06541,0.0001595
1292.00,0.05214,0.0001685
1292.25,0.04760,0.0001281
1292.50,0.05639,0.0003785
1292.75,0.05415,0.0002485
1293.00,0.03145,0.0000894
1293.25,0.02074,0.0000804
1293.50,0.02907,0.0000827
1293.75,0.03435,0.0001406
1294.00,0.03603,0.0001280
1294.25,0.04919,0.0001672
1294.50,0.04111,0.0001637
1294.75,0.02353,0.0000968
1295.00,0.03325,0.0001186
1295.25,0.03441,0.0001228
1295.50,0.02676,0.0000758
1295.75,0.02491,0.0000714
1296.00,0.02561,0.0000562
1296.25,0.04331,0.0001833
1296.50,0.04757,0.0002967
1296.75,0.02790,0.0001286
1297.00,0.02162,0.0000668
1297.25,0.02494,0.0000656
1297.50,0.01980,0.0000504
1297.75,0.01858,0.0000525
1298.00,0.04058,0.0000789
1298.25,0.06836,0.0002573
1298.50,0.08663,0.0002286
1298.75,0.09451,0.0002768
1299.00,0.08766,0.0001909
1299.25,0.07736,0.0002466
1299.50,0.08310,0.0002523
1299.75,0.09493,0.0002226
1300.00,0.09303,0.0002893
1300.25,0.07684,0.0002126
1300.50,0.07278,0.0002709
1300.75,0.07434,0.0002911
1301.00,0.07483,0.0002236
1301.25,0.08151,0.0003429
1301.50,0.08224,0.0002047
1301.75,0.08304,0.0002362
1302.00,0.09215,0.0003956
1302.25,0.08772,0.0003689
1302.50,0.08236,0.0003263
1302.75,0.08901,0.0003831
1303.00,0.09148,0.0004520
1303.25,0.08545,0.0002725
1303.50,0.07813,0.0002587
1303.75,0.08045,0.0002471
1304.00,0.08180,0.0002511
1304.25,0.07647,0.0003844
1304.50,0.07149,0.0001643
1304.75,0.06444,0.0004639
1305.00,0.04856,0.0001827
1305.25,0.05573,0.0001781
1305.50,0.06484,0.0003863
1305.75,0.06795,0.0002877
1306.00,0.06755,0.0002934
1306.25,0.07209,0.0003003
1306.50,0.07352,0.0002043
1306.75,0.06532,0.0002318
1307.00,0.06464,0.0001620
1307.25,0.06389,0.0002510
1307.50,0.07112,0.0003674
1307.75,0.07155,0.0001399
1308.00,0.06708,0.0002035
1308.25,0.07102,0.0003317
1308.50,0.07120,0.0002325
1308.75,0.07545,0.0002894
1309.00,0.08130,0.0003626
1309.25,0.08205,0.0002075
1309.50,0.08305,0.0002145
1309.75,0.07936,0.0003406
1310.00,0.08562,0.0002251
1310.25,0.09234,0.0002812
1310.50,0.08911,0.0003080
1310.75,0.08364,0.0002525
1311.00,0.06961,0.0004383
1311.25,0.05703,0.0002823
1311.50,0.05122,0.0001155
1311.75,0.04997,0.0002203
1312.00,0.05875,0.0002660
1312.25,0.05624,0.0002122
1312.50,0.05573,0.0001789
1312.75,0.05346,0.0001524
1313.00,0.05711,0.0001690
1313.25,0.06106,0.0003288
1313.50,0.05577,0.0003209
1313.75,0.05973,0.0002479
1314.00,0.05757,0.0004516
1314.25,0.05540,0.0002547
1314.50,0.05832,0.0000972
1314.75,0.06284,0.0001396
1315.00,0.06378,0.0000905
1315.25,0.06023,0.0004029
1315.50,0.04686,0.0000938
1315.75,0.04903,0.0001349
1316.00,0.05944,0.0001987
1316.25,0.06085,0.0004184
1316.50,0.04808,0.0002244
1316.75,0.02512,0.0000854
1317.00,0.02772,0.0000988
1317.25,0.02590,0.0000963
1317.50,0.03645,0.0001316
1317.75,0.05251,0.0004787
1318.00,0.06287,0.0002215
1318.25,0.05908,0.0002344
1318.50,0.05183,0.0001851
1318.75,0.05703,0.0001342
1319.00,0.05709,0.0001732
1319.25,0.04306,0.0001265
1319.50,0.03134,0.0001121
1319.75,0.02592,0.0000603
1320.00,0.01959,0.0000488
1320.25,0.02632,0.0000865
1320.50,0.02614,0.0000462
1320.75,0.02286,0.0000392
1321.00,0.01927,0.0000578
1321.25,0.02271,0.0001283
1321.50,0.02354,0.0001085
1321.75,0.01393,0.0000535
1322.00,0.02070,0.0000435
1322.25,0.04085,0.0001473
1322.50,0.07002,0.0003875
1322.75,0.09590,0.0005001
1323.00,0.09661,0.0003178
1323.25,0.08408,0.0002596
1323.50,0.09702,0.0003281
1323.75,0.09913,0.0003428
1324.00,0.07310,0.0002526
1324.25,0.05577,0.0001908
1324.50,0.05258,0.0001866
1324.75,0.06716,0.0002041
1325.00,0.07580,0.0002638
1325.25,0.06954,0.0002252
1325.50,0.06872,0.0002019
1325.75,0.06570,0.0003476
1326.00,0.05650,0.0002002
1326.25,0.05425,0.0001023
1326.50,0.06124,0.0000853
1326.75,0.06907,0.0000676
1327.00,0.07135,0.0003335
1327.25,0.06429,0.0000775
1327.50,0.05703,0.0002573
1327.75,0.05463,0.0001710
1328.00,0.05480,0.0002342
1328.25,0.05869,0.0001598
1328.50,0.05659,0.0002348
1328.75,0.05904,0.0001418
1329.00,0.06548,0.0002116
1329.25,0.07089,0.0001594
1329.50,0.06904,0.0002741
1329.75,0.07061,0.0001775
1330.00,0.08315,0.0001375
1330.25,0.08297,0.0001782
1330.50,0.06448,0.0001419
1330.75,0.05713,0.0000998
1331.00,0.07002,0.0001080
1331.25,0.07319,0.0001320
1331.50,0.06530,0.0001455
1331.75,0.05795,0.0001634
1332.00,0.04857,0.0001479
1332.25,0.05474,0.0001845
1332.50,0.07165,0.0001373
1332.75,0.07639,0.0001211
1333.00,0.06662,0.0002734
1333.25,0.04911,0.0002290
1333.50,0.05180,0.0003803
1333.75,0.07086,0.0001662
1334.00,0.07661,0.0001996
1334.25,0.06949,0.0002285
1334.50,0.06843,0.0002784
1334.75,0.06509,0.0001731
1335.00,0.06571,0.0002242
1335.25,0.06226,0.0002180
1335.50,0.06476,0.0001434
1335.75,0.05927,0.0000789
1336.00,0.05488,0.0002598
1336.25,0.06619,0.0001383
1336.50,0.06339,0.0002120
1336.75,0.04709,0.0002678
1337.00,0.06229,0.0000618
1337.25,0.07856,0.0000987
1337.50,0.07889,0.0001004
1337.75,0.07996,0.0000948
1338.00,0.06466,0.0002228
1338.25,0.05236,0.0001929
1338.50,0.05232,0.0002326
1338.75,0.04416,0.0001334
1339.00,0.04213,0.0000804
1339.25,0.06477,0.0000829
1339.50,0.07465,0.0001058
1339.75,0.06753,0.0001794
1340.00,0.07103,0.0000505
1340.25,0.06623,0.0000831
1340.50,0.05516,0.0001369
1340.75,0.05857,0.0002614
1341.00,0.06777,0.0000641
1341.25,0.06132,0.0000687
1341.50,0.04847,0.0001373
1341.75,0.06965,0.0002177
1342.00,0.07821,0.0002505
1342.25,0.07125,0.0002323
1342.50,0.06897,0.0002032
1342.75,0.06862,0.0002273
1343.00,0.06183,0.0002433
1343.25,0.06386,0.0001943
1343.50,0.07017,0.0002873
1343.75,0.06767,0.0001864
1344.00,0.06439,0.0001820
1344.25,0.05748,0.0001748
1344.50,0.05529,0.0001990
1344.75,0.06093,0.0001312
1345.00,0.06322,0.0002419
1345.25,0.06073,0.0002156
1345.50,0.05929,0.0001121
1345.75,0.05961,0.0002759
1346.00,0.06390,0.0003538
1346.25,0.06537,0.0002985
1346.50,0.06142,0.0002811
1346.75,0.05670,0.0002725
1347.00,0.05780,0.0002022
1347.25,0.05840,0.0001764
1347.50,0.04419,0.0002371
1347.75,0.04179,0.0001233
1348.00,0.04773,0.0001202
1348.25,0.05378,0.0000969
1348.50,0.05456,0.0001142
1348.75,0.04427,0.0001081
1349.00,0.05172,0.0001489
1349.25,0.06604,0.0001777
1349.50,0.06744,0.0001166
1349.75,0.06521,0.0001599
1350.00,0.06438,0.0001890
1350.25,0.06644,0.0001649
1350.50,0.07165,0.0001500
1350.75,0.06510,0.0001482
1351.00,0.06489,0.0001706
1351.25,0.06587,0.0002652
1351.50,0.07409,0.0002120
1351.75,0.07980,0.0002080
1352.00,0.06839,0.0001519
1352.25,0.05245,0.0000971
1352.50,0.04625,0.0001804
1352.75,0.05464,0.0001001
1353.00,0.05265,0.0001241
1353.25,0.04702,0.0001457
1353.50,0.04383,0.0001454
1353.75,0.03856,0.0000937
1354.00,0.03414,0.0001131
1354.25,0.03217,0.0000835
1354.50,0.03579,0.0001701
1354.75,0.03669,0.0001231
1355.00,0.02804,0.0000849
1355.25,0.02602,0.0000809
1355.50,0.02711,0.0001079
1355.75,0.04829,0.0001043
1356.00,0.06491,0.0001374
1356.25,0.07178,0.0001667
1356.50,0.07685,0.0002779
1356.75,0.07073,0.0002929
1357.00,0.06794,0.0001943
1357.25,0.08712,0.0002641
1357.50,0.09164,0.0002956
1357.75,0.07462,0.0002149
1358.00,0.06996,0.0003076
1358.25,0.07500,0.0002740
1358.50,0.07157,0.0002726
1358.75,0.06561,0.0002523
1359.00,0.07132,0.0002755
1359.25,0.07429,0.0002450
1359.50,0.08030,0.0002277
1359.75,0.08326,0.0001749
1360.00,0.08591,0.0002487
1360.25,0.08663,0.0001795
1360.50,0.07680,0.0003150
1360.75,0.06729,0.0002948
1361.00,0.06856,0.0001842
1361.25,0.07025,0.0002711
1361.50,0.06472,0.0001834
1361.75,0.05888,0.0001359
1362.00,0.05330,0.0001764
1362.25,0.05980,0.0001914
1362.50,0.06651,0.0002675
1362.75,0.07480,0.0002454
1363.00,0.06592,0.0002062
1363.25,0.05593,0.0002087
1363.50,0.05519,0.0002599
1363.75,0.06691,0.0001842
1364.00,0.07930,0.0002158
1364.25,0.07696,0.0002412
1364.50,0.06445,0.0002289
1364.75,0.04526,0.0001785
1365.00,0.04197,0.0002300
1365.25,0.04563,0.0001834
1365.50,0.07241,0.0002035
1365.75,0.07448,0.0002260
1366.00,0.05306,0.0001191
1366.25,0.05184,0.0001038
1366.50,0.04856,0.0000989
1366.75,0.03190,0.0000597
1367.00,0.01248,0.0000504
1367.25,0.01306,0.0000581
1367.50,0.03132,0.0001923
1367.75,0.03340,0.0001538
1368.00,0.02874,0.0000950
1368.25,0.04303,0.0001264
1368.50,0.04961,0.0002428
1368.75,0.05483,0.0000854
1369.00,0.05895,0.0001519
1369.25,0.05743,0.0003029
1369.50,0.06272,0.0001393
1369.75,0.06395,0.0001325
1370.00,0.05897,0.0003032
1370.25,0.05451,0.0001785
1370.50,0.04634,0.0000941
1370.75,0.03438,0.0000639
1371.00,0.02465,0.0000916
1371.25,0.02167,0.0000759
1371.50,0.02072,0.0000908
1371.75,0.03229,0.0001156
1372.00,0.03530,0.0001622
1372.25,0.02538,0.0000964
1372.50,0.03043,0.0001344
1372.75,0.03233,0.0000756
1373.00,0.02282,0.0000870
1373.25,0.01780,0.0000667
1373.50,0.02164,0.0000749
1373.75,0.02122,0.0000492
1374.00,0.01218,0.0000457
1374.25,0.01219,0.0000545
1374.50,0.01456,0.0000688
1374.75,0.01580,0.0000655
1375.00,0.01516,0.0000703
1375.25,0.01227,0.0000360
1375.50,0.01044,0.0000702
1375.75,0.01845,0.0000470
1376.00,0.02175,0.0000493
1376.25,0.02047,0.0000807
1376.50,0.01729,0.0000663
1376.75,0.01086,0.0000408
1377.00,0.01329,0.0000582
1377.25,0.01797,0.0001538
1377.50,0.01698,0.0000682
1377.75,0.01211,0.0000533
1378.00,0.01491,0.0000378
1378.25,0.01460,0.0000479
1378.50,0.00950,0.0000420
1378.75,0.00858,0.0000449
1379.00,0.00782,0.0000299
1379.25,0.01466,0.0000538
1379.50,0.01573,0.0000391
1379.75,0.01117,0.0000506
1380.00,0.01313,0.0000504
1380.25,0.02042,0.0000693
1380.50,0.05544,0.0000943
1380.75,0.08035,0.0002230
1381.00,0.08713,0.0002966
1381.25,0.08345,0.0002321
1381.50,0.07320,0.0002300
1381.75,0.06929,0.0002419
1382.00,0.07069,0.0002748
1382.25,0.07008,0.0002606
1382.50,0.07068,0.0003030
1382.75,0.06563,0.0002004
1383.00,0.05720,0.0001962
1383.25,0.06302,0.0002156
1383.50,0.07239,0.0001961
1383.75,0.05675,0.0001381
1384.00,0.05154,0.0001339
1384.25,0.05883,0.0002268
1384.50,0.05924,0.0001688
1384.75,0.05838,0.0001990
1385.00,0.04998,0.0000788
1385.25,0.04882,0.0000664
1385.50,0.05525,0.0001403
1385.75,0.06344,0.0001440
1386.00,0.05883,0.0001491
1386.25,0.05372,0.0003512
1386.50,0.03810,0.0001427
1386.75,0.05274,0.0000418
1387.00,0.06431,0.0001198
1387.25,0.05082,0.0001901
1387.50,0.04735,0.0001363
1387.75,0.05515,0.0000300
1388.00,0.05302,0.0000644
1388.25,0.04850,0.0000520
1388.50,0.04838,0.0000516
1388.75,0.04850,0.0000862
1389.00,0.06652,0.0001287
1389.25,0.06666,0.0002647
1389.50,0.05503,0.0002288
1389.75,0.05602,0.0002036
1390.00,0.06053,0.0002263
1390.25,0.05691,0.0000993
1390.50,0.03561,0.0000416
1390.75,0.00751,0.0000277
1391.00,0.01896,0.0000521
1391.25,0.03310,0.0000612
1391.50,0.04062,0.0000942
1391.75,0.04190,0.0000514
1392.00,0.06015,0.0000991
1392.25,0.06404,0.0000801
1392.50,0.03721,0.0000404
1392.75,0.00851,0.0000302
1393.00,0.00740,0.0000293
1393.25,0.02455,0.0000378
1393.50,0.03487,0.0001524
1393.75,0.03260,0.0001266
1394.00,0.02314,0.0000616
1394.25,0.01276,0.0000514
1394.50,0.00992,0.0000380
1394.75,0.01700,0.0000504
1395.00,0.02124,0.0001729
1395.25,0.03550,0.0000693
1395.50,0.04754,0.0000778
1395.75,0.04815,0.0000929
1396.00,0.03484,0.0000705
1396.25,0.01568,0.0000546
1396.50,0.01725,0.0000850
1396.75,0.01454,0.0000710
1397.00,0.01014,0.0000358
1397.25,0.01104,0.0000316
1397.50,0.01100,0.0000322
1397.75,0.00875,0.0000276
1398.00,0.01184,0.0000535
1398.25,0.01571,0.0000419
1398.50,0.01288,0.0000269
1398.75,0.01026,0.0000252
1399.00,0.01705,0.0001445
1399.25,0.01572,0.0000664
1399.50,0.01557,0.0000391
1399.75,0.01530,0.0000258
1400.00,0.00719,0.0000290
1400.25,0.00737,0.0000325
1400.50,0.01035,0.0000345
1400.75,0.01048,0.0000326
1401.00,0.00946,0.0000399
1401.25,0.00906,0.0000392
1401.50,0.00818,0.0000275
1401.75,0.01418,0.0000516
1402.00,0.01482,0.0000301
1402.25,0.01062,0.0000367
1402.50,0.01454,0.0000393
1402.75,0.01427,0.0000566
1403.00,0.00819,0.0000225
1403.25,0.01129,0.0000627
1403.50,0.01249,0.0000711
1403.75,0.01846,0.0000613
1404.00,0.02476,0.0000535
1404.25,0.02040,0.0000495
1404.50,0.01114,0.0000338
1404.75,0.01357,0.0000403
1405.00,0.02311,0.0001369
1405.25,0.02130,0.0001167
1405.50,0.01256,0.0000816
1405.75,0.01289,0.0000510
1406.00,0.02045,0.0000763
1406.25,0.02731,0.0000600
1406.50,0.02555,0.0001592
1406.75,0.02543,0.0000666
1407.00,0.02329,0.0000853
1407.25,0.01394,0.0000531
1407.50,0.02058,0.0001080
1407.75,0.02164,0.0000719
1408.00,0.01332,0.0000417
1408.25,0.06436,0.0002777
1408.50,0.07193,0.0001440
1408.75,0.06124,0.0001370
1409.00,0.07942,0.0001120
1409.25,0.07598,0.0001824
1409.50,0.06117,0.0002578
1409.75,0.05294,0.0001226
1410.00,0.05575,0.0001899
1410.25,0.06185,0.0001365
1410.50,0.06193,0.0002858
1410.75,0.05567,0.0001770
1411.00,0.05463,0.0002275
1411.25,0.05775,0.0003042
1411.50,0.04139,0.0001143
1411.75,0.04369,0.0001801
1412.00,0.05543,0.0001668
1412.25,0.05674,0.0001435
1412.50,0.05648,0.0001355
1412.75,0.05424,0.0001610
1413.00,0.05405,0.0002170
1413.25,0.05615,0.0001331
1413.50,0.05616,0.0000813
1413.75,0.05977,0.0004127
1414.00,0.06204,0.0002174
1414.25,0.05534,0.0000791
1414.50,0.05459,0.0000525
1414.75,0.05550,0.0002159
1415.00,0.04803,0.0001694
1415.25,0.04630,0.0001207
1415.50,0.04747,0.0001682
1415.75,0.05468,0.0002868
1416.00,0.04696,0.0002413
1416.25,0.01224,0.0000461
1416.50,0.01119,0.0000470
1416.75,0.03807,0.0000766
1417.00,0.05720,0.0000721
1417.25,0.06932,0.0000671
1417.50,0.06861,0.0001042
1417.75,0.05741,0.0000848
1418.00,0.05404,0.0000762
1418.25,0.04126,0.0002801
1418.50,0.01898,0.0000528
1418.75,0.00892,0.0000302
1419.00,0.01106,0.0000333
1419.25,0.04990,0.0001799
1419.50,0.06529,0.0002383
1419.75,0.05518,0.0001078
1420.00,0.05768,0.0001780
1420.25,0.06560,0.0001065
1420.50,0.06700,0.0001093
