rally_cum,game,track,player_uuid,margin,n_dets,side
66,2,13,fec65f7e-f2c8-482f-ab5b-541cf53b1064,3.559,110,1
66,2,14,db5eef5c-99dd-49d9-bbfc-65171a366bda,4.034,110,0
66,2,15,79a11da1-6aeb-4719-9b1e-9918e0163cec,3.337,107,1
66,2,16,fc05556e-3e38-4a38-99c2-f855174a7c28,4.493,84,0
72,2,0,fec65f7e-f2c8-482f-ab5b-541cf53b1064,2.913,146,1
72,2,1,79a11da1-6aeb-4719-9b1e-9918e0163cec,3.344,145,1
72,2,3,fc05556e-3e38-4a38-99c2-f855174a7c28,1.241,10,0
72,2,9,fc05556e-3e38-4a38-99c2-f855174a7c28,4.047,100,0
72,2,11,db5eef5c-99dd-49d9-bbfc-65171a366bda,3.51,84,0
74,2,0,fc05556e-3e38-4a38-99c2-f855174a7c28,4.37,52,0
74,2,1,db5eef5c-99dd-49d9-bbfc-65171a366bda,3.783,52,0
74,2,2,79a11da1-6aeb-4719-9b1e-9918e0163cec,3.047,40,1
74,2,3,fec65f7e-f2c8-482f-ab5b-541cf53b1064,3.498,52,1
75,2,0,fec65f7e-f2c8-482f-ab5b-541cf53b1064,3.355,44,1
75,2,1,db5eef5c-99dd-49d9-bbfc-65171a366bda,3.056,44,0
75,2,2,fc05556e-3e38-4a38-99c2-f855174a7c28,4.611,44,0
75,2,3,79a11da1-6aeb-4719-9b1e-9918e0163cec,3.182,44,1
78,2,6,79a11da1-6aeb-4719-9b1e-9918e0163cec,3.072,73,1
78,2,7,fec65f7e-f2c8-482f-ab5b-541cf53b1064,3.355,73,1
78,2,9,fc05556e-3e38-4a38-99c2-f855174a7c28,4.267,31,0
78,2,11,db5eef5c-99dd-49d9-bbfc-65171a366bda,3.419,29,0
83,2,0,fc05556e-3e38-4a38-99c2-f855174a7c28,4.581,166,0
83,2,1,fec65f7e-f2c8-482f-ab5b-541cf53b1064,3.324,164,1
83,2,2,db5eef5c-99dd-49d9-bbfc-65171a366bda,1.925,9,0
83,2,6,79a11da1-6aeb-4719-9b1e-9918e0163cec,3.327,111,1
83,2,7,db5eef5c-99dd-49d9-bbfc-65171a366bda,4.088,134,0
90,2,2,fc05556e-3e38-4a38-99c2-f855174a7c28,4.235,171,0
90,2,3,db5eef5c-99dd-49d9-bbfc-65171a366bda,4.388,171,0
90,2,4,79a11da1-6aeb-4719-9b1e-9918e0163cec,2.877,155,1
90,2,8,fec65f7e-f2c8-482f-ab5b-541cf53b1064,3.152,62,1
91,2,0,db5eef5c-99dd-49d9-bbfc-65171a366bda,3.329,38,0
91,2,1,fc05556e-3e38-4a38-99c2-f855174a7c28,4.315,38,0
91,2,2,fec65f7e-f2c8-482f-ab5b-541cf53b1064,3.576,38,1
91,2,3,79a11da1-6aeb-4719-9b1e-9918e0163cec,3.05,38,1
96,2,3,fc05556e-3e38-4a38-99c2-f855174a7c28,4.448,130,0
96,2,4,db5eef5c-99dd-49d9-bbfc-65171a366bda,4.304,130,0
96,2,5,79a11da1-6aeb-4719-9b1e-9918e0163cec,2.97,127,1
96,2,8,fec65f7e-f2c8-482f-ab5b-541cf53b1064,3.727,49,1
103,2,0,79a11da1-6aeb-4719-9b1e-9918e0163cec,2.702,49,1
103,2,1,fc05556e-3e38-4a38-99c2-f855174a7c28,4.603,65,0
103,2,2,fec65f7e-f2c8-482f-ab5b-541cf53b1064,2.773,65,1
103,2,3,db5eef5c-99dd-49d9-bbfc-65171a366bda,3.763,65,0
