rally_cum,game,rally_in_game,slot,match_id,t0s,t1s,dur_s,lead_s,approx,slack_s,start_score,outcome,server_uuid,receiver_uuid,state_check
28,1,28,,,776.0,785.0,9.0,9.0,1,5.3,5-6-2,point,79a11da1-6aeb-4719-9b1e-9918e0163cec,db5eef5c-99dd-49d9-bbfc-65171a366bda,unmatched
29,1,29,,,867.4,882.4,15.0,15.0,1,8.6,6-6-2,sideout,79a11da1-6aeb-4719-9b1e-9918e0163cec,fc05556e-3e38-4a38-99c2-f855174a7c28,unmatched
30,1,30,,,882.0,898.0,16.0,16.0,1,2.4,6-6-1,second,db5eef5c-99dd-49d9-bbfc-65171a366bda,fec65f7e-f2c8-482f-ab5b-541cf53b1064,unmatched
31,1,31,,,899.7,909.7,10.0,10.0,1,1.3,6-6-2,point,fc05556e-3e38-4a38-99c2-f855174a7c28,79a11da1-6aeb-4719-9b1e-9918e0163cec,unmatched
32,1,32,,,911.4,919.4,8.0,8.0,1,2.3,7-6-2,sideout,fc05556e-3e38-4a38-99c2-f855174a7c28,fec65f7e-f2c8-482f-ab5b-541cf53b1064,unmatched
33,1,33,,,926.8,949.8,23.0,23.0,1,-2.4,6-7-1,point,fec65f7e-f2c8-482f-ab5b-541cf53b1064,fc05556e-3e38-4a38-99c2-f855174a7c28,unmatched
34,1,34,,,954.6,969.6,15.0,15.0,1,,7-7-1,second,fec65f7e-f2c8-482f-ab5b-541cf53b1064,db5eef5c-99dd-49d9-bbfc-65171a366bda,unmatched
35,1,35,,,969.3,994.3,25.0,25.0,1,,7-7-2,sideout,79a11da1-6aeb-4719-9b1e-9918e0163cec,fc05556e-3e38-4a38-99c2-f855174a7c28,unmatched
36,1,36,,,1022.0,1029.0,7.0,7.0,1,5.3,7-7-1,point,fc05556e-3e38-4a38-99c2-f855174a7c28,79a11da1-6aeb-4719-9b1e-9918e0163cec,unmatched
37,1,37,,,1030.1,1035.1,5.0,5.0,1,-0.1,8-7-1,point,fc05556e-3e38-4a38-99c2-f855174a7c28,fec65f7e-f2c8-482f-ab5b-541cf53b1064,unmatched
38,1,38,,,1075.2,1095.2,20.0,20.0,1,19.9,8-7-1,second,fc05556e-3e38-4a38-99c2-f855174a7c28,fec65f7e-f2c8-482f-ab5b-541cf53b1064,unmatched
39,1,39,,,1095.2,1114.2,19.0,19.0,1,3.0,8-7-2,sideout,db5eef5c-99dd-49d9-bbfc-65171a366bda,79a11da1-6aeb-4719-9b1e-9918e0163cec,unmatched
40,1,40,,,380.0,383.8,17.0,17.0,0,3.2,7-8-1,point,79a11da1-6aeb-4719-9b1e-9918e0163cec,db5eef5c-99dd-49d9-bbfc-65171a366bda,bugstate
41,1,41,,,1133.7,1143.7,10.0,10.0,1,8.3,8-8-1,second,79a11da1-6aeb-4719-9b1e-9918e0163cec,fc05556e-3e38-4a38-99c2-f855174a7c28,unmatched
42,1,42,,,1145.0,1167.0,22.0,22.0,1,0.7,8-8-2,sideout,fec65f7e-f2c8-482f-ab5b-541cf53b1064,db5eef5c-99dd-49d9-bbfc-65171a366bda,unmatched
43,1,43,,,1167.5,1200.5,33.0,33.0,1,4.5,8-8-1,second,db5eef5c-99dd-49d9-bbfc-65171a366bda,fec65f7e-f2c8-482f-ab5b-541cf53b1064,unmatched
44,1,44,,,1199.8,1208.8,9.0,9.0,1,4.7,8-8-2,sideout,fc05556e-3e38-4a38-99c2-f855174a7c28,79a11da1-6aeb-4719-9b1e-9918e0163cec,unmatched
45,1,45,,,1207.9,1216.9,9.0,9.0,1,10.9,8-8-1,point,fec65f7e-f2c8-482f-ab5b-541cf53b1064,db5eef5c-99dd-49d9-bbfc-65171a366bda,unmatched
46,1,46,,,1217.2,1231.2,14.0,14.0,1,5.7,9-8-1,second,fec65f7e-f2c8-482f-ab5b-541cf53b1064,fc05556e-3e38-4a38-99c2-f855174a7c28,unmatched
47,1,47,,,1234.2,1254.2,20.0,20.0,1,2.0,9-8-2,point,79a11da1-6aeb-4719-9b1e-9918e0163cec,db5eef5c-99dd-49d9-bbfc-65171a366bda,unmatched
