rally,t,ang,claimed,truth,dy_pre,dy_post,sp_pre,sp_post,sp_ratio
9,254.234,103.0,0,CONTACT,552.0,-565.0,661.1,761.0,1.15
9,254.8,89.3,1,WOBBLE,163.4,-416.2,238.3,443.0,1.86
9,255.1,67.9,1,CONTACT,-206.4,-268.2,239.7,315.8,1.32
9,256.1,62.9,0,BOUNCE,959.9,-15.8,1011.9,205.9,0.2
9,256.4,121.3,1,CONTACT,213.9,-479.3,317.1,521.4,1.64
9,257.334,70.5,0,WOBBLE,-78.0,1.4,172.5,154.1,0.89
9,258.334,59.5,1,BOUNCE,429.4,75.1,430.2,153.4,0.36
9,258.767,90.3,1,CONTACT,124.8,32.2,126.4,280.0,2.21
9,259.117,95.8,1,CONTACT,-210.5,-296.3,340.4,380.5,1.12
9,259.384,24.6,0,CONTACT,126.4,85.6,223.3,267.1,1.2
9,259.884,167.7,1,CONTACT,815.7,-1176.0,868.5,1228.6,1.41
9,260.134,29.5,1,CONTACT,-258.0,-362.1,480.2,403.0,0.84
9,260.5,62.5,1,WOBBLE,-123.3,20.5,203.5,152.9,0.75
9,260.967,134.9,1,WOBBLE,226.5,-200.9,260.2,209.2,0.8
9,261.967,177.7,1,CONTACT,414.2,-373.6,660.7,634.9,0.96
9,263.117,27.2,1,BOUNCE,269.9,610.1,370.3,639.4,1.73
9,263.867,79.3,1,CONTACT,-577.3,-400.4,606.4,756.3,1.25
9,264.734,65.7,0,BOUNCE,185.3,-188.3,456.4,321.5,0.7
9,265.0,153.3,1,CONTACT,-364.5,214.9,389.3,373.4,0.96
9,266.067,177.6,1,CONTACT,264.2,-539.8,327.8,648.0,1.98
9,266.85,162.2,1,CONTACT,187.4,-209.7,240.1,436.9,1.82
9,267.917,158.9,1,BOUNCE,583.9,-557.4,730.6,1059.4,1.45
9,268.8,142.5,1,BOUNCE,221.1,-90.6,526.8,192.3,0.37
9,269.084,164.1,1,CONTACT,-78.4,159.3,355.9,267.0,0.75
9,269.35,35.0,1,WOBBLE,-400.2,77.7,790.0,419.8,0.53
9,269.867,111.7,1,CONTACT,412.6,-595.5,613.9,625.4,1.02
9,270.3,174.6,1,CONTACT,50.4,14.0,85.1,201.6,2.37
9,270.684,108.1,1,CONTACT,618.5,-267.8,798.6,324.5,0.41
9,271.117,118.3,0,CONTACT,-292.9,144.4,298.5,144.6,0.48
9,271.617,100.0,1,CONTACT,-263.5,130.3,320.2,383.8,1.2
9,271.9,138.4,1,WOBBLE,-3.3,79.1,10.0,299.0,30.04
9,272.584,175.6,0,CONTACT,510.8,-825.9,520.1,846.6,1.63
9,273.684,62.6,0,WOBBLE,26.3,203.3,150.8,237.3,1.57
9,274.3,150.0,0,BOUNCE,330.6,-317.5,339.9,328.3,0.97
9,274.584,158.2,1,WOBBLE,-199.5,407.1,214.1,521.3,2.44
9,275.017,5.5,0,CONTACT,16.2,65.9,245.8,68.8,0.28
9,275.317,46.2,1,WOBBLE,45.5,0.0,528.4,0.0,0.0
9,275.634,103.8,1,WOBBLE,246.0,194.4,439.7,230.2,0.52
9,276.184,144.0,0,WOBBLE,-790.9,794.2,810.7,860.1,1.06
9,276.484,118.6,1,CONTACT,987.7,-100.4,1022.7,367.4,0.36
9,276.85,87.2,0,BOUNCE,64.4,-479.5,189.4,486.8,2.57
9,277.317,70.1,1,CONTACT,-70.4,164.5,201.6,289.0,1.43
9,277.85,176.5,1,CONTACT,484.9,-459.3,618.9,624.6,1.01
9,278.5,62.3,1,BOUNCE,92.3,-138.0,239.4,220.5,0.92
9,278.8,97.0,0,CONTACT,-149.0,-168.0,207.9,282.4,1.36
9,279.767,160.2,1,CONTACT,512.8,-367.6,604.8,595.9,0.99
9,280.834,163.0,1,CONTACT,220.2,-229.1,286.8,421.3,1.47
9,281.85,179.5,1,CONTACT,599.6,-453.2,797.5,518.1,0.65
9,282.467,85.5,1,WOBBLE,248.3,-128.4,288.4,228.1,0.79
