rally,slot,match_id,game,t_start,t_end,duration_s,gap_after_s,lead_s,start_score,end_score,outcome,server_uuid,receiver_uuid
14,1,0ca7efd7-9a76-4dd4-bd69-c1fddeb3050e,1,2026-07-25T18:21:31+00:00,2026-07-25T18:21:56+00:00,25.0,2.0,25.0,5-2-2,2-5-1,sideout,efe9989b-5864-48c2-806c-06697024e1da,29e8121d-6f86-4192-b7af-ab05b77b89fe
15,1,0ca7efd7-9a76-4dd4-bd69-c1fddeb3050e,1,2026-07-25T18:21:58+00:00,2026-07-25T18:22:16+00:00,18.0,0.0,18.0,2-5-1,3-5-1,point,ab6386c6-c7e3-422f-9134-e20e92725ee5,676b1cbc-766c-4616-bf39-1787ffd8c72a
16,1,0ca7efd7-9a76-4dd4-bd69-c1fddeb3050e,1,2026-07-25T18:22:16+00:00,2026-07-25T18:22:38+00:00,22.0,3.0,22.0,3-5-1,4-5-1,point,ab6386c6-c7e3-422f-9134-e20e92725ee5,efe9989b-5864-48c2-806c-06697024e1da
17,1,0ca7efd7-9a76-4dd4-bd69-c1fddeb3050e,1,2026-07-25T18:22:41+00:00,2026-07-25T18:23:04+00:00,23.0,1.0,23.0,4-5-1,4-5-2,second,ab6386c6-c7e3-422f-9134-e20e92725ee5,676b1cbc-766c-4616-bf39-1787ffd8c72a
18,1,0ca7efd7-9a76-4dd4-bd69-c1fddeb3050e,1,2026-07-25T18:23:05+00:00,2026-07-25T18:23:23+00:00,18.0,1.0,18.0,4-5-2,5-4-1,sideout,29e8121d-6f86-4192-b7af-ab05b77b89fe,efe9989b-5864-48c2-806c-06697024e1da
19,1,0ca7efd7-9a76-4dd4-bd69-c1fddeb3050e,1,2026-07-25T18:23:24+00:00,2026-07-25T18:23:44+00:00,20.0,130.0,20.0,5-4-1,6-4-1,point,676b1cbc-766c-4616-bf39-1787ffd8c72a,ab6386c6-c7e3-422f-9134-e20e92725ee5
20,1,0ca7efd7-9a76-4dd4-bd69-c1fddeb3050e,1,2026-07-25T18:25:54+00:00,2026-07-25T18:26:38+00:00,44.0,3.0,44.0,6-4-1,7-4-1,point,676b1cbc-766c-4616-bf39-1787ffd8c72a,29e8121d-6f86-4192-b7af-ab05b77b89fe
21,1,0ca7efd7-9a76-4dd4-bd69-c1fddeb3050e,1,2026-07-25T18:26:41+00:00,2026-07-25T18:26:54+00:00,13.0,61.0,13.0,7-4-1,8-4-1,point,676b1cbc-766c-4616-bf39-1787ffd8c72a,ab6386c6-c7e3-422f-9134-e20e92725ee5
22,1,0ca7efd7-9a76-4dd4-bd69-c1fddeb3050e,1,2026-07-25T18:27:55+00:00,2026-07-25T18:28:21+00:00,26.0,5.0,26.0,8-4-1,8-4-2,second,676b1cbc-766c-4616-bf39-1787ffd8c72a,29e8121d-6f86-4192-b7af-ab05b77b89fe
23,1,0ca7efd7-9a76-4dd4-bd69-c1fddeb3050e,1,2026-07-25T18:28:26+00:00,2026-07-25T18:28:46+00:00,20.0,1.0,20.0,8-4-2,4-8-1,sideout,efe9989b-5864-48c2-806c-06697024e1da,ab6386c6-c7e3-422f-9134-e20e92725ee5
24,1,0ca7efd7-9a76-4dd4-bd69-c1fddeb3050e,1,2026-07-25T18:28:47+00:00,2026-07-25T18:29:08+00:00,21.0,0.0,21.0,4-8-1,4-8-2,second,ab6386c6-c7e3-422f-9134-e20e92725ee5,efe9989b-5864-48c2-806c-06697024e1da
25,1,0ca7efd7-9a76-4dd4-bd69-c1fddeb3050e,1,2026-07-25T18:29:08+00:00,2026-07-25T18:30:03+00:00,55.0,11.0,55.0,4-8-2,5-8-2,point,29e8121d-6f86-4192-b7af-ab05b77b89fe,676b1cbc-766c-4616-bf39-1787ffd8c72a
26,1,0ca7efd7-9a76-4dd4-bd69-c1fddeb3050e,1,2026-07-25T18:30:14+00:00,2026-07-25T18:30:33+00:00,19.0,2.0,19.0,5-8-2,8-5-1,sideout,29e8121d-6f86-4192-b7af-ab05b77b89fe,efe9989b-5864-48c2-806c-06697024e1da
27,1,0ca7efd7-9a76-4dd4-bd69-c1fddeb3050e,1,2026-07-25T18:30:35+00:00,2026-07-25T18:30:55+00:00,20.0,0.0,20.0,8-5-1,8-5-2,second,efe9989b-5864-48c2-806c-06697024e1da,29e8121d-6f86-4192-b7af-ab05b77b89fe
28,1,0ca7efd7-9a76-4dd4-bd69-c1fddeb3050e,1,2026-07-25T18:30:55+00:00,2026-07-25T18:31:15+00:00,20.0,8.0,20.0,8-5-2,9-5-2,point,676b1cbc-766c-4616-bf39-1787ffd8c72a,ab6386c6-c7e3-422f-9134-e20e92725ee5
29,1,0ca7efd7-9a76-4dd4-bd69-c1fddeb3050e,1,2026-07-25T18:31:23+00:00,2026-07-25T18:31:49+00:00,26.0,5.0,26.0,9-5-2,5-9-1,sideout,676b1cbc-766c-4616-bf39-1787ffd8c72a,29e8121d-6f86-4192-b7af-ab05b77b89fe
30,1,0ca7efd7-9a76-4dd4-bd69-c1fddeb3050e,1,2026-07-25T18:31:54+00:00,2026-07-25T18:32:18+00:00,24.0,1.0,24.0,5-9-1,6-9-1,point,29e8121d-6f86-4192-b7af-ab05b77b89fe,676b1cbc-766c-4616-bf39-1787ffd8c72a
31,1,0ca7efd7-9a76-4dd4-bd69-c1fddeb3050e,1,2026-07-25T18:32:19+00:00,2026-07-25T18:32:52+00:00,33.0,1.0,33.0,6-9-1,6-9-2,second,29e8121d-6f86-4192-b7af-ab05b77b89fe,efe9989b-5864-48c2-806c-06697024e1da
