t_s,player,x_ft,y_ft
17.343,Ting Chieh Wei,13.51,10.17
17.393,Allyce Jones,13.36,30.56
17.393,Emma Nelson,5.82,9.39
17.393,Etta Tuionetoa,5.0,29.56
17.393,Ting Chieh Wei,13.51,10.17
17.443,Allyce Jones,13.36,30.75
17.443,Emma Nelson,5.63,9.39
17.443,Etta Tuionetoa,4.74,29.57
17.443,Ting Chieh Wei,13.51,10.19
17.493,Allyce Jones,13.35,30.78
17.493,Emma Nelson,5.48,9.45
17.493,Etta Tuionetoa,4.37,29.58
17.493,Ting Chieh Wei,13.5,10.2
17.543,Allyce Jones,13.34,30.78
17.543,Emma Nelson,5.35,9.6
17.543,Etta Tuionetoa,3.93,29.59
17.543,Ting Chieh Wei,13.49,10.23
17.593,Allyce Jones,13.33,30.78
17.593,Emma Nelson,5.22,9.64
17.593,Etta Tuionetoa,3.66,29.89
17.593,Ting Chieh Wei,13.48,10.24
17.643,Allyce Jones,13.33,30.78
17.643,Emma Nelson,5.14,9.73
17.643,Etta Tuionetoa,3.37,30.12
17.643,Ting Chieh Wei,13.48,10.3
17.693,Allyce Jones,13.32,30.78
17.693,Emma Nelson,5.11,9.82
17.693,Etta Tuionetoa,3.06,30.36
17.693,Ting Chieh Wei,13.47,10.55
17.743,Allyce Jones,13.3,30.71
17.743,Emma Nelson,5.05,9.85
17.743,Etta Tuionetoa,2.89,30.56
17.743,Ting Chieh Wei,13.42,10.84
17.793,Allyce Jones,13.29,30.62
17.793,Emma Nelson,4.99,9.9
17.793,Etta Tuionetoa,2.74,30.7
17.793,Ting Chieh Wei,13.39,11.07
17.843,Allyce Jones,13.27,30.57
17.843,Emma Nelson,4.91,9.95
17.843,Etta Tuionetoa,2.61,30.83
17.843,Ting Chieh Wei,13.39,11.16
17.893,Allyce Jones,13.25,30.54
17.893,Emma Nelson,4.84,10.1
17.893,Etta Tuionetoa,2.48,30.95
17.893,Ting Chieh Wei,13.39,11.19
17.943,Allyce Jones,13.2,30.52
17.943,Emma Nelson,4.75,10.46
17.943,Etta Tuionetoa,2.34,31.04
17.943,Ting Chieh Wei,13.39,11.26
17.993,Allyce Jones,13.11,30.47
17.993,Emma Nelson,4.74,10.77
17.993,Etta Tuionetoa,2.18,31.11
17.993,Ting Chieh Wei,13.39,11.31
18.043,Allyce Jones,13.05,30.44
18.043,Emma Nelson,4.74,10.94
18.043,Etta Tuionetoa,2.06,31.21
18.043,Ting Chieh Wei,13.45,11.33
18.093,Allyce Jones,13.05,30.42
18.093,Emma Nelson,4.74,11.15
18.093,Etta Tuionetoa,1.96,31.24
18.093,Ting Chieh Wei,13.55,11.44
18.143,Allyce Jones,13.05,30.4
18.143,Emma Nelson,4.74,11.6
18.143,Etta Tuionetoa,1.91,31.25
18.143,Ting Chieh Wei,13.65,11.59
18.193,Allyce Jones,13.05,30.34
18.193,Emma Nelson,4.74,12.3
18.193,Etta Tuionetoa,1.91,31.25
18.193,Ting Chieh Wei,13.7,11.69
18.243,Allyce Jones,13.05,30.09
18.243,Emma Nelson,4.78,12.84
18.243,Etta Tuionetoa,1.91,31.27
18.243,Ting Chieh Wei,13.73,11.85
18.293,Allyce Jones,13.07,29.83
18.293,Emma Nelson,4.8,12.94
18.293,Etta Tuionetoa,1.91,31.33
18.293,Ting Chieh Wei,13.73,11.91
18.343,Allyce Jones,13.12,29.61
18.343,Emma Nelson,4.83,12.97
18.343,Etta Tuionetoa,1.91,31.42
18.343,Ting Chieh Wei,13.73,11.91
18.393,Allyce Jones,13.16,29.54
18.393,Emma Nelson,4.9,12.98
18.393,Etta Tuionetoa,1.94,31.51
18.393,Ting Chieh Wei,13.73,11.91
18.443,Allyce Jones,13.24,29.5
18.443,Emma Nelson,5.04,13.0
18.443,Etta Tuionetoa,2.1,31.69
18.443,Ting Chieh Wei,13.73,11.91
18.493,Allyce Jones,13.34,29.44
18.493,Emma Nelson,5.24,13.04
18.493,Etta Tuionetoa,2.32,31.75
18.493,Ting Chieh Wei,13.71,11.91
18.543,Allyce Jones,13.49,29.37
18.543,Emma Nelson,5.38,13.05
18.543,Etta Tuionetoa,2.49,31.75
18.543,Ting Chieh Wei,13.58,11.71
18.593,Allyce Jones,13.57,29.31
18.593,Emma Nelson,5.54,13.02
18.593,Etta Tuionetoa,2.61,31.75
18.593,Ting Chieh Wei,13.51,11.46
18.643,Allyce Jones,13.58,29.31
18.643,Emma Nelson,5.64,13.02
18.643,Etta Tuionetoa,2.7,31.77
18.643,Ting Chieh Wei,13.51,11.4
18.693,Allyce Jones,13.6,29.37
18.693,Emma Nelson,5.84,13.02
18.693,Etta Tuionetoa,2.9,31.87
18.693,Ting Chieh Wei,13.51,11.31
18.743,Allyce Jones,13.71,29.43
18.743,Emma Nelson,6.07,13.02
18.743,Etta Tuionetoa,3.25,31.92
18.743,Ting Chieh Wei,13.51,11.08
18.793,Allyce Jones,13.87,29.49
18.793,Emma Nelson,6.26,12.98
18.793,Etta Tuionetoa,3.65,31.92
18.793,Ting Chieh Wei,13.51,10.88
18.843,Allyce Jones,14.01,29.54
18.843,Emma Nelson,6.39,12.89
18.843,Etta Tuionetoa,4.07,31.92
18.843,Ting Chieh Wei,13.6,10.68
18.893,Allyce Jones,14.14,29.63
18.893,Emma Nelson,6.48,12.74
18.893,Etta Tuionetoa,4.46,31.92
18.893,Ting Chieh Wei,13.63,10.62
18.943,Allyce Jones,14.21,30.02
18.943,Emma Nelson,6.59,12.6
18.943,Etta Tuionetoa,4.74,31.98
18.943,Ting Chieh Wei,13.67,10.59
18.993,Allyce Jones,14.21,30.02
18.993,Emma Nelson,6.72,12.5
18.993,Etta Tuionetoa,4.95,32.07
18.993,Ting Chieh Wei,13.74,10.47
19.043,Allyce Jones,14.21,30.02
19.043,Emma Nelson,6.91,12.48
19.043,Etta Tuionetoa,5.12,32.21
19.043,Ting Chieh Wei,13.84,10.18
19.093,Allyce Jones,14.21,30.02
19.093,Emma Nelson,7.07,12.45
19.093,Etta Tuionetoa,5.35,32.44
19.093,Ting Chieh Wei,13.93,9.87
19.143,Allyce Jones,14.21,30.02
19.143,Emma Nelson,7.07,12.25
19.143,Etta Tuionetoa,5.58,32.66
19.143,Ting Chieh Wei,13.93,9.79
19.193,Allyce Jones,14.21,30.05
19.193,Emma Nelson,7.07,11.91
19.193,Etta Tuionetoa,5.74,32.71
19.193,Ting Chieh Wei,13.93,9.77
19.243,Allyce Jones,14.07,30.05
19.243,Emma Nelson,7.07,11.84
19.243,Etta Tuionetoa,5.95,32.81
19.243,Ting Chieh Wei,13.93,9.77
19.293,Allyce Jones,13.81,30.05
19.293,Emma Nelson,7.07,11.8
19.293,Etta Tuionetoa,6.14,32.85
19.293,Ting Chieh Wei,13.93,9.77
19.343,Allyce Jones,13.48,30.07
19.343,Emma Nelson,7.05,11.77
19.343,Etta Tuionetoa,6.28,32.87
19.343,Ting Chieh Wei,13.93,9.77
19.393,Allyce Jones,13.12,30.09
19.393,Emma Nelson,7.02,11.73
19.393,Etta Tuionetoa,6.28,32.96
19.393,Ting Chieh Wei,13.9,9.77
19.443,Allyce Jones,12.71,30.45
19.443,Emma Nelson,7.01,11.7
19.443,Etta Tuionetoa,6.28,33.1
19.443,Ting Chieh Wei,13.88,9.87
19.493,Allyce Jones,12.56,31.15
19.493,Emma Nelson,6.97,11.68
19.493,Etta Tuionetoa,6.28,33.11
19.493,Ting Chieh Wei,13.87,9.92
19.543,Allyce Jones,12.56,31.33
19.543,Emma Nelson,6.9,11.59
19.543,Etta Tuionetoa,6.28,33.15
19.543,Ting Chieh Wei,13.87,9.92
19.593,Allyce Jones,12.56,31.37
19.593,Emma Nelson,6.75,11.31
19.593,Etta Tuionetoa,6.26,33.21
19.593,Ting Chieh Wei,13.87,9.92
19.643,Allyce Jones,12.56,31.44
19.643,Emma Nelson,6.61,11.29
19.643,Etta Tuionetoa,6.14,33.24
19.643,Ting Chieh Wei,13.87,9.92
19.693,Allyce Jones,12.56,31.5
19.693,Emma Nelson,6.6,11.24
19.693,Etta Tuionetoa,6.01,33.3
19.693,Ting Chieh Wei,13.86,9.92
19.743,Allyce Jones,12.62,31.55
19.743,Emma Nelson,6.6,11.16
19.743,Etta Tuionetoa,5.9,33.33
19.743,Ting Chieh Wei,13.84,9.91
19.793,Allyce Jones,12.74,31.58
19.793,Emma Nelson,6.6,11.11
19.793,Etta Tuionetoa,5.83,33.46
19.793,Ting Chieh Wei,13.83,9.89
19.843,Allyce Jones,12.75,31.77
19.843,Emma Nelson,6.6,11.07
19.843,Etta Tuionetoa,5.82,33.64
19.843,Ting Chieh Wei,13.8,9.86
19.893,Allyce Jones,12.75,31.88
19.893,Emma Nelson,6.6,11.06
19.893,Etta Tuionetoa,5.81,33.64
19.893,Ting Chieh Wei,13.75,9.84
19.943,Allyce Jones,12.75,31.88
19.943,Emma Nelson,6.6,10.93
19.943,Etta Tuionetoa,5.8,33.64
19.943,Ting Chieh Wei,13.68,9.82
19.993,Allyce Jones,12.76,31.88
19.993,Emma Nelson,6.6,10.6
19.993,Etta Tuionetoa,5.79,33.64
19.993,Ting Chieh Wei,13.63,9.8
20.043,Allyce Jones,12.79,31.88
20.043,Emma Nelson,6.6,10.32
20.043,Etta Tuionetoa,5.79,33.64
20.043,Ting Chieh Wei,13.63,9.78
20.093,Allyce Jones,12.79,31.88
20.093,Emma Nelson,6.6,10.12
20.093,Etta Tuionetoa,5.79,33.54
20.093,Ting Chieh Wei,13.63,9.77
20.143,Allyce Jones,12.79,31.82
20.143,Emma Nelson,6.58,9.46
20.143,Etta Tuionetoa,5.8,33.28
20.143,Ting Chieh Wei,13.63,9.77
20.193,Allyce Jones,12.79,31.68
20.193,Emma Nelson,6.49,9.07
20.193,Etta Tuionetoa,5.81,33.09
20.193,Ting Chieh Wei,13.63,9.69
20.243,Allyce Jones,12.79,31.41
20.243,Emma Nelson,6.47,9.01
20.243,Etta Tuionetoa,5.82,33.03
20.243,Ting Chieh Wei,13.66,9.43
20.293,Allyce Jones,12.84,31.13
20.293,Emma Nelson,6.42,8.92
20.293,Etta Tuionetoa,5.83,33.0
20.293,Ting Chieh Wei,13.75,9.19
20.343,Allyce Jones,12.91,30.96
20.343,Emma Nelson,6.39,8.51
20.343,Etta Tuionetoa,5.96,32.97
20.343,Ting Chieh Wei,13.82,9.09
20.393,Allyce Jones,13.01,30.77
20.393,Emma Nelson,6.35,7.91
20.393,Etta Tuionetoa,6.14,32.85
20.393,Ting Chieh Wei,13.84,9.02
20.443,Allyce Jones,13.16,30.56
20.443,Emma Nelson,6.32,7.11
20.443,Etta Tuionetoa,6.18,32.6
20.443,Ting Chieh Wei,13.84,8.97
20.493,Allyce Jones,13.31,30.28
20.493,Emma Nelson,6.3,6.33
20.493,Etta Tuionetoa,6.18,32.24
20.493,Ting Chieh Wei,13.84,8.64
20.543,Allyce Jones,13.42,30.13
20.543,Emma Nelson,6.27,5.91
20.543,Etta Tuionetoa,6.18,31.94
20.543,Ting Chieh Wei,13.84,8.32
20.593,Allyce Jones,13.44,30.08
20.593,Emma Nelson,6.21,5.66
20.593,Etta Tuionetoa,6.18,31.72
20.593,Ting Chieh Wei,13.84,7.82
20.643,Allyce Jones,13.45,29.94
20.643,Emma Nelson,6.19,5.27
20.643,Etta Tuionetoa,6.18,31.48
20.643,Ting Chieh Wei,13.84,7.36
20.693,Allyce Jones,13.48,29.68
20.693,Emma Nelson,6.17,5.11
20.693,Etta Tuionetoa,6.15,31.19
20.693,Ting Chieh Wei,13.83,6.9
20.743,Allyce Jones,13.55,29.46
20.743,Emma Nelson,6.17,5.06
20.743,Etta Tuionetoa,6.07,30.74
20.743,Ting Chieh Wei,13.83,6.85
20.793,Allyce Jones,13.7,29.38
20.793,Emma Nelson,6.17,5.02
20.793,Etta Tuionetoa,5.95,30.35
20.793,Ting Chieh Wei,13.83,6.84
20.843,Allyce Jones,13.88,29.33
20.843,Emma Nelson,6.17,4.93
20.843,Etta Tuionetoa,5.84,30.0
20.843,Ting Chieh Wei,13.83,6.81
20.893,Allyce Jones,14.05,29.32
20.893,Emma Nelson,6.17,4.68
20.893,Etta Tuionetoa,5.78,29.73
20.893,Ting Chieh Wei,13.83,6.76
20.943,Allyce Jones,14.15,29.29
20.943,Emma Nelson,6.18,4.39
20.943,Etta Tuionetoa,5.73,29.55
20.943,Ting Chieh Wei,13.84,6.74
20.993,Allyce Jones,14.15,29.28
20.993,Emma Nelson,6.25,4.02
20.993,Etta Tuionetoa,5.69,29.44
20.993,Ting Chieh Wei,13.84,6.74
21.043,Allyce Jones,14.15,29.24
21.043,Emma Nelson,6.25,3.58
21.043,Etta Tuionetoa,5.69,29.34
21.043,Ting Chieh Wei,13.88,6.73
21.093,Allyce Jones,14.15,29.24
21.093,Emma Nelson,6.25,3.36
21.093,Etta Tuionetoa,5.69,29.1
21.093,Ting Chieh Wei,13.99,6.63
21.143,Allyce Jones,14.15,29.24
21.143,Emma Nelson,6.25,3.24
21.143,Etta Tuionetoa,5.69,29.05
21.143,Ting Chieh Wei,14.12,6.54
21.193,Allyce Jones,14.09,29.25
21.193,Emma Nelson,6.25,2.96
21.193,Etta Tuionetoa,5.69,29.04
21.193,Ting Chieh Wei,14.3,6.54
21.243,Allyce Jones,13.98,29.27
21.243,Emma Nelson,6.25,2.91
21.243,Etta Tuionetoa,5.7,29.03
21.243,Ting Chieh Wei,14.42,6.54
21.293,Allyce Jones,13.89,29.21
21.293,Emma Nelson,6.19,2.87
21.293,Etta Tuionetoa,5.83,29.0
21.293,Ting Chieh Wei,14.58,6.54
21.343,Allyce Jones,13.87,29.12
21.343,Emma Nelson,6.14,2.81
21.343,Etta Tuionetoa,5.87,28.97
21.343,Ting Chieh Wei,14.7,6.54
21.393,Allyce Jones,13.86,29.12
21.393,Emma Nelson,6.1,2.74
21.393,Etta Tuionetoa,5.89,28.95
21.393,Ting Chieh Wei,14.71,6.54
21.443,Allyce Jones,13.84,29.12
21.443,Emma Nelson,6.1,2.74
21.443,Etta Tuionetoa,5.91,28.95
21.443,Ting Chieh Wei,14.71,6.54
21.493,Allyce Jones,13.83,29.12
21.493,Emma Nelson,6.1,2.77
21.493,Etta Tuionetoa,5.95,28.98
21.493,Ting Chieh Wei,14.71,6.54
21.543,Allyce Jones,13.79,29.03
21.543,Emma Nelson,6.1,2.84
21.543,Etta Tuionetoa,6.05,29.01
21.543,Ting Chieh Wei,14.71,6.54
21.593,Allyce Jones,13.69,28.92
21.593,Emma Nelson,6.1,2.89
21.593,Etta Tuionetoa,6.21,29.01
21.593,Ting Chieh Wei,14.71,6.54
21.643,Allyce Jones,13.54,28.92
21.643,Emma Nelson,6.11,2.94
21.643,Etta Tuionetoa,6.41,29.01
21.643,Ting Chieh Wei,14.65,6.51
21.693,Allyce Jones,13.32,28.92
21.693,Emma Nelson,6.13,3.26
21.693,Etta Tuionetoa,6.62,29.01
21.693,Ting Chieh Wei,14.49,6.51
21.743,Allyce Jones,13.12,28.86
21.743,Emma Nelson,6.13,3.69
21.743,Etta Tuionetoa,6.81,29.16
21.743,Ting Chieh Wei,14.32,6.51
21.793,Allyce Jones,13.05,28.72
21.793,Emma Nelson,6.14,3.94
21.793,Etta Tuionetoa,6.9,29.4
21.793,Ting Chieh Wei,14.25,6.51
21.843,Allyce Jones,13.05,28.65
21.843,Emma Nelson,6.14,3.95
21.843,Etta Tuionetoa,6.95,29.43
21.843,Ting Chieh Wei,14.23,6.51
21.893,Allyce Jones,13.05,28.68
21.893,Emma Nelson,6.14,3.95
21.893,Etta Tuionetoa,7.0,29.43
21.893,Ting Chieh Wei,14.22,6.5
21.943,Allyce Jones,13.05,28.79
21.943,Emma Nelson,6.15,3.95
21.943,Etta Tuionetoa,7.01,29.43
21.943,Ting Chieh Wei,14.22,6.5
21.993,Allyce Jones,13.05,28.93
21.993,Emma Nelson,6.16,3.95
21.993,Etta Tuionetoa,7.02,29.43
21.993,Ting Chieh Wei,14.22,6.5
22.043,Allyce Jones,13.1,29.06
22.043,Emma Nelson,6.17,3.95
22.043,Etta Tuionetoa,7.02,29.43
22.043,Ting Chieh Wei,14.22,6.5
22.093,Allyce Jones,13.2,29.06
22.093,Emma Nelson,6.2,3.97
22.093,Etta Tuionetoa,7.04,29.31
22.093,Ting Chieh Wei,14.22,6.5
22.143,Allyce Jones,13.24,29.02
22.143,Emma Nelson,6.25,3.97
22.143,Etta Tuionetoa,7.09,29.29
22.143,Ting Chieh Wei,14.22,6.5
22.193,Allyce Jones,13.24,29.01
22.193,Emma Nelson,6.32,3.97
22.193,Etta Tuionetoa,7.19,29.27
22.193,Ting Chieh Wei,14.23,6.48
22.243,Allyce Jones,13.24,29.02
22.243,Emma Nelson,6.4,3.97
22.243,Etta Tuionetoa,7.31,29.26
22.243,Ting Chieh Wei,14.25,6.43
22.293,Allyce Jones,13.24,29.05
22.293,Emma Nelson,6.51,3.99
22.293,Etta Tuionetoa,7.34,29.22
22.293,Ting Chieh Wei,14.3,6.38
22.343,Allyce Jones,13.24,29.08
22.343,Emma Nelson,6.58,4.14
22.343,Etta Tuionetoa,7.35,29.17
22.343,Ting Chieh Wei,14.46,6.18
22.393,Allyce Jones,13.19,29.09
22.393,Emma Nelson,6.6,4.31
22.393,Etta Tuionetoa,7.43,29.17
22.393,Ting Chieh Wei,14.71,6.08
22.443,Allyce Jones,13.09,29.11
22.443,Emma Nelson,6.6,4.33
22.443,Etta Tuionetoa,7.57,29.2
22.443,Ting Chieh Wei,14.95,6.08
22.493,Allyce Jones,13.04,29.11
22.493,Emma Nelson,6.6,4.33
22.493,Etta Tuionetoa,7.75,29.19
22.493,Ting Chieh Wei,14.99,6.08
22.543,Allyce Jones,12.99,29.11
22.543,Emma Nelson,6.6,4.36
22.543,Etta Tuionetoa,7.99,29.18
22.543,Ting Chieh Wei,14.99,6.08
22.593,Allyce Jones,12.83,29.14
22.593,Emma Nelson,6.6,4.37
22.593,Etta Tuionetoa,8.25,29.17
22.593,Ting Chieh Wei,14.99,6.08
22.643,Allyce Jones,12.53,29.32
22.643,Emma Nelson,6.49,4.38
22.643,Etta Tuionetoa,8.4,29.17
22.643,Ting Chieh Wei,14.99,6.15
22.693,Allyce Jones,12.13,29.36
22.693,Emma Nelson,6.36,4.41
22.693,Etta Tuionetoa,8.45,29.17
22.693,Ting Chieh Wei,14.99,6.28
22.743,Allyce Jones,11.73,29.4
22.743,Emma Nelson,6.28,4.55
22.743,Etta Tuionetoa,8.5,29.19
22.743,Ting Chieh Wei,14.93,6.42
22.793,Allyce Jones,11.35,29.61
22.793,Emma Nelson,6.21,4.91
22.793,Etta Tuionetoa,8.55,29.19
22.793,Ting Chieh Wei,14.89,6.51
22.843,Allyce Jones,11.2,29.99
22.843,Emma Nelson,6.19,5.38
22.843,Etta Tuionetoa,8.58,29.2
22.843,Ting Chieh Wei,14.86,6.58
22.893,Allyce Jones,11.1,30.13
22.893,Emma Nelson,6.18,5.79
22.893,Etta Tuionetoa,8.59,29.21
22.893,Ting Chieh Wei,14.85,6.75
22.943,Allyce Jones,11.0,30.2
22.943,Emma Nelson,6.17,6.07
22.943,Etta Tuionetoa,8.6,29.21
22.943,Ting Chieh Wei,14.85,6.95
22.993,Allyce Jones,10.89,30.26
22.993,Emma Nelson,6.13,6.36
22.993,Etta Tuionetoa,8.61,29.23
22.993,Ting Chieh Wei,14.81,7.26
23.043,Allyce Jones,10.8,30.35
23.043,Emma Nelson,6.09,6.4
23.043,Etta Tuionetoa,8.61,29.23
23.043,Ting Chieh Wei,14.74,7.69
23.093,Allyce Jones,10.72,30.51
23.093,Emma Nelson,6.07,6.45
23.093,Etta Tuionetoa,8.61,29.26
23.093,Ting Chieh Wei,14.62,8.5
23.143,Allyce Jones,10.72,30.84
23.143,Emma Nelson,6.03,6.9
23.143,Etta Tuionetoa,8.61,29.36
23.143,Ting Chieh Wei,14.53,9.19
23.193,Allyce Jones,10.72,30.87
23.193,Emma Nelson,5.93,7.9
23.193,Etta Tuionetoa,8.61,29.57
23.193,Ting Chieh Wei,14.41,9.57
23.243,Allyce Jones,10.72,30.88
23.243,Emma Nelson,5.8,8.93
23.243,Etta Tuionetoa,8.61,29.78
23.243,Ting Chieh Wei,14.36,9.67
23.293,Allyce Jones,10.72,30.88
23.293,Emma Nelson,5.52,9.23
23.293,Etta Tuionetoa,8.6,30.01
23.293,Ting Chieh Wei,14.28,9.7
23.343,Allyce Jones,10.73,30.88
23.343,Emma Nelson,5.32,9.33
23.343,Etta Tuionetoa,8.48,30.18
23.343,Ting Chieh Wei,14.16,9.77
23.393,Allyce Jones,10.8,30.88
23.393,Emma Nelson,5.23,9.45
23.393,Etta Tuionetoa,8.24,30.4
23.393,Ting Chieh Wei,13.97,9.84
23.443,Allyce Jones,10.86,30.87
23.443,Emma Nelson,4.98,9.48
23.443,Etta Tuionetoa,7.95,30.48
23.443,Ting Chieh Wei,13.73,10.12
23.493,Allyce Jones,11.0,30.83
23.493,Emma Nelson,4.64,9.54
23.493,Etta Tuionetoa,7.69,30.49
23.493,Ting Chieh Wei,13.48,10.42
23.543,Allyce Jones,11.21,30.76
23.543,Emma Nelson,4.14,9.58
23.543,Etta Tuionetoa,7.42,30.63
23.543,Ting Chieh Wei,13.31,10.42
23.593,Allyce Jones,11.48,30.71
23.593,Emma Nelson,3.73,9.62
23.593,Etta Tuionetoa,7.11,31.1
23.593,Ting Chieh Wei,13.28,10.42
23.643,Allyce Jones,11.78,30.69
23.643,Emma Nelson,3.3,9.71
23.643,Etta Tuionetoa,6.77,31.47
23.643,Ting Chieh Wei,13.25,10.44
23.693,Allyce Jones,11.94,30.66
23.693,Emma Nelson,2.94,10.11
23.693,Etta Tuionetoa,6.43,31.54
23.693,Ting Chieh Wei,13.19,10.44
23.743,Allyce Jones,12.11,30.64
23.743,Emma Nelson,2.61,10.36
23.743,Etta Tuionetoa,6.15,31.54
23.743,Ting Chieh Wei,13.11,10.45
23.793,Allyce Jones,12.26,30.59
23.793,Emma Nelson,2.3,10.51
23.793,Etta Tuionetoa,5.93,31.54
23.793,Ting Chieh Wei,13.03,10.45
23.843,Allyce Jones,12.37,30.52
23.843,Emma Nelson,2.11,10.88
23.843,Etta Tuionetoa,5.72,31.54
23.843,Ting Chieh Wei,12.95,10.43
23.893,Allyce Jones,12.43,30.41
23.893,Emma Nelson,1.99,11.19
23.893,Etta Tuionetoa,5.53,31.54
23.893,Ting Chieh Wei,12.89,10.42
23.943,Allyce Jones,12.45,30.34
23.943,Emma Nelson,1.81,11.5
23.943,Etta Tuionetoa,5.35,31.38
23.943,Ting Chieh Wei,12.87,10.42
23.993,Allyce Jones,12.47,30.33
23.993,Emma Nelson,1.69,11.85
23.993,Etta Tuionetoa,5.1,31.3
23.993,Ting Chieh Wei,12.87,10.41
24.043,Allyce Jones,12.49,30.31
24.043,Emma Nelson,1.59,11.9
24.043,Etta Tuionetoa,4.83,31.24
24.043,Ting Chieh Wei,12.87,10.41
24.093,Allyce Jones,12.51,30.22
24.093,Emma Nelson,1.53,11.92
24.093,Etta Tuionetoa,4.61,31.2
24.093,Ting Chieh Wei,12.86,10.41
24.143,Allyce Jones,12.57,30.1
24.143,Emma Nelson,1.5,11.95
24.143,Etta Tuionetoa,4.44,31.11
24.143,Ting Chieh Wei,12.84,10.34
24.193,Allyce Jones,12.67,30.05
24.193,Emma Nelson,1.5,11.95
24.193,Etta Tuionetoa,4.4,31.08
24.193,Ting Chieh Wei,12.83,10.26
24.243,Allyce Jones,12.83,30.05
24.243,Emma Nelson,1.5,11.95
24.243,Etta Tuionetoa,4.36,31.08
24.243,Ting Chieh Wei,12.83,10.22
24.293,Allyce Jones,13.03,30.05
24.293,Emma Nelson,1.5,11.95
24.293,Etta Tuionetoa,4.35,31.08
24.293,Ting Chieh Wei,12.83,10.18
24.343,Allyce Jones,13.24,30.05
24.343,Emma Nelson,1.5,11.94
24.343,Etta Tuionetoa,4.35,31.07
24.343,Ting Chieh Wei,12.83,10.17
24.393,Allyce Jones,13.48,30.05
24.393,Emma Nelson,1.51,11.88
24.393,Etta Tuionetoa,4.35,30.96
24.393,Ting Chieh Wei,12.83,10.16
24.443,Allyce Jones,13.7,30.12
24.443,Emma Nelson,1.57,11.74
24.443,Etta Tuionetoa,4.35,30.86
24.443,Ting Chieh Wei,12.85,10.16
24.493,Allyce Jones,13.87,30.14
24.493,Emma Nelson,1.75,11.61
24.493,Etta Tuionetoa,4.35,30.86
24.493,Ting Chieh Wei,12.88,10.16
24.543,Allyce Jones,13.94,30.14
24.543,Emma Nelson,2.02,11.32
24.543,Etta Tuionetoa,4.38,30.86
24.543,Ting Chieh Wei,12.93,10.16
24.593,Allyce Jones,13.96,30.14
24.593,Emma Nelson,2.4,10.99
24.593,Etta Tuionetoa,4.41,30.86
24.593,Ting Chieh Wei,13.0,10.16
24.643,Allyce Jones,14.13,30.14
24.643,Emma Nelson,2.84,10.92
24.643,Etta Tuionetoa,4.49,30.78
24.643,Ting Chieh Wei,13.08,10.2
24.693,Allyce Jones,14.43,30.14
24.693,Emma Nelson,3.28,10.91
24.693,Etta Tuionetoa,4.6,30.66
24.693,Ting Chieh Wei,13.17,10.27
24.743,Allyce Jones,14.84,30.18
24.743,Emma Nelson,3.72,10.89
24.743,Etta Tuionetoa,4.78,30.51
24.743,Ting Chieh Wei,13.25,10.32
24.793,Allyce Jones,15.35,30.2
24.793,Emma Nelson,4.1,10.86
24.793,Etta Tuionetoa,5.0,30.44
24.793,Ting Chieh Wei,13.31,10.44
24.843,Allyce Jones,15.98,30.21
24.843,Emma Nelson,4.46,10.84
24.843,Etta Tuionetoa,5.27,30.4
24.843,Ting Chieh Wei,13.34,10.56
24.893,Allyce Jones,16.59,30.21
24.893,Emma Nelson,4.76,10.83
24.893,Etta Tuionetoa,5.55,30.38
24.893,Ting Chieh Wei,13.38,10.61
24.943,Allyce Jones,17.1,30.37
24.943,Emma Nelson,4.95,10.83
24.943,Etta Tuionetoa,5.86,30.27
24.943,Ting Chieh Wei,13.43,10.62
24.993,Allyce Jones,17.51,30.65
24.993,Emma Nelson,5.02,10.83
24.993,Etta Tuionetoa,6.15,30.11
24.993,Ting Chieh Wei,13.54,10.68
25.043,Allyce Jones,17.87,30.8
25.043,Emma Nelson,5.09,10.79
25.043,Etta Tuionetoa,6.38,30.11
25.043,Ting Chieh Wei,13.73,10.7
25.093,Allyce Jones,18.05,30.9
25.093,Emma Nelson,5.21,10.71
25.093,Etta Tuionetoa,6.54,30.11
25.093,Ting Chieh Wei,13.94,10.78
25.143,Allyce Jones,18.16,30.93
25.143,Emma Nelson,5.34,10.46
25.143,Etta Tuionetoa,6.68,30.11
25.143,Ting Chieh Wei,14.12,11.18
25.193,Allyce Jones,18.26,30.96
25.193,Emma Nelson,5.53,10.12
25.193,Etta Tuionetoa,6.89,30.11
25.193,Ting Chieh Wei,14.27,11.45
25.243,Allyce Jones,18.37,30.97
25.243,Emma Nelson,5.74,9.91
25.243,Etta Tuionetoa,7.05,30.15
25.243,Ting Chieh Wei,14.37,11.5
25.293,Allyce Jones,18.48,31.0
25.293,Emma Nelson,5.95,9.91
25.293,Etta Tuionetoa,7.13,30.26
25.293,Ting Chieh Wei,14.5,11.54
25.343,Allyce Jones,18.58,31.05
25.343,Emma Nelson,6.14,9.91
25.343,Etta Tuionetoa,7.13,30.29
25.343,Ting Chieh Wei,14.62,11.61
25.393,Allyce Jones,18.67,31.07
25.393,Emma Nelson,6.31,9.91
25.393,Etta Tuionetoa,7.13,30.3
25.393,Ting Chieh Wei,14.73,11.71
25.443,Allyce Jones,18.81,31.13
25.443,Emma Nelson,6.48,9.84
25.443,Etta Tuionetoa,7.13,30.33
25.443,Ting Chieh Wei,14.8,11.79
25.493,Allyce Jones,18.96,31.25
