rally_cum,game,rally_in_game,slot,match_id,t0s,t1s,dur_s,lead_s,approx,slack_s,start_score,outcome,server_uuid,receiver_uuid
18,1,18,,,499.8,499.8,0.0,0.0,1,-33.9,2-4-1,second,fec65f7e-f2c8-482f-ab5b-541cf53b1064,db5eef5c-99dd-49d9-bbfc-65171a366bda
19,1,19,,,526.5,543.5,17.0,17.0,1,-18.7,2-4-2,sideout,79a11da1-6aeb-4719-9b1e-9918e0163cec,fc05556e-3e38-4a38-99c2-f855174a7c28
20,1,20,,,545.4,555.4,10.0,10.0,1,14.1,4-2-1,point,db5eef5c-99dd-49d9-bbfc-65171a366bda,fec65f7e-f2c8-482f-ab5b-541cf53b1064
21,1,21,,,565.4,575.4,10.0,10.0,1,0.0,5-2-1,second,db5eef5c-99dd-49d9-bbfc-65171a366bda,79a11da1-6aeb-4719-9b1e-9918e0163cec
22,1,22,,,584.8,596.8,12.0,12.0,1,-8.4,5-2-2,point,fc05556e-3e38-4a38-99c2-f855174a7c28,fec65f7e-f2c8-482f-ab5b-541cf53b1064
23,1,23,,,605.2,617.2,12.0,12.0,1,-2.4,6-2-2,sideout,fc05556e-3e38-4a38-99c2-f855174a7c28,79a11da1-6aeb-4719-9b1e-9918e0163cec
24,1,24,,,685.8,686.8,1.0,1.0,1,-37.6,2-6-1,point,fec65f7e-f2c8-482f-ab5b-541cf53b1064,db5eef5c-99dd-49d9-bbfc-65171a366bda
25,1,25,,,687.7,714.7,27.0,27.0,1,2.1,3-6-1,point,fec65f7e-f2c8-482f-ab5b-541cf53b1064,fc05556e-3e38-4a38-99c2-f855174a7c28
26,1,26,,,719.6,736.6,17.0,17.0,1,0.1,4-6-1,second,fec65f7e-f2c8-482f-ab5b-541cf53b1064,db5eef5c-99dd-49d9-bbfc-65171a366bda
27,1,27,,,743.3,774.3,31.0,31.0,1,-2.7,4-6-2,point,79a11da1-6aeb-4719-9b1e-9918e0163cec,fc05556e-3e38-4a38-99c2-f855174a7c28
28,1,28,,,776.0,785.0,9.0,9.0,1,5.3,5-6-2,point,79a11da1-6aeb-4719-9b1e-9918e0163cec,db5eef5c-99dd-49d9-bbfc-65171a366bda
29,1,29,,,867.4,882.4,15.0,15.0,1,8.6,6-6-2,sideout,79a11da1-6aeb-4719-9b1e-9918e0163cec,fc05556e-3e38-4a38-99c2-f855174a7c28
30,1,30,,,882.0,898.0,16.0,16.0,1,2.4,6-6-1,second,db5eef5c-99dd-49d9-bbfc-65171a366bda,fec65f7e-f2c8-482f-ab5b-541cf53b1064
31,1,31,,,899.7,909.7,10.0,10.0,1,1.3,6-6-2,point,fc05556e-3e38-4a38-99c2-f855174a7c28,79a11da1-6aeb-4719-9b1e-9918e0163cec
32,1,32,,,911.4,919.4,8.0,8.0,1,2.3,7-6-2,sideout,fc05556e-3e38-4a38-99c2-f855174a7c28,fec65f7e-f2c8-482f-ab5b-541cf53b1064
33,1,33,,,926.8,949.8,23.0,23.0,1,-2.4,6-7-1,point,fec65f7e-f2c8-482f-ab5b-541cf53b1064,fc05556e-3e38-4a38-99c2-f855174a7c28
34,1,34,,,954.6,969.6,15.0,15.0,1,,7-7-1,second,fec65f7e-f2c8-482f-ab5b-541cf53b1064,db5eef5c-99dd-49d9-bbfc-65171a366bda
35,1,35,,,969.3,994.3,25.0,25.0,1,,7-7-2,sideout,79a11da1-6aeb-4719-9b1e-9918e0163cec,fc05556e-3e38-4a38-99c2-f855174a7c28
36,1,36,,,1022.0,1029.0,7.0,7.0,1,5.3,7-7-1,point,fc05556e-3e38-4a38-99c2-f855174a7c28,79a11da1-6aeb-4719-9b1e-9918e0163cec
37,1,37,,,1030.1,1035.1,5.0,5.0,1,-0.1,8-7-1,point,fc05556e-3e38-4a38-99c2-f855174a7c28,fec65f7e-f2c8-482f-ab5b-541cf53b1064
38,1,38,,,1075.2,1095.2,20.0,20.0,1,19.9,8-7-1,second,fc05556e-3e38-4a38-99c2-f855174a7c28,fec65f7e-f2c8-482f-ab5b-541cf53b1064
39,1,39,,,1095.2,1114.2,19.0,19.0,1,3.0,8-7-2,sideout,db5eef5c-99dd-49d9-bbfc-65171a366bda,79a11da1-6aeb-4719-9b1e-9918e0163cec
40,1,40,,,1115.0,1132.0,17.0,17.0,1,3.2,7-8-1,point,79a11da1-6aeb-4719-9b1e-9918e0163cec,db5eef5c-99dd-49d9-bbfc-65171a366bda
41,1,41,,,1133.7,1143.7,10.0,10.0,1,8.3,8-8-1,second,79a11da1-6aeb-4719-9b1e-9918e0163cec,fc05556e-3e38-4a38-99c2-f855174a7c28
42,1,42,,,1145.0,1167.0,22.0,22.0,1,0.7,8-8-2,sideout,fec65f7e-f2c8-482f-ab5b-541cf53b1064,db5eef5c-99dd-49d9-bbfc-65171a366bda
43,1,43,,,1167.5,1200.5,33.0,33.0,1,4.5,8-8-1,second,db5eef5c-99dd-49d9-bbfc-65171a366bda,fec65f7e-f2c8-482f-ab5b-541cf53b1064
44,1,44,,,1199.8,1208.8,9.0,9.0,1,4.7,8-8-2,sideout,fc05556e-3e38-4a38-99c2-f855174a7c28,79a11da1-6aeb-4719-9b1e-9918e0163cec
45,1,45,,,1207.9,1216.9,9.0,9.0,1,10.9,8-8-1,point,fec65f7e-f2c8-482f-ab5b-541cf53b1064,db5eef5c-99dd-49d9-bbfc-65171a366bda
46,1,46,,,1217.2,1231.2,14.0,14.0,1,5.7,9-8-1,second,fec65f7e-f2c8-482f-ab5b-541cf53b1064,fc05556e-3e38-4a38-99c2-f855174a7c28
47,1,47,,,1234.2,1254.2,20.0,20.0,1,2.0,9-8-2,point,79a11da1-6aeb-4719-9b1e-9918e0163cec,db5eef5c-99dd-49d9-bbfc-65171a366bda
48,1,48,,,1297.1,1315.1,18.0,18.0,1,6.1,10-8-2,point,79a11da1-6aeb-4719-9b1e-9918e0163cec,fc05556e-3e38-4a38-99c2-f855174a7c28
49,2,49,,,1340.1,1360.1,20.0,20.0,1,117.0,0-0-2,sideout,fec65f7e-f2c8-482f-ab5b-541cf53b1064,db5eef5c-99dd-49d9-bbfc-65171a366bda
50,2,50,,,1371.4,1391.4,20.0,20.0,1,-8.3,0-0-1,point,db5eef5c-99dd-49d9-bbfc-65171a366bda,fec65f7e-f2c8-482f-ab5b-541cf53b1064
51,2,51,,,1391.9,1407.9,16.0,16.0,1,1.5,1-0-1,point,db5eef5c-99dd-49d9-bbfc-65171a366bda,79a11da1-6aeb-4719-9b1e-9918e0163cec
52,2,52,,,1410.8,1423.8,13.0,13.0,1,2.1,2-0-1,second,db5eef5c-99dd-49d9-bbfc-65171a366bda,fec65f7e-f2c8-482f-ab5b-541cf53b1064
53,2,53,,,1424.8,1434.8,10.0,10.0,1,0.0,2-0-2,sideout,fc05556e-3e38-4a38-99c2-f855174a7c28,79a11da1-6aeb-4719-9b1e-9918e0163cec
54,2,54,,,1439.4,1450.4,11.0,11.0,1,-0.6,0-2-1,second,fec65f7e-f2c8-482f-ab5b-541cf53b1064,db5eef5c-99dd-49d9-bbfc-65171a366bda
55,2,55,,,1454.6,1467.6,13.0,13.0,1,0.8,0-2-2,sideout,79a11da1-6aeb-4719-9b1e-9918e0163cec,fc05556e-3e38-4a38-99c2-f855174a7c28
56,2,56,,,1471.4,1485.4,14.0,14.0,1,-0.8,2-0-1,second,db5eef5c-99dd-49d9-bbfc-65171a366bda,fec65f7e-f2c8-482f-ab5b-541cf53b1064
57,2,57,,,1489.5,1501.5,12.0,12.0,1,-2.1,2-0-2,point,fc05556e-3e38-4a38-99c2-f855174a7c28,79a11da1-6aeb-4719-9b1e-9918e0163cec
58,2,58,,,1509.2,1515.2,6.0,6.0,1,0.3,3-0-2,sideout,fc05556e-3e38-4a38-99c2-f855174a7c28,fec65f7e-f2c8-482f-ab5b-541cf53b1064
59,2,59,,,1539.6,1564.6,25.0,25.0,1,45.6,0-3-1,point,fec65f7e-f2c8-482f-ab5b-541cf53b1064,fc05556e-3e38-4a38-99c2-f855174a7c28
60,2,60,,,1566.6,1583.6,17.0,17.0,1,4.0,1-3-1,second,fec65f7e-f2c8-482f-ab5b-541cf53b1064,db5eef5c-99dd-49d9-bbfc-65171a366bda
61,2,61,,,1593.3,1607.3,14.0,14.0,1,-6.7,1-3-2,sideout,79a11da1-6aeb-4719-9b1e-9918e0163cec,fc05556e-3e38-4a38-99c2-f855174a7c28
62,2,62,,,1607.8,1616.8,9.0,9.0,1,2.5,3-1-1,point,fc05556e-3e38-4a38-99c2-f855174a7c28,79a11da1-6aeb-4719-9b1e-9918e0163cec
63,2,63,,,1621.0,1636.0,15.0,15.0,1,-1.2,4-1-1,second,fc05556e-3e38-4a38-99c2-f855174a7c28,fec65f7e-f2c8-482f-ab5b-541cf53b1064
64,2,64,,,1641.5,1662.5,21.0,21.0,1,0.5,4-1-2,sideout,db5eef5c-99dd-49d9-bbfc-65171a366bda,79a11da1-6aeb-4719-9b1e-9918e0163cec
65,2,65,,,1670.3,1685.3,15.0,15.0,1,-0.8,1-4-1,second,79a11da1-6aeb-4719-9b1e-9918e0163cec,db5eef5c-99dd-49d9-bbfc-65171a366bda
66,2,66,,,1688.4,1707.4,19.0,19.0,1,-2.1,1-4-2,point,fec65f7e-f2c8-482f-ab5b-541cf53b1064,fc05556e-3e38-4a38-99c2-f855174a7c28
67,2,67,,,1706.7,1716.7,10.0,10.0,1,3.7,2-4-2,sideout,fec65f7e-f2c8-482f-ab5b-541cf53b1064,db5eef5c-99dd-49d9-bbfc-65171a366bda
68,2,68,,,1718.9,1733.9,15.0,15.0,1,1.8,4-2-1,point,db5eef5c-99dd-49d9-bbfc-65171a366bda,fec65f7e-f2c8-482f-ab5b-541cf53b1064
69,2,69,,,1736.0,1745.0,9.0,9.0,1,1.9,5-2-1,point,db5eef5c-99dd-49d9-bbfc-65171a366bda,79a11da1-6aeb-4719-9b1e-9918e0163cec
70,2,70,,,1809.6,1839.6,30.0,30.0,1,20.4,5-2-1,second,db5eef5c-99dd-49d9-bbfc-65171a366bda,79a11da1-6aeb-4719-9b1e-9918e0163cec
71,2,71,,,1846.4,1860.4,14.0,14.0,1,-3.8,5-2-2,sideout,fc05556e-3e38-4a38-99c2-f855174a7c28,fec65f7e-f2c8-482f-ab5b-541cf53b1064
72,2,72,,,1878.1,1897.1,19.0,19.0,1,-14.7,2-5-1,second,fec65f7e-f2c8-482f-ab5b-541cf53b1064,fc05556e-3e38-4a38-99c2-f855174a7c28
73,2,73,,,1899.5,1913.5,14.0,14.0,0,2.6,2-5-2,sideout,79a11da1-6aeb-4719-9b1e-9918e0163cec,db5eef5c-99dd-49d9-bbfc-65171a366bda
74,2,74,,,1917.9,1930.9,13.0,13.0,0,-2.4,5-2-1,second,fc05556e-3e38-4a38-99c2-f855174a7c28,fec65f7e-f2c8-482f-ab5b-541cf53b1064
75,2,75,,,1930.9,1946.9,16.0,16.0,1,3.0,5-2-2,sideout,db5eef5c-99dd-49d9-bbfc-65171a366bda,79a11da1-6aeb-4719-9b1e-9918e0163cec
76,2,76,,,1950.6,1964.6,14.0,14.0,1,2.3,2-5-1,point,fec65f7e-f2c8-482f-ab5b-541cf53b1064,fc05556e-3e38-4a38-99c2-f855174a7c28
77,2,77,,,1966.0,1983.0,17.0,17.0,1,2.6,3-5-1,point,fec65f7e-f2c8-482f-ab5b-541cf53b1064,db5eef5c-99dd-49d9-bbfc-65171a366bda
78,2,78,,,1986.4,1998.4,12.0,12.0,1,9.6,4-5-1,second,fec65f7e-f2c8-482f-ab5b-541cf53b1064,fc05556e-3e38-4a38-99c2-f855174a7c28
79,2,79,,,2003.7,2019.7,16.0,16.0,1,1.7,4-5-2,point,79a11da1-6aeb-4719-9b1e-9918e0163cec,db5eef5c-99dd-49d9-bbfc-65171a366bda
80,2,80,,,2023.8,2049.8,26.0,26.0,1,2.9,5-5-2,point,79a11da1-6aeb-4719-9b1e-9918e0163cec,fc05556e-3e38-4a38-99c2-f855174a7c28
81,2,81,,,2076.6,2104.6,28.0,28.0,1,94.2,6-5-2,sideout,79a11da1-6aeb-4719-9b1e-9918e0163cec,db5eef5c-99dd-49d9-bbfc-65171a366bda
82,2,82,,,2109.8,2123.8,14.0,14.0,0,-1.2,5-6-1,point,fc05556e-3e38-4a38-99c2-f855174a7c28,fec65f7e-f2c8-482f-ab5b-541cf53b1064
83,2,83,,,2124.9,2140.9,16.0,16.0,0,1.9,6-6-1,point,fc05556e-3e38-4a38-99c2-f855174a7c28,79a11da1-6aeb-4719-9b1e-9918e0163cec
84,2,84,,,2143.9,2158.9,15.0,15.0,0,1.0,7-6-1,point,fc05556e-3e38-4a38-99c2-f855174a7c28,fec65f7e-f2c8-482f-ab5b-541cf53b1064
85,2,85,,,2220.8,2259.8,39.0,39.0,0,6.1,8-6-1,second,fc05556e-3e38-4a38-99c2-f855174a7c28,79a11da1-6aeb-4719-9b1e-9918e0163cec
86,2,86,,,2266.2,2285.2,19.0,19.0,0,-3.4,8-6-2,sideout,db5eef5c-99dd-49d9-bbfc-65171a366bda,fec65f7e-f2c8-482f-ab5b-541cf53b1064
87,2,87,,,2294.5,2308.5,14.0,14.0,0,-3.3,6-8-1,second,fec65f7e-f2c8-482f-ab5b-541cf53b1064,db5eef5c-99dd-49d9-bbfc-65171a366bda
88,2,88,,,2317.3,2363.3,46.0,46.0,1,-5.8,6-8-2,point,79a11da1-6aeb-4719-9b1e-9918e0163cec,fc05556e-3e38-4a38-99c2-f855174a7c28
89,2,89,,,2380.0,2394.0,14.0,14.0,1,-13.7,7-8-2,sideout,79a11da1-6aeb-4719-9b1e-9918e0163cec,db5eef5c-99dd-49d9-bbfc-65171a366bda
90,2,90,,,2417.5,2440.5,23.0,23.0,1,-18.5,8-7-1,second,db5eef5c-99dd-49d9-bbfc-65171a366bda,79a11da1-6aeb-4719-9b1e-9918e0163cec
91,2,91,,,2454.7,2463.7,9.0,9.0,1,-8.2,8-7-2,sideout,fc05556e-3e38-4a38-99c2-f855174a7c28,fec65f7e-f2c8-482f-ab5b-541cf53b1064
92,2,92,,,2469.2,2484.2,15.0,15.0,0,-0.5,7-8-1,point,79a11da1-6aeb-4719-9b1e-9918e0163cec,db5eef5c-99dd-49d9-bbfc-65171a366bda
93,2,93,,,2495.1,2509.1,14.0,14.0,1,-7.9,8-8-1,second,79a11da1-6aeb-4719-9b1e-9918e0163cec,fc05556e-3e38-4a38-99c2-f855174a7c28
94,2,94,,,2515.7,2526.7,11.0,11.0,0,-1.6,8-8-2,point,fec65f7e-f2c8-482f-ab5b-541cf53b1064,db5eef5c-99dd-49d9-bbfc-65171a366bda
95,2,95,,,2527.0,2549.0,22.0,22.0,0,6.7,9-8-2,sideout,fec65f7e-f2c8-482f-ab5b-541cf53b1064,fc05556e-3e38-4a38-99c2-f855174a7c28
96,2,96,,,2562.5,2579.5,17.0,17.0,0,-2.5,8-9-1,second,db5eef5c-99dd-49d9-bbfc-65171a366bda,79a11da1-6aeb-4719-9b1e-9918e0163cec
97,2,97,,,2604.0,2615.0,11.0,11.0,1,-22.5,8-9-2,sideout,fc05556e-3e38-4a38-99c2-f855174a7c28,fec65f7e-f2c8-482f-ab5b-541cf53b1064
98,2,98,,,2634.6,2650.6,16.0,16.0,1,-5.6,9-8-1,point,79a11da1-6aeb-4719-9b1e-9918e0163cec,db5eef5c-99dd-49d9-bbfc-65171a366bda
99,2,99,,,2657.3,2674.3,17.0,17.0,0,-2.7,10-8-1,second,79a11da1-6aeb-4719-9b1e-9918e0163cec,fc05556e-3e38-4a38-99c2-f855174a7c28
100,2,100,,,2676.0,2694.0,18.0,18.0,0,1.3,10-8-2,sideout,fec65f7e-f2c8-482f-ab5b-541cf53b1064,db5eef5c-99dd-49d9-bbfc-65171a366bda
101,2,101,,,2696.5,2712.5,16.0,16.0,0,2.5,8-10-1,point,db5eef5c-99dd-49d9-bbfc-65171a366bda,fec65f7e-f2c8-482f-ab5b-541cf53b1064
102,2,102,,,2720.0,2736.0,16.0,16.0,0,-0.5,9-10-1,second,db5eef5c-99dd-49d9-bbfc-65171a366bda,79a11da1-6aeb-4719-9b1e-9918e0163cec
103,2,103,,,2735.1,2749.1,14.0,14.0,0,4.9,9-10-2,sideout,fc05556e-3e38-4a38-99c2-f855174a7c28,fec65f7e-f2c8-482f-ab5b-541cf53b1064
104,2,104,,,2763.8,2780.8,17.0,17.0,1,-7.7,10-9-1,point,fec65f7e-f2c8-482f-ab5b-541cf53b1064,fc05556e-3e38-4a38-99c2-f855174a7c28
105,3,105,,,2860.0,2887.0,27.0,27.0,0,225.8,0-0-2,point,db5eef5c-99dd-49d9-bbfc-65171a366bda,fec65f7e-f2c8-482f-ab5b-541cf53b1064
106,3,106,,,2887.6,2905.6,18.0,18.0,0,3.4,1-0-2,sideout,db5eef5c-99dd-49d9-bbfc-65171a366bda,79a11da1-6aeb-4719-9b1e-9918e0163cec
107,3,107,,,2911.6,2925.6,14.0,14.0,0,-2.0,0-1-1,point,fec65f7e-f2c8-482f-ab5b-541cf53b1064,fc05556e-3e38-4a38-99c2-f855174a7c28
108,3,108,,,2927.6,2951.6,24.0,24.0,0,-1.0,1-1-1,point,fec65f7e-f2c8-482f-ab5b-541cf53b1064,db5eef5c-99dd-49d9-bbfc-65171a366bda
109,3,109,,,2951.2,2963.2,12.0,12.0,0,8.4,2-1-1,second,fec65f7e-f2c8-482f-ab5b-541cf53b1064,fc05556e-3e38-4a38-99c2-f855174a7c28
110,3,110,,,2964.6,2980.6,16.0,16.0,0,2.6,2-1-2,sideout,79a11da1-6aeb-4719-9b1e-9918e0163cec,db5eef5c-99dd-49d9-bbfc-65171a366bda
111,3,111,,,2986.1,3007.1,21.0,21.0,0,-0.5,1-2-1,point,fc05556e-3e38-4a38-99c2-f855174a7c28,fec65f7e-f2c8-482f-ab5b-541cf53b1064
112,3,112,,,3011.5,3023.5,12.0,12.0,0,0.6,2-2-1,second,fc05556e-3e38-4a38-99c2-f855174a7c28,79a11da1-6aeb-4719-9b1e-9918e0163cec
113,3,113,,,3037.0,3054.0,17.0,17.0,1,-9.5,2-2-2,sideout,db5eef5c-99dd-49d9-bbfc-65171a366bda,fec65f7e-f2c8-482f-ab5b-541cf53b1064
114,3,114,,,3071.8,3079.8,8.0,8.0,1,-12.8,2-2-1,second,fec65f7e-f2c8-482f-ab5b-541cf53b1064,db5eef5c-99dd-49d9-bbfc-65171a366bda
115,3,115,,,3082.8,3099.8,17.0,17.0,0,-2.0,2-2-2,point,79a11da1-6aeb-4719-9b1e-9918e0163cec,fc05556e-3e38-4a38-99c2-f855174a7c28
116,3,116,,,3100.6,3120.6,20.0,20.0,0,1.2,3-2-2,sideout,79a11da1-6aeb-4719-9b1e-9918e0163cec,db5eef5c-99dd-49d9-bbfc-65171a366bda
117,3,117,,,3123.4,3139.4,16.0,16.0,0,3.2,2-3-1,point,db5eef5c-99dd-49d9-bbfc-65171a366bda,79a11da1-6aeb-4719-9b1e-9918e0163cec
118,3,118,,,3155.8,3173.8,18.0,18.0,1,-12.4,3-3-1,point,db5eef5c-99dd-49d9-bbfc-65171a366bda,fec65f7e-f2c8-482f-ab5b-541cf53b1064
119,3,119,,,3173.8,3213.8,40.0,40.0,0,5.0,4-3-1,point,db5eef5c-99dd-49d9-bbfc-65171a366bda,79a11da1-6aeb-4719-9b1e-9918e0163cec
120,3,120,,,3217.7,3230.7,13.0,13.0,0,5.1,5-3-1,second,db5eef5c-99dd-49d9-bbfc-65171a366bda,fec65f7e-f2c8-482f-ab5b-541cf53b1064
121,3,121,,,3231.8,3242.8,11.0,11.0,0,3.9,5-3-2,sideout,fc05556e-3e38-4a38-99c2-f855174a7c28,79a11da1-6aeb-4719-9b1e-9918e0163cec
122,3,122,,,3248.9,3263.9,15.0,15.0,0,-1.1,3-5-1,point,79a11da1-6aeb-4719-9b1e-9918e0163cec,fc05556e-3e38-4a38-99c2-f855174a7c28
123,3,123,,,3268.9,3289.9,21.0,21.0,0,0.0,4-5-1,point,79a11da1-6aeb-4719-9b1e-9918e0163cec,db5eef5c-99dd-49d9-bbfc-65171a366bda
124,3,124,,,3296.1,3296.1,0.0,0.0,0,24.8,5-5-1,point,79a11da1-6aeb-4719-9b1e-9918e0163cec,db5eef5c-99dd-49d9-bbfc-65171a366bda
125,3,125,,,3305.5,3305.5,0.0,0.0,1,-9.4,4-5-2,second,fec65f7e-f2c8-482f-ab5b-541cf53b1064,fc05556e-3e38-4a38-99c2-f855174a7c28
126,3,126,,,3319.6,3346.6,27.0,27.0,0,15.9,4-5-2,point,fec65f7e-f2c8-482f-ab5b-541cf53b1064,fc05556e-3e38-4a38-99c2-f855174a7c28
127,3,127,,,3354.7,3373.7,19.0,19.0,0,-0.1,5-5-2,sideout,fec65f7e-f2c8-482f-ab5b-541cf53b1064,db5eef5c-99dd-49d9-bbfc-65171a366bda
128,3,128,,,3382.3,3398.3,16.0,16.0,0,-2.6,5-5-1,second,fc05556e-3e38-4a38-99c2-f855174a7c28,79a11da1-6aeb-4719-9b1e-9918e0163cec
129,3,129,,,3401.0,3414.0,13.0,13.0,0,5.3,5-5-2,sideout,db5eef5c-99dd-49d9-bbfc-65171a366bda,fec65f7e-f2c8-482f-ab5b-541cf53b1064
130,3,130,,,3415.1,3438.1,23.0,23.0,0,1.9,5-5-1,point,79a11da1-6aeb-4719-9b1e-9918e0163cec,fc05556e-3e38-4a38-99c2-f855174a7c28
131,3,131,,,3445.5,3478.5,33.0,33.0,1,-4.4,6-5-1,second,79a11da1-6aeb-4719-9b1e-9918e0163cec,db5eef5c-99dd-49d9-bbfc-65171a366bda
132,3,132,,,3479.2,3496.2,17.0,17.0,0,4.3,6-5-2,point,fec65f7e-f2c8-482f-ab5b-541cf53b1064,fc05556e-3e38-4a38-99c2-f855174a7c28
133,3,133,,,3527.3,3547.3,20.0,20.0,1,48.9,7-5-2,sideout,fec65f7e-f2c8-482f-ab5b-541cf53b1064,db5eef5c-99dd-49d9-bbfc-65171a366bda
134,3,134,,,3553.8,3571.8,18.0,18.0,1,-2.5,5-7-1,second,fc05556e-3e38-4a38-99c2-f855174a7c28,79a11da1-6aeb-4719-9b1e-9918e0163cec
135,3,135,,,3600.6,3617.6,17.0,17.0,1,-20.8,5-7-2,point,db5eef5c-99dd-49d9-bbfc-65171a366bda,fec65f7e-f2c8-482f-ab5b-541cf53b1064
136,3,136,,,3629.0,3645.0,16.0,16.0,0,-3.4,6-7-2,sideout,db5eef5c-99dd-49d9-bbfc-65171a366bda,79a11da1-6aeb-4719-9b1e-9918e0163cec
137,3,137,,,3645.4,3666.4,21.0,21.0,0,1.6,7-6-1,point,79a11da1-6aeb-4719-9b1e-9918e0163cec,db5eef5c-99dd-49d9-bbfc-65171a366bda
138,3,138,,,3668.6,3692.6,24.0,24.0,0,1.8,8-6-1,point,79a11da1-6aeb-4719-9b1e-9918e0163cec,fc05556e-3e38-4a38-99c2-f855174a7c28
139,3,139,,,3698.7,3725.7,27.0,27.0,0,43.9,9-6-1,second,79a11da1-6aeb-4719-9b1e-9918e0163cec,db5eef5c-99dd-49d9-bbfc-65171a366bda
140,3,140,,,3731.9,3746.9,15.0,15.0,1,-5.2,9-6-2,point,fec65f7e-f2c8-482f-ab5b-541cf53b1064,fc05556e-3e38-4a38-99c2-f855174a7c28
141,3,141,,,3752.6,3769.6,17.0,17.0,0,2.3,10-6-2,point,fec65f7e-f2c8-482f-ab5b-541cf53b1064,db5eef5c-99dd-49d9-bbfc-65171a366bda
