game,division,rally_in_game,rally_cum,scrub_to,shot_index,hitter_name,shot_type,note
2,mens,9,43,19:01,16,,,
2,mens,12,46,20:26,1,AJ Koller,serve,
2,mens,12,46,20:26,2,Tyler Loong,return,
2,mens,12,46,20:26,3,,,
2,mens,12,46,20:26,4,,,
2,mens,12,46,20:26,5,,,
2,mens,12,46,20:26,6,,,
2,mens,12,46,20:26,7,,,
2,mens,12,46,20:26,8,,,
2,mens,12,46,20:26,9,,,
2,mens,12,46,20:26,10,,,
2,mens,12,46,20:26,11,,,
2,mens,12,46,20:26,12,,,
2,mens,12,46,20:26,13,,,
2,mens,12,46,20:26,14,,,
2,mens,12,46,20:26,15,,,
2,mens,12,46,20:26,16,,,
3,mixed,1,68,28:18,1,Ting Chieh Wei,serve,
3,mixed,1,68,28:18,2,Tyler Loong,return,
3,mixed,1,68,28:18,3,,,
3,mixed,1,68,28:18,4,,,
3,mixed,1,68,28:18,5,,,
3,mixed,1,68,28:18,6,,,
3,mixed,1,68,28:18,7,,,
3,mixed,1,68,28:18,8,,,
3,mixed,1,68,28:18,9,,,
3,mixed,1,68,28:18,10,,,
3,mixed,1,68,28:18,11,,,
3,mixed,1,68,28:18,12,,,
3,mixed,1,68,28:18,13,,,
3,mixed,1,68,28:18,14,,,
3,mixed,1,68,28:18,15,,,
3,mixed,1,68,28:18,16,,,
3,mixed,12,79,32:34,1,Etta Tuionetoa,serve,
3,mixed,12,79,32:34,2,Ting Chieh Wei,return,
3,mixed,12,79,32:34,3,,,
3,mixed,12,79,32:34,4,,,
3,mixed,12,79,32:34,5,,,
3,mixed,12,79,32:34,6,,,
3,mixed,12,79,32:34,7,,,
3,mixed,12,79,32:34,8,,,
3,mixed,12,79,32:34,9,,,
3,mixed,12,79,32:34,10,,,
3,mixed,12,79,32:34,11,,,
3,mixed,12,79,32:34,12,,,
3,mixed,12,79,32:34,13,,,
3,mixed,12,79,32:34,14,,,
3,mixed,12,79,32:34,15,,,
3,mixed,12,79,32:34,16,,,
3,mixed,14,81,33:46,1,Ting Chieh Wei,serve,
3,mixed,14,81,33:46,2,Etta Tuionetoa,return,
3,mixed,14,81,33:46,3,,,
3,mixed,14,81,33:46,4,,,
3,mixed,14,81,33:46,5,,,
3,mixed,14,81,33:46,6,,,
3,mixed,14,81,33:46,7,,,
3,mixed,14,81,33:46,8,,,
3,mixed,14,81,33:46,9,,,
3,mixed,14,81,33:46,10,,,
3,mixed,14,81,33:46,11,,,
3,mixed,14,81,33:46,12,,,
3,mixed,14,81,33:46,13,,,
3,mixed,14,81,33:46,14,,,
3,mixed,14,81,33:46,15,,,
3,mixed,14,81,33:46,16,,,
3,mixed,19,86,35:16,1,John Lucian Goins,serve,
3,mixed,19,86,35:16,2,Tyler Loong,return,
3,mixed,19,86,35:16,3,,,
3,mixed,19,86,35:16,4,,,
3,mixed,19,86,35:16,5,,,
3,mixed,19,86,35:16,6,,,
3,mixed,19,86,35:16,7,,,
3,mixed,19,86,35:16,8,,,
3,mixed,19,86,35:16,9,,,
3,mixed,19,86,35:16,10,,,
3,mixed,19,86,35:16,11,,,
3,mixed,19,86,35:16,12,,,
3,mixed,19,86,35:16,13,,,
3,mixed,19,86,35:16,14,,,
3,mixed,19,86,35:16,15,,,
3,mixed,19,86,35:16,16,,,
3,mixed,73,140,59:00,1,John Lucian Goins,serve,
3,mixed,73,140,59:00,2,Etta Tuionetoa,return,
3,mixed,73,140,59:00,3,,,
3,mixed,73,140,59:00,4,,,
3,mixed,73,140,59:00,5,,,
3,mixed,73,140,59:00,6,,,
3,mixed,73,140,59:00,7,,,
3,mixed,73,140,59:00,8,,,
3,mixed,73,140,59:00,9,,,
3,mixed,73,140,59:00,10,,,
3,mixed,73,140,59:00,11,,,
3,mixed,73,140,59:00,12,,,
3,mixed,73,140,59:00,13,,,
3,mixed,73,140,59:00,14,,,
3,mixed,73,140,59:00,15,,,
3,mixed,73,140,59:00,16,,,
4,mixed,2,144,59:45,1,Emma Nelson,serve,
4,mixed,2,144,59:45,2,Tama Shimabukuro,return,
4,mixed,2,144,59:45,3,,,
4,mixed,2,144,59:45,4,,,
4,mixed,2,144,59:45,5,,,
4,mixed,2,144,59:45,6,,,
4,mixed,2,144,59:45,7,,,
4,mixed,2,144,59:45,8,,,
4,mixed,2,144,59:45,9,,,
4,mixed,2,144,59:45,10,,,
4,mixed,2,144,59:45,11,,,
4,mixed,2,144,59:45,12,,,
4,mixed,2,144,59:45,13,,,
4,mixed,2,144,59:45,14,,,
4,mixed,2,144,59:45,15,,,
4,mixed,2,144,59:45,16,,,
4,mixed,27,169,68:39,1,Tama Shimabukuro,serve,
4,mixed,27,169,68:39,2,AJ Koller,return,
4,mixed,27,169,68:39,3,,,
4,mixed,27,169,68:39,4,,,
4,mixed,27,169,68:39,5,,,
4,mixed,27,169,68:39,6,,,
4,mixed,27,169,68:39,7,,,
4,mixed,27,169,68:39,8,,,
4,mixed,27,169,68:39,9,,,
4,mixed,27,169,68:39,10,,,
4,mixed,27,169,68:39,11,,,
4,mixed,27,169,68:39,12,,,
4,mixed,27,169,68:39,13,,,
4,mixed,27,169,68:39,14,,,
4,mixed,27,169,68:39,15,,,
4,mixed,27,169,68:39,16,,,
4,mixed,31,173,70:25,1,AJ Koller,serve,
4,mixed,31,173,70:25,2,Tama Shimabukuro,return,
4,mixed,31,173,70:25,3,,,
4,mixed,31,173,70:25,4,,,
4,mixed,31,173,70:25,5,,,
4,mixed,31,173,70:25,6,,,
4,mixed,31,173,70:25,7,,,
4,mixed,31,173,70:25,8,,,
4,mixed,31,173,70:25,9,,,
4,mixed,31,173,70:25,10,,,
4,mixed,31,173,70:25,11,,,
4,mixed,31,173,70:25,12,,,
4,mixed,31,173,70:25,13,,,
4,mixed,31,173,70:25,14,,,
4,mixed,31,173,70:25,15,,,
4,mixed,31,173,70:25,16,,,
4,mixed,37,179,74:09,1,Tama Shimabukuro,serve,
4,mixed,37,179,74:09,2,AJ Koller,return,
4,mixed,37,179,74:09,3,,,
4,mixed,37,179,74:09,4,,,
4,mixed,37,179,74:09,5,,,
4,mixed,37,179,74:09,6,,,
4,mixed,37,179,74:09,7,,,
4,mixed,37,179,74:09,8,,,
4,mixed,37,179,74:09,9,,,
4,mixed,37,179,74:09,10,,,
4,mixed,37,179,74:09,11,,,
4,mixed,37,179,74:09,12,,,
4,mixed,37,179,74:09,13,,,
4,mixed,37,179,74:09,14,,,
4,mixed,37,179,74:09,15,,,
4,mixed,37,179,74:09,16,,,
4,mixed,44,186,76:02,1,AJ Koller,serve,
4,mixed,44,186,76:02,2,Tama Shimabukuro,return,
4,mixed,44,186,76:02,3,,,
4,mixed,44,186,76:02,4,,,
4,mixed,44,186,76:02,5,,,
4,mixed,44,186,76:02,6,,,
4,mixed,44,186,76:02,7,,,
4,mixed,44,186,76:02,8,,,
4,mixed,44,186,76:02,9,,,
4,mixed,44,186,76:02,10,,,
4,mixed,44,186,76:02,11,,,
4,mixed,44,186,76:02,12,,,
4,mixed,44,186,76:02,13,,,
4,mixed,44,186,76:02,14,,,
4,mixed,44,186,76:02,15,,,
4,mixed,44,186,76:02,16,,,
