rally,game,t_start,t_end,duration_s,gap_after_s,lead_s,start_score,end_score,outcome,server_uuid,receiver_uuid
33,1,2026-07-08T17:55:27+00:00,2026-07-08T17:55:54+00:00,27.0,21.0,27.0,4-5-1,5-5-1,point,25104e43-16f9-4ce3-9085-70243d8b350a,1d701c30-6b5d-485f-ae97-60f3b0c50896
34,1,2026-07-08T17:56:15+00:00,2026-07-08T17:56:16+00:00,1.0,1.0,1.0,5-5-1,5-5-2,second,25104e43-16f9-4ce3-9085-70243d8b350a,65bcab7c-9c93-4dc8-a847-a34da426b933
35,1,2026-07-08T17:56:17+00:00,2026-07-08T17:56:29+00:00,12.0,1.0,12.0,5-5-2,5-5-1,sideout,461f063e-a587-4638-bad9-421ff33d91d7,1d701c30-6b5d-485f-ae97-60f3b0c50896
36,1,2026-07-08T17:56:30+00:00,2026-07-08T17:56:55+00:00,25.0,151.0,25.0,5-5-1,6-5-1,point,1d701c30-6b5d-485f-ae97-60f3b0c50896,461f063e-a587-4638-bad9-421ff33d91d7
37,1,2026-07-08T17:59:26+00:00,2026-07-08T17:59:28+00:00,2.0,3.0,2.0,6-5-1,7-5-1,point,1d701c30-6b5d-485f-ae97-60f3b0c50896,25104e43-16f9-4ce3-9085-70243d8b350a
38,1,2026-07-08T17:59:31+00:00,2026-07-08T17:59:51+00:00,20.0,1.0,20.0,7-5-1,7-5-2,second,1d701c30-6b5d-485f-ae97-60f3b0c50896,461f063e-a587-4638-bad9-421ff33d91d7
39,1,2026-07-08T17:59:52+00:00,2026-07-08T18:00:14+00:00,22.0,77.0,22.0,7-5-2,8-5-2,point,65bcab7c-9c93-4dc8-a847-a34da426b933,25104e43-16f9-4ce3-9085-70243d8b350a
40,1,2026-07-08T18:01:31+00:00,2026-07-08T18:01:52+00:00,21.0,0.0,21.0,8-5-2,5-8-1,sideout,65bcab7c-9c93-4dc8-a847-a34da426b933,461f063e-a587-4638-bad9-421ff33d91d7
41,1,2026-07-08T18:01:52+00:00,2026-07-08T18:02:14+00:00,22.0,1.0,22.0,5-8-1,6-8-1,point,461f063e-a587-4638-bad9-421ff33d91d7,65bcab7c-9c93-4dc8-a847-a34da426b933
42,1,2026-07-08T18:02:15+00:00,2026-07-08T18:02:37+00:00,22.0,1.0,22.0,6-8-1,6-8-2,second,461f063e-a587-4638-bad9-421ff33d91d7,1d701c30-6b5d-485f-ae97-60f3b0c50896
43,1,2026-07-08T18:02:38+00:00,2026-07-08T18:03:12+00:00,34.0,2.0,34.0,6-8-2,7-8-2,point,25104e43-16f9-4ce3-9085-70243d8b350a,65bcab7c-9c93-4dc8-a847-a34da426b933
44,1,2026-07-08T18:03:14+00:00,2026-07-08T18:03:35+00:00,21.0,11.0,21.0,7-8-2,8-8-2,point,25104e43-16f9-4ce3-9085-70243d8b350a,1d701c30-6b5d-485f-ae97-60f3b0c50896
45,1,2026-07-08T18:03:46+00:00,2026-07-08T18:03:59+00:00,13.0,63.0,13.0,8-8-2,9-8-2,point,25104e43-16f9-4ce3-9085-70243d8b350a,65bcab7c-9c93-4dc8-a847-a34da426b933
46,1,2026-07-08T18:05:02+00:00,2026-07-08T18:05:36+00:00,34.0,2.0,34.0,9-8-2,8-9-1,sideout,25104e43-16f9-4ce3-9085-70243d8b350a,1d701c30-6b5d-485f-ae97-60f3b0c50896
47,1,2026-07-08T18:05:38+00:00,2026-07-08T18:05:58+00:00,20.0,3.0,20.0,8-9-1,9-9-1,point,65bcab7c-9c93-4dc8-a847-a34da426b933,461f063e-a587-4638-bad9-421ff33d91d7
48,1,2026-07-08T18:06:01+00:00,2026-07-08T18:06:18+00:00,17.0,3.0,17.0,9-9-1,10-9-1,point,65bcab7c-9c93-4dc8-a847-a34da426b933,25104e43-16f9-4ce3-9085-70243d8b350a
49,1,2026-07-08T18:06:21+00:00,2026-07-08T18:06:42+00:00,21.0,1.0,21.0,10-9-1,10-9-2,second,65bcab7c-9c93-4dc8-a847-a34da426b933,461f063e-a587-4638-bad9-421ff33d91d7
50,1,2026-07-08T18:06:43+00:00,2026-07-08T18:07:10+00:00,27.0,1.0,27.0,10-9-2,9-10-1,sideout,1d701c30-6b5d-485f-ae97-60f3b0c50896,25104e43-16f9-4ce3-9085-70243d8b350a
51,1,2026-07-08T18:07:11+00:00,2026-07-08T18:07:38+00:00,27.0,2.0,27.0,9-10-1,10-10-1,point,461f063e-a587-4638-bad9-421ff33d91d7,65bcab7c-9c93-4dc8-a847-a34da426b933
52,1,2026-07-08T18:07:40+00:00,2026-07-08T18:07:59+00:00,19.0,3.0,19.0,10-10-1,10-10-2,second,461f063e-a587-4638-bad9-421ff33d91d7,1d701c30-6b5d-485f-ae97-60f3b0c50896
53,1,2026-07-08T18:08:02+00:00,2026-07-08T18:08:31+00:00,29.0,1.0,29.0,10-10-2,10-10-1,sideout,25104e43-16f9-4ce3-9085-70243d8b350a,65bcab7c-9c93-4dc8-a847-a34da426b933
54,1,2026-07-08T18:08:32+00:00,2026-07-08T18:09:03+00:00,31.0,1.0,31.0,10-10-1,10-10-2,second,65bcab7c-9c93-4dc8-a847-a34da426b933,25104e43-16f9-4ce3-9085-70243d8b350a
55,1,2026-07-08T18:09:04+00:00,2026-07-08T18:09:21+00:00,17.0,1.0,17.0,10-10-2,11-10-2,point,1d701c30-6b5d-485f-ae97-60f3b0c50896,461f063e-a587-4638-bad9-421ff33d91d7
56,1,2026-07-08T18:09:22+00:00,2026-07-08T18:09:54+00:00,32.0,1.0,32.0,11-10-2,10-11-1,sideout,1d701c30-6b5d-485f-ae97-60f3b0c50896,25104e43-16f9-4ce3-9085-70243d8b350a
57,1,2026-07-08T18:09:55+00:00,2026-07-08T18:10:23+00:00,28.0,2.0,28.0,10-11-1,11-11-1,point,25104e43-16f9-4ce3-9085-70243d8b350a,1d701c30-6b5d-485f-ae97-60f3b0c50896
58,1,2026-07-08T18:10:25+00:00,2026-07-08T18:10:41+00:00,16.0,1.0,16.0,11-11-1,11-11-2,second,25104e43-16f9-4ce3-9085-70243d8b350a,65bcab7c-9c93-4dc8-a847-a34da426b933
59,1,2026-07-08T18:10:42+00:00,2026-07-08T18:10:57+00:00,15.0,1.0,15.0,11-11-2,11-11-1,sideout,461f063e-a587-4638-bad9-421ff33d91d7,1d701c30-6b5d-485f-ae97-60f3b0c50896
60,1,2026-07-08T18:10:58+00:00,2026-07-08T18:11:28+00:00,30.0,1.0,30.0,11-11-1,12-11-1,point,1d701c30-6b5d-485f-ae97-60f3b0c50896,461f063e-a587-4638-bad9-421ff33d91d7
61,1,2026-07-08T18:11:29+00:00,2026-07-08T18:11:44+00:00,15.0,1.0,15.0,12-11-1,12-11-2,second,1d701c30-6b5d-485f-ae97-60f3b0c50896,25104e43-16f9-4ce3-9085-70243d8b350a
62,1,2026-07-08T18:11:45+00:00,2026-07-08T18:12:08+00:00,23.0,3.0,23.0,12-11-2,11-12-1,sideout,65bcab7c-9c93-4dc8-a847-a34da426b933,461f063e-a587-4638-bad9-421ff33d91d7
63,1,2026-07-08T18:12:11+00:00,2026-07-08T18:12:30+00:00,19.0,4.0,19.0,11-12-1,11-12-2,second,461f063e-a587-4638-bad9-421ff33d91d7,65bcab7c-9c93-4dc8-a847-a34da426b933
64,1,2026-07-08T18:12:34+00:00,2026-07-08T18:12:54+00:00,20.0,3.0,20.0,11-12-2,12-11-1,sideout,25104e43-16f9-4ce3-9085-70243d8b350a,1d701c30-6b5d-485f-ae97-60f3b0c50896
65,1,2026-07-08T18:12:57+00:00,2026-07-08T18:13:26+00:00,29.0,2.0,29.0,12-11-1,12-11-2,second,65bcab7c-9c93-4dc8-a847-a34da426b933,461f063e-a587-4638-bad9-421ff33d91d7
66,1,2026-07-08T18:13:28+00:00,2026-07-08T18:13:59+00:00,31.0,56.0,31.0,12-11-2,11-12-1,sideout,1d701c30-6b5d-485f-ae97-60f3b0c50896,25104e43-16f9-4ce3-9085-70243d8b350a
67,1,2026-07-08T18:14:55+00:00,2026-07-08T18:14:55+00:00,0.0,1.0,0.0,11-12-1,11-12-2,second,461f063e-a587-4638-bad9-421ff33d91d7,65bcab7c-9c93-4dc8-a847-a34da426b933
68,1,2026-07-08T18:14:56+00:00,2026-07-08T18:15:08+00:00,12.0,1.0,12.0,11-12-2,12-11-1,sideout,25104e43-16f9-4ce3-9085-70243d8b350a,1d701c30-6b5d-485f-ae97-60f3b0c50896
69,1,2026-07-08T18:15:09+00:00,2026-07-08T18:15:42+00:00,33.0,2.0,33.0,12-11-1,12-11-2,second,65bcab7c-9c93-4dc8-a847-a34da426b933,461f063e-a587-4638-bad9-421ff33d91d7
70,1,2026-07-08T18:15:44+00:00,2026-07-08T18:16:02+00:00,18.0,4.0,18.0,12-11-2,11-12-1,sideout,1d701c30-6b5d-485f-ae97-60f3b0c50896,25104e43-16f9-4ce3-9085-70243d8b350a
71,1,2026-07-08T18:16:06+00:00,2026-07-08T18:16:31+00:00,25.0,2.0,25.0,11-12-1,12-12-1,point,461f063e-a587-4638-bad9-421ff33d91d7,65bcab7c-9c93-4dc8-a847-a34da426b933
72,1,2026-07-08T18:16:33+00:00,2026-07-08T18:16:59+00:00,26.0,5.0,26.0,12-12-1,13-12-1,point,461f063e-a587-4638-bad9-421ff33d91d7,1d701c30-6b5d-485f-ae97-60f3b0c50896
73,1,2026-07-08T18:17:04+00:00,2026-07-08T18:17:22+00:00,18.0,,18.0,13-12-1,14-12-1,point,461f063e-a587-4638-bad9-421ff33d91d7,65bcab7c-9c93-4dc8-a847-a34da426b933
