p1_name,p2_name,chem_logit_mean,chem_logit_sd
Jessica Mason,Ali Welch,0.005,0.0511
Brandon French,Olivia McMillan,-0.0098,0.0512
Callan Dawson,Judit Castillo,-0.0052,0.0509
Quang Duong,Christine Trifunovic,0.0021,0.048
Ewa Radzikowska,Judit Castillo,0.0185,0.0453
Domenika Turkovic,Amanda Rosati,-0.0203,0.0503
Daniel De la Rosa,Martin Emmrich,0.0042,0.0432
Caden Nemoff,Dave Weinbach,-0.006,0.0499
Brittany Minna,Ivana King,0.0004,0.0498
Angie Walker,Donald Young,0.0157,0.0466
Ivan Jakovljevic,Steve Deakin,0.0074,0.0445
Leigh Waters,Christian Alshon,0.005,0.0462
Sam Querrey,Kaitlyn Christian,0.0126,0.0497
Todd Fought,Tyler Loong,-0.0075,0.0471
Steve Deakin,Alex Walker,0.0076,0.0451
Travis Rettenmaier,Roscoe Bellamy,0.0136,0.0447
Daniel Jensen,Grant Bond,-0.0058,0.047
Mike Anderson,Rob Cassidy,0.0036,0.0488
Gabriel Joseph,Ryan Eveloff,0.0006,0.0508
Sam Querrey,Wesley Burrows,-0.0271,0.0468
Camila Zilveti,Rachel Rettger,-0.0154,0.0474
Luke Wasson,Drake Palm,-0.0092,0.0479
Jade Kawamoto,Darrian Young,-0.0074,0.049
Zack Taylor,Casey Diamond,-0.0004,0.0478
Madeline Schulte,Dionne Lim,0.0024,0.0514
AJ Koller,Chuck Taylor,-0.0072,0.0488
Parris Todd,Vivian Glozman,-0.0092,0.049
Callie Smith,Jay Devilliers,0.0008,0.0418
James Ignatowich,Anna Bright,0.0183,0.0468
Andrei Daescu,Lea Jansen,0.0078,0.0487
Mary Brascia,Maggie Brascia,0.0023,0.0449
Travis Rettenmaier,Lacy Schneemann,-0.0157,0.0507
Tamaryn Emmrich,Genie Erokhina,-0.0076,0.0475
Brooke Buckner,Lina Padegimaite,-0.0057,0.0476
Lucy Kovalova,Matt Wright,-0.0021,0.0427
Julian Arnold,Lauren Stratman,0.0171,0.0466
Jack Sock,Catherine Parenteau,0.0134,0.0472
Dekel Bar,Tina Pisnik,-0.0219,0.0459
Callan Dawson,Hayden Patriquin,0.0083,0.0518
Thomas Wilson,Vivienne David,0.0433,0.0513
Jorja Johnson,JW Johnson,-0.0114,0.044
Jack Sock,Collin Shick,-0.0165,0.0482
Chao Yi Wang,Genie Bouchard,-0.0132,0.049
Rafa Hewett,Connor Garnett,-0.0016,0.0522
Riley Newman,Jackie Kawamoto,0.0082,0.0441
Dylan Frazier,Tyra Hurricane Black,-0.0298,0.047
Allyce Jones,Connor Garnett,0.029,0.0447
Meghan Dizon,Tyson McGuffin,-0.0036,0.0477
Jorja Johnson,Tina Pisnik,0.0126,0.0509
Phillip Locklear,Spencer Smith,-0.0056,0.0512
Andrei Daescu,Gabriel Tardio,-0.0175,0.0449
Christine Maddox,Jillian Braverman,0.0181,0.0487
Anna Leigh Waters,Ben Johns,-0.0555,0.0464
Riley Newman,Thomas Wilson,0.0052,0.0505
Julian Arnold,Christian Alshon,-0.0017,0.047
Collin Johns,Ben Johns,0.0904,0.0521
Lacy Schneemann,Vivienne David,0.0066,0.0483
Jade Kawamoto,Jackie Kawamoto,0.0381,0.0464
Lea Jansen,Tyra Hurricane Black,-0.0008,0.0492
Pablo Tellez,Federico Staksrud,-0.0142,0.0445
Matt Wright,James Ignatowich,0.0195,0.0503
Rachel Rohrabacher,Anna Bright,0.0312,0.0457
Lauren Stratman,Allyce Jones,0.017,0.0507
Anna Leigh Waters,Catherine Parenteau,0.0185,0.0456
