scenario,team1,team2,t1_win_prob,t2_win_prob,exp_margin_t1,mov_if_t1_wins,mov_if_t2_wins,slot_order,slot_genders,slot1_gender,women_matches_top2
S1,Atlanta Bouncers,Bay Area Breakers,0.6437,0.3563,1.725,5.243,4.630,Jessie Irvine v Kiora Kunimoto | Mari Humberg v Ella Yeh | Jay Devilliers v Len Yang | Jaume Martinez Vich v Blaine Hovenier,WWMM,W,2
S1,Atlanta Bouncers,Brooklyn Pickleball Team,0.4603,0.5397,-0.364,4.882,4.838,Mari Humberg v Jackie Kawamoto | Jaume Martinez Vich v Christopher Haworth | Jessie Irvine v Hannah Blatt | Jay Devilliers v Pesa Teoni,WMWM,W,1
S1,Atlanta Bouncers,California Black Bears,0.4913,0.5087,-0.205,4.740,4.981,Jessie Irvine v Sahra Dennehy | Mari Humberg v Zoey Weil | Jaume Martinez Vich v Pablo Tellez | Jay Devilliers v Joseph Wild,WWMM,W,2
S1,Atlanta Bouncers,Carolina Hogs,0.7823,0.2177,4.093,6.343,3.990,Jessie Irvine v Abbigal Hatton | Mari Humberg v Nicole Conard | Jaume Martinez Vich v Brandon French | Jay Devilliers v Darrian Young,WWMM,W,2
S1,Atlanta Bouncers,Chicago Slice,0.6112,0.3888,1.491,5.321,4.529,Mari Humberg v Ting Chieh Wei | Jaume Martinez Vich v John Lucian Goins | Jay Devilliers v Zane Navratil | Jessie Irvine v Elsie Hendershot,WMMW,W,1
S1,Atlanta Bouncers,Columbus Sliders,0.3776,0.6224,-1.734,4.309,5.400,Jessie Irvine v Parris Todd | Mari Humberg v Tyra Hurricane Black | Jaume Martinez Vich v Andrei Daescu | Jay Devilliers v CJ Klinger,WWMM,W,2
S1,Atlanta Bouncers,Dallas Flash,0.5951,0.4049,1.246,5.224,4.602,Jessie Irvine v Alix Truong | Mari Humberg v Danni-Elle Townsend | Jaume Martinez Vich v JW Johnson | Jay Devilliers v Augustus Ge,WWMM,W,2
S1,Atlanta Bouncers,Florida Smash,0.7521,0.2479,3.555,6.082,4.115,Mari Humberg v Mya Bui | Jaume Martinez Vich v Cason Campbell | Jessie Irvine v Paula Rives | Jay Devilliers v Christopher Crouch,WMWM,W,1
S1,Atlanta Bouncers,Las Vegas Night Owls,0.4848,0.5152,-0.153,4.851,4.862,Jessie Irvine v Chao Yi Wang | Mari Humberg v Callie Smith | Jaume Martinez Vich v Roscoe Bellamy | Jay Devilliers v Clayton Powell,WWMM,W,2
S1,Atlanta Bouncers,Los Angeles Mad Drops,0.2780,0.7220,-3.056,4.153,5.831,Jessie Irvine v Catherine Parenteau | Mari Humberg v Jade Kawamoto | Jaume Martinez Vich v Ben Johns | Jay Devilliers v Max Freeman,WWMM,W,2
S1,Atlanta Bouncers,Miami Pickleball Club,0.5026,0.4974,0.032,4.880,4.866,Jessie Irvine v Isabella Dunlap | Mari Humberg v Estee Widdershoven | Jaume Martinez Vich v Dylan Frazier | Jay Devilliers v Yuta Funemizu,WWMM,W,2
S1,Atlanta Bouncers,New Jersey 5s,0.1799,0.8201,-4.840,3.589,6.690,Jessie Irvine v Anna Leigh Waters | Mari Humberg v Jorja Johnson | Jay Devilliers v Will Howells | Jaume Martinez Vich v Noe Khlif,WWMM,W,2
S1,Atlanta Bouncers,Orlando Squeeze,0.4115,0.5885,-1.142,4.626,5.176,Jaume Martinez Vich v Federico Staksrud | Jay Devilliers v Jack Sock | Mari Humberg v Milan Rane | Jessie Irvine v Alex Walker,MMWW,M,0
S1,Atlanta Bouncers,Palm Beach Royals,0.4373,0.5627,-0.820,4.656,5.077,Jessie Irvine v Tina Pisnik | Mari Humberg v Sofia Sewing | Jaume Martinez Vich v Tyson McGuffin | Jay Devilliers v Dekel Bar,WWMM,W,2
S1,Atlanta Bouncers,Phoenix Flames,0.6118,0.3882,1.472,5.293,4.549,Jessie Irvine v Daria Walczak | Mari Humberg v Alexa Schull | Jaume Martinez Vich v Camden Chaffin | Jay Devilliers v Jonathan Truong,WWMM,W,2
S1,Atlanta Bouncers,SoCal Hard Eights,0.6295,0.3705,1.863,5.517,4.343,Jessie Irvine v Cailyn Campbell | Mari Humberg v Meghan Dizon | Jaume Martinez Vich v Armaan Bhatia | Jay Devilliers v Will Mackinnon,WWMM,W,2
S1,Atlanta Bouncers,St. Louis Shock,0.2284,0.7716,-3.831,3.924,6.127,Jessie Irvine v Kate Fahey | Mari Humberg v Anna Bright | Jay Devilliers v Gabriel Tardio | Jaume Martinez Vich v Hayden Patriquin,WWMM,W,2
S1,Atlanta Bouncers,Texas Ranchers,0.3107,0.6893,-2.532,4.245,5.585,Jessie Irvine v Lea Jansen | Mari Humberg v Kaitlyn Christian | Jaume Martinez Vich v Eric Oncins | Jay Devilliers v Nicolas Acevedo,WWMM,W,2
S1,Atlanta Bouncers,Utah Black Diamonds,0.4698,0.5302,-0.343,4.825,4.923,Jessie Irvine v Victoria Dimuzio | Mari Humberg v Etta Tuionetoa | Jaume Martinez Vich v Connor Garnett | Jay Devilliers v Yuta Funemizu,WWMM,W,2
S1,Bay Area Breakers,Atlanta Bouncers,0.2757,0.7243,-3.039,4.170,5.782,Len Yang v Jaume Martinez Vich | Blaine Hovenier v Jay Devilliers | Ella Yeh v Jessie Irvine | Kiora Kunimoto v Mari Humberg,MMWW,M,0
S1,Bay Area Breakers,Brooklyn Pickleball Team,0.3049,0.6951,-2.793,4.083,5.809,Blaine Hovenier v Christopher Haworth | Ella Yeh v Hannah Blatt | Kiora Kunimoto v Jackie Kawamoto | Len Yang v Pesa Teoni,MWWM,M,1
S1,Bay Area Breakers,California Black Bears,0.3366,0.6634,-2.198,4.372,5.532,Ella Yeh v Zoey Weil | Blaine Hovenier v Pablo Tellez | Len Yang v Joseph Wild | Kiora Kunimoto v Sahra Dennehy,WMMW,W,1
S1,Bay Area Breakers,Carolina Hogs,0.6086,0.3914,1.517,5.365,4.465,Blaine Hovenier v Brandon French | Ella Yeh v Nicole Conard | Len Yang v Darrian Young | Kiora Kunimoto v Abbigal Hatton,MWMW,M,1
S1,Bay Area Breakers,Chicago Slice,0.4069,0.5931,-1.345,4.434,5.309,Len Yang v John Lucian Goins | Blaine Hovenier v Zane Navratil | Ella Yeh v Elsie Hendershot | Kiora Kunimoto v Ting Chieh Wei,MMWW,M,0
S1,Bay Area Breakers,Columbus Sliders,0.2510,0.7490,-3.555,4.029,6.097,Ella Yeh v Tyra Hurricane Black | Kiora Kunimoto v Parris Todd | Blaine Hovenier v Andrei Daescu | Len Yang v CJ Klinger,WWMM,W,2
S1,Bay Area Breakers,Dallas Flash,0.3848,0.6152,-1.554,4.463,5.318,Len Yang v JW Johnson | Blaine Hovenier v Augustus Ge | Ella Yeh v Danni-Elle Townsend | Kiora Kunimoto v Alix Truong,MMWW,M,0
S1,Bay Area Breakers,Florida Smash,0.5660,0.4340,0.798,5.040,4.734,Len Yang v Cason Campbell | Blaine Hovenier v Christopher Crouch | Ella Yeh v Paula Rives | Kiora Kunimoto v Mya Bui,MMWW,M,0
S1,Bay Area Breakers,Las Vegas Night Owls,0.3253,0.6747,-2.388,4.276,5.600,Blaine Hovenier v Roscoe Bellamy | Ella Yeh v Callie Smith | Kiora Kunimoto v Chao Yi Wang | Len Yang v Clayton Powell,MWWM,M,1
S1,Bay Area Breakers,Los Angeles Mad Drops,0.1518,0.8482,-5.155,3.828,6.762,Blaine Hovenier v Ben Johns | Ella Yeh v Jade Kawamoto | Len Yang v Max Freeman | Kiora Kunimoto v Catherine Parenteau,MWMW,M,1
S1,Bay Area Breakers,Miami Pickleball Club,0.3286,0.6714,-2.306,4.337,5.557,Blaine Hovenier v Dylan Frazier | Ella Yeh v Estee Widdershoven | Len Yang v Yuta Funemizu | Kiora Kunimoto v Isabella Dunlap,MWMW,M,1
S1,Bay Area Breakers,New Jersey 5s,0.0962,0.9038,-6.516,3.579,7.591,Kiora Kunimoto v Anna Leigh Waters | Ella Yeh v Jorja Johnson | Len Yang v Will Howells | Blaine Hovenier v Noe Khlif,WWMM,W,2
S1,Bay Area Breakers,Orlando Squeeze,0.2166,0.7834,-3.998,3.908,6.184,Len Yang v Federico Staksrud | Blaine Hovenier v Jack Sock | Ella Yeh v Alex Walker | Kiora Kunimoto v Milan Rane,MMWW,M,0
S1,Bay Area Breakers,Palm Beach Royals,0.2827,0.7173,-2.986,4.189,5.815,Ella Yeh v Sofia Sewing | Blaine Hovenier v Tyson McGuffin | Len Yang v Dekel Bar | Kiora Kunimoto v Tina Pisnik,WMMW,W,1
S1,Bay Area Breakers,Phoenix Flames,0.4360,0.5640,-0.811,4.701,5.072,Blaine Hovenier v Camden Chaffin | Ella Yeh v Alexa Schull | Len Yang v Jonathan Truong | Kiora Kunimoto v Daria Walczak,MWMW,M,1
S1,Bay Area Breakers,SoCal Hard Eights,0.4714,0.5286,-0.372,4.774,4.961,Ella Yeh v Meghan Dizon | Blaine Hovenier v Armaan Bhatia | Kiora Kunimoto v Cailyn Campbell | Len Yang v Will Mackinnon,WMWM,W,1
S1,Bay Area Breakers,St. Louis Shock,0.1354,0.8646,-5.645,3.651,7.101,Ella Yeh v Anna Bright | Len Yang v Gabriel Tardio | Kiora Kunimoto v Kate Fahey | Blaine Hovenier v Hayden Patriquin,WMWM,W,1
S1,Bay Area Breakers,Texas Ranchers,0.1954,0.8046,-4.515,3.802,6.535,Ella Yeh v Kaitlyn Christian | Blaine Hovenier v Eric Oncins | Len Yang v Nicolas Acevedo | Kiora Kunimoto v Lea Jansen,WMMW,W,1
S1,Bay Area Breakers,Utah Black Diamonds,0.2930,0.7070,-2.827,4.207,5.742,Blaine Hovenier v Connor Garnett | Ella Yeh v Etta Tuionetoa | Len Yang v Yuta Funemizu | Kiora Kunimoto v Victoria Dimuzio,MWMW,M,1
S1,Brooklyn Pickleball Team,Atlanta Bouncers,0.4543,0.5457,-0.859,4.449,5.278,Pesa Teoni v Jay Devilliers | Hannah Blatt v Jessie Irvine | Christopher Haworth v Jaume Martinez Vich | Jackie Kawamoto v Mari Humberg,MWMW,M,1
S1,Brooklyn Pickleball Team,Bay Area Breakers,0.6093,0.3907,1.577,5.418,4.413,Pesa Teoni v Len Yang | Jackie Kawamoto v Kiora Kunimoto | Hannah Blatt v Ella Yeh | Christopher Haworth v Blaine Hovenier,MWWM,M,1
S1,Brooklyn Pickleball Team,California Black Bears,0.4781,0.5219,-0.216,4.870,4.876,Pesa Teoni v Joseph Wild | Jackie Kawamoto v Sahra Dennehy | Hannah Blatt v Zoey Weil | Christopher Haworth v Pablo Tellez,MWWM,M,1
S1,Brooklyn Pickleball Team,Carolina Hogs,0.7643,0.2357,3.660,6.078,4.181,Pesa Teoni v Darrian Young | Hannah Blatt v Nicole Conard | Jackie Kawamoto v Abbigal Hatton | Christopher Haworth v Brandon French,MWWM,M,1
S1,Brooklyn Pickleball Team,Chicago Slice,0.5900,0.4100,0.990,5.009,4.793,Pesa Teoni v Zane Navratil | Christopher Haworth v John Lucian Goins | Jackie Kawamoto v Ting Chieh Wei | Hannah Blatt v Elsie Hendershot,MMWW,M,0
S1,Brooklyn Pickleball Team,Columbus Sliders,0.3642,0.6358,-1.645,4.584,5.213,Jackie Kawamoto v Parris Todd | Pesa Teoni v CJ Klinger | Hannah Blatt v Tyra Hurricane Black | Christopher Haworth v Andrei Daescu,WMWM,W,1
S1,Brooklyn Pickleball Team,Dallas Flash,0.5630,0.4370,0.654,4.925,4.848,Pesa Teoni v Augustus Ge | Hannah Blatt v Danni-Elle Townsend | Jackie Kawamoto v Alix Truong | Christopher Haworth v JW Johnson,MWWM,M,1
S1,Brooklyn Pickleball Team,Florida Smash,0.7359,0.2641,3.089,5.765,4.367,Pesa Teoni v Christopher Crouch | Hannah Blatt v Paula Rives | Jackie Kawamoto v Mya Bui | Christopher Haworth v Cason Campbell,MWWM,M,1
S1,Brooklyn Pickleball Team,Las Vegas Night Owls,0.5046,0.4954,0.105,4.944,4.823,Hannah Blatt v Callie Smith | Jackie Kawamoto v Chao Yi Wang | Pesa Teoni v Clayton Powell | Christopher Haworth v Roscoe Bellamy,WWMM,W,2
S1,Brooklyn Pickleball Team,Los Angeles Mad Drops,0.2690,0.7310,-3.179,4.157,5.880,Pesa Teoni v Max Freeman | Hannah Blatt v Jade Kawamoto | Jackie Kawamoto v Catherine Parenteau | Christopher Haworth v Ben Johns,MWWM,M,1
S1,Brooklyn Pickleball Team,Miami Pickleball Club,0.4921,0.5079,-0.118,4.835,4.918,Pesa Teoni v Yuta Funemizu | Hannah Blatt v Estee Widdershoven | Jackie Kawamoto v Isabella Dunlap | Christopher Haworth v Dylan Frazier,MWWM,M,1
S1,Brooklyn Pickleball Team,New Jersey 5s,0.1550,0.8450,-4.975,3.865,6.597,Jackie Kawamoto v Anna Leigh Waters | Pesa Teoni v Will Howells | Hannah Blatt v Jorja Johnson | Christopher Haworth v Noe Khlif,WMWM,W,1
S1,Brooklyn Pickleball Team,Orlando Squeeze,0.3905,0.6095,-1.856,4.080,5.660,Pesa Teoni v Federico Staksrud | Jackie Kawamoto v Milan Rane | Christopher Haworth v Jack Sock | Hannah Blatt v Alex Walker,MWMW,M,1
S1,Brooklyn Pickleball Team,Palm Beach Royals,0.4252,0.5748,-0.908,4.702,5.059,Pesa Teoni v Dekel Bar | Hannah Blatt v Sofia Sewing | Jackie Kawamoto v Tina Pisnik | Christopher Haworth v Tyson McGuffin,MWWM,M,1
S1,Brooklyn Pickleball Team,Phoenix Flames,0.5967,0.4033,1.285,5.245,4.575,Pesa Teoni v Jonathan Truong | Hannah Blatt v Alexa Schull | Jackie Kawamoto v Daria Walczak | Christopher Haworth v Camden Chaffin,MWWM,M,1
S1,Brooklyn Pickleball Team,SoCal Hard Eights,0.6468,0.3532,1.994,5.492,4.410,Hannah Blatt v Meghan Dizon | Pesa Teoni v Will Mackinnon | Jackie Kawamoto v Cailyn Campbell | Christopher Haworth v Armaan Bhatia,WMWM,W,1
S1,Brooklyn Pickleball Team,St. Louis Shock,0.2137,0.7863,-3.884,4.120,6.060,Pesa Teoni v Gabriel Tardio | Hannah Blatt v Anna Bright | Jackie Kawamoto v Kate Fahey | Christopher Haworth v Hayden Patriquin,MWWM,M,1
S1,Brooklyn Pickleball Team,Texas Ranchers,0.3027,0.6973,-2.576,4.335,5.576,Hannah Blatt v Kaitlyn Christian | Pesa Teoni v Nicolas Acevedo | Jackie Kawamoto v Lea Jansen | Christopher Haworth v Eric Oncins,WMWM,W,1
S1,Brooklyn Pickleball Team,Utah Black Diamonds,0.4637,0.5363,-0.513,4.721,5.039,Pesa Teoni v Yuta Funemizu | Hannah Blatt v Etta Tuionetoa | Jackie Kawamoto v Victoria Dimuzio | Christopher Haworth v Connor Garnett,MWWM,M,1
S1,California Black Bears,Atlanta Bouncers,0.4238,0.5762,-1.099,4.508,5.224,Joseph Wild v Jaume Martinez Vich | Pablo Tellez v Jay Devilliers | Zoey Weil v Jessie Irvine | Sahra Dennehy v Mari Humberg,MMWW,M,0
S1,California Black Bears,Bay Area Breakers,0.6329,0.3671,1.794,5.423,4.461,Sahra Dennehy v Kiora Kunimoto | Joseph Wild v Len Yang | Pablo Tellez v Blaine Hovenier | Zoey Weil v Ella Yeh,WMMW,W,1
S1,California Black Bears,Brooklyn Pickleball Team,0.4606,0.5394,-0.669,4.590,5.161,Pablo Tellez v Christopher Haworth | Zoey Weil v Hannah Blatt | Sahra Dennehy v Jackie Kawamoto | Joseph Wild v Pesa Teoni,MWWM,M,1
S1,California Black Bears,Carolina Hogs,0.7501,0.2499,3.600,6.150,4.051,Pablo Tellez v Brandon French | Joseph Wild v Darrian Young | Zoey Weil v Nicole Conard | Sahra Dennehy v Abbigal Hatton,MMWW,M,0
S1,California Black Bears,Chicago Slice,0.5629,0.4371,0.634,4.899,4.860,Joseph Wild v John Lucian Goins | Pablo Tellez v Zane Navratil | Sahra Dennehy v Ting Chieh Wei | Zoey Weil v Elsie Hendershot,MMWW,M,0
S1,California Black Bears,Columbus Sliders,0.3789,0.6211,-1.811,4.280,5.527,Zoey Weil v Parris Todd | Joseph Wild v CJ Klinger | Sahra Dennehy v Tyra Hurricane Black | Pablo Tellez v Andrei Daescu,WMWM,W,1
S1,California Black Bears,Dallas Flash,0.5443,0.4557,0.446,4.892,4.865,Joseph Wild v JW Johnson | Pablo Tellez v Augustus Ge | Zoey Weil v Danni-Elle Townsend | Sahra Dennehy v Alix Truong,MMWW,M,0
S1,California Black Bears,Florida Smash,0.7152,0.2848,2.771,5.638,4.426,Joseph Wild v Cason Campbell | Pablo Tellez v Christopher Crouch | Zoey Weil v Paula Rives | Sahra Dennehy v Mya Bui,MMWW,M,0
S1,California Black Bears,Las Vegas Night Owls,0.4847,0.5153,-0.224,4.806,4.955,Pablo Tellez v Roscoe Bellamy | Zoey Weil v Callie Smith | Sahra Dennehy v Chao Yi Wang | Joseph Wild v Clayton Powell,MWWM,M,1
S1,California Black Bears,Los Angeles Mad Drops,0.2708,0.7292,-3.167,4.181,5.896,Pablo Tellez v Ben Johns | Zoey Weil v Jade Kawamoto | Joseph Wild v Max Freeman | Sahra Dennehy v Catherine Parenteau,MWMW,M,1
S1,California Black Bears,Miami Pickleball Club,0.4898,0.5102,-0.132,4.851,4.916,Pablo Tellez v Dylan Frazier | Joseph Wild v Yuta Funemizu | Zoey Weil v Estee Widdershoven | Sahra Dennehy v Isabella Dunlap,MMWW,M,0
S1,California Black Bears,New Jersey 5s,0.1694,0.8306,-4.933,3.783,6.711,Sahra Dennehy v Anna Leigh Waters | Joseph Wild v Will Howells | Zoey Weil v Jorja Johnson | Pablo Tellez v Noe Khlif,WMWM,W,1
S1,California Black Bears,Orlando Squeeze,0.3509,0.6491,-2.139,4.196,5.563,Joseph Wild v Federico Staksrud | Pablo Tellez v Jack Sock | Sahra Dennehy v Milan Rane | Zoey Weil v Alex Walker,MMWW,M,0
S1,California Black Bears,Palm Beach Royals,0.4388,0.5612,-0.830,4.663,5.124,Zoey Weil v Sofia Sewing | Pablo Tellez v Tyson McGuffin | Joseph Wild v Dekel Bar | Sahra Dennehy v Tina Pisnik,WMMW,W,1
S1,California Black Bears,Phoenix Flames,0.5989,0.4011,1.366,5.310,4.523,Pablo Tellez v Camden Chaffin | Joseph Wild v Jonathan Truong | Zoey Weil v Alexa Schull | Sahra Dennehy v Daria Walczak,MMWW,M,0
S1,California Black Bears,SoCal Hard Eights,0.6346,0.3654,1.829,5.443,4.445,Zoey Weil v Meghan Dizon | Pablo Tellez v Armaan Bhatia | Sahra Dennehy v Cailyn Campbell | Joseph Wild v Will Mackinnon,WMWM,W,1
S1,California Black Bears,St. Louis Shock,0.2291,0.7709,-3.815,4.058,6.155,Zoey Weil v Anna Bright | Joseph Wild v Gabriel Tardio | Sahra Dennehy v Kate Fahey | Pablo Tellez v Hayden Patriquin,WMWM,W,1
S1,California Black Bears,Texas Ranchers,0.3223,0.6777,-2.539,4.193,5.742,Zoey Weil v Lea Jansen | Joseph Wild v Nicolas Acevedo | Sahra Dennehy v Kaitlyn Christian | Pablo Tellez v Eric Oncins,WMWM,W,1
S1,California Black Bears,Utah Black Diamonds,0.4504,0.5496,-0.675,4.694,5.075,Pablo Tellez v Connor Garnett | Zoey Weil v Etta Tuionetoa | Joseph Wild v Yuta Funemizu | Sahra Dennehy v Victoria Dimuzio,MWMW,M,1
S1,Carolina Hogs,Atlanta Bouncers,0.1901,0.8099,-4.645,3.759,6.618,Darrian Young v Jaume Martinez Vich | Abbigal Hatton v Mari Humberg | Brandon French v Jay Devilliers | Nicole Conard v Jessie Irvine,MWMW,M,1
S1,Carolina Hogs,Bay Area Breakers,0.3281,0.6719,-2.470,4.171,5.713,Abbigal Hatton v Kiora Kunimoto | Darrian Young v Len Yang | Nicole Conard v Ella Yeh | Brandon French v Blaine Hovenier,WMWM,W,1
S1,Carolina Hogs,Brooklyn Pickleball Team,0.1853,0.8147,-4.473,3.965,6.392,Brandon French v Christopher Haworth | Abbigal Hatton v Jackie Kawamoto | Nicole Conard v Hannah Blatt | Darrian Young v Pesa Teoni,MWWM,M,1
S1,Carolina Hogs,California Black Bears,0.2093,0.7907,-4.253,3.867,6.403,Nicole Conard v Sahra Dennehy | Abbigal Hatton v Zoey Weil | Darrian Young v Joseph Wild | Brandon French v Pablo Tellez,WWMM,W,2
S1,Carolina Hogs,Chicago Slice,0.2820,0.7180,-2.928,4.268,5.755,Darrian Young v Zane Navratil | Brandon French v John Lucian Goins | Abbigal Hatton v Ting Chieh Wei | Nicole Conard v Elsie Hendershot,MMWW,M,0
S1,Carolina Hogs,Columbus Sliders,0.1331,0.8669,-5.588,3.641,7.005,Nicole Conard v Parris Todd | Abbigal Hatton v Tyra Hurricane Black | Darrian Young v CJ Klinger | Brandon French v Andrei Daescu,WWMM,W,2
S1,Carolina Hogs,Dallas Flash,0.2776,0.7224,-3.113,4.157,5.907,Darrian Young v Augustus Ge | Abbigal Hatton v Alix Truong | Brandon French v JW Johnson | Nicole Conard v Danni-Elle Townsend,MWMW,M,1
S1,Carolina Hogs,Florida Smash,0.4364,0.5636,-0.793,4.722,5.064,Darrian Young v Christopher Crouch | Abbigal Hatton v Mya Bui | Brandon French v Cason Campbell | Nicole Conard v Paula Rives,MWMW,M,1
S1,Carolina Hogs,Las Vegas Night Owls,0.2077,0.7923,-4.172,3.970,6.306,Nicole Conard v Chao Yi Wang | Abbigal Hatton v Callie Smith | Brandon French v Roscoe Bellamy | Darrian Young v Clayton Powell,WWMM,W,2
S1,Carolina Hogs,Los Angeles Mad Drops,0.0857,0.9143,-6.762,3.544,7.728,Nicole Conard v Catherine Parenteau | Abbigal Hatton v Jade Kawamoto | Brandon French v Ben Johns | Darrian Young v Max Freeman,WWMM,W,2
S1,Carolina Hogs,Miami Pickleball Club,0.2193,0.7807,-4.044,3.969,6.295,Nicole Conard v Isabella Dunlap | Abbigal Hatton v Estee Widdershoven | Brandon French v Dylan Frazier | Darrian Young v Yuta Funemizu,WWMM,W,2
S1,Carolina Hogs,New Jersey 5s,0.0427,0.9573,-8.244,3.201,8.755,Nicole Conard v Anna Leigh Waters | Abbigal Hatton v Jorja Johnson | Darrian Young v Will Howells | Brandon French v Noe Khlif,WWMM,W,2
S1,Carolina Hogs,Orlando Squeeze,0.1378,0.8622,-5.574,3.617,7.042,Darrian Young v Federico Staksrud | Brandon French v Jack Sock | Abbigal Hatton v Milan Rane | Nicole Conard v Alex Walker,MMWW,M,0
S1,Carolina Hogs,Palm Beach Royals,0.1730,0.8270,-4.803,3.847,6.613,Nicole Conard v Tina Pisnik | Abbigal Hatton v Sofia Sewing | Darrian Young v Dekel Bar | Brandon French v Tyson McGuffin,WWMM,W,2
S1,Carolina Hogs,Phoenix Flames,0.3080,0.6920,-2.685,4.214,5.756,Nicole Conard v Daria Walczak | Abbigal Hatton v Alexa Schull | Darrian Young v Jonathan Truong | Brandon French v Camden Chaffin,WWMM,W,2
S1,Carolina Hogs,SoCal Hard Eights,0.3288,0.6712,-2.243,4.390,5.493,Nicole Conard v Cailyn Campbell | Abbigal Hatton v Meghan Dizon | Brandon French v Armaan Bhatia | Darrian Young v Will Mackinnon,WWMM,W,2
S1,Carolina Hogs,St. Louis Shock,0.0608,0.9392,-7.394,3.458,8.097,Nicole Conard v Kate Fahey | Abbigal Hatton v Anna Bright | Darrian Young v Gabriel Tardio | Brandon French v Hayden Patriquin,WWMM,W,2
S1,Carolina Hogs,Texas Ranchers,0.0994,0.9006,-6.272,3.629,7.365,Nicole Conard v Lea Jansen | Abbigal Hatton v Kaitlyn Christian | Darrian Young v Nicolas Acevedo | Brandon French v Eric Oncins,WWMM,W,2
S1,Carolina Hogs,Utah Black Diamonds,0.1960,0.8040,-4.389,3.962,6.424,Nicole Conard v Victoria Dimuzio | Abbigal Hatton v Etta Tuionetoa | Brandon French v Connor Garnett | Darrian Young v Yuta Funemizu,WWMM,W,2
S1,Chicago Slice,Atlanta Bouncers,0.3514,0.6486,-1.994,4.409,5.463,Elsie Hendershot v Jessie Irvine | Zane Navratil v Jay Devilliers | John Lucian Goins v Jaume Martinez Vich | Ting Chieh Wei v Mari Humberg,WMMW,W,1
S1,Chicago Slice,Bay Area Breakers,0.5203,0.4797,-0.035,4.624,5.087,Elsie Hendershot v Kiora Kunimoto | Ting Chieh Wei v Ella Yeh | Zane Navratil v Len Yang | John Lucian Goins v Blaine Hovenier,WWMM,W,2
S1,Chicago Slice,Brooklyn Pickleball Team,0.3464,0.6536,-1.959,4.472,5.368,Elsie Hendershot v Hannah Blatt | Ting Chieh Wei v Jackie Kawamoto | John Lucian Goins v Christopher Haworth | Zane Navratil v Pesa Teoni,WWMM,W,2
S1,Chicago Slice,California Black Bears,0.3742,0.6258,-1.929,4.190,5.587,Elsie Hendershot v Sahra Dennehy | Ting Chieh Wei v Zoey Weil | Zane Navratil v Joseph Wild | John Lucian Goins v Pablo Tellez,WWMM,W,2
S1,Chicago Slice,Carolina Hogs,0.6835,0.3165,2.378,5.537,4.444,Elsie Hendershot v Abbigal Hatton | Ting Chieh Wei v Nicole Conard | John Lucian Goins v Brandon French | Zane Navratil v Darrian Young,WWMM,W,2
S1,Chicago Slice,Columbus Sliders,0.2671,0.7329,-3.383,3.879,6.029,Elsie Hendershot v Parris Todd | Ting Chieh Wei v Tyra Hurricane Black | Zane Navratil v CJ Klinger | John Lucian Goins v Andrei Daescu,WWMM,W,2
S1,Chicago Slice,Dallas Flash,0.4647,0.5353,-0.557,4.673,5.097,Elsie Hendershot v Danni-Elle Townsend | Zane Navratil v Augustus Ge | Ting Chieh Wei v Alix Truong | John Lucian Goins v JW Johnson,WMWM,W,1
S1,Chicago Slice,Florida Smash,0.6458,0.3542,1.932,5.439,4.463,Elsie Hendershot v Paula Rives | Ting Chieh Wei v Mya Bui | John Lucian Goins v Cason Campbell | Zane Navratil v Christopher Crouch,WWMM,W,2
S1,Chicago Slice,Las Vegas Night Owls,0.3695,0.6305,-1.869,4.296,5.482,Elsie Hendershot v Chao Yi Wang | Ting Chieh Wei v Callie Smith | John Lucian Goins v Roscoe Bellamy | Zane Navratil v Clayton Powell,WWMM,W,2
S1,Chicago Slice,Los Angeles Mad Drops,0.1876,0.8124,-4.672,3.726,6.611,Elsie Hendershot v Catherine Parenteau | Ting Chieh Wei v Jade Kawamoto | John Lucian Goins v Ben Johns | Zane Navratil v Max Freeman,WWMM,W,2
S1,Chicago Slice,Miami Pickleball Club,0.3845,0.6155,-1.722,4.309,5.490,Elsie Hendershot v Isabella Dunlap | Ting Chieh Wei v Estee Widdershoven | John Lucian Goins v Dylan Frazier | Zane Navratil v Yuta Funemizu,WWMM,W,2
S1,Chicago Slice,New Jersey 5s,0.1110,0.8890,-6.258,3.317,7.454,Elsie Hendershot v Anna Leigh Waters | Ting Chieh Wei v Jorja Johnson | Zane Navratil v Will Howells | John Lucian Goins v Noe Khlif,WWMM,W,2
S1,Chicago Slice,Orlando Squeeze,0.2931,0.7069,-2.881,4.190,5.813,Zane Navratil v Jack Sock | John Lucian Goins v Federico Staksrud | Elsie Hendershot v Alex Walker | Ting Chieh Wei v Milan Rane,MMWW,M,0
S1,Chicago Slice,Palm Beach Royals,0.3238,0.6762,-2.540,4.126,5.732,Elsie Hendershot v Tina Pisnik | Ting Chieh Wei v Sofia Sewing | Zane Navratil v Dekel Bar | John Lucian Goins v Tyson McGuffin,WWMM,W,2
S1,Chicago Slice,Phoenix Flames,0.4932,0.5068,-0.296,4.641,5.100,Elsie Hendershot v Daria Walczak | Ting Chieh Wei v Alexa Schull | Zane Navratil v Jonathan Truong | John Lucian Goins v Camden Chaffin,WWMM,W,2
