p1_name,p2_name,context,games,chemistry_mean,chemistry_sd,p_positive,percentile
Riley Newman,Vivian Glozman,mixed,7,-0.02,0.2,0.471,6.5
Julianne Le,Harrison Yee,mixed,4,0.014,0.192,0.528,84.0
Spartak Rahachou,Louie Payetta,mens,4,0.013,0.221,0.528,83.6
Farshid Mirzaee,Landon Dunn,mens,2,-0.011,0.219,0.478,22.8
Collin Johns,Christa Gecheva,mixed,13,0.023,0.186,0.528,92.6
Tatiana Ruhl,Yuta Funemizu,mixed,8,0.007,0.178,0.515,74.2
Victoria Dimuzio,Amanda Rosati,womens,6,0.033,0.202,0.55,96.3
Lorna Morris,Emmerentia Marx,womens,2,-0.001,0.197,0.501,52.3
Zane Ford,Dominique Schaefer,mixed,29,0.041,0.196,0.569,98.2
Bryanna Ojeda,Kevin Caulfield,mixed,2,-0.017,0.212,0.5,9.1
Daniel Byun,Dayna La Belle,mixed,4,0.002,0.184,0.516,60.0
Shelley Wong,Yaamunan Venkatesan,mixed,2,-0.013,0.21,0.481,17.7
Brandon French,Judit Castillo,mixed,14,0.017,0.177,0.545,87.8
Malia K Lum,Farzin Amiri,mixed,4,0.023,0.193,0.528,92.1
Carl Hilliard,Nicole Conard,mixed,6,-0.01,0.207,0.475,26.0
Isabella Hoang,Luc Pham,mixed,5,-0.002,0.19,0.502,49.4
Ross Whittaker,Kevin Dayan,mens,4,0.017,0.187,0.53,87.8
Flynn Kantzalis Orton,Mark Wei,mens,4,-0.004,0.216,0.51,42.6
David Litvinov,Dalia Garza,mixed,2,-0.016,0.185,0.475,11.9
Audrey Adele Brown,Tatiana Ruhl,womens,4,-0.024,0.198,0.459,4.0
Nicole Eugenio,Domenika Turkovic,womens,4,0.014,0.192,0.531,84.7
Sergey Afanasenka,Rob Hutchins,mens,2,-0.007,0.177,0.476,34.4
Brodie Smith,Indigo Dagnall,mens,4,0.0,0.205,0.516,54.8
Michael I,Luke Ness,mens,2,-0.005,0.197,0.491,40.2
