player_id,name,gender,games,b_adjusted,se,z,clutch_shrunk,shrunk_sd
fc05556e-3e38-4a38-99c2-f855174a7c28,Hayden Patriquin,M,964,0.004522,0.003301,1.370,0.003376,0.002760
a000a067-1bf1-442f-a961-e6c97cb50006,Nicolas Acevedo,M,117,0.011547,0.008838,1.306,0.003364,0.004373
a6f57d71-bf90-48fc-b05b-abe66980a132,Mike Radermacher,M,95,0.014277,0.010455,1.366,0.003263,0.004534
c85c50d9-eaa4-4581-b6bb-583a808706bf,Kyle Koszuta,M,73,0.017112,0.011803,1.450,0.003234,0.004629
db5eef5c-99dd-49d9-bbfc-65171a366bda,Anna Bright,F,1089,0.004431,0.003481,1.273,0.003227,0.002863
12c765d0-8384-41d3-a498-de63fd7c37da,Naomi Nguyen,F,64,0.023638,0.014511,1.629,0.003173,0.004755
9e500bd3-b4ff-449e-81fe-9ef54d091dbc,Sarah Ansboury,F,92,0.019841,0.013155,1.508,0.003153,0.004700
30d6d999-b324-4744-b08c-8309e83c57b0,Naveen Beasley,M,124,0.011344,0.009325,1.217,0.003109,0.004429
12d79cbe-b5c7-4504-ab8f-f352a6bb8629,Thomas Wilson,M,165,0.007543,0.006848,1.101,0.003107,0.004055
41118195-75b3-4b25-adc9-07991301280a,Craig Johnson,M,192,0.007827,0.007107,1.101,0.003088,0.004107
99b25b49-2a51-412d-9fbf-e1b6804acce0,Camden Chaffin,M,160,0.009041,0.008079,1.119,0.003040,0.004271
52690a0c-ed4a-4e0b-bf69-4ef416cf7d55,Eric Oncins,M,579,0.004708,0.004404,1.069,0.002975,0.003314
4553e8f7-d51d-41cd-bc23-752742441bff,Garrison Eaby,M,75,0.015259,0.011763,1.297,0.002962,0.004627
435e466e-22c7-4917-8cb4-ff45bbccde19,Tamaryn Emmrich,F,330,0.005750,0.005627,1.022,0.002950,0.003751
efedfcd1-7638-4c6e-8225-fea7f8d40031,Victoria Simon,F,86,0.017001,0.012695,1.339,0.002923,0.004678
26ef815c-33ef-404d-a3b8-f0a26c240109,Stephen Madonia,M,146,0.009847,0.008908,1.105,0.002921,0.004382
81535c8c-27d9-452c-a72a-61fc9f755b01,Will Mackinnon,M,179,0.008599,0.008277,1.039,0.002840,0.004300
d45a3391-82f4-45d0-ba66-f1901854a8d0,Darrian Young,M,353,0.005320,0.005539,0.961,0.002795,0.003725
84bc805f-1c7a-4151-8c50-f3236805edea,Aanik Lohani,M,84,0.012764,0.011029,1.157,0.002788,0.004578
646f7432-e6ad-4ccf-95ee-a0e5d9514d28,Alix Truong,F,495,0.004883,0.005056,0.966,0.002788,0.003567
a7e358b0-517e-4972-89ff-d95f0797e1c7,Jase Edwards,M,74,0.014855,0.012143,1.223,0.002784,0.004649
9b97206b-783a-4fab-85e9-45a6240325a5,Catherine Parenteau,F,900,0.003921,0.003782,1.037,0.002762,0.003023
04158680-ebb3-4554-96a1-500cc6d00882,Chloe Igleski,F,147,0.010334,0.009677,1.068,0.002760,0.004465
b3f6f49d-bc24-44fd-8068-4e5971e9d61a,Daniel Miron,M,93,0.010654,0.010131,1.052,0.002679,0.004507
5925398b-b2a9-4e8f-ae46-5c2b59b1b818,Nicole Conard,F,262,0.005704,0.006408,0.890,0.002616,0.003958
ff38654d-daae-4bad-a1a7-690e4e5706eb,Connor Garnett,M,615,0.003815,0.003997,0.954,0.002614,0.003130
0f2bcb8e-7a61-420c-ac30-b9626b8049a6,Caitlin Klaassen,F,84,0.009676,0.009715,0.996,0.002608,0.004468
b68c0204-d9d4-4cba-bf23-46706abd77bf,Clayton Powell,M,155,0.007962,0.008477,0.939,0.002600,0.004327
3ad652aa-3fdd-4e53-8f34-dfdedc3c1901,Christine Maddox,F,60,0.020964,0.015766,1.330,0.002584,0.004794
1de884f8-7bf7-4b49-9de8-3f1fd74cabd6,Dylan Frazier,M,724,0.003752,0.003984,0.942,0.002580,0.003123
1abf464c-e8fc-472b-b1c8-f42a5c1fc02a,Natalie Hur,F,77,0.013915,0.012491,1.114,0.002555,0.004668
525bfe63-4047-4100-9289-b4af47a25f98,Alia Brown,F,67,0.015589,0.013463,1.158,0.002535,0.004714
8b7405b5-f3bc-4e32-bfbc-cc2e14f7454c,Jose Martinez,M,69,0.011757,0.011357,1.035,0.002524,0.004601
f4c43443-fdff-4344-b291-274cfd26361e,Juan Benitez,M,221,0.006414,0.007387,0.868,0.002519,0.004159
4e3bcf37-c264-475d-b956-7c3992d3d7fd,Brandon Nsekpong,M,83,0.010993,0.010968,1.002,0.002499,0.004574
c84377c6-b0ca-42dd-bc1a-2fd3d3c4ef9f,Ryan Torresin,M,71,0.013176,0.012328,1.069,0.002491,0.004659
05b194b3-db88-4f77-a26f-5ef5cfbf6146,Riley Newman,M,571,0.003833,0.004452,0.861,0.002462,0.003334
5c35babd-ded9-4e8f-a70e-5712c2a95d50,Sophia Phuong Anh Tran,F,68,0.010975,0.011102,0.989,0.002460,0.004584
18dd2b8c-d93c-43eb-be75-a64bcf36f486,Julia Ronney,F,60,0.012190,0.011886,1.026,0.002456,0.004634
759ecf95-26a6-4ffe-bb8b-035d3ec05f31,Matt Wright,M,447,0.004154,0.005020,0.827,0.002437,0.003554
9bce3fcf-8e63-4ed7-b4a5-00e0063a618f,Ariana Rodriguez,F,84,0.013054,0.012623,1.034,0.002404,0.004675
70c18684-f615-4d05-9aa9-5cbdbd53ab9f,Carlota Trevino,F,119,0.008586,0.009771,0.879,0.002362,0.004474
29e8121d-6f86-4192-b7af-ab05b77b89fe,Ting Chieh Wei,F,262,0.005164,0.006580,0.785,0.002354,0.003997
0dfe6dd7-dcc9-407b-a761-1cafc880401b,Erik Pailet,M,103,0.009094,0.010202,0.891,0.002352,0.004513
dba7cf49-9f57-43e3-878d-a63ced26a243,Jaeda Minniefield,F,186,0.006701,0.008270,0.810,0.002330,0.004299
0c1bb94d-3af2-42f4-b938-d712c707ace4,Callie Smith,F,602,0.003489,0.004287,0.814,0.002321,0.003263
bd061b42-2f82-4bbe-82be-d8bcfb37f9e1,JW Johnson,M,998,0.002916,0.003465,0.841,0.002207,0.002854
89647b43-f3f5-49e6-896f-614f0175a3f5,Jackson Ayotte,M,120,0.006108,0.008286,0.737,0.002165,0.004301
2856d69d-887b-4e89-a5c9-975f581f84a0,Len Yang,M,193,0.004996,0.007031,0.711,0.002163,0.004092
8187d00f-7c10-4947-a218-1641c659356c,Sam Angelo,M,82,0.010021,0.011853,0.845,0.002133,0.004632
d889476e-0b2f-4acf-a873-f7aea0b92dab,Evgeniy Kim,M,61,0.012017,0.013279,0.905,0.002131,0.004706
ca3c21b0-a715-40fd-bf00-c81e22d7da11,Daniel De la Rosa,M,251,0.004277,0.006266,0.683,0.002109,0.003924
f76f4ac5-e3cc-4fe6-a4bc-a968b8b991b1,Alex Walker,F,374,0.003984,0.005860,0.680,0.002100,0.003818
7cb07784-a295-4038-b712-ec86ecd70c39,Michelle Esquivel,F,117,0.007778,0.010233,0.760,0.002087,0.004516
348255bf-f94e-47cb-ab5d-95969c2bd7b9,Aiko Yoshitomi,F,126,0.007848,0.010345,0.759,0.002077,0.004525
dbcb41e9-e983-410b-bc23-d184d034cfc0,Tyson McGuffin,M,611,0.003050,0.004354,0.701,0.002049,0.003293
23a8af5a-fed3-445d-99aa-1a5f69a05ff6,Brie Aldridge,F,74,0.009910,0.012213,0.811,0.002046,0.004653
20945292-032a-47f1-93c5-d44ada6e4783,Yufei Long,F,112,0.007825,0.010592,0.739,0.002021,0.004545
a498be96-114c-4857-9d60-4ff2a3e89434,Collin Shick,M,187,0.004906,0.007508,0.653,0.002011,0.004180
45596674-36ae-4768-b4ee-c7181d9b2ea7,Sammy Lee,M,85,0.008273,0.011106,0.745,0.001999,0.004584
5a2bcefc-c495-4a2d-b3cc-03b6cdecd84f,Xiao Yi Wang-Beckvall,F,90,0.009120,0.011852,0.769,0.001996,0.004632
ab6386c6-c7e3-422f-9134-e20e92725ee5,Emma Nelson,F,114,0.007355,0.010369,0.709,0.001978,0.004527
c3066b2d-fc90-4774-a571-cde5fc5583d4,Chloe Diskin,F,63,0.011763,0.014115,0.833,0.001957,0.004740
11ed643d-b6df-4198-a0b1-bee4fb905625,Mihae Kwon,F,68,0.010098,0.012871,0.785,0.001956,0.004687
fd565e56-6223-4ef0-882e-02346e7e0573,Brooke Caruso,F,113,0.006732,0.009868,0.682,0.001954,0.004483
a8256366-d2f9-4787-bf8c-d8e76c55fa86,Mouaad Alhouni,M,64,0.009554,0.012581,0.759,0.001931,0.004672
