uuid,name,gender,n_high,n_low,serve_regular,return_regular,serve_big,return_big,regular,big,lift,lift_se,z,skill_adj,lift_rank,skill_adj_rank,lift_halfA,lift_halfB
a70be599-8b9f-405d-9e10-f501b0046e74,Shannon Pretorius,F,448,989,0.0367,-0.0218,0.0493,0.0533,0.0148,0.1026,0.0878,0.1978,0.44,0.1484,238,191,0.2871,-0.1125
875df336-1f62-4929-896e-8f458591d636,Zack Taylor,M,215,394,-0.1721,0.0935,-0.0382,0.0474,-0.0785,0.0092,0.0877,0.2732,0.32,0.1768,239,168,-0.0308,0.0217
7b85c35f-6a90-4c61-af0b-565658feeb3c,Freddie Powell,M,1174,2205,0.0709,0.0031,0.0644,0.0965,0.074,0.161,0.087,0.1489,0.58,-0.0588,240,468,-0.0985,0.0932
9e8ad96a-17a3-48bf-9363-7b35cc96b2b8,Averee Beck,F,312,715,-0.2179,0.0351,-0.0996,0.0014,-0.1828,-0.0983,0.0846,0.262,0.32,0.2845,241,89,-0.0464,0.1974
3d67b6d0-063e-466c-a475-7679d0764354,Austin Bricker,M,2195,4290,0.0168,0.0058,0.1275,-0.0203,0.0226,0.1071,0.0845,0.1147,0.74,-0.0382,242,433,0.0178,-0.0111
8187d00f-7c10-4947-a218-1641c659356c,Sam Angelo,M,798,1438,-0.0484,-0.1072,-0.038,-0.0333,-0.1556,-0.0713,0.0843,0.1803,0.47,0.0162,243,348,-0.3141,0.3308
2e858abd-e6cb-4a07-b6ea-fd6ca01556ae,Rachael James,F,701,1401,0.0343,0.0514,0.1078,0.0615,0.0857,0.1693,0.0837,0.1807,0.46,-0.096,244,524,-0.0701,0.1345
6382a284-3db4-4d37-ac8a-2234c250bc81,Amrik Donkena,M,497,1053,-0.072,0.0069,-0.0068,0.0245,-0.0651,0.0176,0.0828,0.2126,0.39,0.0553,245,296,0.1788,-0.1592
d8d51930-abf9-468b-9e43-55a9c0728d58,Anouar Braham,M,3339,6706,0.0312,0.0371,0.0833,0.0671,0.0683,0.1504,0.082,0.091,0.9,-0.0422,246,439,0.0032,0.0426
f51d6dfa-5101-49d8-aea5-269e481e1918,Helen To,F,603,1250,-0.113,-0.0077,-0.0774,0.0378,-0.1207,-0.0396,0.0812,0.1923,0.42,0.0648,247,282,0.0387,0.0793
d93f56ce-61cc-477d-a26c-17d04e53b2ff,Anna Lenhart,F,175,349,-0.143,-0.2277,-0.1361,-0.1539,-0.3707,-0.29,0.0807,0.3119,0.26,0.2431,248,114,-0.0075,0.1791
