uuid,name,gender,n,attack,attack_se,defend,defend_se,level_serve,level_return,total
129b2771-34b5-4b7f-9c23-e020a6aa3e6a,Anna Leigh Waters,F,37333,0.5553456148248282,0.01687429210227101,0.558302246639088,0.017086710915334095,0.07249859234481476,-0.003253958460305874,1.1136478614639163
6f862c1d-1317-4fe7-bdcd-64caa0dbb088,Ben Johns,M,42774,0.43534212848967413,0.01495445640362755,0.44304351715204504,0.015365096090836698,0.07562681351367943,0.05738891670964056,0.8783856456417192
db5eef5c-99dd-49d9-bbfc-65171a366bda,Anna Bright,F,39402,0.4237519496295522,0.015601904189980743,0.40100654567630745,0.015810480905045898,0.07221177625965915,0.05068450566468743,0.8247584953058597
b51ea0fb-c243-4427-85f8-b798febb51ff,Jorja Johnson,F,35586,0.38037191352444727,0.0162992739495783,0.3704552930197671,0.01646376654309252,0.020660990964876797,0.033277121718664975,0.7508272065442143
79a11da1-6aeb-4719-9b1e-9918e0163cec,Christian Alshon,M,35836,0.371985428817268,0.015803961034540907,0.34440612553129446,0.01593142254970105,0.04879980872160893,0.05165786139750475,0.7163915543485624
bd061b42-2f82-4bbe-82be-d8bcfb37f9e1,JW Johnson,M,37564,0.34197360507432367,0.015536013864982594,0.3630650319778028,0.015639322171875036,0.04139806080997986,0.07026149156171653,0.7050386370521264
d50310a6-9378-4228-823f-7fb54f7bd698,Gabriel Tardio,M,36008,0.34333793691638903,0.016012144665511603,0.3598453478565296,0.015947786922830526,0.02684082440392505,0.05032196963809122,0.7031832847729187
581183e8-3d9e-459e-b69f-7337d8b6f3d2,Andrei Daescu,M,37562,0.3423068184038899,0.015615288878230674,0.3385341058450621,0.015355174305797963,0.028369023626865924,0.058415706860226256,0.6808409242489519
fc05556e-3e38-4a38-99c2-f855174a7c28,Hayden Patriquin,M,37528,0.3319483058274585,0.015527863233844641,0.33691994911591305,0.015582373066039091,0.04999418381144806,0.0511151114684115,0.6688682549433715
12d79cbe-b5c7-4504-ab8f-f352a6bb8629,Thomas Wilson,M,7186,0.30914543935928557,0.03407603568017315,0.3546491916363823,0.033236835631556716,0.013770071181674191,0.08912443991933666,0.6637946309956679
fec65f7e-f2c8-482f-ab5b-541cf53b1064,Tyra Hurricane Black,F,32989,0.30400872023347314,0.016709993205746457,0.33024653633944157,0.016738862005873684,0.028141363605090786,0.043661330900269614,0.6342552565729147
50908953-a944-4a34-898b-16af312bc814,Rachel Rohrabacher,F,31734,0.30743750210492415,0.016924453662601993,0.32384895460458857,0.017084736752803528,0.05271175671013846,0.016863815589872138,0.6312864567095127
1728d016-1f02-4789-be73-63d12d5a5b42,Parris Todd,F,26344,0.30807240328728797,0.018643915004411354,0.3185733872122437,0.01839098670498865,0.030600346183929598,0.024667483687279564,0.6266457904995317
be33755f-9262-461b-aedd-e9a7a686a82c,Jackie Kawamoto,F,18213,0.32025796712420995,0.022209085545404884,0.29670767294581607,0.021708369478951203,0.029207658208470964,0.019773339065969307,0.6169656400700261
6cae3a50-eee6-45ea-8b28-85ef9c50e3c4,Jade Kawamoto,F,17738,0.3083512280749036,0.022264070218238962,0.2821149983131951,0.022144838761129926,0.04905087327752077,0.021509520792788898,0.5904662263880986
9b97206b-783a-4fab-85e9-45a6240325a5,Catherine Parenteau,F,32420,0.2748822317136278,0.01679801353116477,0.31244913063962776,0.017249495279948002,0.06023817351966966,0.048678822203522744,0.5873313623532556
7edb882c-6d17-4129-8208-710e3c82364c,Federico Staksrud,M,39130,0.29929069120975027,0.015100544621242225,0.2721355117733286,0.014983105663353681,0.033178483155226014,0.04478738071267705,0.5714262029830789
b9bacc1e-29b5-4a92-a9c1-24e08ac72215,Sofia Sewing,F,3533,0.28210862447249774,0.04552405147675825,0.26907948097840134,0.04589547019372135,0.06668373140479436,0.04020580993714941,0.5511881054508991
f879086b-e0e5-4772-b0a6-4055c265da69,Tina Pisnik,F,30722,0.25306008195436996,0.017027196494914125,0.29760019819767825,0.017172677888824872,0.02193189247494333,0.025370275385331507,0.5506602801520482
295e343a-31a0-4e1d-a286-d62592291435,Jay Devilliers,M,22183,0.27621719421296353,0.019878159289128342,0.2640066414887361,0.019655055581079214,-0.027406054745728388,0.07714252390610196,0.5402238357016996
3af01041-5679-400a-87b8-12c01db8cec4,Kate Fahey,F,20593,0.27249605629651463,0.020999077853719277,0.2637660698859985,0.02072953736367479,0.055819130191761594,0.005730270200062148,0.5362621261825131
52690a0c-ed4a-4e0b-bf69-4ef416cf7d55,Eric Oncins,M,21715,0.25341760363958465,0.02019715692205002,0.2795408259476766,0.020133601841839672,0.06700523062057294,0.01951417321589146,0.5329584295872613
05b194b3-db88-4f77-a26f-5ef5cfbf6146,Riley Newman,M,21999,0.2581886619979443,0.01975925088661089,0.26543747820143637,0.019801899405989903,0.04876777853244254,0.03358077620311092,0.5236261401993807
a000a067-1bf1-442f-a961-e6c97cb50006,Nicolas Acevedo,M,4188,0.28720237181394037,0.04143868687307317,0.2346660594009881,0.041292705663826625,0.03549535266289224,0.061743919335471804,0.5218684312149284
2c4de762-88d6-47c3-8b2b-af562c5d1f93,Danni-Elle Townsend,F,5430,0.21258270066021098,0.03809809104419694,0.30516391303552887,0.03859280792390863,-0.036854443908879944,0.06735059330805508,0.5177466136957398
ead35052-7367-4296-96d4-064f546cc2b9,CJ Klinger,M,23438,0.21386967082051023,0.01935648135512913,0.28398477120025134,0.01920741499427228,0.05226707454055166,0.012472258846638126,0.49785444202076157
8f521dcc-1cb5-4c8d-933c-af6b267bd395,Meghan Dizon,F,25275,0.22412635255401298,0.01883814987153163,0.26582938482702007,0.018638683913421192,0.05913698555169456,0.000999437569002329,0.48995573738103304
676b1cbc-766c-4616-bf39-1787ffd8c72a,Etta Tuionetoa,F,23930,0.2459844294525663,0.019267183317219407,0.2364904994670152,0.019361761600167924,0.023098508509382613,0.05127348007191836,0.4824749289195815
1bb8b2c1-ca6f-45ac-afdd-fab7e77d69d4,Noe Khlif,M,22291,0.24939980192321048,0.019636743209128428,0.23007464245109152,0.01977309116781886,0.07260884869148244,0.0023615182123738186,0.479474444374302
ff38654d-daae-4bad-a1a7-690e4e5706eb,Connor Garnett,M,23588,0.22412016151504427,0.019111026340051886,0.24290095844520282,0.019032312924747222,0.05816981814911705,0.04281721671263637,0.4670211199602471
1de884f8-7bf7-4b49-9de8-3f1fd74cabd6,Dylan Frazier,M,27866,0.2394769797566913,0.017588639496341686,0.22265009650491463,0.017751288118384275,0.04154140047613412,0.05739302986935945,0.46212707626160593
89843e44-48fd-4a3f-b8c0-5f5aa6ae5741,Dekel Bar,M,26265,0.21491604224030592,0.018147478247331202,0.24338454545526278,0.018074742676469625,0.03775344229477301,0.053460747462525486,0.4583005876955687
b1ab7d76-a859-4136-8405-3ed7c9be287a,Mari Humberg,F,18513,0.2579345001068231,0.02222695309622262,0.19290648161639307,0.021812515895183272,-0.002503186359424984,0.057470196319656365,0.4508409817232162
dbcb41e9-e983-410b-bc23-d184d034cfc0,Tyson McGuffin,M,23396,0.23744589880789874,0.019062632608875873,0.20351935504050264,0.01908625666538264,0.03941751372962063,0.045652269653116,0.44096525384840135
afc0bfc9-8cd8-4600-bd45-681092186db3,Vivienne David,F,15276,0.16307786981787623,0.023947958299910733,0.2743791585952412,0.02399799159757008,-0.0035127428113157478,0.058839318406271574,0.4374570284131174
d0f19d1e-2a6e-4eb3-b10c-1311edd599a8,Will Howells,M,7336,0.22426491256159925,0.03332108113037027,0.19914927226125703,0.032884201632271494,0.006383265779924406,0.07013465030723812,0.4234141848228563
14d61e81-14d5-4cb3-ae33-d427fbc1b4f6,Quang Duong,M,11518,0.21443219109808964,0.026923886122923193,0.20872002390185374,0.02667128353407006,0.04861047407467601,0.005335195834071581,0.4231522149999434
a3ed7970-35d2-485c-8285-187c298a2d83,Lacy Schneemann,F,22998,0.20546938591655797,0.019713424881396865,0.21361518471447832,0.01949093974478047,0.047292018824624055,0.01980410508941386,0.4190845706310363
3a43c56f-b9d8-4e72-ae8a-58fd69291946,Jack Sock,M,17165,0.23075662810385092,0.02228050118757563,0.18556641409362346,0.022257262552103026,-0.026999271598402305,0.07485347236937427,0.4163230421974744
7319013d-d511-4aa5-a356-4aa2cccf94f5,Lea Jansen,F,27468,0.1775361722781273,0.017907844293121353,0.23633970758450054,0.01830178168277695,0.010991568501328262,0.06105523382460345,0.41387587986262786
