p1_name,p2_name,context,games,chemistry_mean,chemistry_sd,p_positive,percentile
Nicole Conard,Freddie Powell,mixed,2,-0.119,0.48,0.411,4.9
Marisa Ruiz,Jae Centonze,mixed,13,0.072,0.504,0.541,83.7
Natalia Maynetto,Domenico Geminiani,mixed,4,0.022,0.482,0.516,67.1
Veronica Alteri,Diego Lebron Perez,mixed,2,-0.023,0.475,0.481,43.6
Mark Dancuart,Riley Bohnert,mixed,6,0.085,0.486,0.566,86.0
Christopher Crouch,Paula Rives,mixed,44,0.048,0.438,0.536,76.5
Kayla Williams,Parth Mody,mixed,12,-0.054,0.459,0.461,24.4
Tobias Moreno,Ali Quintero,mixed,3,-0.017,0.473,0.474,46.7
Jada Bui,Juan Benitez,mixed,6,0.003,0.477,0.504,58.2
Zach (ernesto) Hunter,Christa Gecheva,mixed,6,-0.036,0.456,0.475,34.9
Madalina Grigoriu,Nejc Sitar,mixed,5,-0.04,0.475,0.476,32.1
Ashley Griffith,George Rangelov,mixed,51,0.323,0.487,0.739,99.6
Mehvish Safdar,Anouar Braham,mixed,12,0.176,0.496,0.624,96.2
Jhonnatan Medina Alvarez,Olivia McMillan,mixed,11,0.084,0.469,0.56,85.8
Jemere Plummer,Victoria Simon,mixed,12,0.008,0.481,0.506,60.7
Austin Bricker,Mya Bui,mixed,18,0.114,0.472,0.578,91.2
Brie Aldridge,Federico Nani,mixed,2,-0.077,0.496,0.43,13.7
Andrew Loftin,Brittni Tonnessen,mixed,4,0.08,0.46,0.567,85.1
Eva Kohutova,Jake Benjamin,mixed,2,-0.044,0.479,0.465,30.0
Zachary Higginson,Valerie R Simon,mixed,2,-0.041,0.486,0.459,31.8
Martina Frantova,William Sobek,mixed,6,-0.036,0.476,0.477,34.5
Preston Engel,Rachel Summers,mixed,12,-0.043,0.48,0.479,30.8
Caio Bardauil,Michelle Esquivel,mixed,7,0.024,0.49,0.518,68.2
Poongi Hong,Kelsey Laurente,mixed,15,-0.068,0.456,0.444,17.4
Kimberly Bacalla,Ben Slive,mixed,5,-0.018,0.472,0.489,46.5
Tanner Tomassi,Jessica Warren,mixed,5,0.078,0.479,0.56,84.7
Jay Evans,Katie Mell,mixed,2,-0.03,0.485,0.488,39.2
Ewa Radzikowska,Martin Emmrich,mixed,35,-0.159,0.44,0.359,1.9
Seone Mendez,Jake Anderson,mixed,5,0.099,0.48,0.569,88.4
Zane Ford,Maria Ford,mixed,24,0.199,0.477,0.63,97.2
Andrea Koop,Camden Chaffin,mixed,4,-0.048,0.471,0.467,28.0
Adair Garcia,Jaeda Minniefield,mixed,4,0.092,0.489,0.569,87.3
Vincent Rettke,Andrea Miller,mixed,2,-0.081,0.516,0.445,12.4
Luca Mack,Estee Widdershoven,mixed,30,-0.099,0.459,0.412,8.8
Arianna Raga,Vladimir Orellana,mixed,2,0.037,0.49,0.528,72.7
Audrey Banada,MJ Marrero,mixed,24,0.046,0.477,0.539,76.0
Jazz Hearn IV,Julian Slive,mixed,3,0.021,0.497,0.515,66.5
Brittany Levkulich,Roger Dugas,mixed,9,0.004,0.461,0.506,59.2
Mandy Gabriel,Michael Leonard,mixed,2,-0.061,0.535,0.459,20.9
Regina Goldberg,Johnny Goldberg,mixed,10,-0.1,0.469,0.419,8.5
Eliel Herminas,Monica Perez,mixed,2,-0.04,0.469,0.463,32.4
Brandon Johnson,Scout Johnson,mixed,2,-0.006,0.486,0.496,53.6
Adalynn Lund,Christian Lund,mixed,17,-0.027,0.481,0.479,40.5
Tom Protzek,Tamaryn Emmrich,mixed,2,-0.145,0.487,0.382,2.6
Haley Ferguson,Adam Harvey,mixed,3,-0.055,0.498,0.461,24.0
Alicia Lai,Miles Hoover,mixed,2,-0.092,0.466,0.43,10.0
Zach Gonnering,Christee Chargot,mixed,2,-0.057,0.463,0.449,23.2
Ernesto Fajardo,Alia Brown,mixed,3,-0.014,0.462,0.479,48.4
Morgan Downing,Brendan Gallagher,mixed,3,0.055,0.459,0.532,78.6
Caroline Stepnowski,Joe Wiencek,mixed,2,0.0,0.496,0.497,57.0
Samantha Buyckx,Michael Vallejo,mixed,2,-0.112,0.45,0.398,6.1
Warren Tamanaha,Yaamunan Venkatesan,mens,10,-0.064,0.486,0.464,19.4
Jake Panno,Eric Diaz,mens,11,0.005,0.478,0.501,59.7
Natalie Hur,Jaikin Gomez,mixed,8,-0.025,0.46,0.496,42.1
