player_id,full_name,gender,name_variants
001e0c99-ca33-4d77-a721-d012be8acc8e,Garrett Swaney,M,"[""Garrett Swaney""]"
001e944e-7159-46c8-afe6-63c2754d9241,Brodie Smith,M,"[""Brodie Smith""]"
00333c0f-cfae-404f-a137-0dca5a3d67dd,Duncan Mulenga Jr.,M,"[""Duncan Mulenga Jr.""]"
00e04f40-f239-42cd-baaa-0800e5f7d525,Sarah Carpenter,F,"[""Sarah Carpenter""]"
013ec48b-8d63-4849-840c-948862965f08,Jak Crow,M,"[""Jak Crow""]"
0142557a-6231-455b-8eee-daf5f67fc1ff,James Seagraves,M,"[""James Seagraves""]"
01896d81-137e-4ebe-b18b-8d1c3beeb375,Isaac Hall,M,"[""Isaac Hall""]"
01ad1002-ab3c-4f05-b99c-8c265738bd68,Sarah McGee,,"[""Sarah McGee""]"
01b07975-0090-42e8-b9d3-513896e6cd31,Eduardo Garcia,M,"[""Eduardo Garcia""]"
01b97541-4425-4241-a2d7-7025477b293f,Aurora Arvelo,,"[""Aurora Arvelo""]"
01da4c59-d574-49a0-9582-db348523db00,Austin Bachman,M,"[""Austin Bachman""]"
01f8bc01-6aa9-45e3-95f2-ba4250adca73,Raquel Amaro,F,"[""Raquel Amaro""]"
02a3c8ae-fb47-4b82-8001-b33d9446a90e,Robert Laidlaw,M,"[""Robert Laidlaw""]"
02e4c38f-5537-42b7-8106-a0caa7473e4a,Ray Filardi,M,"[""Ray Filardi""]"
030f3afe-5d7f-471e-af4d-b7abbe4cbb16,Rodrigo Yoshikata,M,"[""Rodrigo Yoshikata""]"
0343accd-6e43-4a1b-9afb-c9aaaf2f2e68,Benson Parry,M,"[""Benson Parry""]"
034ef432-2de0-4893-b242-34baee3c73a6,Jillian Niemann,F,"[""Jillian Niemann""]"
034ef82d-e77d-43ac-b0e7-4cd9c3358104,Matthew Gilbert,M,"[""Matthew Gilbert""]"
03db4060-fcb3-41f7-83d5-7ee732dd8841,Jade Rau,F,"[""Jade Rau""]"
03ee9ee1-7ce1-4704-9a48-a504790e91b0,Justin Graham,M,"[""Justin Graham""]"
04158680-ebb3-4554-96a1-500cc6d00882,Chloe Igleski,F,"[""Chloe Igleski""]"
044b3243-46cf-4b7d-bd47-9f2fad3933c8,Paul Sin,M,"[""Paul Sin""]"
04ab231b-f2ab-456a-a79a-1728f29e42fa,Eliel Herminas,M,"[""Eliel Herminas""]"
04eb9a67-a7f0-4a12-b954-b47ed04fd565,Shirley Hall,F,"[""Shirley Hall""]"
0513b1c7-d2f4-4800-92c6-07484b9fb344,Dylan Wilhelm,M,"[""Dylan Wilhelm""]"
0517f4a6-2648-470e-a9ff-8cf78eee3421,Connor McCartney,M,"[""Connor McCartney""]"
051c6bbf-be07-499c-98ec-3ce9179ce4de,Spencer Duane,M,"[""Spencer Duane""]"
051f5c82-82ce-4ab8-b4f8-36976638a89b,Sahra Dennehy,F,"[""Sahra Dennehy""]"
05b194b3-db88-4f77-a26f-5ef5cfbf6146,Riley Newman,M,"[""Riley Newman""]"
05bf7513-7f0a-4f6b-bc11-5d4b14314d91,Tom Protzek,M,"[""Tom Protzek""]"
05c9cc9c-18c5-4d1f-be3d-eb67578883c8,Risa Hirano,F,"[""Risa Hirano""]"
05de0c71-15ed-47f0-9268-8ab4dbe34993,Harrison Kircher,M,"[""Harrison Kircher""]"
063af537-3442-4e91-81b7-4ae4b11482c5,Jordann Vigna,F,"[""Jordann Vigna""]"
06ba18e0-687b-4aa3-822d-1c86981f576b,Rafa Hewett,M,"[""Rafa Hewett""]"
06bf1d7a-349c-4252-8ee0-05cb65a4a6a0,Alexis Hayden,F,"[""Alexis Hayden""]"
06dc9b8a-5c01-49cf-bb4d-70d7b5f85acf,Brooke Buckner,F,"[""Brooke Buckner""]"
06e87b30-1f70-46e6-a6a8-17a4086d609a,Kailas Shekar,M,"[""Kailas Shekar""]"
070be5dd-2dcf-44b6-b2e7-37d9fbd29aa2,Adalynn Lund,F,"[""Adalynn Lund""]"
079cece3-01b2-4dd1-9e95-957b83b14cd7,Victor Rodrigo,M,"[""Victor Rodrigo""]"
07b464bc-0c99-4969-a8b6-5b47fbc91436,Alli Hazrati,F,"[""Alli Hazrati""]"
07b5b447-0df8-48b4-8457-c7945525dfdd,Emily Lewis,,"[""Emily Lewis""]"
07c23d16-4200-4778-b78e-ab7bf6951754,VU Nguyen,M,"[""VU Nguyen""]"
07d2038a-4cec-414e-ac3f-0869c6e38390,Adam Charbit,M,"[""Adam Charbit""]"
0818d3c6-b863-49c8-89c4-e28e1cc5fb67,Natalie Kim,F,"[""Natalie Kim""]"
08208add-da5e-4a73-adb0-f1a86bf28153,Alex Guy,M,"[""Alex Guy""]"
086c9ee0-0aa3-4d2e-bc64-22a683f44d73,Ahmad El-Zarif,M,"[""Ahmad El-Zarif""]"
087c0954-17b8-440a-806d-a09a1547d9de,Carson Nguyen,M,"[""Carson Nguyen""]"
08c496a4-798a-4922-a573-dae3555f5d9e,Denson H,M,"[""Denson H""]"
091e8c64-3b31-4263-889e-7170c2313b97,Santhosh Narayanan,M,"[""Santhosh Narayanan""]"
093e132a-0458-472b-aaee-ee7e15d25e20,Chris Jammal,M,"[""Chris Jammal""]"
09d3b780-54b0-4bc9-8b9d-066753cc068f,Gregory Messina,M,"[""Gregory Messina""]"
0a287886-b880-4c46-8c66-ea4d198a7eba,Pablo Copetti,M,"[""Pablo Copetti""]"
0a58a30a-1c6f-4cf8-8ea8-06a19315506b,Heather Kim,F,"[""Heather Kim""]"
0a787ca5-f7c5-4352-99f8-3c7214e231c3,Jake Wilson,M,"[""Jake Wilson""]"
0a84556e-30f6-4500-8c95-a9ccbc51c7b1,Leah J,F,"[""Leah J""]"
0ac11983-04a4-49b8-80b6-afbc7453465e,George Bulger,M,"[""George Bulger""]"
0b75af4a-8c68-4ff7-a2f1-09bda71b5bed,Andre Mercado,M,"[""Andre Mercado""]"
0b7b1eb4-576e-4b87-a766-662437b590f0,Brandon Macdonough,,"[""Brandon Macdonough""]"
0bc24306-92b4-44e1-8b21-0aaf0c9ee4f7,Jasraj Sethi,M,"[""Jasraj Sethi""]"
0c1bb94d-3af2-42f4-b938-d712c707ace4,Callie Smith,F,"[""Callie Smith""]"
0c3263ce-a370-475e-8cd7-32414ea409dd,Ben Cawston,M,"[""Ben Cawston""]"
0c557fe1-ed48-43e7-8942-9e0e32e2e427,Hilary Toole,F,"[""Hilary Toole""]"
0c5b84bb-4c04-4906-86bc-deb533ff4eec,Zane Ford,M,"[""Zane Ford""]"
0c80fb8f-dca2-4b40-a6f7-130dfb06448c,Kevin Chen,M,"[""Kevin Chen""]"
0ccab93d-398c-40a8-821f-07a2ded79dde,Zoeya Khan,F,"[""Zoeya Khan""]"
0d14405e-2e45-4dcb-8fb7-73558c261b4f,Seone Mendez,F,"[""Seone Mendez""]"
0d23964f-d43f-4006-b1e0-13001393216c,Ross Whittaker,M,"[""Ross Whittaker""]"
0d40af37-5b44-4f00-a2c8-03ea5e34960c,Ram Kotnana,M,"[""Ram Kotnana""]"
0d659a6e-9386-45c5-a3c0-8f8ce4efaa14,Poongi Hong,M,"[""Poongi Hong""]"
0d7764b9-3d03-4a04-a432-54982c8c1b5a,Frank Welsher Iii,M,"[""Frank Welsher Iii""]"
0d95388f-4063-43ff-bd5e-bfee39700a34,Joe Prince,M,"[""Joe Prince""]"
0df3b359-d935-4c79-a16a-ce373f55db07,Ernesto Fajardo,M,"[""Ernesto Fajardo""]"
0dfe6dd7-dcc9-407b-a761-1cafc880401b,Erik Pailet,M,"[""Erik Pailet""]"
0e58c8eb-91b0-48df-8554-1ccc35106ea9,JP Gorby,M,"[""JP Gorby""]"
0e667216-69c2-4144-8e55-99351a5aff07,Rujira Peaw O'Neill,,"[""Rujira Peaw O'Neill""]"
0ea54033-c140-4b74-9133-b30bed1b6fb7,Beau Martin,M,"[""Beau Martin""]"
0f0e9307-3aa4-490b-b23f-9c59760290c8,Gregory Perkins,,"[""Gregory Perkins""]"
0f2bcb8e-7a61-420c-ac30-b9626b8049a6,Caitlin Klaassen,F,"[""Caitlin Klaassen""]"
0f7b86ab-bf9b-40ad-a3b2-3e73af1bc106,Patricia Martins,F,"[""Patricia Martins""]"
0f8523aa-0279-4dec-8697-0261e6a1f97a,Madelyn Porter,F,"[""Madelyn Porter""]"
0f8632ee-7263-4a59-b486-a273333519d6,Logan Rowe,M,"[""Logan Rowe""]"
0fd983de-06ed-48c9-aa69-9d573e84708b,Saurav Santhosh Nair,M,"[""Saurav Santhosh Nair""]"
100936b6-8837-453b-8c21-db945fb6b049,Ngo Dang Jr,M,"[""Ngo Dang Jr""]"
10397234-6551-4a06-8bc6-aa50d6915731,Liam Duffin,M,"[""Liam Duffin""]"
105b423a-d545-4b16-8449-b25c82b1f7a8,Matthew Boyett,M,"[""Matthew Boyett""]"
1072c348-fd0a-4303-9dc3-be20c9736074,Jessica Jones,F,"[""Jessica Jones""]"
107fd341-2c28-4ae5-b7a2-162706c2fcb9,E. Elenga Satuala,F,"[""E. Elenga Satuala""]"
10a358f8-1843-465a-8f3f-25fbd4613a8f,Ansley Drenner,F,"[""Ansley Drenner""]"
10ead23b-57fd-4733-a8a5-3728d9f326e3,Rafael Kayo,M,"[""Rafael Kayo""]"
110bc104-eec8-451a-bdd3-c78e9d6cad2a,Jamie Hafner Jr.,M,"[""Jamie Hafner Jr.""]"
11124e87-7f5d-45fd-8282-728c39068a3c,Nick Black,M,"[""Nick Black""]"
112f810f-f6f0-4362-9f48-1e571d7ea614,Bobby Howard,M,"[""Bobby Howard""]"
1155f023-0489-4ad0-a2cc-83551adc9c02,Joseph Evans,M,"[""Joseph Evans""]"
11989ea1-e653-42f9-91ce-13f1a78c0b4f,Lucas Coutinho,M,"[""Lucas Coutinho""]"
11c00851-4e47-48ab-9d34-19c4d2fe5716,Lincoln M,M,"[""Lincoln M""]"
11e203e1-6239-4f00-aaf9-752aae883120,Rodrigo Reyes,M,"[""Rodrigo Reyes""]"
11ed643d-b6df-4198-a0b1-bee4fb905625,Mihae Kwon,F,"[""Mihae Kwon""]"
1212cb97-01fb-4783-af53-2b03ef4f8367,Asako Pastrana,F,"[""Asako Pastrana""]"
127909ff-8248-401f-b4ca-73570851ce21,Dean Loock,,"[""Dean Loock""]"
12890797-7355-49ca-848e-56d67e33c4de,Marianna Petrei,F,"[""Marianna Petrei""]"
129b2771-34b5-4b7f-9c23-e020a6aa3e6a,Anna Leigh Waters,F,"[""Anna Leigh Waters""]"
