player_id,platform_rating_latest,n_snapshots
1212cb97-01fb-4783-af53-2b03ef4f8367,4.432,2
127909ff-8248-401f-b4ca-73570851ce21,5.35,5
12890797-7355-49ca-848e-56d67e33c4de,5.54,8
129b2771-34b5-4b7f-9c23-e020a6aa3e6a,6.453,56
12c765d0-8384-41d3-a498-de63fd7c37da,5.071,24
12e27819-a2a0-47e8-a4cb-05815ddb0488,4.635,1
13407362-97b9-4bcf-ae7a-75c3576bb99a,4.266,2
135937d9-d132-41c5-9cfd-d2b0112288b2,5.54,14
1374dfe9-4573-4ab6-991d-16bed0a6d25c,5.61,12
139f2249-820e-4e28-ad94-3b82f07ee699,4.658,2
13f96392-08ed-48b0-aaf6-20563021588f,5.67,2
141a5d80-7998-46e9-ac83-1019c415f2e6,5.79,1
143d66c6-60e0-4a09-85a6-daaee007450a,5.066,7
14516bcf-5f07-4efd-b90a-09be553e3bfa,5.106,7
146dd2f7-7f5d-495d-b2f1-96d433742fec,5.82,34
1488feea-9036-4234-b024-b3aab3dae540,4.488,1
14c184ad-dbba-44e2-9a06-4662ca93e0c1,4.493,1
14c4c96f-0a49-4d07-b16d-f6cb782491f4,5.54,7
14f68da3-a855-4656-a618-81b5d8ff6bec,5.38,9
15156d9c-65c8-4a3c-a392-c3082975cfc4,5.67,11
158f965e-0732-4358-8f9c-ae78a48bdbdb,5.43,1
15def97f-d414-4418-9c2c-7f94aca8bb22,5.2,1
15e0c195-7c57-48f3-8f90-ae4152e0d797,5.429,7
1607a4f2-2592-4745-ba49-21bbeb199151,5.33,5
16e2bfc0-c047-47a9-851d-1cc79ad3f7b1,5.248,1
1728d016-1f02-4789-be73-63d12d5a5b42,6.105,36
184b5fa9-d9b5-45da-954f-206b1f6c7696,4.92,2
18937216-cae1-4075-bda0-2fef0fc6c392,5.51,7
18a232c8-e02e-4c37-a2be-fffc1b491650,4.314,1
18bdfa84-e194-4c4b-9241-6ba51ce3d2bb,4.934,1
18c0f98a-907c-4484-95dc-be21d0f9e9b4,5.18,1
18c26e29-906c-4020-9bf0-73eda5da52b0,5.063,1
18ee08e4-2965-4966-a1a4-257d66f0bdfa,5.26,7
1936f665-e630-462a-bd89-0dcfcf7c9e6b,5.249,15
19399f8d-5931-4591-b7f6-407d1995c3a3,2.5,1
19a1f7fe-1d16-418a-be95-785266ff586e,4.99,27
19d2c48c-110f-4747-b795-ffe32aa73d58,5.713,4
19e04dba-937e-4129-a482-088765320f8a,4.99,5
19e6893f-be9f-45c5-acca-8b3427e284f1,4.4,1
1a23e505-5c98-4e61-b904-c935fa506b6d,4.85,1
1a84e636-31cd-4225-bd51-860dcdfd58ba,4.741,3
1a9b48ed-470c-4ed9-89c7-acf7fe198826,5.0,3
1abf464c-e8fc-472b-b1c8-f42a5c1fc02a,5.45,8
1ad19b48-ae39-44aa-b2a0-5a40a6b71420,5.43,10
1b01b905-c937-4da4-9012-66e66764bdab,5.5,10
1b5c8cc6-0e5c-4085-a51d-3464584f192b,4.642,1
1b74883b-79db-4c0f-aad3-c4011286f053,5.018,4
1b9d3893-28ac-4c4a-86ad-64ca38eedbd7,4.887,1
1bab49f1-6891-4d3e-8f77-42aa4fc1d18e,6.12,10
1bb8b2c1-ca6f-45ac-afdd-fab7e77d69d4,6.395,57
1c0cbf27-5245-4bc4-bd1f-921c72b9ac79,4.996,4
1c24462c-09df-4e95-b43f-72404fd656d4,4.93,3
