p1_name,p2_name,context,games,chemistry_mean,chemistry_sd,p_positive,percentile
Collin Johns,Christa Gecheva,mixed,11,0.012,0.193,0.526,81.4
Tatiana Ruhl,Yuta Funemizu,mixed,4,0.007,0.181,0.507,72.8
Zane Ford,Dominique Schaefer,mixed,27,0.019,0.182,0.529,88.1
Bryanna Ojeda,Kevin Caulfield,mixed,2,-0.013,0.194,0.476,16.4
Nicole Conard,Ava Ignatowich,womens,4,-0.012,0.187,0.473,20.1
Ella Boydston,Maddy Rasmusen,womens,9,0.003,0.188,0.503,62.5
Cason Campbell,Cailyn Campbell,mixed,4,-0.017,0.175,0.466,9.7
Luca Mack,Estee Widdershoven,mixed,25,0.022,0.194,0.546,91.4
Caden Nemoff,Yuta Funemizu,mens,9,0.012,0.177,0.524,81.0
Santhosh Narayanan,Thomas Yu,mens,6,-0.002,0.188,0.5,49.4
Mary Brascia,Augustus Ge,mixed,19,-0.032,0.171,0.445,1.3
Mohaned Alhouni,Ava Ignatowich,mixed,4,-0.005,0.193,0.496,42.7
Allison Phillips,Spencer Smith,mixed,4,0.007,0.177,0.526,73.4
Rafa Hewett,Marcela Aguila Ampon,mixed,2,-0.003,0.182,0.496,46.7
Quang Duong,Parris Todd,mixed,9,-0.023,0.195,0.466,4.9
Blaine Hovenier,Lindsey Newman,mixed,9,-0.015,0.197,0.472,14.3
Layne Sleeth,Judit Castillo,womens,2,-0.017,0.192,0.472,9.6
Victoria Dimuzio,Amanda Rosati,womens,4,0.024,0.194,0.554,93.0
Jack Sock,Genie Bouchard,mixed,25,-0.019,0.176,0.471,8.3
Camila Zilveti,Patrick Smith,mixed,4,-0.012,0.189,0.482,19.9
Tyler Loong,Lina Padegimaite,mixed,12,0.005,0.162,0.515,67.9
Eric Roddy,Alex Walker,mixed,5,-0.006,0.193,0.506,38.4
Layne Sleeth,Travis Rettenmaier,mixed,6,-0.005,0.178,0.497,42.8
Ivan Jakovljevic,Pierina Imparato,mixed,9,-0.011,0.186,0.474,22.9
Kaitlyn Christian,Martin Emmrich,mixed,3,-0.017,0.198,0.477,10.5
Wesley Burrows,Olivia McMillan,mixed,16,0.028,0.181,0.546,94.5
Martina Frantova,Michael Loyd,mixed,3,-0.019,0.178,0.472,7.6
Craig Johnson,Rachel Rettger,mixed,11,0.004,0.181,0.501,64.8
Chao Yi Wang,Pablo Tellez,mixed,76,0.006,0.173,0.506,72.5
Christine Trifunovic,Chuck Taylor,mixed,18,-0.006,0.177,0.481,38.6
Julian Arnold,Lauren Stratman,mixed,49,0.004,0.176,0.509,64.7
Brandon French,Judit Castillo,mixed,10,0.018,0.177,0.532,87.8
Noe Khlif,Milan Rane,mixed,29,-0.027,0.172,0.464,2.4
Hannah Blatt,Steve Deakin,mixed,9,0.021,0.186,0.535,90.5
Callie Smith,Jay Devilliers,mixed,73,0.02,0.162,0.544,89.8
Leah Tauber,Darrian Young,mixed,3,0.009,0.172,0.523,77.5
AJ Koller,Meghan Dizon,mixed,23,-0.022,0.178,0.464,5.5
Lacy Schneemann,Tyson McGuffin,mixed,38,0.014,0.166,0.516,83.9
Chloe Igleski,Santhosh Narayanan,mixed,2,-0.015,0.178,0.479,12.3
Lucy Kovalova,Matt Wright,mixed,64,0.015,0.165,0.531,84.5
Jackie Kawamoto,Jaume Martinez Vich,mixed,17,0.003,0.176,0.515,64.3
Genie Erokhina,Anderson Scarpa,mixed,7,0.003,0.183,0.51,62.0
Liz Truluck,Wyatt Stone,mixed,9,-0.022,0.18,0.444,5.2
Todd Fought,Allyce Jones,mixed,5,-0.039,0.194,0.439,0.5
Marshall Brown,Michelle Esquivel,mixed,18,0.058,0.177,0.616,99.7
Jorja Johnson,JW Johnson,mixed,247,0.035,0.17,0.575,96.7
Christian Alshon,Tyra Hurricane Black,mixed,67,-0.035,0.172,0.453,1.0
Angie Walker,Ryan Fu,mixed,23,-0.021,0.183,0.487,6.0
Rachel Rohrabacher,James Ignatowich,mixed,9,0.029,0.177,0.556,95.5
Cason Campbell,Aanik Lohani,mens,7,-0.003,0.181,0.505,46.6
Jonathan Truong,Rio Newcombe,mens,3,-0.018,0.196,0.466,9.2
Rachel Rohrabacher,Anna Bright,womens,64,-0.014,0.16,0.475,15.8
Anna Bright,Hayden Patriquin,mixed,94,0.053,0.174,0.626,99.4
Todd Fought,Michael Loyd,mens,20,0.021,0.176,0.529,90.3
David Litvinov,Jordan Chrysostom,mens,5,0.015,0.168,0.514,85.1
Alix Truong,Roscoe Bellamy,mixed,3,0.007,0.176,0.505,73.1
Dylan Frazier,Maggie Brascia,mixed,3,-0.005,0.177,0.499,40.7
Riley Newman,Vivian Glozman,mixed,3,-0.012,0.179,0.458,19.0
Martina Frantova,Liz Truluck,womens,9,-0.004,0.173,0.501,44.2
Lingwei Kong,Olivia McMillan,womens,3,0.005,0.179,0.512,68.4
Federico Staksrud,Hayden Patriquin,mens,129,0.002,0.183,0.506,61.4
Stephen Madonia,Grayson Goldin,mens,8,-0.007,0.185,0.506,34.2
Federico Staksrud,Catherine Parenteau,mixed,44,0.006,0.173,0.502,70.9
Angie Walker,Alex Walker,womens,56,-0.022,0.174,0.459,5.6
Dominique Schaefer,Rachel Rettger,womens,7,0.017,0.179,0.532,86.5
Dekel Bar,Tina Pisnik,mixed,9,0.019,0.185,0.541,89.0
Lauren Stratman,Lina Padegimaite,womens,28,-0.002,0.173,0.496,49.5
Leah Tauber,Marcela Aguila Ampon,womens,2,-0.003,0.182,0.508,49.1
Andrei Daescu,Christian Alshon,mens,147,0.021,0.169,0.545,90.7
Zane Ford,Tam Trinh,mens,9,0.03,0.199,0.532,95.7
Daniel De la Rosa,Martin Emmrich,mens,23,0.028,0.19,0.546,95.1
Albert Wan,Harrison Yee,mens,4,-0.009,0.169,0.465,27.9
Allison Phillips,Pierina Imparato,womens,7,-0.002,0.177,0.492,50.3
Camila Zilveti,Lindsey Newman,womens,3,-0.0,0.171,0.504,54.7
Tyler Loong,Connor Garnett,mens,96,0.055,0.193,0.603,99.5
Brandon French,Wyatt Stone,mens,66,0.004,0.179,0.504,66.1
Jessie Irvine,Gabriel Tardio,mixed,156,0.002,0.17,0.526,60.1
Anna Leigh Waters,Ben Johns,mixed,202,-0.027,0.166,0.457,2.6
Mary Brascia,Maggie Brascia,womens,73,0.018,0.163,0.543,87.7
Kaitlyn Christian,Christa Gecheva,womens,17,0.045,0.194,0.576,98.7
Collin Johns,Ben Johns,mens,22,0.049,0.206,0.575,99.2
Erik Pailet,Nick Black,mens,8,0.015,0.19,0.536,84.3
Mohaned Alhouni,Marshall Brown,mens,13,-0.01,0.189,0.491,25.2
Andrei Daescu,Lea Jansen,mixed,5,0.001,0.182,0.498,58.6
Lucy Kovalova,Lea Jansen,womens,39,0.025,0.173,0.551,93.3
Eric Roddy,Steve Deakin,mens,2,-0.02,0.187,0.463,6.6
Sammy Lee,Adam Harvey,mens,4,-0.0,0.19,0.495,55.2
Luke Wasson,Wesley Burrows,mens,10,0.015,0.159,0.527,84.4
Tamaryn Emmrich,Daniel De la Rosa,mixed,14,-0.012,0.19,0.473,20.2
Julian Arnold,Hunter Johnson,mens,22,0.022,0.171,0.54,91.3
Ryan Fu,Darrian Young,mens,14,0.013,0.176,0.531,82.4
Rafa Hewett,Noe Khlif,mens,25,0.063,0.207,0.621,99.8
Callie Smith,Parris Todd,womens,4,-0.004,0.171,0.494,43.5
Dylan Frazier,Pablo Tellez,mens,20,0.053,0.187,0.602,99.4
Quang Duong,Matt Wright,mens,7,0.011,0.189,0.514,79.8
Blaine Hovenier,AJ Koller,mens,11,0.006,0.197,0.496,72.3
Anna Leigh Waters,Catherine Parenteau,womens,64,-0.004,0.17,0.487,44.9
Hannah Blatt,Genie Bouchard,womens,2,0.004,0.176,0.518,67.2
Augustus Ge,Jaume Martinez Vich,mens,34,0.041,0.191,0.559,98.0
JW Johnson,Gabriel Tardio,mens,13,-0.062,0.187,0.389,0.2
Travis Rettenmaier,Donald Young,mens,20,-0.014,0.181,0.461,15.7
Alix Truong,Milan Rane,womens,6,-0.023,0.179,0.463,4.6
Jackie Kawamoto,Vivian Glozman,womens,12,0.026,0.176,0.551,93.6
Meghan Dizon,Lacy Schneemann,womens,21,0.016,0.177,0.531,85.7
Jessie Irvine,Allyce Jones,womens,4,-0.011,0.178,0.461,23.5
Jay Devilliers,Patrick Smith,mens,20,-0.024,0.175,0.451,4.1
Chuck Taylor,Spencer Smith,mens,11,-0.015,0.181,0.472,12.6
James Ignatowich,CJ Klinger,mens,3,-0.007,0.186,0.493,34.4
Dekel Bar,Tyson McGuffin,mens,31,-0.008,0.172,0.491,31.4
Kate Fahey,Tina Pisnik,womens,85,0.042,0.165,0.587,98.2
Brooke Buckner,Chao Yi Wang,womens,80,0.027,0.179,0.546,94.2
Jorja Johnson,Tyra Hurricane Black,womens,93,0.033,0.18,0.561,96.4
Riley Newman,Ivan Jakovljevic,mens,2,-0.006,0.181,0.495,39.4
Jay Devilliers,Collin Johns,mens,7,-0.011,0.171,0.489,23.1
Quang Duong,CJ Klinger,mens,13,0.046,0.206,0.589,98.9
Lucas Pascoe,George Wall,mens,2,0.004,0.19,0.518,66.3
Roos Van Reek,Kaitlynn Hart,womens,4,0.016,0.177,0.524,85.5
Sarah Burr,Nicola Schoeman,womens,7,-0.019,0.187,0.459,7.4
Lacy Schneemann,Vivian Glozman,womens,8,0.023,0.194,0.541,92.2
Rika Fujiwara,Seina Shima,womens,2,0.005,0.177,0.498,67.6
Allyce Jones,Tyra Hurricane Black,womens,14,-0.015,0.184,0.461,13.7
Gabriel Tardio,Tyson McGuffin,mens,8,-0.024,0.173,0.465,3.8
Zane Navratil,Joseph Wild,mens,6,-0.006,0.172,0.489,37.1
Alix Truong,Jessie Irvine,womens,7,-0.013,0.185,0.477,17.2
George Wall,Nicola Schoeman,mixed,4,-0.003,0.178,0.488,48.3
Jai Grewal,Andie Dikosavljevic,mixed,2,-0.005,0.185,0.497,41.8
Jay Devilliers,Allyce Jones,mixed,13,0.017,0.181,0.526,87.1
Danni-Elle Townsend,Joseph Wild,mixed,20,0.006,0.181,0.501,70.1
Zane Navratil,Roos Van Reek,mixed,5,-0.025,0.169,0.456,3.2
Collin Johns,Alix Truong,mixed,5,-0.011,0.191,0.494,22.2
Phuc Huynh,HO Tam,mixed,2,-0.002,0.159,0.496,51.1
Quang Duong,Vivian Glozman,mixed,7,-0.002,0.182,0.511,50.0
CJ Klinger,Tyra Hurricane Black,mixed,4,-0.026,0.183,0.442,2.7
Lucas Pascoe,Kaitlynn Hart,mixed,2,0.004,0.18,0.5,64.9
Andre Mercado,Jalina Ingram,mixed,5,-0.007,0.167,0.49,33.1
Jace Morris,Albie Huang,mixed,5,0.018,0.188,0.534,87.3
Eduardo Santini Ayon,Joel Poland,mens,19,-0.011,0.182,0.463,23.2
Thomas Yu,Riley Inn,mens,6,0.011,0.171,0.506,79.4
Audrey Adele Brown,Rio Newcombe,mixed,4,0.007,0.183,0.51,73.9
Connor McCartney,Jessica Mason,mixed,11,-0.026,0.167,0.444,2.8
Pally Ray,Bryanna Ojeda,mixed,2,-0.005,0.174,0.474,41.5
Vivienne David,Daniel De la Rosa,mixed,5,-0.008,0.178,0.492,29.8
Mohaned Alhouni,Samantha Parker,mixed,5,0.005,0.184,0.505,67.8
Dekel Bar,Anna Bright,mixed,20,0.016,0.176,0.532,85.9
Dylan Frazier,Kate Fahey,mixed,39,-0.008,0.178,0.498,31.9
Parris Todd,Hunter Johnson,mixed,16,-0.012,0.18,0.476,19.8
Maggie Brascia,JW Johnson,mixed,10,0.002,0.185,0.501,61.0
Kaitlyn Christian,Donald Young,mixed,8,-0.005,0.18,0.492,41.2
Andrea Koop,Michael Loyd,mixed,5,-0.014,0.203,0.484,15.2
Allison Phillips,Mota Alhouni,mixed,2,-0.001,0.176,0.512,52.7
Jade Kawamoto,James Ignatowich,mixed,24,0.012,0.185,0.53,81.4
Andrei Daescu,Tina Pisnik,mixed,48,0.003,0.177,0.514,63.3
Brooke Buckner,Noe Khlif,mixed,8,0.004,0.177,0.505,65.0
Blaine Hovenier,Martina Frantova,mixed,7,0.008,0.167,0.524,76.1
Ewa Radzikowska,Anderson Scarpa,mixed,5,0.005,0.189,0.503,67.6
Zane Navratil,Genie Erokhina,mixed,7,-0.007,0.175,0.505,34.7
Steve Deakin,Alex Walker,mixed,11,0.012,0.188,0.53,80.9
Liz Truluck,CJ Klinger,mixed,5,-0.002,0.18,0.482,49.4
Riley Newman,Lea Jansen,mixed,33,-0.013,0.173,0.469,16.7
Rafa Hewett,Mari Humberg,mixed,9,0.036,0.189,0.562,97.3
Lingwei Kong,Spencer Smith,mixed,2,-0.01,0.184,0.486,25.7
Pierina Imparato,Darrian Young,mixed,13,-0.007,0.172,0.49,32.5
Brandon French,Ava Ignatowich,mixed,3,0.006,0.181,0.487,69.9
Quang Duong,Alix Truong,mixed,12,0.008,0.182,0.508,74.7
Michelle Esquivel,John Cincola,mixed,2,0.004,0.192,0.497,64.5
Rachel Rohrabacher,Hayden Patriquin,mixed,21,-0.074,0.193,0.371,0.0
Dominique Schaefer,Wyatt Stone,mixed,3,-0.006,0.189,0.481,36.0
Etta Tuionetoa,Jaume Martinez Vich,mixed,5,0.007,0.203,0.488,72.9
Sarah Ansboury,Patrick Smith,mixed,2,0.0,0.174,0.502,55.6
Marshall Brown,Marcela Aguila Ampon,mixed,19,0.027,0.176,0.544,94.0
