p1_name,p2_name,context,games,chemistry_mean,chemistry_sd,p_positive,percentile
Jada Bui,Mya Bui,womens,16,-0.09,0.476,0.435,12.6
Alia Brown,Madalina Grigoriu,womens,4,0.067,0.505,0.543,80.6
Hudson De Risi,Matthew Finnerty,mens,7,-0.105,0.519,0.419,8.8
Vincent Rettke,Miles Hoover,mens,15,-0.132,0.529,0.401,4.6
Samantha Buyckx,Kelsey Laurente,womens,5,0.064,0.488,0.546,79.7
Arianna Raga,Ali Quintero,womens,2,-0.047,0.519,0.464,31.1
Michael Leonard,John Lucian Goins,mens,4,-0.036,0.495,0.469,37.3
Connor Mogle,Jose Martinez,mens,10,0.06,0.488,0.543,78.6
Poongi Hong,Michael Vallejo,mens,5,0.017,0.477,0.526,64.5
Andrew Loftin,Amir Evgamukov,mens,7,0.112,0.492,0.596,89.7
Austin Bricker,Adam Harvey,mens,10,0.073,0.481,0.561,82.5
Mark Dancuart,Tanner Tomassi,mens,12,0.034,0.506,0.524,70.6
Robby Greenlaw,Thiago Braga,mens,3,-0.032,0.468,0.479,39.3
Luca Mack,Anouar Braham,mens,19,0.285,0.498,0.713,98.8
Christopher Crouch,Jhonnatan Medina Alvarez,mens,7,0.125,0.501,0.602,91.4
Robert Laidlaw,Connor Duvally,mens,6,0.032,0.536,0.512,70.3
Grayson Goldin,William Sobek,mens,8,0.152,0.483,0.614,93.8
MJ Greiner,Dylan Lewis,mens,4,-0.043,0.501,0.468,33.7
Riley Bohnert,Marisa Ruiz,womens,5,-0.001,0.511,0.503,56.4
Seone Mendez,Jessica Warren,womens,2,0.001,0.487,0.509,57.0
George Rangelov,Nejc Sitar,mens,7,0.023,0.529,0.521,67.2
Logan Rowe,Joe Wiencek,mens,2,-0.023,0.493,0.47,44.2
Mark Growcott,Bret Berryman,mens,10,0.092,0.485,0.559,86.7
Jarryd Woog,Evan Pratt,mens,8,0.041,0.538,0.524,73.7
Michael Coleman,Jake Benjamin,mens,2,0.027,0.502,0.512,68.7
Justin Graham,Emanuel Dickson,mens,9,-0.004,0.502,0.504,54.7
Evan Zoeteman,Mulima Mulenga,mens,2,0.017,0.494,0.504,64.2
Zane Ford,Tendai Tapfuma,mens,3,-0.086,0.523,0.439,13.5
Tom Protzek,Martin Emmrich,mens,20,-0.11,0.462,0.402,7.6
Ashley Griffith,Brooke Caruso,womens,16,0.267,0.475,0.716,98.6
Estee Widdershoven,Jaeda Minniefield,womens,4,-0.137,0.493,0.408,4.1
Elsie Hendershot,Lina Padegimaite,womens,12,-0.047,0.475,0.476,31.2
Martina Frantova,Rachel Summers,womens,10,0.076,0.486,0.56,83.3
Brie Aldridge,Morgan Downing,womens,3,-0.018,0.463,0.486,47.0
Adalynn Lund,Monica Perez,womens,7,0.012,0.484,0.499,62.5
Ernesto Fajardo,Tobias Moreno,mens,2,-0.094,0.491,0.432,11.2
Caio Bardauil,Rey Greenlaw,mens,8,0.074,0.496,0.553,82.6
Ewa Radzikowska,Tamaryn Emmrich,womens,30,0.391,0.498,0.783,99.7
Christa Gecheva,Mehvish Safdar,womens,10,0.12,0.499,0.604,91.0
Jay Evans,William Hsieh,mens,9,0.027,0.496,0.507,68.5
Brian Chamberlin,Tyler Glowaki,mens,3,-0.052,0.498,0.46,27.9
William Owens,Brayden Nguyen,mens,5,0.01,0.484,0.519,61.4
Rodrigo Reyes,Maksims Kazijevs,mens,3,-0.076,0.479,0.431,16.5
TJ Rudden,Matthew Mead,mens,2,-0.05,0.524,0.455,29.0
Evan Ankrom,Matthew Pokorny,mens,11,0.094,0.508,0.574,87.0
Cole Whitaker,Nicholas Wade,mens,3,-0.109,0.477,0.434,8.0
