idx,player_id,full_name,gender
0,1e538b1f-66e9-4166-ac60-3aef311ee0b5,Jada Bui,F
1,87d60b6f-6f2e-4610-ab89-487e8acc097e,Mya Bui,F
2,525bfe63-4047-4100-9289-b4af47a25f98,Alia Brown,F
3,55b78314-2f02-4a0c-83c2-b7cbfd8b4329,Madalina Grigoriu,F
4,72781a5b-7e26-47ae-a581-625e4fa96099,Hudson De Risi,M
5,c2c74ae6-6b11-4a40-80e6-b7b924d2d83f,Matthew Finnerty,M
6,aa45af3b-41b0-4e03-9a17-4ca16a108df3,Vincent Rettke,M
7,c971bb40-090b-4e47-be58-905495e38401,Miles Hoover,M
8,1d36eae4-41f1-4739-b9d2-0783fd371112,Samantha Buyckx,F
9,f2a996de-50a0-4d1d-b16f-f6450daa4a1e,Kelsey Laurente,F
10,2398b148-15c1-4a56-8c02-0d62ed504f03,Arianna Raga,F
11,d840aa40-c197-45ce-8bf3-a0751268bd0b,Ali Quintero,F
12,e96d9339-cfb6-473d-bcb3-23f2887a3e0f,John Lucian Goins,M
13,9c622e48-bbb8-4488-833f-83fb851efa5a,Michael Leonard,M
14,8b7405b5-f3bc-4e32-bfbc-cc2e14f7454c,Jose Martinez,M
15,3d9c8684-953f-4008-b355-b6104ee56a5b,Connor Mogle,M
16,af94be9e-b2f9-413a-aa9c-450cf6021c10,Michael Vallejo,M
17,0d659a6e-9386-45c5-a3c0-8f8ce4efaa14,Poongi Hong,M
18,3a48d245-8dea-460b-9eba-0b4fe7abc1dc,Amir Evgamukov,M
19,2a0171dc-c866-4170-9021-78d3c53c7318,Andrew Loftin,M
20,7464628e-931a-44c9-b0df-749a7cb32eaa,Adam Harvey,M
21,3d67b6d0-063e-466c-a475-7679d0764354,Austin Bricker,M
22,c3b08889-9218-45d7-a712-72d78dd9a0bb,Tanner Tomassi,M
23,24fead20-0b0e-409e-bd9e-dc69fa0a8162,Mark Dancuart,M
24,4aac5b4b-3afd-48db-a11a-d4f48bd685bb,Robby Greenlaw,M
25,c4bf85e4-2024-4991-9298-3600b25dde91,Thiago Braga,M
26,d8d51930-abf9-468b-9e43-55a9c0728d58,Anouar Braham,M
27,2aa8ced3-d599-4c83-86dd-ecc80196833b,Luca Mack,M
28,306da673-de7e-44f5-bc16-0738b44bd089,Christopher Crouch,M
29,53008558-000d-4162-8a34-9348d3f5322a,Jhonnatan Medina Alvarez,M
30,cfd359f6-5e22-4d9e-b02f-171fbb8f3759,Connor Duvally,M
31,02a3c8ae-fb47-4b82-8001-b33d9446a90e,Robert Laidlaw,M
32,9149113f-4ec3-4a41-924b-4c42d33754a5,William Sobek,M
33,43df1205-e834-4427-9f1a-4e173bf93296,Grayson Goldin,M
34,56f0b269-240a-42cb-b404-0b0bf747ad98,Dylan Lewis,M
35,47c3107f-c90a-473a-b1a8-900fcf13e984,MJ Greiner,M
36,53cffd68-8c08-4ad7-88fd-a72ee20d716e,Marisa Ruiz,F
