player_id,full_name,gender,games,value_mean,value_sd,w_mixed,w_mens,w_womens
8aac4bf9-2442-48f4-83c1-589b0a00b071,Mulima Mulenga,M,9,-1.498,1.722,-0.01,0.001,nan
7fe81996-b961-4578-95a6-d97c55768e96,Tendai Tapfuma,M,3,-2.052,1.866,nan,-0.006,nan
0c5b84bb-4c04-4906-86bc-deb533ff4eec,Zane Ford,M,62,0.576,0.598,0.026,-0.023,nan
05bf7513-7f0a-4f6b-bc11-5d4b14314d91,Tom Protzek,M,109,2.002,0.558,0.014,-0.007,nan
e9849183-4693-4340-abf5-f4b6f3cb226f,Martin Emmrich,M,139,2.345,0.577,-0.024,0.035,nan
fd565e56-6223-4ef0-882e-02346e7e0573,Brooke Caruso,F,59,0.585,0.647,-0.014,nan,0.006
38fdc174-96d6-459f-a27c-df35eb9f945c,Ashley Griffith,F,115,0.652,0.588,0.021,nan,-0.017
dba7cf49-9f57-43e3-878d-a63ced26a243,Jaeda Minniefield,F,150,0.55,0.408,-0.011,nan,0.011
bf84d952-c6a8-4494-943d-064b223e764f,Estee Widdershoven,F,111,3.083,0.803,0.008,nan,0.006
34270d82-e968-407d-a918-8aa57f0123a6,Elsie Hendershot,F,84,0.912,0.512,0.017,nan,-0.007
cd7b97fc-d912-4c59-8ab3-c2d70e79d998,Lina Padegimaite,F,86,0.757,0.501,-0.008,nan,0.008
65bcab7c-9c93-4dc8-a847-a34da426b933,Martina Frantova,F,77,2.721,0.835,0.029,nan,-0.016
79046b96-4601-4443-ad6a-b1d2451be668,Rachel Summers,F,55,0.77,0.897,0.003,nan,-0.002
23a8af5a-fed3-445d-99aa-1a5f69a05ff6,Brie Aldridge,F,21,0.211,1.215,0.007,nan,-0.005
2f28b85f-2645-4f75-8571-67335413387b,Morgan Downing,F,18,-0.961,1.263,0.001,nan,-0.0
070be5dd-2dcf-44b6-b2e7-37d9fbd29aa2,Adalynn Lund,F,35,0.06,1.234,-0.003,nan,0.0
507d4427-617b-4607-b842-e3a12dc03d7a,Monica Perez,F,9,-0.404,1.458,0.003,nan,-0.006
0df3b359-d935-4c79-a16a-ce373f55db07,Ernesto Fajardo,M,31,0.495,0.958,0.012,-0.006,nan
7a300520-8298-4458-8968-db478e23e9be,Tobias Moreno,M,34,0.38,1.125,-0.003,0.002,nan
7ad44e60-98f9-4c58-9a73-63eebef2c770,Rey Greenlaw,M,8,1.63,1.54,nan,0.01,nan
27abe9f1-12ad-4e8b-a8ed-97b3362d38b9,Caio Bardauil,M,15,1.889,1.391,0.001,0.005,nan
1d51becb-4ea0-4878-9660-e3fd2dfaa0ea,Ewa Radzikowska,F,65,4.403,1.36,0.0,nan,0.026
435e466e-22c7-4917-8cb4-ff45bbccde19,Tamaryn Emmrich,F,93,1.159,0.621,-0.008,nan,0.016
6a87bc44-5190-44db-8a2f-467de4de48c6,Christa Gecheva,F,103,1.343,0.48,0.001,nan,0.005
be74032b-1035-4ece-bf4f-773b45da4d58,Mehvish Safdar,F,101,1.382,0.528,0.026,nan,-0.022
28084fc7-8653-4ff0-bc3b-1bf582d03a75,Jay Evans,M,24,-2.793,0.897,-0.018,0.001,nan
6eb8ea1c-31ca-4c18-ba0c-ab8a75cdc24f,William Hsieh,M,42,-2.208,0.815,nan,-0.008,nan
370e5d82-716e-4a25-8048-170cf7deb74d,Tyler Glowaki,M,7,-1.465,1.751,-0.001,-0.007,nan
18c26e29-906c-4020-9bf0-73eda5da52b0,Brian Chamberlin,M,3,-0.974,2.141,nan,-0.005,nan
8983be9d-1de3-4ae2-a6ed-1584a478bc33,William Owens,M,13,-1.273,1.283,0.002,-0.005,nan
ab0e7256-6f4e-43de-b85d-6bfab0bbc41d,Brayden Nguyen,M,22,1.038,1.462,nan,0.006,nan
