name,gender,n_rallies,clutch,null_sd,z,p_one_tailed,value,fdr05,fdr10
Edward Perez,M,372,-0.0232,0.026,-0.89,8.14e-01,0.221,0,0
Wyatt Stone,M,598,-0.021,0.0227,-0.92,8.22e-01,0.69,0,0
Kiora Kunimoto,F,620,-0.017,0.0177,-0.96,8.31e-01,0.575,0,0
Luc Pham,M,564,-0.0214,0.0221,-0.97,8.33e-01,0.442,0,0
Janet Liu,F,442,-0.0262,0.0259,-1.01,8.44e-01,0.276,0,0
Camden Chaffin,M,550,-0.0215,0.0204,-1.05,8.54e-01,0.536,0,0
Mya Bui,F,540,-0.0234,0.0217,-1.08,8.60e-01,0.459,0,0
Tom Protzek,M,615,-0.0219,0.0194,-1.13,8.70e-01,0.557,0,0
Abbigal Hatton,F,610,-0.0242,0.0211,-1.15,8.74e-01,0.434,0,0
Jade Rau,F,430,-0.024,0.021,-1.15,8.74e-01,0.188,0,0
Albie Huang,F,392,-0.0309,0.0269,-1.15,8.74e-01,0.341,0,0
Jalina Ingram,F,437,-0.0276,0.023,-1.2,8.85e-01,0.449,0,0
Michael Loyd,M,708,-0.0231,0.0188,-1.23,8.91e-01,0.642,0,0
Pesa Teoni,M,388,-0.0313,0.025,-1.25,8.95e-01,0.345,0,0
Christopher Haworth,M,392,-0.034,0.0269,-1.27,8.97e-01,0.55,0,0
Jada Bui,F,400,-0.0282,0.0222,-1.27,8.98e-01,0.411,0,0
Blaine Hovenier,M,825,-0.0212,0.0165,-1.29,9.01e-01,0.672,0,0
Kelly Goodnow,F,410,-0.0305,0.023,-1.33,9.08e-01,0.322,0,0
AJ Koller,M,472,-0.0326,0.0243,-1.34,9.10e-01,0.556,0,0
Allison Phillips,F,639,-0.0262,0.0196,-1.34,9.10e-01,0.617,0,0
Giovanna Morelli,F,538,-0.0337,0.0241,-1.4,9.19e-01,0.276,0,0
Anouar Braham,M,991,-0.0227,0.0159,-1.43,9.23e-01,0.494,0,0
Tyler Loong,M,846,-0.0221,0.0154,-1.44,9.25e-01,0.611,0,0
Andre Mercado,M,546,-0.0327,0.0226,-1.45,9.26e-01,0.252,0,0
Miles Hoover,M,626,-0.0285,0.019,-1.5,9.33e-01,0.384,0,0
Marcela Aguila Ampon,F,483,-0.041,0.0251,-1.63,9.48e-01,0.231,0,0
Mohaned Alhouni,M,711,-0.0334,0.0201,-1.66,9.52e-01,0.525,0,0
Lindsey Newman,F,722,-0.031,0.0186,-1.67,9.52e-01,0.565,0,0
CJ Klinger,M,1141,-0.024,0.0138,-1.74,9.59e-01,0.792,0,0
Luana Stanciu,F,448,-0.043,0.0245,-1.75,9.60e-01,0.103,0,0
Kaitlyn Christian,F,614,-0.033,0.0186,-1.78,9.62e-01,0.659,0,0
Darrian Young,M,601,-0.0348,0.0194,-1.8,9.64e-01,0.523,0,0
Marisa Ruiz,F,321,-0.0486,0.0269,-1.8,9.64e-01,0.512,0,0
Donald Young,M,450,-0.0421,0.0232,-1.81,9.65e-01,0.65,0,0
Paula Rives,F,765,-0.0348,0.0189,-1.84,9.67e-01,0.407,0,0
Will Mackinnon,M,634,-0.0339,0.0184,-1.84,9.67e-01,0.629,0,0
Elsie Hendershot,F,442,-0.0427,0.023,-1.86,9.68e-01,0.324,0,0
Gregory Dow,M,367,-0.0535,0.0288,-1.86,9.68e-01,0.453,0,0
Christopher Crouch,M,720,-0.0348,0.0184,-1.89,9.71e-01,0.463,0,0
Brooke Caruso,F,355,-0.05,0.0263,-1.9,9.72e-01,0.39,0,0
Zane Navratil,M,484,-0.0423,0.0221,-1.91,9.72e-01,0.612,0,0
Roscoe Bellamy,M,540,-0.0426,0.0203,-2.1,9.82e-01,0.664,0,0
Emma Nelson,F,329,-0.0632,0.0272,-2.32,9.90e-01,0.481,0,0
Pierina Imparato,F,364,-0.0676,0.0273,-2.47,9.93e-01,0.478,0,0
George Rangelov,M,443,-0.0706,0.0277,-2.55,9.95e-01,0.337,0,0
Yates Johnson,M,391,-0.0623,0.0239,-2.61,9.95e-01,0.391,0,0
Zach Gonnering,M,629,-0.058,0.0205,-2.83,9.98e-01,0.068,0,0
Braden Jacobson,M,312,-0.0808,0.0285,-2.84,9.98e-01,0.351,0,0
Olivia McMillan,F,394,-0.0794,0.0262,-3.03,9.99e-01,0.4,0,0
Adam Harvey,M,756,-0.0608,0.0172,-3.54,1.00e+00,0.504,0,0
Zoeya Khan,F,461,-0.0906,0.0248,-3.65,1.00e+00,0.327,0,0
Caden Nemoff,M,316,-0.1052,0.0287,-3.67,1.00e+00,0.105,0,0
