player_id,full_name,gender,singles_games,singles_value
89d0497d-bd25-485e-a32c-872afa95b3d5,Mary Monson,F,15,-0.5875
15dd4ccc-bcfd-4725-9819-d042062a74b2,Jason Parker,M,2,-0.5878
84a2e8e4-b4fd-4625-8011-244c37e62b72,Jessica Mason,F,18,-0.589
ba2a2f06-613a-4ebc-88bf-c4694d31998b,Nicholas P,M,4,-0.5893
4b4a78c5-4d01-45f7-bbac-3d36b42bf63c,David Katilius,M,2,-0.5893
bdf2e1c1-2096-4555-92ee-a2819687a2f1,Jerry Hsiung,M,8,-0.5925
f5cfdc91-1dff-4919-b2b0-a23c128e0bce,Helen Challenger,F,2,-0.5928
ac20d4e7-1371-4b70-9047-d6eb3af4fddc,Jaxon Thomas,M,2,-0.5935
72c6c209-9a50-4919-95fb-4c5d6f8570a3,Troy Davis,M,2,-0.5947
43490ce6-f60f-4ac6-bb04-f115eb0f6099,Peyton Gatti,M,2,-0.5951
21d1b272-4f2b-44c1-ae83-dcf55fd264ca,Gavin Hume,M,3,-0.5954
ab8c9ea6-8162-4ba6-a2c5-2e7e7b3ff8c4,Joseph Schember,M,2,-0.5962
5c05f6e3-62fa-4499-9305-cf4d69f14ea0,Luke Riley,M,2,-0.5964
7255ded6-42ed-4a5c-be2e-ac1d21178747,Giorgio Psallas,M,2,-0.5975
78a3a6aa-7466-4741-9247-1d6636afcff9,Cheyenne Jones,F,4,-0.5979
a19424ec-0553-456a-a6e6-505967a0f700,Nikhil Thakkar,M,6,-0.5984
2d185040-502c-4def-96ef-d31b248f2916,Alexander Verdiyan,M,2,-0.5986
6bf06e45-ed81-4e29-96cc-93745efe5761,Anne Arnold,F,2,-0.5996
d6ef0c8e-055a-4f58-bbbb-2f0964ce9ba1,Pierre-Marc Blouin,M,2,-0.6003
35b355fb-8cd0-4a20-84ef-7074b70cfb1e,Jahan Vijeh,M,4,-0.6005
d85dfa7a-0fa1-47db-8719-6a48c6c88b31,Erik Cabildo,M,2,-0.6018
