idx,player_id,full_name,gender
0,cc8832b9-9a8f-4cbc-8eff-b20e9a7ff09a,Jaume Martinez Vich,M
1,98c2531f-f5ce-48b5-b251-eb69425d409c,Jillian Braverman,F
2,003033d4-4072-4b5f-9484-9bcceb29b19f,Kent Hunter,M
3,446ffc48-42af-4b31-9fa5-0c864508e32c,Kenadi Hance,F
4,27ec8d58-6907-42a3-b994-fc0b3c304fe3,Alec Weller,M
5,b9078ad5-9d55-4617-9c9d-131823dfca0b,Luke Ness,M
6,54c74891-88d7-4e02-8e6a-d45ff23b958f,William Stults,M
7,1af53bb7-816e-4292-bd2e-08374c50aa42,Sergey Afanasenka,M
8,5da57cf9-dfc6-41f5-b853-48f191b873bf,Roman Estareja,M
9,a84c5612-2f7f-4189-b968-b37634d4042f,Aron Ouye,M
10,8af41b49-c25b-4103-bf60-fa36ab5fc278,Chase Ora,M
11,d32c8b36-911f-420b-8166-65586599f7a7,Jesse Knight,M
12,8dd7bb87-1082-4114-809e-888ac57df014,Chase Mason,M
13,4e82e645-294f-424e-b1e7-28f93e2cb7cc,Benjamin Bramblett,M
14,61e0ca34-5642-40bd-9eaf-acd7ea93480a,Marcel Chan,M
15,0763ffeb-1b1f-41c5-ab37-d17b66e50b50,Phuc Huynh,M
16,0dfe6dd7-dcc9-407b-a761-1cafc880401b,Erik Pailet,M
17,bc8efe3b-26f7-48e3-a310-c66a7580743b,Cierra Gaytan-Leach,F
18,5358928b-dc8d-431a-a57e-0c0236b09b35,Elizabeth Skufca,F
19,33e8c243-d1a8-4821-89cf-e15bf003e6f4,Ryan Skufca,M
20,8e6e1bd7-190b-4e0a-b21d-e1e402267e7b,Tucker Mueck,M
21,518626d4-2600-4134-8c6a-0ae9315f9625,Cason Campbell,M
22,e668aceb-c544-4914-b6e7-adb656dbe448,Ryan Diaz,M
23,e4adde58-d9a0-4f1c-afb4-96bbc7f33d22,Benjamin Grant,M
24,11124e87-7f5d-45fd-8282-728c39068a3c,Nick Black,M
25,91ccec0d-b14e-41bc-8a23-0d9bcacfbe5b,Kevin Pham,M
