match_id,game_number,ra_pre,wa_pre,rb_pre,wb_pre,ra_post,wa_post,rb_post,wb_post
03924c49-37cc-49a1-9a02-60a1bfd45fb8,1,11,6,8,2,14,5,15,7
03acfee1-050c-4477-be3c-56d53942a9e9,1,13,5,14,6,9,6,5,2
03b1cc04-f0a1-424a-b0d8-33b4b2780744,3,9,6,6,2,7,5,3,1
03b63676-5569-47a7-866f-ab9c0176b37f,1,13,6,12,5,11,4,14,7
03dd8f92-81a1-44c9-baa1-a941c394c229,3,8,1,13,6,17,8,13,5
03f4274d-3d96-414b-9ecd-e166c0676319,3,12,6,11,5,7,2,10,6
040200da-9cd3-402e-8f15-b81f3a534780,3,4,1,9,6,6,0,11,5
04189b1d-e01c-472e-b02a-6a575b263470,1,3,0,9,6,9,3,10,5
0426e5f9-73a9-4752-81e6-c113f8d4c496,1,3,1,8,6,6,2,9,5
043f8959-2507-42f5-9d77-72b25672da24,3,11,6,10,5,8,5,8,4
044b0e94-4e3f-44d1-8e6d-832ff202ad2a,3,8,6,3,0,18,5,21,9
044e04f8-548e-47a1-ae9a-1e4118ec4cf5,1,12,5,12,6,3,1,8,5
045012b8-1128-419f-989e-40fd7115c172,1,9,4,11,6,17,7,17,6
046cd2ac-cb77-47ad-8f16-a77256313330,3,6,0,11,6,2,0,7,5
047aee1f-d89d-4331-8d56-29fbb5571340,3,9,3,12,6,10,6,9,5
0483cd8d-7902-45db-9bd6-f736ea82140f,1,16,6,15,5,18,3,20,6
048c19a3-8910-4676-9277-76c78200a4ea,3,11,4,12,6,7,3,10,5
0490123f-4716-4257-b029-95c9570d4e05,3,7,6,4,2,14,5,10,2
0497e9e8-3ce2-40dc-824c-cf536a0bc60b,3,9,6,6,3,15,5,16,6
04add018-cd14-4621-9882-2b7d84b96661,1,8,3,11,6,2,0,7,5
04bb5ff2-b500-4369-baf5-06e2d2b2ea6b,1,5,1,10,6,0,0,5,5
04bc9ff0-61bb-410a-ac55-151c65a4248c,3,17,6,15,5,11,5,9,2
04be98ab-33fc-4298-be7b-5c12c2c35d57,1,9,6,6,2,21,7,23,9
04cb23e8-0def-4a4c-91a6-7f6d5ac8e8e1,1,11,3,13,6,0,0,6,5
04cba133-09b8-4b57-8627-42f6a6034a72,1,10,5,11,6,10,4,10,5
04d72738-c81b-4028-8a78-2e122be8438b,3,13,6,13,5,10,5,6,2
04da4868-ead8-4976-b7ec-b6ae9fb10976,1,9,6,4,1,11,6,13,9
04f3f71a-7fda-45f2-8810-d3bd11cb60f2,1,10,6,7,3,11,6,13,7
050f25d2-93f3-45b5-a6fc-986d6955d616,1,12,6,8,0,8,5,2,0
0522f622-aa94-4584-a570-39848d2b31e2,1,17,5,16,5,9,5,10,6
05231ae6-bd2d-4f95-8886-a1e17f13ab07,3,10,6,5,1,7,5,4,2
0529f0ae-e891-4007-86d7-bf4e94570fb5,3,19,6,19,5,7,5,4,2
053d3805-a24d-49a7-98f5-93844d1c674c,3,8,6,3,0,9,5,7,3
0542751c-0de5-4c42-aceb-637f09dd4d64,3,7,4,9,6,12,7,6,1
0542751c-0de5-4c42-aceb-637f09dd4d64,5,11,4,12,6,0,0,5,5
055f38c8-2e6c-41ab-8b93-15628de6c40e,1,8,3,10,6,3,0,10,5
05665577-26f5-4d5b-9557-4f2e33aefbbd,3,17,4,18,6,8,4,10,5
0567e880-fa47-442e-bcb6-d5f5730615c5,3,12,2,16,6,21,7,19,5
056c82b0-83f6-4050-a435-2a2958a8e6f7,3,7,2,11,6,8,2,13,5
056cc558-21bd-4471-8e81-f315e08630dc,1,12,6,11,4,9,5,13,8
057876b9-e816-497c-a756-7628a5249ec4,3,13,6,9,2,8,5,8,4
058de0bc-305f-462e-a54a-e531b781b454,1,15,6,13,4,7,5,2,0
0594e464-9e53-4560-9d87-f8f9dbc94e60,3,3,1,7,6,4,0,10,5
05a1b232-17a2-4a5c-9edf-a10b8ec7a41d,1,14,6,13,5,11,6,9,5
05ad6946-3718-45bc-bfe0-31f08017b035,1,14,6,13,4,15,5,11,1
05d44556-ab64-4591-bf94-9fcc134fa1b5,1,11,6,6,1,11,5,10,4
05db895a-e8f5-4df4-bd46-489feca3f1ff,3,7,3,10,6,11,3,12,5
05f81677-eaa4-4340-907e-47881cc796fe,3,21,6,20,5,15,5,12,2
061d1f5b-c55c-41fd-bf32-86f0e60647cc,1,8,3,11,5,4,0,10,5
062003fa-425d-468f-81d0-becb9cf1baad,1,8,2,12,6,6,2,8,5
06249d43-0d6e-4dad-aca9-b76d071b976e,3,8,6,2,0,12,5,13,5
0626f0c4-d817-4f76-b016-69eed204a3cb,3,5,1,10,6,8,4,8,5
0636071d-bdc1-4bde-8752-2f68f9896c41,3,6,2,9,6,16,9,10,2
063b9206-b1f0-4fef-affb-b63b0d1d89aa,1,15,5,15,6,3,1,7,5
063e7546-68a5-4bdd-92b3-c666526ba70f,3,10,6,6,1,13,5,9,1
0643d213-e961-42c5-a408-05b54ae84ac5,3,12,6,8,3,5,5,0,0
0644ecff-525e-4618-a6f4-e88d3311ffae,3,9,4,11,6,14,7,10,3
067498bc-037c-430c-94ca-254e8eacd38c,1,8,4,10,6,4,0,9,5
067c864e-5d4f-4d75-8df4-594da25dbb62,3,11,6,10,4,9,5,9,1
067dd297-2495-44fb-bc6d-7bbaa22cfe9e,3,12,6,11,4,12,6,12,6
067e26d4-bf8a-4e6f-8d61-353e64d87ded,3,12,6,9,2,13,5,15,7
06814bb0-96bb-491c-929c-bfaccf511490,1,2,0,9,6,1,0,8,5
0688693d-ed8f-41ba-abf0-26b471d663c1,1,12,6,12,5,9,5,8,3
0690d32c-c812-47da-ba28-90451389e829,1,14,6,14,5,11,5,9,3
0698c5c9-5b1a-4d58-a3ce-d074e42fb10a,1,13,6,9,2,13,5,13,5
06a51ef2-de64-40eb-99b9-71ba5549711a,3,11,6,9,4,11,5,10,4
06a74cf3-62fc-4f12-a64b-793d6192275b,1,4,0,10,6,10,4,11,5
06abd524-3efd-4fbb-acd0-886cf984b26f,3,8,2,11,6,6,2,10,5
06b231b1-986c-4edc-a66b-e196a7b43829,3,16,5,16,6,11,3,15,5
06d33475-4035-486d-869d-0fa8dcb82a8c,3,8,6,4,1,10,5,6,2
06e8502d-e67c-411e-94e0-3147a9f22433,3,6,2,12,6,7,5,9,5
070408a3-e878-4f66-b332-5f17bf05530c,1,17,6,15,3,15,5,14,4
0707ccfb-1a24-44b8-b5d0-2d066c48972f,3,14,5,14,6,8,4,9,5
073434e2-444d-439d-9a64-98b91ad1ca6a,3,2,1,6,6,18,10,16,7
073f3aae-61f7-4852-8a1b-693dc0b58c5a,3,10,6,7,3,16,5,17,6
07472d2c-70ea-4ddf-a0e2-1e987c0e0335,3,1,0,7,6,14,2,17,5
076052bb-9ab0-481b-aec1-a384822ae09b,1,16,6,14,3,6,5,0,0
076970de-bb2f-4793-b9c4-9017bc7011e8,1,9,4,11,6,3,1,6,5
076bae03-3a61-45e5-952e-f05c9ae402e3,1,11,5,12,6,7,3,9,5
0770958e-d5aa-4cd5-9630-2c352b3c993b,3,11,6,11,5,9,5,5,1
07808206-46e6-4b71-8482-cab98b40fbd6,1,10,5,9,5,13,4,16,7
0783f3b5-b117-4961-8ced-3542ec95ef5b,1,12,6,5,0,22,16,5,0
07897a60-6c24-440e-9301-6ca524461c0c,1,8,6,5,2,9,5,6,2
07a1c5ec-03d2-4d25-9871-d33158037ffc,3,13,3,16,6,16,8,12,3
07aff9f5-6021-477a-b8e0-4ec161b21a83,3,11,2,15,6,5,1,9,5
07b0ac8d-754d-4aa3-a489-4ea9c6b98a0a,3,14,6,10,2,9,5,5,1
07be8a20-54be-4d4b-a16a-3b5932fe35da,3,7,4,9,6,13,5,13,5
07ca7652-a67e-4ba6-a9e4-f42bb8911cd4,3,11,6,9,4,12,3,16,7
07d0744e-4491-48c3-ac88-6a62cd5d367b,3,10,6,8,4,10,3,13,7
07d790e2-5414-466c-bee9-220d14537781,1,6,2,10,6,0,0,5,5
07e9d556-9d1b-473f-8445-1d92072ab439,3,13,5,14,6,12,7,9,4
07ee54f6-f574-40dd-9fc4-09f542bc555b,3,9,3,12,6,11,5,10,5
07f2916f-689d-4d10-a280-8fd2e0c5a148,3,11,4,12,6,12,4,15,5
0808baa6-b8db-4d0f-a91a-742b8bdd4d80,3,10,6,4,0,11,5,16,9
080b52b5-4ce8-48b7-8a4d-b7f33d4f2050,1,8,5,3,1,11,5,7,1
08142c0e-a491-4dcc-ba66-43ae7bcf7528,3,10,3,13,6,19,8,14,3
0819975f-d99e-4608-b106-0bccc5a26c91,3,10,6,7,3,11,5,7,1
081ad138-72b6-4f5c-bb9c-006ebae899fb,3,11,6,9,3,10,5,4,0
081c63f4-3c73-4d76-9e29-7b786173530e,3,5,1,10,6,5,3,7,5
082ec466-3047-424c-8fae-326dc312ec66,3,5,1,10,6,4,2,6,5
08309e12-852c-4193-9a88-e1b62d9debd3,3,15,6,14,5,14,5,11,3
0832c9a9-8f7e-44ac-9a49-98d3a6d78044,3,14,3,16,6,17,4,18,3
083723d2-51b8-4471-b8d2-27216462b2c8,3,11,6,9,3,10,5,7,1
08412751-f945-4295-bb94-7c18a2d38e3e,1,11,6,11,5,5,3,7,6
088e29cb-c8c7-4219-bc5e-ede29c436bf9,3,9,6,5,2,9,5,7,3
08a11121-270f-4b3e-9a1e-aea5fd2254a5,1,8,6,3,0,9,5,5,1
08ab5ece-d7c9-4804-8258-298225e391c9,1,9,6,8,4,6,5,0,0
08c37bb4-e51e-4ba5-903c-03a596fc3b50,3,8,2,12,6,4,0,8,5
08cdf218-153f-4be3-b637-5d0bd14c055a,1,8,6,3,1,6,5,3,1
08d5e269-96d8-48cd-b6d5-77e085a52fd6,1,11,6,9,3,12,4,16,9
08f4bacc-b25e-4aa2-9b85-a0e4c70fbd53,3,7,3,10,6,17,7,16,6
0903c3e5-e7f8-4be6-82b0-a643ace2d99d,3,8,2,11,6,7,1,11,5
09188a0e-8ed2-48e2-8757-b1c5fe49e2d5,3,15,3,17,6,0,0,6,5
0919c105-4a08-4101-9faf-87115c94a57e,3,11,6,7,1,7,5,3,1
091afd26-eac1-447a-8c8c-14f2d757d12d,3,12,6,9,1,10,5,7,3
0920de31-7cb1-4f13-a126-c7b33e3d683a,3,3,1,7,6,11,5,12,5
09367dd8-5129-4021-9592-8311edb4426a,1,13,4,15,6,10,4,10,5
0944669e-9680-425f-9b67-3ed89fe76d14,1,16,6,12,3,4,1,11,8
094c0258-be47-403d-9d64-cdae4a6ede1a,3,12,6,7,3,8,5,1,0
0952ced7-cee1-4e11-ac8d-ce1cb5ef6583,3,18,6,17,5,9,5,4,2
096356ab-04ea-47fe-bf7a-4d44743284bb,1,11,4,13,6,8,2,11,5
0963df06-cb28-47b6-9065-0db136cc8761,3,13,6,9,2,10,5,9,3
096f624f-b053-409b-9ed6-a6d49e9da678,1,10,6,7,3,7,5,2,0
097950b6-7be2-4429-a839-b713f1837a2a,3,11,6,5,0,8,5,4,0
0984a306-7f86-4fe6-b3f4-cef7f2d36454,1,3,2,7,6,9,3,11,5
0984b06c-e3b2-44f1-ac0e-47da3da28641,1,10,6,8,4,6,5,6,4
09974071-2327-4a11-9f0f-c8114c884a32,1,10,6,6,2,7,5,5,3
099adbb4-0b64-4b81-bf06-9e7df0e05683,1,16,6,14,4,8,5,2,0
099eaacd-374c-4073-8038-6b74e973bf8e,3,9,5,10,6,10,7,7,4
09a6ab24-42c8-4bdc-8ae6-e35a205eaffe,1,9,2,14,6,12,4,14,5
09bd6748-0571-4c5b-9ce5-94c4ab1230c7,3,16,4,17,6,17,7,18,7
09d0f20a-d6ec-4b63-934d-61d6822b80e0,3,14,6,10,2,22,3,29,9
09d76022-58fc-448b-9c67-1a5775439fc8,1,10,6,3,1,16,6,14,9
09db996d-ff92-4393-b5b5-91ce9859079d,3,12,6,12,5,7,5,2,0
09e6a705-cf10-4b05-a44f-9c0a5e7b5482,3,9,6,6,2,10,5,6,2
09ede63a-ae95-493c-9d38-c778904c2113,3,9,6,4,1,13,4,20,11
0a0f614f-9ffe-439b-a60a-48c30c5adf9d,1,10,6,5,2,9,5,5,1
0a1047fb-93b5-405c-a35b-f53f075876c3,3,11,2,14,6,17,9,12,2
0a1a0229-a494-4cb3-b258-89219d6b9b91,3,9,6,4,1,17,5,15,3
0a3f87c7-e459-4a7f-b95a-3aa919efb75d,1,7,2,11,6,17,5,17,5
0a52c598-12a8-4a6a-818d-c83429c2d92e,3,17,5,17,6,15,6,13,2
0a59f30f-a432-4539-9b73-2262a2a063f6,3,8,3,11,6,0,0,5,5
0a651c48-bf62-4911-b876-4b5114902ac9,1,16,6,13,5,12,6,11,5
0a732c73-69ca-46a2-aeaf-8649cbf87435,3,10,6,6,2,8,5,8,4
