player_id,gender,singles_surplus
7319013d-d511-4aa5-a356-4aa2cccf94f5,F,0.0483
646f7432-e6ad-4ccf-95ee-a0e5d9514d28,F,0.0479
be74032b-1035-4ece-bf4f-773b45da4d58,F,0.0462
dc7f6ac5-f007-4b8f-b343-95e524dc7d0a,M,0.0458
71992955-8b6f-470b-a991-796cfa56a826,F,0.0456
129b2771-34b5-4b7f-9c23-e020a6aa3e6a,F,0.0418
167e7a23-c919-460b-8586-a3966f588dcb,M,0.0402
79a11da1-6aeb-4719-9b1e-9918e0163cec,M,0.0384
f8b6b217-f9f8-4fd3-a71d-ae4dfcbb9c89,F,0.0332
b924b201-a7b1-4af5-83ef-d132c2d27008,F,0.0324
1dd5c313-10f5-4e0a-bb9b-699913a5abe8,F,0.0261
52690a0c-ed4a-4e0b-bf69-4ef416cf7d55,M,0.0243
f86cff72-5f9c-40b1-9f28-f28aafae245f,M,0.0234
a3ed7970-35d2-485c-8285-187c298a2d83,F,0.0187
0142557a-6231-455b-8eee-daf5f67fc1ff,M,0.0171
e96d9339-cfb6-473d-bcb3-23f2887a3e0f,M,0.0160
9b97206b-783a-4fab-85e9-45a6240325a5,F,0.0084
03db4060-fcb3-41f7-83d5-7ee732dd8841,F,-0.0056
c2c74ae6-6b11-4a40-80e6-b7b924d2d83f,M,-0.0085
295e343a-31a0-4e1d-a286-d62592291435,M,-0.0105
7cf93ef3-86b7-4bb4-937b-5b5dc4c72c32,F,-0.0109
cb9ea037-f204-4216-ac56-930a01009166,M,-0.0120
1de884f8-7bf7-4b49-9de8-3f1fd74cabd6,M,-0.0124
cd9ee524-11da-4099-805f-1f362f2bc468,F,-0.0143
ce7e7707-c94e-4d33-b34a-37efe3363774,M,-0.0156
a8256366-d2f9-4787-bf8c-d8e76c55fa86,M,-0.0176
66a6c35b-33a2-4a23-b5db-fa53c96d643a,F,-0.0205
3cab1673-2522-4dd5-ba07-2a1b88749d86,M,-0.0207
1374dfe9-4573-4ab6-991d-16bed0a6d25c,M,-0.0231
9eff9049-c45c-42ee-9a49-e9a797cc2116,F,-0.0255
b03ff4de-9b8f-46a8-a530-d8f19e9d6ec9,M,-0.0275
