p1_name,p2_name,context,games,chemistry_mean,chemistry_sd,p_positive,percentile
Jada Bui,Mya Bui,womens,16,-0.072,0.439,0.436,12.8
Alia Brown,Madalina Grigoriu,womens,4,0.063,0.461,0.548,83.5
Hudson De Risi,Matthew Finnerty,mens,7,-0.075,0.449,0.429,11.6
Vincent Rettke,Miles Hoover,mens,15,-0.115,0.471,0.406,3.6
Samantha Buyckx,Kelsey Laurente,womens,5,0.056,0.459,0.529,81.3
Arianna Raga,Ali Quintero,womens,2,-0.035,0.465,0.475,33.0
Michael Leonard,John Lucian Goins,mens,4,-0.032,0.446,0.485,35.0
Connor Mogle,Jose Martinez,mens,10,0.043,0.445,0.529,77.1
Poongi Hong,Michael Vallejo,mens,5,0.006,0.435,0.495,60.1
Andrew Loftin,Amir Evgamukov,mens,7,0.092,0.441,0.561,90.0
Austin Bricker,Adam Harvey,mens,10,0.057,0.429,0.565,81.8
Mark Dancuart,Tanner Tomassi,mens,12,0.027,0.457,0.523,70.1
Robby Greenlaw,Thiago Braga,mens,3,-0.017,0.422,0.49,45.4
Luca Mack,Anouar Braham,mens,19,0.229,0.453,0.676,98.8
Christopher Crouch,Jhonnatan Medina Alvarez,mens,7,0.098,0.453,0.594,91.2
Robert Laidlaw,Connor Duvally,mens,6,0.025,0.471,0.522,69.6
Grayson Goldin,William Sobek,mens,8,0.132,0.438,0.62,94.6
MJ Greiner,Dylan Lewis,mens,4,-0.031,0.451,0.48,35.9
Riley Bohnert,Marisa Ruiz,womens,5,-0.003,0.44,0.494,54.7
Seone Mendez,Jessica Warren,womens,2,0.003,0.425,0.514,58.1
George Rangelov,Nejc Sitar,mens,7,0.017,0.463,0.52,66.0
Logan Rowe,Joe Wiencek,mens,2,-0.029,0.443,0.481,37.3
Mark Growcott,Bret Berryman,mens,10,0.075,0.439,0.566,86.6
Jarryd Woog,Evan Pratt,mens,8,0.034,0.485,0.515,73.7
Michael Coleman,Jake Benjamin,mens,2,0.035,0.479,0.532,74.3
Justin Graham,Emanuel Dickson,mens,9,-0.006,0.452,0.494,53.2
Evan Zoeteman,Mulima Mulenga,mens,2,-0.0,0.444,0.504,56.4
Zane Ford,Tendai Tapfuma,mens,3,-0.064,0.471,0.442,15.8
Tom Protzek,Martin Emmrich,mens,20,-0.09,0.432,0.428,7.8
Ashley Griffith,Brooke Caruso,womens,16,0.223,0.423,0.698,98.7
Estee Widdershoven,Jaeda Minniefield,womens,4,-0.111,0.454,0.417,4.0
Elsie Hendershot,Lina Padegimaite,womens,12,-0.041,0.439,0.459,28.6
Martina Frantova,Rachel Summers,womens,10,0.054,0.419,0.541,80.6
