uuid,name,gender,n_high,n_low,regular,big,lift,lift_rank,skill_adj,skill_adj_rank,lift_halfA,lift_halfB
1ad19b48-ae39-44aa-b2a0-5a40a6b71420,Daniel Byun,M,751,1591,-0.1366,-0.4656,-0.329,711,-0.2451,683,-0.0977,-0.2307
3b609732-aeb8-49ef-af26-4321e6e0d151,Bryanna Ojeda,F,595,1180,-0.0544,-0.3838,-0.3294,712,-0.2867,723,0.0609,-0.4452
0d659a6e-9386-45c5-a3c0-8f8ce4efaa14,Poongi Hong,M,196,396,0.0731,-0.2597,-0.3328,713,0.0474,310,-0.4413,0.2232
98915a37-fa53-445c-8c1c-974170c606d7,Ryan Eveloff,M,538,1132,-0.0081,-0.344,-0.3359,714,-0.0816,497,-0.146,-0.235
5c35babd-ded9-4e8f-a70e-5712c2a95d50,Sophia Phuong Anh Tran,F,669,1377,-0.0449,-0.381,-0.336,715,-0.2615,699,-0.1814,-0.1671
33e8c243-d1a8-4821-89cf-e15bf003e6f4,Ryan Skufca,M,250,451,0.1978,-0.1402,-0.338,716,-0.2694,706,-0.1249,-0.2104
b9078ad5-9d55-4617-9c9d-131823dfca0b,Luke Ness,M,792,1456,0.0374,-0.3044,-0.3418,717,-0.2031,647,-0.2109,-0.2641
ea0b7d06-7e9f-4786-a4ed-24da5029559f,Dale Kim,M,591,1197,0.1065,-0.2367,-0.3432,718,-0.3676,763,-0.1322,-0.4636
607ff7e3-ba06-47f2-8bdc-0f66a4a6614f,V. Mary Rivas,F,296,547,0.0553,-0.2904,-0.3457,719,-0.1304,566,-0.0496,-0.3511
36b47dfd-00db-4bf3-ae56-e6cd61e51a97,Ryan Lam,M,189,350,-0.087,-0.4345,-0.3475,720,0.0529,304,-0.0996,-0.148
8d4ab63d-f14c-4013-a97a-3789015b9bd8,Tatiana Ruhl,F,818,1690,-0.0916,-0.4392,-0.3476,721,-0.1276,559,-0.27,-0.1109
b025eccb-868e-4ce6-a4db-c1082a288b59,Maddy Rasmusen,F,1603,3106,0.0519,-0.2965,-0.3484,722,-0.4014,769,-0.4082,-0.1854
608756f6-bfc7-41b5-9cfd-5e69eacfe513,Victoria Dimuzio,F,1489,3007,0.1348,-0.2138,-0.3486,723,-0.45,779,-0.4257,-0.2934
07456e73-2a8c-4bcc-a487-7300ea9d852f,Cody Sivan,M,382,818,-0.0915,-0.4416,-0.3501,724,0.0481,309,-0.2643,-0.1309
d889476e-0b2f-4acf-a873-f7aea0b92dab,Evgeniy Kim,M,618,1343,-0.0051,-0.3596,-0.3545,725,-0.0222,406,-0.4136,-0.0847
71b69208-128b-4395-beae-129689d36204,Willy De Vilchez,M,434,794,0.1322,-0.223,-0.3552,726,-0.3397,756,-0.1353,-0.3281
7cbd7e4d-3d2c-40f8-8c09-40c271d64a73,Louie Payetta,M,316,644,0.1613,-0.1959,-0.3572,727,-0.2781,715,-0.1761,-0.344
8df7caa9-af2f-4381-833a-f56776546f88,Claudio Quinones Garcia,M,698,1371,-0.0639,-0.4297,-0.3657,728,-0.3972,768,-0.3874,-0.0766
00e04f40-f239-42cd-baaa-0800e5f7d525,Sarah Carpenter,F,215,417,0.0993,-0.2666,-0.3659,729,-0.0469,450,-0.023,-0.3254
4212e979-7692-4231-8934-d6a7042aa217,Lauren Hidalgo-Smith,F,492,956,-0.1386,-0.505,-0.3664,730,-0.2353,676,-0.2059,-0.2171
0f2bcb8e-7a61-420c-ac30-b9626b8049a6,Caitlin Klaassen,F,786,1439,0.1004,-0.2664,-0.3668,731,-0.3181,747,-0.2271,-0.1983
34270d82-e968-407d-a918-8aa57f0123a6,Elsie Hendershot,F,1053,2016,-0.0172,-0.3855,-0.3683,732,-0.4067,771,-0.1047,-0.5649
f809c1c0-fbca-4d67-9c59-23b02cbf0128,Anni Xie,F,222,445,0.1485,-0.2209,-0.3694,733,-0.0882,507,-0.3342,-0.0235
9fa6a300-42c2-4a96-b7c0-9afbe1342e59,Adair Garcia,M,719,1370,-0.0565,-0.427,-0.3705,734,-0.2097,657,-0.2619,-0.2419
8a614993-d082-4ab8-af12-348c954ff276,Emanuel Dickson,M,366,690,-0.1248,-0.4961,-0.3713,735,-0.1827,624,-0.27,-0.1201
7867cc51-11d1-471f-a8bb-9d8370b6a698,Nicholas Wade,M,706,1421,0.0918,-0.2811,-0.3729,736,-0.4337,776,-0.4382,-0.0213
52e042f4-517b-483d-a264-f2f3dfa3f940,Jimmy Terzian,M,244,542,0.0746,-0.2984,-0.373,737,0.0207,344,-0.2531,-0.1702
