p1_name,p2_name,context,games,chemistry_mean,chemistry_sd,p_positive,percentile
Ashley Lu,Lova Metor,mixed,7,0.043,0.404,0.544,82.5
Liz Truluck,Anderson Scarpa,mixed,12,0.076,0.36,0.573,91.9
Yolena Carlon,Austin Bricker,mixed,6,0.065,0.388,0.565,89.7
Kirsten Myers,Chance Myers,mixed,2,-0.048,0.365,0.453,15.2
Courtenay Leonard,Matthew Mead,mixed,3,0.002,0.378,0.499,58.0
Vincent Rettke,Adela Umannova,mixed,5,-0.01,0.381,0.489,48.0
Haley Ferguson,Garrison Eaby,mixed,7,0.036,0.402,0.536,79.1
Marshall Brown,Rachida Berjane,mixed,4,-0.024,0.368,0.484,33.5
Karen Lu,Michael Vallejo,mixed,4,0.04,0.367,0.539,81.0
Daniel Miron,Keilly Ulery,mixed,9,0.09,0.362,0.591,94.2
Brianna McCullock,Carlos Pavon,mixed,2,-0.018,0.37,0.491,39.9
Mya Bui,Anouar Braham,mixed,10,0.077,0.361,0.561,92.2
Shailla Alda,Logan Thompson,mixed,2,-0.02,0.37,0.492,37.9
Donald Young,Marcela Aguila Ampon,mixed,6,0.077,0.382,0.578,92.0
Adaline Machado,Heath Helms,mixed,2,-0.034,0.407,0.471,25.1
Tobias Moreno,Andi Godwin,mixed,6,0.007,0.379,0.522,62.1
Putri Insani,Ryan Camras,mixed,2,-0.002,0.385,0.496,55.0
Elise Fortino,Miles Hoover,mixed,9,0.079,0.395,0.582,92.5
Caitlin Klaassen,Thomas Romano,mixed,3,-0.026,0.364,0.474,32.1
Jake Anderson,Jaeda Minniefield,mixed,5,-0.072,0.381,0.426,5.5
Kentaro Hamaguchi,Giorgia Vitale,mixed,6,0.061,0.368,0.564,88.8
Lucas Erlikh,Patara Tezduyar,mixed,2,-0.039,0.362,0.463,20.8
Zach Gonnering,Fatyha Berjane,mixed,2,-0.044,0.379,0.465,17.4
Javier De León Albors,Francesca Marto,mixed,4,0.006,0.376,0.5,61.3
Jojo Henderson,Tucker Segars,mixed,3,0.001,0.378,0.504,57.7
Beatriz Lopez,Alvaro Regalado,mixed,5,0.017,0.371,0.525,69.4
Emma Cook,Stephen Bass,mixed,2,-0.051,0.384,0.455,13.3
Alex Chanthaphaeng,Keri Lu,mixed,2,-0.02,0.374,0.488,37.7
Bolaji Kukoyi,Gabi Dekkers,mixed,3,-0.01,0.354,0.489,47.7
Brandon Macdonough,Nancy Suiugan,mixed,2,-0.007,0.392,0.498,50.6
Camden Chaffin,Paula Rives,mixed,5,-0.057,0.382,0.444,10.4
Aurora Arvelo,Brooks Toth,mixed,2,-0.011,0.384,0.493,46.6
Kendall Warren,Jonathan Clark,mixed,4,0.038,0.382,0.549,79.9
Alexander Allweil,Caraline Cox,mixed,2,-0.001,0.383,0.485,55.2
Casey Garretson,Kendall Hunt,mixed,2,-0.041,0.376,0.467,20.0
Cody Temple,Eden Malloy,mixed,2,-0.053,0.375,0.45,11.9
Aiko Yoshitomi,Eunggwon Kim,mixed,7,0.111,0.373,0.596,96.3
Braylon Ohrel,Christian Lund,mens,9,0.08,0.397,0.561,92.5
Stephen Bass,Vincent Rettke,mens,4,0.014,0.372,0.512,67.7
Tucker Segars,BO Lewis,mens,2,-0.015,0.38,0.479,42.9
Demetric Marrero Jr,Daniel Miron,mens,4,-0.021,0.369,0.469,37.1
Brittni Tonnessen,Austin White,mixed,2,-0.059,0.361,0.429,9.6
Anna Lenhart,Ryan Camras,mixed,10,-0.018,0.369,0.489,40.7
Ashley Lu,Dale Kim,mixed,5,0.033,0.383,0.519,77.5
Eden Malloy,Jack Boxill,mixed,2,-0.019,0.389,0.489,39.2
Hong Kit Wong,Kara Wheatley,mixed,11,0.081,0.373,0.581,92.9
Ethan Bakalinsky,Karthik Ganesh,mens,4,0.018,0.363,0.526,70.2
Jose Martinez,Jake Anderson,mens,5,-0.104,0.372,0.392,1.6
Brie Aldridge,Jake Anderson,mixed,11,0.071,0.353,0.551,91.1
Parth Mody,Helen To,mixed,9,0.001,0.38,0.504,57.6
Dawson Davis,Caroline Maguire,mixed,2,-0.071,0.406,0.441,5.8
Spencer Liang,Preston Gordon,mixed,5,0.036,0.362,0.531,78.9
Keri Lu,Noah Lyu,mixed,2,-0.025,0.388,0.485,33.0
Bryson Alexander,Isidora Petkovic,mixed,3,0.016,0.379,0.509,68.6
Andre Mercado,Savanna Ticknor,mixed,5,0.05,0.4,0.548,85.0
Dylan Lewis,Mia Turcsany,mixed,4,0.01,0.378,0.514,64.4
Nicolas Almeida,Emanuel Dickson,mens,5,0.02,0.384,0.519,70.8
VU Nguyen,Herick Isago,mens,2,-0.001,0.386,0.493,55.3
Tobias Moreno,Michael Shaw,mens,9,0.053,0.366,0.544,85.6
Benjamin Harper,Benjamin Pepion,mens,2,-0.008,0.423,0.504,50.1
Frank Solana,Ross Cottrell,mens,2,-0.01,0.398,0.485,47.6
Hong Kit Wong,Eunggwon Kim,mens,20,-0.042,0.371,0.457,18.5
Kentaro Hamaguchi,Noah Waddell,mens,9,-0.038,0.372,0.454,22.0
Matthew Boyett,Sena Takeyama,mens,2,-0.022,0.384,0.49,36.4
Mike Radermacher,Mouaad Alhouni,mens,4,0.003,0.394,0.52,59.3
Trevor Schwarzmann,Diego Lebron Perez,mens,6,-0.02,0.384,0.489,38.3
Connor McCartney,Bret Berryman,mens,2,-0.063,0.378,0.441,7.6
Matthew Nesbitt,Andrew Angulo,mens,4,0.059,0.376,0.564,87.8
Jun Jeon,Allen W Wang,mens,3,0.013,0.375,0.514,66.8
Eduardo Santini Ayon,Maddy Rasmusen,mixed,12,-0.032,0.391,0.472,26.1
Alli Hazrati,Ben Baravik,mixed,2,-0.043,0.387,0.469,18.4
Chloe Igleski,Shamus Flanagan,mixed,3,-0.085,0.403,0.418,3.5
Keri Lu,Masa Grgan,womens,4,0.034,0.379,0.525,78.3
Hunter Bivins,Colton Phillips,mens,2,-0.049,0.355,0.451,14.5
Morgan Downing,Nicolas Almeida,mixed,3,-0.039,0.383,0.47,21.1
Eduardo Santini Ayon,Jackson Ayotte,mens,9,0.049,0.369,0.559,84.5
Mia Yu,Allen W Wang,mixed,5,-0.009,0.37,0.501,48.9
Nancy Suiugan,Thomas Provost,mixed,2,-0.014,0.391,0.497,44.3
Isabella Nelson,Nicholas Wade,mixed,5,0.081,0.395,0.581,92.7
Reba Williams,Caroline Maguire,womens,2,-0.062,0.349,0.452,8.4
Lucas Sanchez,Eduardo Caillaux,mens,2,-0.031,0.397,0.478,27.5
Adalynn Lund,Ariana Ajani,womens,4,0.047,0.369,0.545,83.5
Tammy Kim,Michael Vallejo,mixed,3,0.001,0.38,0.496,57.5
Wesley Hanson,William Hart,mens,10,0.02,0.358,0.524,71.0
Aibika Kalsarieva,Rafael Lenhard,mixed,9,0.114,0.376,0.616,96.7
Jarryd Woog,Lauren Cole,mixed,5,0.018,0.364,0.524,69.6
Maria Klokotzky,Anne-Sophie Courteau,womens,6,0.096,0.371,0.585,95.0
Eileen Wang,Mia Yu,womens,4,0.01,0.374,0.511,64.5
Justin Dages,William Hsieh,mens,4,-0.024,0.381,0.486,34.1
Maria Klokotzky,Eli Steiner,mixed,9,0.004,0.369,0.511,60.1
Teresa Romero,Logan Thompson,mixed,2,-0.026,0.384,0.476,31.4
Regina Goldberg,Nicolas Acevedo,mixed,13,-0.007,0.364,0.494,51.1
Ruben Kellam,Yulia Krylova,mixed,2,-0.03,0.41,0.483,28.2
Nathaniel Veselenak,Pesa Teoni,mens,2,-0.086,0.404,0.439,3.5
Isabella Nelson,Audrey Banada,womens,3,-0.036,0.409,0.463,22.6
Lauren Cole,Spencer Liang,womens,7,0.011,0.36,0.496,65.2
Preston Gordon,Jack Hared,mens,2,-0.062,0.367,0.44,8.3
Chuck Taylor,Zach Gonnering,mens,8,0.046,0.375,0.546,83.1
Piercarlo Usai,Harrison Gold,mens,6,0.005,0.384,0.501,60.6
Sam Libo,Tobias Golberg,mens,5,0.035,0.354,0.546,78.6
George Wolf,Jonah Karczmer,mens,3,-0.018,0.385,0.478,39.6
Ariana Ajani,Josiah A,mixed,2,-0.022,0.373,0.482,35.9
Rachel Summers,Zach Gonnering,mixed,3,-0.033,0.351,0.468,25.5
Sam Libo,Sonia Purello,mixed,2,-0.015,0.375,0.498,42.9
Emma Cook,Jessica Mason,womens,2,-0.012,0.379,0.488,46.2
Dylan Lewis,Austin White,mens,4,0.024,0.386,0.524,73.1
Johnny Goldberg,Mota Alhouni,mens,6,0.109,0.39,0.584,95.9
Ana Gordon,Jack Hared,mixed,7,0.002,0.366,0.498,58.7
Olga Zavarotnaya,Natalia Simson,womens,2,-0.063,0.398,0.437,7.6
Abigail Okelley,Kristen Van Dernoot,womens,3,-0.067,0.399,0.441,6.5
Alli Hazrati,Eden Malloy,womens,5,0.035,0.38,0.536,78.4
Haley Ferguson,Domenico Geminiani,mixed,4,0.005,0.384,0.503,60.5
Eva Mitchell,Harrison Gold,mixed,2,-0.029,0.381,0.458,28.8
Casey Garretson,Kristen Van Dernoot,mixed,2,0.013,0.368,0.516,67.2
Rachel Janssen,Fatyha Berjane,womens,4,0.008,0.4,0.499,62.8
Nancy Suiugan,Liza Klyachkin,womens,2,-0.012,0.386,0.489,45.7
Kara Wheatley,Aibika Kalsarieva,womens,6,-0.068,0.356,0.43,6.2
