player_id,full_name,gender,games,value_mean,value_sd,w_mixed,w_mens,w_womens
6a87bc44-5190-44db-8a2f-467de4de48c6,Christa Gecheva,F,127,0.967,0.512,-0.014,nan,0.02
6160a7c7-6b90-41f1-96d3-af5fa1623ca5,Collin Johns,M,137,0.577,0.461,-0.01,0.012,nan
8d4ab63d-f14c-4013-a97a-3789015b9bd8,Tatiana Ruhl,F,51,-2.071,0.711,-0.011,nan,-0.004
ce4f0e14-80ea-4ed0-a81c-7341d356d427,Yuta Funemizu,M,114,1.169,0.514,-0.018,0.02,nan
0c5b84bb-4c04-4906-86bc-deb533ff4eec,Zane Ford,M,125,0.367,0.515,-0.012,0.011,nan
c4ca8085-84ed-451f-81c0-6df4a1c8d59f,Dominique Schaefer,F,90,0.367,0.573,0.004,nan,-0.006
bb20d284-a077-49bd-8409-a3452e3067f3,Kevin Caulfield,M,13,-1.105,1.185,-0.009,0.001,nan
3b609732-aeb8-49ef-af26-4321e6e0d151,Bryanna Ojeda,F,15,-1.926,1.172,-0.007,nan,0.001
5925398b-b2a9-4e8f-ae46-5c2b59b1b818,Nicole Conard,F,108,-0.722,0.558,0.004,nan,-0.01
f8b6b217-f9f8-4fd3-a71d-ae4dfcbb9c89,Ava Ignatowich,F,91,-1.827,0.572,-0.009,nan,-0.001
b025eccb-868e-4ce6-a4db-c1082a288b59,Maddy Rasmusen,F,26,-0.37,1.051,-0.002,nan,0.003
4f142e8d-9a57-41cb-a89b-5b4c3af752fa,Ella Boydston,F,9,0.201,1.375,nan,nan,0.003
9eff9049-c45c-42ee-9a49-e9a797cc2116,Cailyn Campbell,F,126,0.27,0.503,0.002,nan,-0.007
518626d4-2600-4134-8c6a-0ae9315f9625,Cason Campbell,M,96,-0.535,0.552,-0.023,0.021,nan
bf84d952-c6a8-4494-943d-064b223e764f,Estee Widdershoven,F,49,0.548,0.858,0.008,nan,-0.01
2aa8ced3-d599-4c83-86dd-ecc80196833b,Luca Mack,M,45,0.634,0.901,0.013,-0.011,nan
1e5d81dc-961d-455a-b80f-d6c30c518cde,Caden Nemoff,M,61,-1.139,0.675,-0.015,0.012,nan
8c94d7b2-0dce-455e-916f-e35927d53547,Thomas Yu,M,77,1.482,0.702,0.001,0.007,nan
091e8c64-3b31-4263-889e-7170c2313b97,Santhosh Narayanan,M,26,0.423,0.933,0.009,-0.003,nan
ba491f1c-0112-47a8-a348-4695289e958a,Augustus Ge,M,238,1.644,0.383,-0.004,0.01,nan
1dd5c313-10f5-4e0a-bb9b-699913a5abe8,Mary Brascia,F,133,1.059,0.557,-0.002,nan,0.01
1bab49f1-6891-4d3e-8f77-42aa4fc1d18e,Mohaned Alhouni,M,103,0.758,0.531,-0.006,0.011,nan
d43db93c-6710-4a18-a406-497eb7a068ce,Spencer Smith,M,81,0.211,0.58,-0.004,0.004,nan
