uuid,name,gender,n_high,n_low,low,high,clutch,clutch_se,z
45e53881-72e4-4de1-9763-c2e7f7f854ba,Andrea Koop,F,2083,4002,-0.08863485805806655,0.13913404676473728,0.22776890482280382,0.10873163312383259,2.0947805002009097
220e3821-0cac-4fce-a722-a079a5359262,Casey Garretson,M,492,987,-0.28112041129421345,-0.054631741802299884,0.22648866949191357,0.23818161999886298,0.9509074188553877
96fa4141-9648-475f-ab95-fb6796c2f489,Sam Weinbach,M,379,753,-0.06919158116677912,0.15659678882693437,0.2257883699937135,0.21332818717487328,1.0584085159296184
b4b00d3c-1974-48f2-b74e-9cf9faa04d69,Kevin Dayan,M,731,1569,-0.2500531275707932,-0.03325898841609866,0.21679413915469453,0.1952236784368706,1.1104910064728606
7886d6aa-2310-4ae8-9874-f0fc9c3e534f,James Delgado,M,3440,6581,-0.13307637295892222,0.08130717438470754,0.21438354734362974,0.08899930749540123,2.4088226456672976
81535c8c-27d9-452c-a72a-61fc9f755b01,Will Mackinnon,M,1606,3149,-0.021040509677695024,0.1923536860112636,0.21339419568895862,0.12228210230912546,1.7450975380641112
dc7f6ac5-f007-4b8f-b343-95e524dc7d0a,Luc Pham,M,1588,3307,-0.10430125348161338,0.10900529439306872,0.21330654787468212,0.13632873947161556,1.5646484277740556
ba7380b8-4820-4239-89d2-772b9c853839,Logan Rosenbach,M,153,330,-0.3329138156877336,-0.12012893508325123,0.21278488060448236,0.34562115527071874,0.6156593060335437
093e132a-0458-472b-aaee-ee7e15d25e20,Chris Jammal,M,241,525,-0.19370617622965935,0.01810955494330433,0.21181573117296368,0.23912596705227607,0.8857914252644005
e838b7b5-ffd5-4a47-ac0b-f748dc6841d9,David Bieger,M,463,1027,-0.11826843001723444,0.09340147089729593,0.21166990091453036,0.19880670415112142,1.0647020271189198
30d7759b-93f0-467d-a07a-970ecfac06ba,Cameron Luhring,M,459,1012,-0.03760018863061659,0.17191832761493092,0.20951851624554751,0.2004343324466018,1.0453224938465362
306da673-de7e-44f5-bc16-0738b44bd089,Christopher Crouch,M,2416,4828,-0.05366514064415953,0.15534614302430982,0.20901128366846936,0.10414194504183176,2.006984636061038
03c7da24-3aa8-4bad-8932-85c2a72ccf71,Emily Stumpf,F,210,338,-0.16957335116353717,0.038336581805290926,0.2079099329688281,0.2998447881612111,0.6933918519772492
590dbe5f-6dd5-4ffe-9d8a-4f7c26ea9546,Tingwen Wang,F,161,297,-0.21653756196896048,-0.009776100790794509,0.20676146117816596,0.29530276313838916,0.7001677159426725
2c2a2b82-9ec7-4046-97cb-3a199ed507af,Oscar Serra,M,919,1751,-0.1166368619682899,0.08398351485432762,0.20062037682261752,0.1688154364943209,1.1884006639959526
