match_id,date,team_uuid,team_title,order,order_names,order_genders
e31684f2-7c6b-4bb3-bcbc-490925f1d263,2025-07-31,1a39f443-f5f4-41a8-9dea-3edc28dd262b,Miami Pickleball Club,295e343a-31a0-4e1d-a286-d62592291435|88f06134-949b-4242-aee8-edbb029f808f|87d60b6f-6f2e-4610-ab89-487e8acc097e|435e466e-22c7-4917-8cb4-ff45bbccde19,Jay Devilliers|?|Mya Bui|Tamaryn Emmrich,M?FF
e31684f2-7c6b-4bb3-bcbc-490925f1d263,2025-07-31,71e58382-1a3a-40b2-bcbb-0a391e67c519,Chicago Slice,b03ff4de-9b8f-46a8-a530-d8f19e9d6ec9|9decd87b-03ac-4d79-a1e7-d03ca3f7519b|ff789b9c-80c4-442c-b97e-2e2311298cfb|0c1bb94d-3af2-42f4-b938-d712c707ace4,Max Freeman|James Ignatowich|Vivian Glozman|Callie Smith,MMFF
1e220175-1ac9-4e3f-9ac5-17866ed82b2a,2025-07-20,01835b00-5626-4d6e-ad40-9357b072eb73,Dallas Flash,bd061b42-2f82-4bbe-82be-d8bcfb37f9e1|ba491f1c-0112-47a8-a348-4695289e958a|b51ea0fb-c243-4427-85f8-b798febb51ff|fec65f7e-f2c8-482f-ab5b-541cf53b1064,JW Johnson|Augustus Ge|Jorja Johnson|Tyra Hurricane Black,MMFF
1e220175-1ac9-4e3f-9ac5-17866ed82b2a,2025-07-20,71e58382-1a3a-40b2-bcbb-0a391e67c519,Chicago Slice,b03ff4de-9b8f-46a8-a530-d8f19e9d6ec9|9decd87b-03ac-4d79-a1e7-d03ca3f7519b|ff789b9c-80c4-442c-b97e-2e2311298cfb|0c1bb94d-3af2-42f4-b938-d712c707ace4,Max Freeman|James Ignatowich|Vivian Glozman|Callie Smith,MMFF
75157632-01e1-4c76-a9c7-8ec4d6a4d85c,2026-05-28,b7b1049e-446a-44f8-88ff-865db2298db5,Columbus Sliders,581183e8-3d9e-459e-b69f-7337d8b6f3d2|a9782e86-e5ae-46d3-9194-ac89fdaed622|1728d016-1f02-4789-be73-63d12d5a5b42|ec4cdfe2-c6f6-4de1-824e-9adcaeb31196,Andrei Daescu|Alexander Crum|Parris Todd|Judit Castillo,MMFF
75157632-01e1-4c76-a9c7-8ec4d6a4d85c,2026-05-28,1a39f443-f5f4-41a8-9dea-3edc28dd262b,Miami Pickleball Club,a000a067-1bf1-442f-a961-e6c97cb50006|ce4f0e14-80ea-4ed0-a81c-7341d356d427|719e2d3b-d10d-402d-a195-41f072214679|348255bf-f94e-47cb-ab5d-95969c2bd7b9,Nicolas Acevedo|Yuta Funemizu|Isabella Dunlap|Aiko Yoshitomi,MMFF
1f39d0e0-a2a7-4061-9d42-6e513537e1d2,2026-06-28,43437cb4-02e1-4653-9bf6-c999a5d6315e,Las Vegas Night Owls,ecd31a05-120f-4373-b5c1-21136f8f0bf1|b68c0204-d9d4-4cba-bf23-46706abd77bf|71992955-8b6f-470b-a991-796cfa56a826|20684550-cb89-4ea2-9e2f-0f44eb920b45,Braden Jacobson|Clayton Powell|Liz Truluck|Chao Yi Wang,MMFF
1f39d0e0-a2a7-4061-9d42-6e513537e1d2,2026-06-28,e9b1ce59-d394-4570-8776-2782c94723f5,Florida Smash,3d9c8684-953f-4008-b355-b6104ee56a5b|518626d4-2600-4134-8c6a-0ae9315f9625|1d701c30-6b5d-485f-ae97-60f3b0c50896|65bcab7c-9c93-4dc8-a847-a34da426b933,Connor Mogle|Cason Campbell|Zoey Weil|Martina Frantova,MMFF
6d3f9754-cc0c-40cf-adf0-c1fe4c054eae,2026-06-12,b7b1049e-446a-44f8-88ff-865db2298db5,Columbus Sliders,a9782e86-e5ae-46d3-9194-ac89fdaed622|581183e8-3d9e-459e-b69f-7337d8b6f3d2|ec4cdfe2-c6f6-4de1-824e-9adcaeb31196|2c4de762-88d6-47c3-8b2b-af562c5d1f93,Alexander Crum|Andrei Daescu|Judit Castillo|Danni-Elle Townsend,MMFF
6d3f9754-cc0c-40cf-adf0-c1fe4c054eae,2026-06-12,bb45f80b-4be3-4b57-9537-9fb899819a9a,California Black Bears,d8d51930-abf9-468b-9e43-55a9c0728d58|7886d6aa-2310-4ae8-9874-f0fc9c3e534f|a95df9a8-772c-4dbf-8c28-e200b7308584|051f5c82-82ce-4ab8-b4f8-36976638a89b,Anouar Braham|James Delgado|Kiora Kunimoto|Sahra Dennehy,MMFF
f300a04e-dfc5-43b1-9a3a-b9f77f18ae2d,2026-05-29,43437cb4-02e1-4653-9bf6-c999a5d6315e,Las Vegas Night Owls,925c1306-6b3b-4510-8482-f34168a0842a|4057f30d-d42a-4189-a158-11576fb5f52a|71992955-8b6f-470b-a991-796cfa56a826|20684550-cb89-4ea2-9e2f-0f44eb920b45,Roscoe Bellamy|Blaine Hovenier|Liz Truluck|Chao Yi Wang,MMFF
f300a04e-dfc5-43b1-9a3a-b9f77f18ae2d,2026-05-29,6e6e4897-ccb9-4ea0-8fda-219e79f7a1ab,Carolina Hogs,a9a168ae-7822-4d31-b07b-fba40480c1fc|3d9c8684-953f-4008-b355-b6104ee56a5b|6794d224-7da3-43d9-8300-e24e731f5dea|4025f403-d676-42ee-97a1-61d9b38c211b,Brandon French|Connor Mogle|Samantha Parker|Allison Phillips,MMFF
56366bfe-4c20-4ef0-829b-90d735f6c646,2026-06-28,db0e1408-288d-4046-b6e0-9b6b279ea8cb,Texas Ranchers,a000a067-1bf1-442f-a961-e6c97cb50006|52690a0c-ed4a-4e0b-bf69-4ef416cf7d55|66a6c35b-33a2-4a23-b5db-fa53c96d643a|7319013d-d511-4aa5-a356-4aa2cccf94f5,Nicolas Acevedo|Eric Oncins|Kaitlyn Christian|Lea Jansen,MMFF
56366bfe-4c20-4ef0-829b-90d735f6c646,2026-06-28,01835b00-5626-4d6e-ad40-9357b072eb73,Dallas Flash,bd061b42-2f82-4bbe-82be-d8bcfb37f9e1|ba491f1c-0112-47a8-a348-4695289e958a|06dc9b8a-5c01-49cf-bb4d-70d7b5f85acf|2c4de762-88d6-47c3-8b2b-af562c5d1f93,JW Johnson|Augustus Ge|Brooke Buckner|Danni-Elle Townsend,MMFF
2693f503-5431-44ad-9a5b-ba5f68dcb271,2025-05-02,f6247f54-df2c-421f-89fe-6813f9893883,Phoenix Flames,3a43c56f-b9d8-4e72-ae8a-58fd69291946|dbcb41e9-e983-410b-bc23-d184d034cfc0|4da698bf-605d-4c6c-8566-6bfbdb6c1a24|8e2f9629-19d0-409d-81dc-b64fe2f3d3ff,Jack Sock|Tyson McGuffin|Genie Bouchard|Jessie Irvine,MMFF
2693f503-5431-44ad-9a5b-ba5f68dcb271,2025-05-02,df18211f-bb06-4ad5-acd4-b567ecaeabce,New York Hustlers,aec5d8be-9ce0-4cc5-98a4-140fad555fe0|0c5b84bb-4c04-4906-86bc-deb533ff4eec|c4ca8085-84ed-451f-81c0-6df4a1c8d59f|ab53383d-abb2-4bcf-adea-398e6c6dd36a,Donald Young|Zane Ford|Dominique Schaefer|Cleo Bond,MMFF
