player_id,name,gender,discipline,games,cwpa_games,cwpa_per_100_games,noise_sd,v2_value
b3f6f49d-bc24-44fd-8068-4e5971e9d61a,Daniel Miron,M,singles,65,0.116,0.179,1.351,0.3206
1bb8b2c1-ca6f-45ac-afdd-fab7e77d69d4,Noe Khlif,M,singles,246,0.038,0.015,2.371,0.7918
25a6f570-d617-427a-9fc4-3bf6115a9a84,Hannah Blatt,F,singles,125,-0.018,-0.015,1.727,0.1899
cb9ea037-f204-4216-ac56-930a01009166,Matt Burkhardt,M,singles,88,-0.045,-0.051,1.165,0.3395
38b1bfb1-576b-4a3e-ab6b-e8bc46031c1d,Eric Roddy,M,singles,118,-0.053,-0.045,1.719,0.3778
6eb8ea1c-31ca-4c18-ba0c-ab8a75cdc24f,William Hsieh,M,singles,65,-0.055,-0.084,1.111,-0.1840
6aa0a796-9759-40f5-9c8f-bf4461d032fb,Helena Jansen,F,singles,96,-0.069,-0.071,1.523,0.3578
1728d016-1f02-4789-be73-63d12d5a5b42,Parris Todd,F,singles,230,-0.080,-0.035,2.325,1.1390
1bab49f1-6891-4d3e-8f77-42aa4fc1d18e,Mohaned Alhouni,M,singles,178,-0.087,-0.049,2.228,0.6037
03db4060-fcb3-41f7-83d5-7ee732dd8841,Jade Rau,F,singles,62,-0.362,-0.583,1.191,0.2091
35f81e87-382e-41cc-9bab-687116861954,Jace Morris,M,singles,79,-0.362,-0.458,1.313,0.4905
135937d9-d132-41c5-9cfd-d2b0112288b2,Daniel Traxler,M,singles,70,-0.435,-0.622,1.277,0.3222
2e0acd0d-95a3-49c3-8648-720ed0fbc7d5,Lingwei Kong,F,singles,139,-0.441,-0.317,1.788,0.5361
b1ab7d76-a859-4136-8405-3ed7c9be287a,Mari Humberg,F,singles,106,-0.463,-0.436,1.340,0.9922
608756f6-bfc7-41b5-9cfd-5e69eacfe513,Victoria Dimuzio,F,singles,77,-0.466,-0.606,1.179,0.4487
e8e10ea8-2ff2-4155-9169-cc33ff8c6265,Rio Newcombe,M,singles,72,-0.499,-0.693,1.183,0.4129
1d701c30-6b5d-485f-ae97-60f3b0c50896,Zoey Weil,F,singles,96,-0.509,-0.531,1.450,0.6966
04158680-ebb3-4554-96a1-500cc6d00882,Chloe Igleski,F,singles,65,-0.524,-0.806,1.176,0.4488
051f5c82-82ce-4ab8-b4f8-36976638a89b,Sahra Dennehy,F,singles,62,-0.604,-0.974,1.098,0.8290
eb14fc6e-ede1-4999-bec3-e36695e7f94e,Milan Rane,F,singles,122,-0.623,-0.511,1.643,0.7214
71992955-8b6f-470b-a991-796cfa56a826,Liz Truluck,F,singles,174,-0.658,-0.378,1.938,0.6809
88fb0858-b9c3-4620-9408-0dda0eb241ef,Tyler Loong,M,singles,87,-0.700,-0.805,1.373,0.5987
55ed7e0a-ff2d-4ac2-aad6-b6772ef4f448,Layne Sleeth,F,singles,78,-0.749,-0.960,1.172,0.7881
cc8832b9-9a8f-4cbc-8eff-b20e9a7ff09a,Jaume Martinez Vich,M,singles,311,-0.752,-0.242,2.477,0.6923
1374dfe9-4573-4ab6-991d-16bed0a6d25c,Edward Perez,M,singles,82,-0.779,-0.950,1.333,0.2445
2aa8ced3-d599-4c83-86dd-ecc80196833b,Luca Mack,M,singles,64,-0.877,-1.371,1.330,0.6699
be74032b-1035-4ece-bf4f-773b45da4d58,Mehvish Safdar,F,singles,61,-0.949,-1.555,0.934,0.3571
d8d51930-abf9-468b-9e43-55a9c0728d58,Anouar Braham,M,singles,180,-0.977,-0.543,2.302,0.4760
cd7b97fc-d912-4c59-8ab3-c2d70e79d998,Lina Padegimaite,F,singles,130,-0.999,-0.768,1.567,0.4700
dc7f6ac5-f007-4b8f-b343-95e524dc7d0a,Luc Pham,M,singles,71,-1.046,-1.473,1.476,0.4861
87d60b6f-6f2e-4610-ab89-487e8acc097e,Mya Bui,F,singles,92,-1.167,-1.268,1.378,0.4678
719e2d3b-d10d-402d-a195-41f072214679,Isabella Dunlap,F,singles,127,-1.213,-0.955,1.633,0.7124
0517f4a6-2648-470e-a9ff-8cf78eee3421,Connor McCartney,M,singles,60,-1.215,-2.024,1.170,0.1586
9ce32de7-16c9-4786-a7b0-8c1c2c623d69,Rafael Lenhard,M,singles,137,-1.217,-0.889,1.871,0.5266
6f862c1d-1317-4fe7-bdcd-64caa0dbb088,Ben Johns,M,singles,191,-1.331,-0.697,2.361,1.1139
fa8d5d28-d8f5-4996-8c35-0f4ca3c35bae,Anderson Scarpa,M,singles,66,-1.358,-2.058,1.017,0.7082
295e343a-31a0-4e1d-a286-d62592291435,Jay Devilliers,M,singles,166,-1.378,-0.830,2.136,0.9207
06ba18e0-687b-4aa3-822d-1c86981f576b,Rafa Hewett,M,singles,205,-1.391,-0.679,2.500,0.6611
9eff9049-c45c-42ee-9a49-e9a797cc2116,Cailyn Campbell,F,singles,129,-1.402,-1.087,1.930,0.6217
e21cb6e0-aabb-43b2-a112-c0a0a59081bf,Oliver Frank,M,singles,72,-1.418,-1.970,1.148,0.5603
4af4d4d1-9f87-4dc7-95f2-b10751d44c15,Tama Shimabukuro,M,singles,115,-1.422,-1.237,1.757,0.6376
80217cca-df99-4019-a90f-385622ca057a,Zach Gonnering,M,singles,60,-1.427,-2.378,1.186,0.0417
f4c43443-fdff-4344-b291-274cfd26361e,Juan Benitez,M,singles,105,-1.543,-1.469,1.769,0.6820
74afd19c-8f82-4ca2-9345-e4d693111033,Marshall Brown,M,singles,149,-1.588,-1.066,1.851,0.6011
bc7b2475-e580-4734-bc14-814a153bec5d,Pesa Teoni,M,singles,81,-1.616,-1.996,1.167,0.3646
258ef186-666f-4fb3-be50-916b633c96e6,Maximilian Wild,M,singles,94,-1.736,-1.847,1.364,0.3233
646f7432-e6ad-4ccf-95ee-a0e5d9514d28,Alix Truong,F,singles,75,-1.855,-2.474,1.312,0.7944
5925398b-b2a9-4e8f-ae46-5c2b59b1b818,Nicole Conard,F,singles,105,-1.914,-1.823,1.379,0.3319
f370a1a0-2e1a-463b-a35c-30899131f7d6,Troy Akin,M,singles,92,-1.963,-2.133,1.697,0.4452
76419f3a-712c-4241-8940-6f9bda847ba7,Lauren Stratman,F,singles,70,-1.975,-2.821,1.147,0.6281
ff38654d-daae-4bad-a1a7-690e4e5706eb,Connor Garnett,M,singles,391,-2.020,-0.517,3.282,0.8096
602ac701-c27e-408d-9e4e-1f7c02578def,Tam Trinh,M,singles,72,-2.043,-2.837,1.112,0.4181
52690a0c-ed4a-4e0b-bf69-4ef416cf7d55,Eric Oncins,M,singles,102,-2.048,-2.008,1.471,0.9479
e2466ee7-aaa4-4c6a-a288-63e717054640,Bret Berryman,M,singles,155,-2.053,-1.325,1.820,0.1904
f86cff72-5f9c-40b1-9f28-f28aafae245f,Wyatt Stone,M,singles,64,-2.095,-3.273,1.188,0.6431
614e164a-4197-44eb-855c-586cf79fbfc9,Ivan Jakovljevic,M,singles,116,-2.308,-1.990,1.481,0.5163
ba491f1c-0112-47a8-a348-4695289e958a,Augustus Ge,M,singles,105,-2.440,-2.324,1.624,0.7419
52726ab1-2ac9-46c0-be90-6b0e7a2d56eb,Pablo Tellez,M,singles,137,-2.504,-1.827,1.890,0.6926
b51ea0fb-c243-4427-85f8-b798febb51ff,Jorja Johnson,F,singles,144,-2.643,-1.835,1.704,1.1731
a2c56686-b330-41e4-b7e8-bda8a3ec97a8,Ryan Fu,M,singles,93,-2.752,-2.959,1.767,0.6603
0d23964f-d43f-4006-b1e0-13001393216c,Ross Whittaker,M,singles,94,-2.836,-3.017,1.564,0.4754
7886d6aa-2310-4ae8-9874-f0fc9c3e534f,James Delgado,M,singles,112,-2.876,-2.567,1.739,0.4910
43df1205-e834-4427-9f1a-4e173bf93296,Grayson Goldin,M,singles,168,-3.730,-2.220,2.002,0.5538
306da673-de7e-44f5-bc16-0738b44bd089,Christopher Crouch,M,singles,78,-3.756,-4.816,1.345,0.5109
4057f30d-d42a-4189-a158-11576fb5f52a,Blaine Hovenier,M,singles,119,-3.843,-3.230,1.653,0.6497
8e2f9629-19d0-409d-81dc-b64fe2f3d3ff,Jessie Irvine,F,singles,100,-3.889,-3.889,1.475,0.7421
5f367bee-cf3e-4aad-a6e6-72cca04d97e2,Angie Walker,F,singles,128,-3.915,-3.059,1.650,0.5542
1de884f8-7bf7-4b49-9de8-3f1fd74cabd6,Dylan Frazier,M,singles,246,-3.964,-1.612,2.754,0.7531
a3ed7970-35d2-485c-8285-187c298a2d83,Lacy Schneemann,F,singles,118,-4.192,-3.553,1.744,0.8950
79a11da1-6aeb-4719-9b1e-9918e0163cec,Christian Alshon,M,singles,278,-4.473,-1.609,2.635,1.0143
d50310a6-9378-4228-823f-7fb54f7bd698,Gabriel Tardio,M,singles,111,-5.136,-4.627,2.002,1.0708
bd061b42-2f82-4bbe-82be-d8bcfb37f9e1,JW Johnson,M,singles,167,-7.263,-4.349,2.145,1.0854
