player,game,rally,player_uuid,n_frames,peak_share,peak_inc_ft,terr_mean,terr_end
Anna Bright,"('c4eb30d0', '1')",18,db5eef5c-99dd-49d9-bbfc-65171a366bda,9,0.4313,0.0,0.2814,0.5477
Christian Alshon,"('c4eb30d0', '1')",19,79a11da1-6aeb-4719-9b1e-9918e0163cec,113,0.7489,3.82,0.6605,0.6235
Tyra Hurricane Black,"('c4eb30d0', '1')",19,fec65f7e-f2c8-482f-ab5b-541cf53b1064,113,0.7961,4.61,0.3395,0.3765
Hayden Patriquin,"('c4eb30d0', '1')",19,fc05556e-3e38-4a38-99c2-f855174a7c28,103,0.7504,2.97,0.5417,0.6544
Anna Bright,"('c4eb30d0', '1')",19,db5eef5c-99dd-49d9-bbfc-65171a366bda,103,0.5473,0.0,0.4583,0.3456
Christian Alshon,"('c4eb30d0', '1')",20,79a11da1-6aeb-4719-9b1e-9918e0163cec,19,0.6174,0.0,0.4083,0.4208
Tyra Hurricane Black,"('c4eb30d0', '1')",20,fec65f7e-f2c8-482f-ab5b-541cf53b1064,19,0.4974,0.0,0.5917,0.5792
Hayden Patriquin,"('c4eb30d0', '1')",20,fc05556e-3e38-4a38-99c2-f855174a7c28,19,0.6487,0.0,0.885,0.6265
Anna Bright,"('c4eb30d0', '1')",20,db5eef5c-99dd-49d9-bbfc-65171a366bda,19,0.4142,0.0,0.115,0.3735
Anna Bright,"('c4eb30d0', '1')",21,db5eef5c-99dd-49d9-bbfc-65171a366bda,12,0.7341,2.57,1.0,1.0
Hayden Patriquin,"('c4eb30d0', '1')",21,fc05556e-3e38-4a38-99c2-f855174a7c28,12,0.2681,0.0,0.0,0.0
Christian Alshon,"('c4eb30d0', '1')",23,79a11da1-6aeb-4719-9b1e-9918e0163cec,82,0.7056,0.76,0.5343,0.5826
Tyra Hurricane Black,"('c4eb30d0', '1')",23,fec65f7e-f2c8-482f-ab5b-541cf53b1064,82,0.4505,0.0,0.4657,0.4174
Hayden Patriquin,"('c4eb30d0', '1')",23,fc05556e-3e38-4a38-99c2-f855174a7c28,81,0.5468,0.0,0.4641,0.4564
Anna Bright,"('c4eb30d0', '1')",23,db5eef5c-99dd-49d9-bbfc-65171a366bda,81,0.6455,0.0,0.5359,0.5436
Christian Alshon,"('c4eb30d0', '1')",24,79a11da1-6aeb-4719-9b1e-9918e0163cec,70,0.7984,1.76,0.4358,0.429
Tyra Hurricane Black,"('c4eb30d0', '1')",24,fec65f7e-f2c8-482f-ab5b-541cf53b1064,70,0.5212,0.0,0.5642,0.571
Hayden Patriquin,"('c4eb30d0', '1')",24,fc05556e-3e38-4a38-99c2-f855174a7c28,70,0.7717,0.96,0.5136,0.6443
Anna Bright,"('c4eb30d0', '1')",24,db5eef5c-99dd-49d9-bbfc-65171a366bda,70,0.58,0.0,0.4864,0.3557
Tyra Hurricane Black,"('c4eb30d0', '1')",25,fec65f7e-f2c8-482f-ab5b-541cf53b1064,55,0.8621,4.14,0.4822,0.3544
Christian Alshon,"('c4eb30d0', '1')",25,79a11da1-6aeb-4719-9b1e-9918e0163cec,55,0.7607,1.95,0.5178,0.6456
Hayden Patriquin,"('c4eb30d0', '1')",25,fc05556e-3e38-4a38-99c2-f855174a7c28,25,0.546,0.0,0.4817,0.3981
Anna Bright,"('c4eb30d0', '1')",25,db5eef5c-99dd-49d9-bbfc-65171a366bda,25,0.5442,0.0,0.5183,0.6019
Christian Alshon,"('c4eb30d0', '1')",26,79a11da1-6aeb-4719-9b1e-9918e0163cec,95,0.7482,0.57,0.3664,0.4965
Tyra Hurricane Black,"('c4eb30d0', '1')",26,fec65f7e-f2c8-482f-ab5b-541cf53b1064,95,0.8251,0.0,0.6336,0.5035
Hayden Patriquin,"('c4eb30d0', '1')",26,fc05556e-3e38-4a38-99c2-f855174a7c28,75,0.8835,4.6,0.6364,0.7322
Anna Bright,"('c4eb30d0', '1')",26,db5eef5c-99dd-49d9-bbfc-65171a366bda,75,0.4468,0.0,0.3636,0.2678
Christian Alshon,"('c4eb30d0', '1')",27,79a11da1-6aeb-4719-9b1e-9918e0163cec,76,0.5775,0.0,0.2852,0.4118
Tyra Hurricane Black,"('c4eb30d0', '1')",27,fec65f7e-f2c8-482f-ab5b-541cf53b1064,76,0.8105,0.0,0.7148,0.5882
Hayden Patriquin,"('c4eb30d0', '1')",27,fc05556e-3e38-4a38-99c2-f855174a7c28,13,0.6865,0.0,0.0,0.0
Anna Bright,"('c4eb30d0', '1')",27,db5eef5c-99dd-49d9-bbfc-65171a366bda,13,0.5378,0.0,1.0,1.0
Tyra Hurricane Black,"('c4eb30d0', '1')",28,fec65f7e-f2c8-482f-ab5b-541cf53b1064,110,0.4446,0.0,0.1493,0.0592
