idx,player_id,full_name,gender
0,99b25b49-2a51-412d-9fbf-e1b6804acce0,Camden Chaffin,M
1,62955f38-bdf5-46af-9622-13c7afe90619,Jonathan Truong,M
2,7edb882c-6d17-4129-8208-710e3c82364c,Federico Staksrud,M
3,3a43c56f-b9d8-4e72-ae8a-58fd69291946,Jack Sock,M
4,a226291c-c48b-408b-a846-f45400d313a9,Alexa Schull,F
5,f76f4ac5-e3cc-4fe6-a4bc-a968b8b991b1,Alex Walker,F
6,87d60b6f-6f2e-4610-ab89-487e8acc097e,Mya Bui,F
7,65bcab7c-9c93-4dc8-a847-a34da426b933,Martina Frantova,F
8,3e6b668a-8d26-4424-9420-3ceb18486b65,Daria Walczak,F
9,fec65f7e-f2c8-482f-ab5b-541cf53b1064,Tyra Hurricane Black,F
10,ead35052-7367-4296-96d4-064f546cc2b9,CJ Klinger,M
11,3d9c8684-953f-4008-b355-b6104ee56a5b,Connor Mogle,M
12,051f5c82-82ce-4ab8-b4f8-36976638a89b,Sahra Dennehy,F
13,a51b59c5-1a13-4472-821a-eb9866e72adf,Joseph Wild,M
14,ec4cdfe2-c6f6-4de1-824e-9adcaeb31196,Judit Castillo,F
15,581183e8-3d9e-459e-b69f-7337d8b6f3d2,Andrei Daescu,M
16,52726ab1-2ac9-46c0-be90-6b0e7a2d56eb,Pablo Tellez,M
17,1d701c30-6b5d-485f-ae97-60f3b0c50896,Zoey Weil,F
18,eb14fc6e-ede1-4999-bec3-e36695e7f94e,Milan Rane,F
19,33292af3-984d-4752-8d18-b3a5c147e9fe,Armaan Bhatia,M
20,81535c8c-27d9-452c-a72a-61fc9f755b01,Will Mackinnon,M
21,306da673-de7e-44f5-bc16-0738b44bd089,Christopher Crouch,M
22,1728d016-1f02-4789-be73-63d12d5a5b42,Parris Todd,F
23,9eff9049-c45c-42ee-9a49-e9a797cc2116,Cailyn Campbell,F
24,ad6e69ff-7913-4b21-86dd-9489f749be01,Paula Rives,F
25,8f521dcc-1cb5-4c8d-933c-af6b267bd395,Meghan Dizon,F
26,8e2f9629-19d0-409d-81dc-b64fe2f3d3ff,Jessie Irvine,F
27,b1ab7d76-a859-4136-8405-3ed7c9be287a,Mari Humberg,F
28,646f7432-e6ad-4ccf-95ee-a0e5d9514d28,Alix Truong,F
29,2c4de762-88d6-47c3-8b2b-af562c5d1f93,Danni-Elle Townsend,F
30,295e343a-31a0-4e1d-a286-d62592291435,Jay Devilliers,M
31,ba491f1c-0112-47a8-a348-4695289e958a,Augustus Ge,M
32,9b97206b-783a-4fab-85e9-45a6240325a5,Catherine Parenteau,F
33,6cae3a50-eee6-45ea-8b28-85ef9c50e3c4,Jade Kawamoto,F
34,efe9989b-5864-48c2-806c-06697024e1da,Allyce Jones,F
35,676b1cbc-766c-4616-bf39-1787ffd8c72a,Etta Tuionetoa,F
36,25104e43-16f9-4ce3-9085-70243d8b350a,Ella Yeh,F
37,a95df9a8-772c-4dbf-8c28-e200b7308584,Kiora Kunimoto,F
38,bd061b42-2f82-4bbe-82be-d8bcfb37f9e1,JW Johnson,M
39,2856d69d-887b-4e89-a5c9-975f581f84a0,Len Yang,M
40,7886d6aa-2310-4ae8-9874-f0fc9c3e534f,James Delgado,M
