p1_name,p2_name,context,games,chemistry_mean,chemistry_sd,p_positive,percentile
Jade Rau,Brooke Caruso,womens,2,-0.03,0.373,0.468,27.8
Parris Todd,Rachel Rohrabacher,womens,34,0.053,0.366,0.542,86.9
Tyler Loong,Rafael Lenhard,mens,9,-0.019,0.361,0.477,39.2
Eric Roddy,Mehvish Safdar,mixed,6,0.039,0.386,0.545,81.1
Noe Khlif,AJ Koller,mens,7,0.116,0.4,0.623,97.1
Spartak Rahachou,Luke Wasson,mens,5,0.017,0.36,0.509,68.4
Aryaan Bhatia,Lucas Pascoe,mens,10,0.034,0.367,0.534,78.3
Daria Walczak,Angie Walker,womens,13,0.051,0.355,0.538,85.6
Jonathan Truong,Brandon French,mens,5,-0.037,0.33,0.464,22.3
Rafa Hewett,Anouar Braham,mens,2,-0.083,0.402,0.417,3.1
Yates Johnson,Hunter Johnson,mens,3,-0.015,0.385,0.483,42.5
Cailyn Campbell,Mari Humberg,womens,6,0.088,0.365,0.58,94.2
Chao Yi Wang,Milan Rane,womens,7,0.038,0.365,0.546,80.4
Brooke Buckner,Kate Fahey,womens,11,-0.046,0.363,0.466,16.2
Chloe Igleski,Kiora Kunimoto,womens,3,-0.007,0.386,0.499,51.0
Zoey Weil,Victoria Dimuzio,womens,8,0.057,0.341,0.57,88.2
Cleo Bond,Olivia McMillan,womens,2,-0.045,0.399,0.451,16.7
Liz Truluck,Pierina Imparato,womens,5,0.021,0.366,0.505,70.7
Lindsey Newman,Marcela Aguila Ampon,womens,3,0.025,0.373,0.505,73.1
Jay Devilliers,Jaume Martinez Vich,mens,36,0.146,0.36,0.66,98.4
Ella Cosma,Luana Stanciu,womens,6,-0.12,0.386,0.388,0.7
Adam Harvey,Freddie Powell,mens,18,0.106,0.382,0.613,96.2
Mark Dancuart,Ben Slive,mens,13,0.047,0.386,0.547,84.3
Dillon Segur,Travis Rettenmaier,mens,3,-0.056,0.371,0.446,10.8
Joey Campagna,Alexander Grubbs,mens,9,0.042,0.394,0.543,82.4
Jorge Nunez,Zak Parks,mens,6,0.021,0.351,0.527,70.8
Kamden Bradstreet,Jaikin Gomez,mens,4,0.029,0.374,0.525,75.4
Amir Evgamukov,Julian Slive,mens,2,-0.027,0.391,0.471,30.6
Tamaryn Emmrich,Olivia McMillan,womens,9,-0.064,0.355,0.433,7.5
Rachael James,Sophie Abrams,womens,12,0.047,0.369,0.544,84.4
Christopher Crouch,James Delgado,mens,4,0.011,0.357,0.509,64.2
Clayton Powell,Randy Blanco,mens,4,-0.091,0.369,0.426,2.2
Jason Parker,Scott McRee,mens,2,-0.049,0.383,0.457,14.1
Michael Leonard,Daniel Couzens,mens,4,0.009,0.396,0.506,62.6
Andi Godwin,Mara Vasvatekis,womens,2,-0.006,0.391,0.491,51.8
Dylan Lewis,Boris Paque,mens,4,0.005,0.379,0.53,60.3
Amanda Hendry,Allie Reichert,womens,13,0.067,0.388,0.555,90.8
Isabella Dunlap,Mehvish Safdar,womens,9,0.09,0.391,0.573,94.7
Daniel De la Rosa,Martin Emmrich,mens,10,0.155,0.402,0.64,98.8
TJ Rudden,Lucas Cancelier,mens,5,0.016,0.38,0.512,67.1
Jack Maline,Brian Johnson,mens,6,-0.024,0.381,0.474,34.1
David Angel Rosales Jr.,Carlos Zambrano,mens,2,-0.016,0.366,0.479,41.6
Tristan Dussault,Nicholas Romano,mens,8,0.011,0.371,0.519,64.5
Cassidy Hoag,Madalina Grigoriu,womens,7,0.068,0.375,0.57,91.0
