event_id,date,temperature_2m_max,temperature_2m_min,apparent_temperature_max,precipitation_sum,windspeed_10m_max,windgusts_10m_max,winddirection_10m_dominant,cloudcover_mean,relative_humidity_2m_mean
00c4a0ca-c3f9-468b-b97a-bb022335ccf4,2024-04-21,68.5,51.9,69.3,0.0,11.9,23.7,215,65,84
d9e98d4d-2dad-4915-95fa-d8f301c49c8b,2024-04-24,88.4,58.5,81.9,0.0,15.2,27.1,215,7,17
d9e98d4d-2dad-4915-95fa-d8f301c49c8b,2024-04-26,66.1,55.9,61.0,0.087,12.6,25.7,282,90,40
d9e98d4d-2dad-4915-95fa-d8f301c49c8b,2024-04-27,69.8,50.2,67.2,0.106,12.4,21.5,277,59,55
d9e98d4d-2dad-4915-95fa-d8f301c49c8b,2024-04-28,77.3,54.1,71.0,0.0,10.5,19.2,271,40,45
a30bcb3a-ee0f-4164-bc85-35fbdfe510c0,2024-05-13,68.7,58.6,66.5,0.181,13.3,25.3,127,100,81
a30bcb3a-ee0f-4164-bc85-35fbdfe510c0,2024-05-14,75.8,61.9,78.7,0.449,9.7,18.6,114,86,90
a30bcb3a-ee0f-4164-bc85-35fbdfe510c0,2024-05-15,76.3,60.8,78.2,0.205,12.9,25.9,284,45,82
a30bcb3a-ee0f-4164-bc85-35fbdfe510c0,2024-05-16,81.3,59.1,83.5,0.0,10.4,20.1,310,13,75
a30bcb3a-ee0f-4164-bc85-35fbdfe510c0,2024-05-17,72.2,62.0,73.9,0.508,10.9,21.0,145,100,88
a30bcb3a-ee0f-4164-bc85-35fbdfe510c0,2024-05-18,74.5,65.5,80.3,0.642,8.7,21.3,202,90,92
a30bcb3a-ee0f-4164-bc85-35fbdfe510c0,2024-05-19,77.2,62.5,81.5,0.614,10.3,20.6,28,71,87
f6a44544-a7db-40ef-bf14-2718b612bfc2,2024-05-29,84.4,66.9,91.5,0.031,9.9,20.4,99,53,77
f6a44544-a7db-40ef-bf14-2718b612bfc2,2024-05-31,82.2,68.5,88.6,0.772,14.0,41.2,91,58,80
f6a44544-a7db-40ef-bf14-2718b612bfc2,2024-06-01,80.4,66.6,87.7,0.193,9.4,19.2,131,44,83
f6a44544-a7db-40ef-bf14-2718b612bfc2,2024-06-02,83.9,66.7,90.9,0.268,15.2,26.4,142,70,88
de8a09d6-6688-44d8-b764-8bfec574ecf9,2024-06-05,102.2,66.5,104.9,0.0,5.9,12.1,8,0,43
de8a09d6-6688-44d8-b764-8bfec574ecf9,2024-06-06,98.9,72.9,100.2,0.0,7.8,17.0,170,0,41
de8a09d6-6688-44d8-b764-8bfec574ecf9,2024-06-07,93.3,65.8,94.7,0.0,11.5,23.0,174,16,44
de8a09d6-6688-44d8-b764-8bfec574ecf9,2024-06-08,85.2,57.7,84.7,0.0,10.4,19.9,175,61,56
de8a09d6-6688-44d8-b764-8bfec574ecf9,2024-06-09,85.3,59.4,85.6,0.0,8.9,17.4,177,32,49
5f38269d-d0c2-4e53-83ba-46ca5aa9872f,2024-06-24,79.2,66.2,83.0,0.0,10.2,22.6,234,7,72
5f38269d-d0c2-4e53-83ba-46ca5aa9872f,2024-06-25,75.2,64.4,79.1,0.0,8.9,19.5,219,2,75
5f38269d-d0c2-4e53-83ba-46ca5aa9872f,2024-06-26,73.8,63.7,77.3,0.0,8.4,19.2,203,8,76
5f38269d-d0c2-4e53-83ba-46ca5aa9872f,2024-06-27,73.9,64.3,78.5,0.0,9.7,20.1,179,14,77
5f38269d-d0c2-4e53-83ba-46ca5aa9872f,2024-06-28,73.6,62.9,77.2,0.0,11.4,22.8,169,13,78
5f38269d-d0c2-4e53-83ba-46ca5aa9872f,2024-06-29,73.8,58.5,77.5,0.0,9.7,20.4,264,17,81
5f38269d-d0c2-4e53-83ba-46ca5aa9872f,2024-06-30,75.8,60.1,80.7,0.0,8.6,19.2,260,43,83
14798b52-0c02-4eb7-99c1-5e7103d67a1f,2024-08-07,84.2,62.2,90.1,0.0,6.9,13.4,68,7,70
14798b52-0c02-4eb7-99c1-5e7103d67a1f,2024-08-09,73.4,60.4,73.4,0.0,8.5,19.7,349,73,59
14798b52-0c02-4eb7-99c1-5e7103d67a1f,2024-08-10,75.1,60.5,75.0,0.0,4.2,10.1,359,75,62
14798b52-0c02-4eb7-99c1-5e7103d67a1f,2024-08-11,81.8,61.6,84.8,1.154,9.0,18.1,124,76,71
044c0e1e-d894-49be-9f5e-4b40ccd49781,2024-08-14,84.8,61.5,86.2,0.0,7.5,18.8,41,47,65
044c0e1e-d894-49be-9f5e-4b40ccd49781,2024-08-16,83.7,63.8,88.2,0.15,9.1,26.6,202,61,76
044c0e1e-d894-49be-9f5e-4b40ccd49781,2024-08-17,86.0,67.0,92.0,0.067,8.8,21.7,224,72,78
044c0e1e-d894-49be-9f5e-4b40ccd49781,2024-08-18,78.1,65.0,82.7,0.169,9.1,19.9,244,57,81
970d08db-a426-424e-8d45-b7a9ee13b08b,2024-08-21,92.3,66.8,89.3,0.0,19.7,35.3,175,1,19
970d08db-a426-424e-8d45-b7a9ee13b08b,2024-08-22,87.0,66.0,79.7,0.008,22.1,38.9,163,12,26
970d08db-a426-424e-8d45-b7a9ee13b08b,2024-08-23,90.2,64.8,79.2,0.008,24.6,45.9,161,12,31
