p1_name,p2_name,chem_logit_mean,chem_logit_sd
Jessica Mason,Ali Welch,0.0048,0.0507
Brandon French,Olivia McMillan,-0.0124,0.0535
Callan Dawson,Judit Castillo,-0.0054,0.0498
Quang Duong,Christine Trifunovic,0.004,0.0489
Ewa Radzikowska,Judit Castillo,0.0163,0.0477
Domenika Turkovic,Amanda Rosati,-0.0219,0.0562
Daniel De la Rosa,Martin Emmrich,0.01,0.0464
Caden Nemoff,Dave Weinbach,-0.0094,0.0518
Brittany Minna,Ivana King,0.0002,0.0499
Angie Walker,Donald Young,0.0181,0.0529
Ivan Jakovljevic,Steve Deakin,0.008,0.0491
Leigh Waters,Christian Alshon,0.0045,0.0493
Sam Querrey,Kaitlyn Christian,0.011,0.0515
Todd Fought,Tyler Loong,-0.0077,0.0519
Steve Deakin,Alex Walker,0.0124,0.0465
Travis Rettenmaier,Roscoe Bellamy,0.0167,0.0517
Daniel Jensen,Grant Bond,-0.0058,0.0549
Mike Anderson,Rob Cassidy,0.0044,0.0512
Gabriel Joseph,Ryan Eveloff,0.0005,0.0502
Sam Querrey,Wesley Burrows,-0.0316,0.0513
Camila Zilveti,Rachel Rettger,-0.0208,0.0498
Luke Wasson,Drake Palm,-0.0118,0.0496
Jade Kawamoto,Darrian Young,-0.0083,0.0506
Zack Taylor,Casey Diamond,-0.0013,0.0524
Madeline Schulte,Dionne Lim,0.0,0.0508
AJ Koller,Chuck Taylor,-0.0081,0.0497
Parris Todd,Vivian Glozman,-0.0133,0.0523
Callie Smith,Jay Devilliers,0.0008,0.0441
James Ignatowich,Anna Bright,0.0177,0.0487
Andrei Daescu,Lea Jansen,0.0069,0.0503
Mary Brascia,Maggie Brascia,-0.0017,0.0485
Travis Rettenmaier,Lacy Schneemann,-0.0175,0.0487
Tamaryn Emmrich,Genie Erokhina,-0.0094,0.0519
Brooke Buckner,Lina Padegimaite,-0.0072,0.0501
Lucy Kovalova,Matt Wright,0.0002,0.0464
Julian Arnold,Lauren Stratman,0.0202,0.0476
Jack Sock,Catherine Parenteau,0.0158,0.0461
Dekel Bar,Tina Pisnik,-0.0015,0.0457
Callan Dawson,Hayden Patriquin,0.0103,0.0468
Thomas Wilson,Vivienne David,0.0489,0.054
Jorja Johnson,JW Johnson,-0.028,0.0436
Jack Sock,Collin Shick,-0.0189,0.0493
Chao Yi Wang,Genie Bouchard,-0.0123,0.051
Rafa Hewett,Connor Garnett,-0.001,0.0495
Riley Newman,Jackie Kawamoto,-0.0023,0.0458
Dylan Frazier,Tyra Hurricane Black,-0.032,0.0495
Allyce Jones,Connor Garnett,0.0342,0.0471
Meghan Dizon,Tyson McGuffin,-0.0052,0.0522
Jorja Johnson,Tina Pisnik,0.0136,0.0511
Phillip Locklear,Spencer Smith,-0.0058,0.0497
Andrei Daescu,Gabriel Tardio,-0.0199,0.0455
Christine Maddox,Jillian Braverman,0.0183,0.0496
Anna Leigh Waters,Ben Johns,-0.0527,0.044
Riley Newman,Thomas Wilson,0.0072,0.0497
Julian Arnold,Christian Alshon,-0.0003,0.0499
Collin Johns,Ben Johns,0.0979,0.0534
Lacy Schneemann,Vivienne David,0.0083,0.0479
Jade Kawamoto,Jackie Kawamoto,0.0509,0.049
Lea Jansen,Tyra Hurricane Black,-0.0009,0.0527
Pablo Tellez,Federico Staksrud,-0.0124,0.0493
Matt Wright,James Ignatowich,0.0206,0.05
Rachel Rohrabacher,Anna Bright,0.0333,0.0473
Lauren Stratman,Allyce Jones,0.0194,0.0495
Anna Leigh Waters,Catherine Parenteau,0.0216,0.0461
Dylan Frazier,JW Johnson,0.028,0.0462
Callie Smith,Lucy Kovalova,0.0219,0.0493
Dekel Bar,Tyson McGuffin,-0.0161,0.045
Etta Tuionetoa,Meghan Dizon,0.0146,0.0441
