p1_name,p2_name,chem_logit_mean,chem_logit_sd
Nicole Eugenio,Marcela Aguila Ampon,-0.0067,0.0516
Rafa Hewett,Hunter Johnson,-0.0082,0.0521
Lizzie McFarland,Hannah Fife,-0.0053,0.0518
Kaitlyn Christian,Olivia McMillan,-0.0006,0.0538
Daniel Jensen,Wesley Burrows,-0.0004,0.0536
Chao Yi Wang,Judit Castillo,-0.0048,0.0521
Brenna Murray,Clayton Boydston,-0.0056,0.0524
Madison Wold,Logan Rosenbach,-0.0013,0.0531
Bryanna Ojeda,Chase Ora,-0.0032,0.0551
Jake Presser,Chelsea Purcell,-0.004,0.0525
Lauren Wong,Marshall Brown,0.0118,0.0499
Kevin Dayan,Michelle Murphy,-0.0008,0.0507
Pally Ray,Ivana King,0.0073,0.0516
Charles Case,Dodo Kong,0.0034,0.0535
Thatcher Schwendiman,Ella Boydston,0.0048,0.053
Jorge Quintero,Allie Kostyniuk,-0.0002,0.053
Ryan Finley,Molly Knox,-0.0012,0.0518
Julia Ronney,Kyle McMakin,-0.0031,0.0496
Jessica Mason,Bryce Larson,0.0035,0.0525
Averry Chew,Yaamunan Venkatesan,-0.005,0.0547
Reyna Ash,Andre Millet,-0.0022,0.0522
Liam Duffin,Brittny Rogers,-0.0034,0.0511
Caden Nemoff,Trang Huynh,-0.007,0.0475
Darcy Shore,Scott Berke,-0.0011,0.0498
Brandon French,Spencer Smith,0.0023,0.0491
Liam Duffin,Logan Rosenbach,0.0023,0.0521
Kyle Bachman,TY Parrish,-0.0012,0.0521
Andre Millet,Adrian Garza,0.0018,0.0482
Dean Loock,Rob Hutchins,0.0001,0.0495
Blaine Hovenier,Layne Sleeth,-0.0013,0.0507
Jack Sock,Kate Fahey,0.0049,0.0495
Kento Tamaki,Marcela Aguila Ampon,0.0014,0.0516
Eric Roddy,Rachel Rettger,0.0034,0.0522
Allison Phillips,Michael Loyd,-0.0076,0.052
Genie Erokhina,Roscoe Bellamy,-0.0045,0.0511
Eric Cepress,Matthew Fisher,0.0031,0.0495
Stephen Madonia,Brandon Anandan,-0.0059,0.0513
Gabriel Jimenez,Raymond Velarde,-0.0024,0.0515
Maggie Brascia,Tyson McGuffin,0.0098,0.0518
Andre Mercado,Pally Ray,0.0004,0.0525
Julian Arnold,Judit Castillo,-0.0038,0.0502
Hannah Blatt,John Cincola,-0.0025,0.052
Jackson Ayotte,Ryan Finley,-0.0095,0.0511
Scott Berke,David Sigler,0.0113,0.051
David Hall,Thatcher Schwendiman,0.0046,0.0506
Rob Cassidy,Marshall Brown,0.0086,0.0508
Kento Tamaki,Wesley Burrows,0.0007,0.0503
Bruno Barrueto Deza,Iker Tomas,0.0066,0.0534
Daniel Traxler,John Thorn,0.0129,0.054
Evgeniy Kim,Miguel Alda,-0.0028,0.0521
Jordan Bridge,Jonas Corona,-0.0011,0.0521
Mohaned Alhouni,Kaitlyn Christian,-0.0059,0.0493
Michael Fahey,Chase Ora,0.004,0.0508
Jorge Quintero,Yaamunan Venkatesan,0.0023,0.0526
Tama Shimabukuro,Yoshinori Tamukai,-0.0037,0.0527
Clemens Graute,Luc Pham,0.002,0.0525
Quang Duong,Lauren Stratman,-0.0046,0.0519
Christine Trifunovic,Craig Johnson,-0.0071,0.0512
Martina Frantova,Augustus Ge,-0.0007,0.0505
Daniel Jensen,Alex Walker,0.0036,0.052
Ryan Eveloff,Grant Bond,0.0081,0.0486
Daniel McAuley,Anders Jansson,0.005,0.0505
Kenta Miyoshi,Sebastian Herrera,-0.0108,0.0531
Aiko Yoshitomi,Ivana King,-0.0097,0.0512
AJ Koller,Pierina Imparato,-0.0099,0.0522
Yates Johnson,Genie Bouchard,0.0114,0.0505
Sam Szymanski,Matt Haugdahl,-0.0054,0.0531
Noe Khlif,Milan Rane,0.0032,0.0459
Matthew Schiller,Tom Murphy,-0.0011,0.0519
Trevor Machek,Justin Fullmer,-0.0096,0.0505
Noe Khlif,Yates Johnson,0.0079,0.0514
Lauren Mercado,Pesa Teoni,-0.0015,0.0524
Desmond Papariello,Hunter Morris,0.0015,0.0531
Caden Nemoff,Sam Angelo,0.0081,0.0518
Zane Navratil,Lacy Schneemann,-0.0092,0.0512
Malia K Lum,Wyatt Stone,-0.0006,0.0488
Tyler Loong,Salome Devidze,0.0008,0.0496
Regina Goldberg,Todd Fought,-0.0021,0.049
Angie Walker,Patrick Kawka,-0.0029,0.0526
Riley Newman,Christian Alshon,0.0114,0.0472
Gabriel Joseph,Alex Neumann,-0.0022,0.0517
James Ignatowich,Vivian Glozman,-0.0193,0.0515
Regina Goldberg,Milan Rane,-0.0066,0.0506
Martina Frantova,Lina Padegimaite,0.0022,0.0518
Madison Wold,Ekaterina Biakina,-0.0001,0.0489
Riley Newman,Catherine Parenteau,0.0234,0.0471
Todd Fought,Patrick Kawka,-0.0067,0.0522
Daniel Jensen,Rio Newcombe,0.0079,0.0537
Rachel Rohrabacher,Jorja Johnson,-0.0171,0.0493
Averry Chew,Chelsea Purcell,-0.0022,0.049
Zane Navratil,Dekel Bar,0.0283,0.051
Quang Duong,Wyatt Stone,-0.001,0.053
Anna Bright,Tina Pisnik,-0.0052,0.0511
Chloee Butterfield,Brittny Rogers,-0.0002,0.051
Alix Truong,Judit Castillo,0.0032,0.0493
Kaitlyn Christian,Jessie Irvine,-0.0201,0.0474
Hannah Blatt,Rachel Rettger,-0.0079,0.0513
Bryanna Ojeda,Amber Policare,-0.0038,0.0505
Kate Fahey,Lauren Stratman,-0.0059,0.0518
Lingwei Kong,Dodo Kong,0.004,0.0532
Callan Dawson,Darrian Young,-0.0097,0.051
Pierina Imparato,Marcela Aguila Ampon,0.0017,0.0502
James Ignatowich,Max Freeman,-0.0088,0.0477
Christine Trifunovic,Michelle Murphy,-0.0028,0.0521
Kyle Whatnall,Roman Estareja,0.0118,0.0532
Jose Delgado,Matt Carter,0.0029,0.0505
Alex Fairbanks,Jason Taylor,-0.003,0.0508
Taylor Smith,Kaden Hensel,-0.0035,0.05
Oliver Gray,Andrew Horridge,0.0045,0.0496
Ryan Morris,Nicholas Maleganeas,-0.0054,0.0496
Jai Grewal,Daniel Moore,-0.005,0.0497
Somer Dalla-Bona,Michaela Haet,0.0021,0.0523
Ludovica Sciaky,Talia Saunders,-0.0045,0.0529
Robert Stirling,Sueme Rajpal,-0.0012,0.0544
Josh Nipperess,Adam Daggmarr,0.0014,0.05
Emilia Schmidt,Shelby Bates,0.0034,0.0507
Gianni Martine,Bee Horsley,0.0009,0.0538
Armaan Bhatia,Harsh Mehta,0.0005,0.0508
Sange Carter,Coco Lococo,0.003,0.0525
Sahra Dennehy,Lindsay Baker,-0.0067,0.0487
Wesley Vine,Ben Costin,-0.001,0.0511
Alexander Tran,Adam Walters,-0.0013,0.0495
Jane Teoh,Deborah Rossi,-0.0042,0.0539
Yu-Chieh Hsieh,Jasmine Almaguer,-0.0015,0.0502
Jessica Hughes,Andie Dikosavljevic,-0.0013,0.051
Leander Lazaro,Prycen Haas,0.005,0.0533
Chris Baum,Ryan Henry,-0.0009,0.0534
Danni-Elle Townsend,Pei Chuan Kao,-0.0032,0.0515
Jamie Haas,Michelle Esquivel,0.0099,0.0521
Venise Chan,Sophie Idzikowski,-0.0084,0.0518
Chris Turvey,Hugh Pfitzner,0.0008,0.0511
Xiao Yi Wang-Beckvall,Selina Turulja,-0.0003,0.0511
Ting Chieh Wei,Liz Truluck,0.0061,0.0513
Jericho Grollman,Matthew Chou,0.0004,0.0537
Conor Robertshawe,Thanh Huynh,0.003,0.051
Lucas Pascoe,Vishal Masand,0.0054,0.0526
Valerio De Genua,Guillermo Jacquet,-0.0056,0.0502
Shannon Burr,Kane Townsend,0.0011,0.0521
Roos Van Reek,Kaitlynn Hart,0.01,0.052
Yung-Hsin Tseng,Jou Yu Ko,0.0044,0.0528
Brendan Lee,Zen Yoshida,-0.0009,0.0509
Mitchell Hargreaves,Zachary Grabovic,-0.0047,0.0503
Simon Pilt,David Richardson,0.0025,0.0514
Daniel Kouznetsov,Matthew Kouznetsov,-0.0013,0.0528
Sarah Jane Lim,Sarah Burr,0.0014,0.0536
Leona Huynh,Nicola Schoeman,-0.0032,0.0533
Julian Arnold,Blaine Hovenier,0.0094,0.0506
Gianni Martine,Chris Turvey,0.0023,0.0509
Nicholas Maleganeas,Brooke Mundey,-0.0,0.0522
George Wall,Joseph Wild,0.0086,0.0494
Jai Grewal,Roos Van Reek,-0.0071,0.0516
Sahra Dennehy,Andrew Horridge,-0.0039,0.0515
Danni-Elle Townsend,Joseph Wild,0.0029,0.0515
Sarah Jane Lim,Leander Lazaro,0.0064,0.0512
Wesley Vine,Talia Saunders,-0.0007,0.0523
Yuvraj Ruia,Kyle Yates,0.0054,0.0513
Mimi Ghisellini,Matthew Kouznetsov,-0.0036,0.0513
Jose Delgado,Nay Pinkerton,-0.0029,0.0514
Emilia Schmidt,Mitchell Hargreaves,0.0039,0.0489
Deborah Rossi,Hugh Pfitzner,0.0026,0.0505
Yu-Chieh Hsieh,Jason Taylor,0.0044,0.0506
Ryan Henry,Michaela Haet,0.0045,0.0512
Jericho Grollman,Madison Grollman,-0.007,0.0487
Kyle Yates,Shelby Bates,-0.0088,0.0504
Chris Baum,Yung-Hsin Tseng,-0.0015,0.0516
Kyle Whatnall,Ludovica Sciaky,-0.0005,0.0499
Zachary Grabovic,Selina Turulja,-0.0,0.0526
Oliver Gray,Jasmine Almaguer,0.0036,0.0493
Michelle Esquivel,Prycen Haas,0.0023,0.0502
Roman Estareja,Sarah Burr,0.0073,0.0495
Coco Lococo,Matt Carter,-0.0056,0.0528
George Wall,Somer Dalla-Bona,-0.0107,0.0484
Jessica Hughes,Simon Pilt,0.0034,0.0513
Ting Chieh Wei,Harsh Mehta,-0.0034,0.0512
David Richardson,Nicola Schoeman,-0.0018,0.0496
Lucas Pascoe,Kaitlynn Hart,0.0056,0.0514
Daniel Kouznetsov,Bee Horsley,-0.0018,0.0501
Thanh Huynh,Leona Huynh,0.0022,0.0555
Josh Nipperess,Ashlee Graham,-0.0089,0.0539
Alex Fairbanks,Sophie Idzikowski,0.0054,0.0485
Jou Yu Ko,Daniel Moore,-0.0018,0.0521
Rahul Datta,John Lucian Goins,-0.0046,0.0538
Chase Parker,Logan Thompson,0.0003,0.0498
Emily Gaskins,Davis Daniel Carvalho,-0.004,0.0516
Kamden Bradstreet,Mya Bui,-0.0085,0.0491
Selim Ben Ali,Brett Clayton,0.0056,0.0498
Zandrix Acob,Chase Blocker,0.0112,0.05
Alex Guy,Garrett Singletary,0.0088,0.0502
Abigail Okelley,Luke Wasson,0.0018,0.0517
Chris Patrick,Courtney Nguyen,0.0054,0.0512
Zachary McDivitt,Kalee Muller,-0.0029,0.0508
Caitlin Klaassen,Michael Beron,-0.0006,0.0517
Caden Nemoff,Hailee Haymore,0.0044,0.0531
Samantha Greenhut,Tanner Tomassi,0.0047,0.0546
Andre Mercado,Jaeda Minniefield,0.0005,0.0508
Ryan Torresin,Mickulas Ray,0.0039,0.0485
Pally Ray,Arielle Nealy,0.0045,0.0518
Zane Ford,Lauren Hidalgo-Smith,-0.0013,0.0519
Tucker Segars,Lewis Halski,-0.0045,0.0556
Gavin Nickerson,Haley Collins,-0.0018,0.0513
Jake Anderson,Maebry Jones,0.0016,0.0516
Kevin Caulfield,Justin Slattery,0.0145,0.0508
Gavin Nickerson,Lionel Ortiz,0.0036,0.0523
Jayden Broderick,Jose Farias,0.0004,0.0515
Ammar Wazir,Dustin Boyer,0.0022,0.0512
Jack Holloway,Filipe Parichkov,0.0045,0.0517
Zac Hirschler,Helen To,0.0028,0.0519
Noe Khlif,Bobbi Oshiro,0.0011,0.0526
Jack Foster,Shelby Bates,0.004,0.0514
Edward Perez,Nicole Eugenio,-0.0038,0.0522
Yufei Long,Taylor Stockton,0.0077,0.052
Ross Whittaker,Mehvish Safdar,-0.0075,0.0526
Caden Nemoff,Ryan Finley,0.0044,0.0508
VU Nguyen,Jack Foster,0.003,0.0542
Spencer Talmadge,Daniel Miron,-0.0055,0.0485
Brandon Fritze,Davis Daniel Carvalho,0.0044,0.0516
Dylan Lewis,Ivan Tykhomyrov,-0.0017,0.0525
Zane Ford,Alexander Crum,0.0029,0.0502
Matthew Mead,Michelle Murphy,-0.0093,0.0492
Regina Goldberg,Richard Livornese Jr,0.0053,0.0514
Connor Castleberry,Christopher Eastwood,0.0027,0.0531
Willy De Vilchez,Jordan Chrysostom,0.0013,0.0509
Cody Sivan,Justin Lui,0.0011,0.0484
Michael Iannella,Clint Frazier,-0.0001,0.0532
Luca Mack,Thomas Provost,-0.0081,0.0515
Vinay Rita,Siddharth Naik,-0.0077,0.0511
James Broker,Zachary Marceau,0.0017,0.0526
Landon Ivey,Garrett Ivey,0.0013,0.0536
Stephen Bass,Anri Ferris,-0.0068,0.0524
Cody Sivan,Ava Pisacrita,-0.0007,0.0519
Jayden Broderick,Emilia Schmidt,-0.0031,0.0563
Grace Logterman,Ethan Palisoc,-0.0038,0.0522
Connor Castleberry,Angela Simon,0.0006,0.0514
Patrick McGuire,Chase Mason,-0.0006,0.0508
Vincent Rettke,Cesar Lopez,-0.0008,0.0499
Patrick Parker Jr.,Rawad El Kontar,-0.0027,0.051
Cassie Quast,Jared Cohen,0.0014,0.0526
Elina Geut,Brandon Fritze,0.0057,0.0521
Tobias Moreno,Andi Godwin,-0.0069,0.0495
Morgan Downing,Garrett Singletary,-0.0108,0.0508
Eric Rubinger,Cameron Douglas,-0.0031,0.0527
Ahmad El-Zarif,Jared Cohen,0.0,0.0507
Tim Mullane,Andrew Felsenthal,-0.0043,0.0518
Colt Gaston,Kentaro Hamaguchi,0.0013,0.0518
Justin Vantreese,Joyner Freeman,-0.0037,0.0528
Brookes Jones,Ethan Palisoc,-0.007,0.0524
Cade Lindgren,Taabish Basaria,-0.0028,0.0536
Armando Ferreira,Raffael Barretto Agulha,-0.0038,0.0504
Richard Livornese Jr,Tanner Tomassi,0.0079,0.0501
Mota Alhouni,Komal Safdar,-0.0053,0.0525
Luke Cartenuto,Sheridan Schuster,-0.0012,0.0505
Hunter Bivins,Colton Phillips,0.0009,0.0525
Viet Nguyen,William Hart,-0.0041,0.0527
Kevin Ma,Zac Hirschler,0.0,0.0511
Benjamin Bramblett,James Hallewell,-0.0053,0.0497
Victoria Helmuth,Andre Helmuth,-0.0039,0.0509
Court Zalinski,Frank Solana,0.0057,0.0509
Tobias Moreno,Heath Griffin,-0.0043,0.0484
Matthew Mead,Anouar Braham,-0.0091,0.052
Jesse Ferlianto,Brian Detweiler,-0.0031,0.0486
Blaine Hovenier,Yates Johnson,-0.0074,0.0512
Chuck Taylor,Casey Diamond,0.0082,0.0509
Noe Khlif,Brandon French,-0.0065,0.05
Michael Loyd,Spencer Smith,-0.0087,0.0526
James Delgado,Juan Benitez,-0.0002,0.0499
Genie Bouchard,Ava Ignatowich,-0.003,0.0507
Michelle Murphy,Helen To,0.0068,0.049
Zane Navratil,Vivian Glozman,-0.0043,0.05
Regina Goldberg,Genie Erokhina,0.0006,0.051
Stacey Wingad,Tammy Kim,0.003,0.0527
Eric Oncins,Wyatt Stone,0.0031,0.0491
Jessica Mason,Victoria Helmuth,0.0081,0.0526
Johnny Goldberg,John Cincola,0.0129,0.0557
Ashley Griffith,Mya Bui,-0.0061,0.0509
Jaume Martinez Vich,Milan Rane,0.0101,0.0494
Andrea Koop,Yates Johnson,-0.0052,0.0513
Allison Phillips,Martina Frantova,-0.0053,0.0482
Samantha Greenhut,Emily Gaskins,0.0014,0.0542
Kate Fahey,Lina Padegimaite,0.0069,0.0508
Haley Collins,Sheridan Schuster,-0.0012,0.0516
Morgan Downing,Andi Godwin,-0.0085,0.0491
Collin Johns,Sofia Sewing,-0.012,0.0506
Chuck Taylor,Angie Walker,0.0014,0.0539
Marshall Brown,Wesley Burrows,0.0019,0.0489
Tavon Morrow,Max Green,-0.0033,0.0517
Riley Newman,Allyce Jones,-0.015,0.0535
Sofia Sewing,Rachel Rettger,0.0017,0.0501
Kate Fahey,Todd Fought,-0.008,0.0502
Valerie R Simon,Chloe Zigliara,0.0038,0.0526
Mary Brascia,Pablo Tellez,-0.0058,0.051
Eric Oncins,Rachel Rettger,0.0046,0.0511
Vivienne David,Wyatt Stone,0.0026,0.055
Cassidy Hoag,Shelby Bates,0.0001,0.0503
AJ Koller,Martina Frantova,0.0001,0.0488
Mohaned Alhouni,Genie Erokhina,0.0069,0.0494
Alix Truong,Mari Humberg,0.0003,0.0531
Jessica Jones,Kristin Kennedy,-0.0026,0.0518
Aiko Yoshitomi,Ava Pisacrita,-0.0013,0.0519
Brooke Basiri,Reba Williams,0.002,0.051
Eric Roddy,Ryan Fu,0.0042,0.0529
Kento Tamaki,Daniel Jensen,0.0031,0.0534
Allison Phillips,Roscoe Bellamy,-0.0014,0.0522
Lingwei Kong,Olivia McMillan,0.0053,0.0511
Grayson Goldin,Alex Neumann,0.0049,0.0507
John Cincola,Olivia McMillan,0.0007,0.0514
Parris Todd,Lea Jansen,-0.0133,0.0494
Rafa Hewett,Zane Navratil,-0.0026,0.057
Julian Arnold,Hunter Johnson,0.0047,0.049
Vivienne David,Tina Pisnik,-0.0017,0.0507
Lacy Schneemann,Jackie Kawamoto,0.0046,0.0499
Lauren Stratman,Jessie Irvine,0.0039,0.0515
Dekel Bar,James Ignatowich,0.0004,0.0515
Quang Duong,Augustus Ge,-0.0017,0.0517
Irina Tereschenko,Mohaned Alhouni,0.0127,0.0514
Maria Klokotzky,Etienne Blaszkewycz,0.0119,0.0526
Vladee Suarez,Kenneth Suarez,-0.0029,0.0503
Matthew Schiller,Parker Dyer,0.0066,0.051
Chris Walker,Usama Khalid,0.0129,0.0528
Sam Libo,Andrew Angulo,-0.0098,0.0514
Caleb Herrick,Ben Herrick,0.0045,0.0511
Cody Sivan,Demetric Marrero Jr,0.0039,0.0532
David McNally,Jeff Vollmer,0.0,0.0521
Brian Bonilla,Keng-Lun Yeh,-0.0012,0.0515
Ronan Camron,Drake Palm,0.013,0.0503
Timothy Cass,Derek Kraje,0.0066,0.0502
Caleb Deckert,Ansh Bassan,-0.0054,0.0516
Jhonnatan Medina Alvarez,Komal Safdar,0.0014,0.05
Sarah Carpenter,Matthew Nesbitt,0.0014,0.0518
Oliver Wei,Zach Gonnering,0.0022,0.0517
Brandon French,Audrey Banada,0.0019,0.0515
Hannah Rose Nussbaum,Matt Meadows,0.0,0.0522
Hudson Kaylie,Amber Policare,0.0043,0.051
Caitlin Klaassen,Naveen Beasley,0.0028,0.0503
Ariana Rodriguez,Zachary Marceau,-0.0043,0.0507
Oscar Serra,Michael Benash,-0.0002,0.0516
Troy Clemmer,Brandon Fritze,0.0081,0.0508
Juan Varon,Selim Ben Ali,0.0027,0.0516
Christopher Crouch,Emily Gaskins,0.003,0.0518
Cody Sivan,Alyssa Bialek,-0.0027,0.0503
Julia Ronney,Zach Gonnering,-0.0014,0.0525
Abigail Okelley,Anouar Braham,-0.0007,0.0526
Bryanna Ojeda,Brett Finan,-0.0028,0.0498
Ryan Fu,Sofia Sewing,0.0081,0.051
Jessica Haywood,Selim Ben Ali,-0.005,0.0514
Zane Ford,Anouar Braham,-0.0187,0.0498
Christopher Crouch,Joshua Reason,0.0029,0.0508
Justin Pagan,Aws Laaribi,-0.0013,0.0529
Ian Hutter,Matthew Nesbitt,0.0043,0.0493
Gavin Nickerson,Daniel Miron,-0.0006,0.0513
Brandon Danganan,Joshua Lee,-0.0018,0.0505
Estephany Tan,Taylor Stockton,0.0023,0.0532
Sam Kim,Ryan Morneau,-0.003,0.051
Henry Boyle,Hailee Haymore,-0.006,0.0517
Valerie R Simon,John Lucian Goins,-0.0028,0.0495
Payton Noyes,Scott Coleman,-0.0043,0.0536
Lindsay Huttman,Morgan Kaplan,0.0,0.0516
Yuta Funemizu,John Lucian Goins,-0.0103,0.0516
Blaine Hovenier,Judit Castillo,-0.0064,0.0501
Jeremy Lim,Stephanie Zahn,-0.004,0.0481
Rachel Stuhlmann,Ryan Sherry,-0.0045,0.0522
Troy Clemmer,Kristen Clemmer,-0.0036,0.0546
Roman Estareja,Leah Tauber,-0.0105,0.0514
Jonathan Truong,Collin Vero-Casavant,0.0095,0.0509
James Peng,Colby Ing,0.0051,0.0498
Justin Pagan,Sarah Mulhern,0.0048,0.05
Waymon Peet,Abel Villaran,-0.0018,0.0528
Payton Noyes,Charleen Calvin,0.0051,0.0517
Joel Phillips,Matt Meadows,-0.0042,0.0507
Parker Wittman,Taylor Stockton,-0.0019,0.0517
William East,George Bulger,-0.0041,0.0498
Garrison Eaby,Ian Simms,-0.0069,0.0509
Jimmy Terzian,Perry Wang,-0.0032,0.0515
Zachary Marceau,Zachary Card,-0.0125,0.0518
Brett Finan,Alex Toth,0.0004,0.0512
Eric Oncins,Darrian Young,0.0084,0.0498
Jade Kawamoto,Tyson McGuffin,-0.0086,0.0508
Naveen Beasley,Jhonnatan Medina Alvarez,-0.0034,0.0512
Ryan Dawidjan,Bao Duong,-0.0044,0.0518
Rafa Hewett,Marcela Aguila Ampon,-0.006,0.0498
Daniel Jensen,Rachel Rettger,-0.0032,0.0513
Lingwei Kong,Sarah Ansboury,-0.0071,0.0509
Estephany Tan,Lindsey Thoeng,0.0013,0.0509
Lacy Schneemann,Augustus Ge,-0.0133,0.0507
Dave Bacalla,Spartak Rahachou,0.0064,0.0497
Jericho Grollman,Daniel Jensen,-0.0013,0.0482
James Delgado,Henry Boyle,-0.0076,0.0517
Steve Deakin,Wesley Burrows,-0.0064,0.0495
Dominique Schaefer,Patrick Smith,-0.0068,0.0511
Regina Goldberg,Hannah Blatt,-0.0046,0.0511
Bryanna Ojeda,Abel Villaran,-0.0038,0.0526
Eric Roddy,Marshall Brown,-0.0019,0.0503
Quang Duong,Kate Fahey,0.001,0.051
Callie Smith,Roscoe Bellamy,0.0081,0.0513
Helena Jansen,Bao Duong,0.0016,0.0512
Emilia Schmidt,Rachel Rettger,-0.0062,0.0544
Lindsay Huttman,Charleen Calvin,0.0011,0.0521
Sarah Hua,Audrey Banada,0.0047,0.0527
Amber Policare,Sarah Mulhern,-0.0098,0.0551
Sarah Pham,Kristen Clemmer,0.0019,0.0496
Elizabeth Puni,Meray Maalouf,-0.0018,0.0519
Max Freeman,Casey Diamond,0.0117,0.0507
Genie Bouchard,Wesley Burrows,-0.0112,0.051
Emilia Schmidt,Anderson Scarpa,-0.0073,0.0496
Mohaned Alhouni,Caden Nemoff,0.0043,0.0529
Grayson Goldin,Etienne Blaszkewycz,-0.0122,0.0512
Julia Ronney,Hannah Ward,-0.005,0.0545
Leah Tauber,Ariana Rodriguez,0.0083,0.0495
Steve Deakin,Monica Paolicelli,0.0087,0.0553
Max Freeman,Tyra Hurricane Black,-0.0197,0.0473
Mota Alhouni,Spencer Smith,0.0046,0.0533
Rob Cassidy,Roman Estareja,-0.0082,0.0509
Johnny Goldberg,Cobi Moore,0.0071,0.0501
Layne Sleeth,Travis Rettenmaier,0.0027,0.0529
Kento Tamaki,Ava Ignatowich,0.0011,0.0548
Sarah Carpenter,Abigail Okelley,-0.0014,0.052
Brie Aldridge,Helena Jansen,-0.0119,0.0537
Polina Libo,Valerie R Simon,-0.0034,0.0498
Martina Frantova,Donald Young,-0.0019,0.0499
AJ Koller,Olivia McMillan,0.001,0.0518
Mehvish Safdar,Darrian Young,-0.0093,0.0507
Blaine Hovenier,Ryan Fu,0.0067,0.0478
Ross Whittaker,Dustin Boyer,0.0137,0.0505
Kaitlyn Christian,Mota Alhouni,0.0044,0.0493
Christian Alshon,James Ignatowich,-0.0052,0.0497
Julian Arnold,Donald Young,0.0011,0.0542
Allison Phillips,Olivia McMillan,-0.0045,0.0496
Phillip Locklear,Patrick Smith,0.0063,0.0516
Lauren Stratman,Lina Padegimaite,0.0001,0.0503
Quang Duong,Michael Loyd,0.0019,0.0511
Zane Navratil,John Cincola,-0.0013,0.0502
Riley Newman,Rafa Hewett,-0.0022,0.0513
Meghan Dizon,James Ignatowich,-0.0014,0.0511
Dylan Frazier,Vivienne David,0.0045,0.0507
Parris Todd,Jade Kawamoto,-0.0048,0.0489
Chuck Taylor,Todd Fought,0.0072,0.052
Alix Truong,Milan Rane,-0.0231,0.0502
Genie Erokhina,Layne Sleeth,-0.0059,0.0524
Hunter Johnson,Dekel Bar,0.0094,0.0502
Irina Tereschenko,Jessie Irvine,-0.0018,0.0515
Liam Duffin,John Thorn,-0.0025,0.0507
Ian Simms,Ethan Dysert,-0.0003,0.0523
Sergey Afanasenka,Mark Nahum,0.0007,0.0504
Kristin Vogel,Claudio Quinones Garcia,0.0151,0.0528
Santhosh Narayanan,James Thorp,0.0061,0.0516
Eduardo Santini Ayon,Joel Poland,-0.01,0.0489
Nick Petterson,Madison Wolfe,0.0097,0.0538
Noah Hobrath,Eli Steiner,0.0074,0.0503
Spartak Rahachou,Sebastian Herrera,0.0097,0.0502
Clemens Graute,Ikona Freitas,-0.0011,0.0509
Pally Ray,Journey Barajas,0.0017,0.0523
Noe Khlif,Judit Castillo,0.015,0.0486
Tia Elpusan,Kevin Dayan,-0.0069,0.0502
Kailas Shekar,Nicole Eugenio,-0.0065,0.0507
Aureana Marrotte,Ikona Freitas,0.0003,0.052
Ryan Sherry,Justin Gimelstob,-0.002,0.0518
Vincent Rettke,Miles Hoover,-0.0091,0.05
Abhishek Bhargava,Brian Bonilla,-0.0031,0.05
Bailee Jackson,Eli Steiner,-0.0004,0.0523
Pally Ray,Rafael Lenhard,-0.0067,0.0521
Noah Hobrath,Allie Davis,-0.0002,0.0522
Kace Heiner,Logan Schneider,0.005,0.0496
Joe Prince,Ryan Finley,-0.0023,0.0498
Trenton Alenik,Clayton Alenik,-0.0025,0.0498
Keaton Cullimore,Bryce Larson,0.0094,0.0533
Carl Taibl,Matthew Mead,0.0002,0.0513
Bruno Rosa,David Creswell,-0.0021,0.0524
Dexter Rangel,Pieter De Vries,-0.004,0.048
Chas Howard,Justin Fullmer,0.0092,0.0508
David Litvinov,Dalia Garza,0.0082,0.0509
Shelley Wong,Louie Payetta,0.0023,0.053
Joseph Pututau,Jon Nilson,0.0007,0.0521
Derek Thompson,Michael Enright,-0.003,0.0515
Maddox Castellanos,Matthew Powley,0.0008,0.054
Savanna Ticknor,Ian Simms,0.006,0.0539
James Thorp,Kimmie Ouchi,-0.0034,0.053
Carlota Trevino,Connor Weeks,0.0008,0.0508
Quan Do,Dionne Lim,-0.0097,0.053
Francesco Avella,Brad Barker,-0.0,0.0519
Austin Bricker,Marcello Gonzalez,0.0033,0.0502
Indigo Dagnall,Daniel Loney,-0.0051,0.0544
Simone Leonard,Oliver Frank,0.0176,0.048
Bryce Larson,Shae Spencer,-0.0024,0.0517
Nick Szczurek,Billy Buchhauser,-0.0029,0.051
Ross Mathews,Dalton Robinson,-0.0056,0.0497
Amanda Rosati,Chiron Burl,0.0066,0.0521
Sophia Haleas,Anthony Skalabrin,0.0001,0.0512
Jaxon Madsen,TY Parrish,-0.0065,0.0523
Dan Garfinkel,Jeffrey Moulton,-0.003,0.0501
Kevin Pham,Andrew Anh Pham,0.0094,0.051
Daniel Byun,William Eteaki Jr Jr.,-0.0005,0.0526
Bryce Vanderhorst,Shayden Hinton,-0.0014,0.0513
Duc Dang,Kevin Stanley,0.0005,0.0526
Jace Morris,Anthony Skalabrin,-0.0008,0.049
Gregory Zukeran,Jace Akagi-Okuma,-0.0056,0.0508
Andre Mercado,Jack Sahid,-0.0027,0.0519
Yaamunan Venkatesan,Ivana King,0.0064,0.054
Christian Borrero,Dylan Payne,0.0007,0.0504
Andrea Carrano,Luc Pham,-0.0035,0.0507
Johnny Borashan,Ognjen Zekanovic,-0.0003,0.0542
Raymond Velarde,Tommy Shin,-0.0086,0.0523
