p1_name,p2_name,context,games,chemistry_mean,chemistry_sd,p_positive,percentile
Nicole Conard,Freddie Powell,mixed,2,-0.147,0.511,0.402,4.7
Marisa Ruiz,Jae Centonze,mixed,13,0.066,0.563,0.554,78.8
Natalia Maynetto,Domenico Geminiani,mixed,4,0.004,0.534,0.508,58.4
Veronica Alteri,Diego Lebron Perez,mixed,2,-0.015,0.519,0.475,49.6
Mark Dancuart,Riley Bohnert,mixed,6,0.078,0.494,0.555,81.0
Christopher Crouch,Paula Rives,mixed,44,0.092,0.483,0.576,83.9
Kayla Williams,Parth Mody,mixed,12,-0.063,0.512,0.452,25.7
Tobias Moreno,Ali Quintero,mixed,3,-0.021,0.53,0.488,46.4
Jada Bui,Juan Benitez,mixed,6,0.004,0.536,0.503,58.4
Zach (ernesto) Hunter,Christa Gecheva,mixed,6,-0.049,0.514,0.453,32.2
Madalina Grigoriu,Nejc Sitar,mixed,5,-0.056,0.542,0.464,28.7
Ashley Griffith,George Rangelov,mixed,51,0.352,0.533,0.73,99.3
Mehvish Safdar,Anouar Braham,mixed,12,0.24,0.494,0.693,97.3
Jhonnatan Medina Alvarez,Olivia McMillan,mixed,11,0.078,0.499,0.576,81.2
Jemere Plummer,Victoria Simon,mixed,12,-0.004,0.552,0.526,55.0
Austin Bricker,Mya Bui,mixed,18,0.135,0.5,0.61,90.5
Brie Aldridge,Federico Nani,mixed,2,-0.094,0.536,0.424,14.2
Andrew Loftin,Brittni Tonnessen,mixed,4,0.096,0.523,0.562,84.7
Eva Kohutova,Jake Benjamin,mixed,2,-0.071,0.536,0.45,22.3
Zachary Higginson,Valerie R Simon,mixed,2,-0.064,0.549,0.464,25.2
Martina Frantova,William Sobek,mixed,6,-0.069,0.535,0.457,22.9
Preston Engel,Rachel Summers,mixed,12,-0.084,0.522,0.43,17.1
Caio Bardauil,Michelle Esquivel,mixed,7,0.031,0.539,0.522,68.9
Poongi Hong,Kelsey Laurente,mixed,15,-0.079,0.541,0.446,18.9
Kimberly Bacalla,Ben Slive,mixed,5,-0.012,0.545,0.494,51.2
Tanner Tomassi,Jessica Warren,mixed,5,0.069,0.521,0.556,79.4
Jay Evans,Katie Mell,mixed,2,0.01,0.527,0.516,60.7
Ewa Radzikowska,Martin Emmrich,mixed,35,-0.117,0.512,0.422,8.8
Seone Mendez,Jake Anderson,mixed,5,0.15,0.554,0.616,91.8
Zane Ford,Maria Ford,mixed,24,0.207,0.516,0.641,96.1
Andrea Koop,Camden Chaffin,mixed,4,-0.064,0.519,0.457,25.2
