player_id,full_name,gender,games,value_mean,value_sd,w_mixed,w_mens,w_womens
38b1bfb1-576b-4a3e-ab6b-e8bc46031c1d,Eric Roddy,M,23,-1.351,0.965,-0.009,0.004,nan
6f862c1d-1317-4fe7-bdcd-64caa0dbb088,Ben Johns,M,259,3.792,0.535,0.029,0.004,nan
129b2771-34b5-4b7f-9c23-e020a6aa3e6a,Anna Leigh Waters,F,249,6.409,0.542,0.031,nan,0.029
8e2f9629-19d0-409d-81dc-b64fe2f3d3ff,Jessie Irvine,F,153,1.286,0.509,0.03,nan,-0.017
295e343a-31a0-4e1d-a286-d62592291435,Jay Devilliers,M,138,2.548,0.548,0.012,0.007,nan
3a43c56f-b9d8-4e72-ae8a-58fd69291946,Jack Sock,M,103,2.384,0.599,-0.005,0.021,nan
25a6f570-d617-427a-9fc4-3bf6115a9a84,Hannah Blatt,F,47,-2.489,0.772,0.002,nan,-0.014
a91e2b68-7357-4518-baf9-f59b0b4c2477,Christopher Haworth,M,56,0.514,0.672,-0.019,0.024,nan
7925aefe-e260-4b83-8bfc-214da1d14fb5,Travis Rettenmaier,M,25,0.021,0.933,0.018,-0.019,nan
66a6c35b-33a2-4a23-b5db-fa53c96d643a,Kaitlyn Christian,F,126,0.637,0.531,0.003,nan,0.003
04158680-ebb3-4554-96a1-500cc6d00882,Chloe Igleski,F,48,0.33,0.772,0.013,nan,-0.009
d45a3391-82f4-45d0-ba66-f1901854a8d0,Darrian Young,M,103,0.065,0.544,0.001,-0.001,nan
3af01041-5679-400a-87b8-12c01db8cec4,Kate Fahey,F,181,2.8,0.496,0.043,nan,-0.016
7edb882c-6d17-4129-8208-710e3c82364c,Federico Staksrud,M,233,2.855,0.488,0.005,0.015,nan
ebb2a1e0-7c6c-48a4-b994-e81edd8ddb97,Patrick Smith,M,24,-1.737,0.948,-0.004,-0.011,nan
62955f38-bdf5-46af-9622-13c7afe90619,Jonathan Truong,M,103,1.064,0.562,0.003,0.003,nan
646f7432-e6ad-4ccf-95ee-a0e5d9514d28,Alix Truong,F,113,1.315,0.532,-0.001,nan,0.006
5f367bee-cf3e-4aad-a6e6-72cca04d97e2,Angie Walker,F,65,0.234,0.685,0.012,nan,-0.009
50c2125b-406c-41e7-aad6-5432c7cd8e1c,AJ Koller,M,58,0.006,0.702,-0.018,0.019,nan
35f81e87-382e-41cc-9bab-687116861954,Jace Morris,M,48,0.442,0.766,-0.001,0.004,nan
7319013d-d511-4aa5-a356-4aa2cccf94f5,Lea Jansen,F,144,1.264,0.563,-0.028,nan,0.04
1de884f8-7bf7-4b49-9de8-3f1fd74cabd6,Dylan Frazier,M,162,1.689,0.547,-0.03,0.048,nan
146dd2f7-7f5d-495d-b2f1-96d433742fec,Eduardo Santini Ayon,M,75,-1.236,0.802,-0.017,-0.005,nan
