team,player_id,full_name,gender,site_name,mlp_uuid,fetched
Chicago Slice,ab6386c6-c7e3-422f-9134-e20e92725ee5,Emma Nelson,F,Emma Nelson,8613b49c-6ca1-4aef-b554-246667a6ef38,2026-07-30
Chicago Slice,e96d9339-cfb6-473d-bcb3-23f2887a3e0f,John Lucian Goins,M,John Lucian Goins,4c9528d7-4fb6-47c6-8d28-08dfe9b04552,2026-07-30
Columbus Sliders,1728d016-1f02-4789-be73-63d12d5a5b42,Parris Todd,F,Parris Todd,b9bb89f1-d264-4456-892f-c30d81c62cea,2026-07-30
Columbus Sliders,581183e8-3d9e-459e-b69f-7337d8b6f3d2,Andrei Daescu,M,Andrei Daescu,6ed17e8c-39c0-4311-83dc-fbb483c59e51,2026-07-30
Columbus Sliders,a9782e86-e5ae-46d3-9194-ac89fdaed622,Alexander Crum,M,Alexander Crum,eaeb3212-4026-4292-a728-ce516bd73275,2026-07-30
Columbus Sliders,ead35052-7367-4296-96d4-064f546cc2b9,CJ Klinger,M,CJ Klinger,6e4176f0-c8c0-45aa-bb8b-e12c6f8046fe,2026-07-30
Columbus Sliders,ec4cdfe2-c6f6-4de1-824e-9adcaeb31196,Judit Castillo,F,Judit Castillo,f1698253-fa3c-4acf-a765-973830c8c771,2026-07-30
Columbus Sliders,fec65f7e-f2c8-482f-ab5b-541cf53b1064,Tyra Hurricane Black,F,Tyra Hurricane Black,70ba59b2-9fff-4dfb-a574-6bbc0f223622,2026-07-30
Dallas Flash,06dc9b8a-5c01-49cf-bb4d-70d7b5f85acf,Brooke Buckner,F,Brooke Buckner,2fcef1d7-be61-4df1-af20-42230b0584b7,2026-07-30
Dallas Flash,2c4de762-88d6-47c3-8b2b-af562c5d1f93,Danni-Elle Townsend,F,Danni-Elle Townsend,e0ec2f3d-316d-4121-85ba-0def2548e01f,2026-07-30
Dallas Flash,614e164a-4197-44eb-855c-586cf79fbfc9,Ivan Jakovljevic,M,Ivan Jakovljevic,1382b3d4-4e0c-406b-ad24-b69ce37f225e,2026-07-30
Dallas Flash,646f7432-e6ad-4ccf-95ee-a0e5d9514d28,Alix Truong,F,Alix Truong,61c2a551-ec9f-4309-b603-046a03b7f372,2026-07-30
Dallas Flash,ba491f1c-0112-47a8-a348-4695289e958a,Augustus Ge,M,Augustus Ge,db3ead60-e5af-43bf-bf6a-bf9969fb03a8,2026-07-30
Dallas Flash,bd061b42-2f82-4bbe-82be-d8bcfb37f9e1,JW Johnson,M,JW Johnson,8ec15a36-b567-429c-bcad-da41fed78585,2026-07-30
Florida Smash,306da673-de7e-44f5-bc16-0738b44bd089,Christopher Crouch,M,Christopher Crouch,c4542afc-fbb5-4a01-8cec-2b7c77123e18,2026-07-30
Florida Smash,3d9c8684-953f-4008-b355-b6104ee56a5b,Connor Mogle,M,Connor Mogle,8d714380-bbf8-405a-94d0-18214b001752,2026-07-30
Florida Smash,518626d4-2600-4134-8c6a-0ae9315f9625,Cason Campbell,M,Cason Campbell,b2205c5b-8636-4160-9774-0f073f06df34,2026-07-30
Florida Smash,65bcab7c-9c93-4dc8-a847-a34da426b933,Martina Frantova,F,Martina Frantova,dc48092e-0ab5-452e-8012-c0ba94103adf,2026-07-30
Florida Smash,87d60b6f-6f2e-4610-ab89-487e8acc097e,Mya Bui,F,Mya Bui,7e721bfe-cfde-4fcb-aa89-b79267ee973a,2026-07-30
Florida Smash,ad6e69ff-7913-4b21-86dd-9489f749be01,Paula Rives,F,Paula Rives,1d0ee2b7-6806-49e2-8acd-9f182550bab9,2026-07-30
Las Vegas Night Owls,0c1bb94d-3af2-42f4-b938-d712c707ace4,Callie Smith,F,Callie Smith,e1aefb85-4e6c-4643-bf1d-b627314e7c0d,2026-07-30
Las Vegas Night Owls,20684550-cb89-4ea2-9e2f-0f44eb920b45,Chao Yi Wang,F,Chao Yi Wang,f73e4812-5c27-4a4c-a686-865930167783,2026-07-30
