player_id,full_name,gender,V_total,phi,phi_se,n,in_pool,pool_rank,replacement
a51b59c5-1a13-4472-821a-eb9866e72adf,Joseph Wild,M,0.05086,0.03038,0.00051,2791,1,40,Wade Heerboth
3d9c8684-953f-4008-b355-b6104ee56a5b,Connor Mogle,M,0.05568,0.02759,0.00044,2809,1,41,Wade Heerboth
2aa8ced3-d599-4c83-86dd-ecc80196833b,Luca Mack,M,0.05491,0.02737,0.00037,2813,1,42,Wade Heerboth
b03ff4de-9b8f-46a8-a530-d8f19e9d6ec9,Max Freeman,M,0.05426,0.02704,0.00045,2805,1,43,Wade Heerboth
c18fb17d-e0bb-415c-901b-fa2f928ab22c,Harsh Mehta,M,0.03436,0.02682,0.00052,2841,1,44,Wade Heerboth
5c817399-aea7-481d-9a83-aab7431eabc1,Alex Emery,M,0.04367,0.02557,0.00047,2825,1,45,Wade Heerboth
d3e486f2-7c25-4bcf-b9dd-81c14f644f60,Etienne Blaszkewycz,M,0.02919,0.02467,0.00050,2831,1,46,Wade Heerboth
aec5d8be-9ce0-4cc5-98a4-140fad555fe0,Donald Young,M,0.05048,0.02348,0.00035,2819,1,47,Wade Heerboth
f4c43443-fdff-4344-b291-274cfd26361e,Juan Benitez,M,0.04137,0.02137,0.00043,2818,1,48,Wade Heerboth
ca3c21b0-a715-40fd-bf00-c81e22d7da11,Daniel De la Rosa,M,0.02532,0.02031,0.00046,2816,1,49,Wade Heerboth
4af4d4d1-9f87-4dc7-95f2-b10751d44c15,Tama Shimabukuro,M,0.04100,0.01818,0.00023,2782,1,50,Wade Heerboth
06ba18e0-687b-4aa3-822d-1c86981f576b,Rafa Hewett,M,0.04148,0.01763,0.00032,2824,1,51,Wade Heerboth
dbcb41e9-e983-410b-bc23-d184d034cfc0,Tyson McGuffin,M,0.04189,0.01757,0.00027,2796,1,52,Wade Heerboth
e9849183-4693-4340-abf5-f4b6f3cb226f,Martin Emmrich,M,0.04036,0.01743,0.00033,2813,1,53,Wade Heerboth
6876576c-b20e-47e3-99e4-d32759cc9f48,Patrick Kawka,M,0.03387,0.01435,0.00022,2816,1,54,Wade Heerboth
3cab1673-2522-4dd5-ba07-2a1b88749d86,Tristan Dussault,M,0.03618,0.01328,0.00018,2813,1,55,Wade Heerboth
a2c56686-b330-41e4-b7e8-bda8a3ec97a8,Ryan Fu,M,0.02361,0.01266,0.00035,2819,1,56,Wade Heerboth
9decd87b-03ac-4d79-a1e7-d03ca3f7519b,James Ignatowich,M,0.02731,0.01059,0.00026,2816,1,57,Wade Heerboth
1bab49f1-6891-4d3e-8f77-42aa4fc1d18e,Mohaned Alhouni,M,0.03656,0.00672,0.00008,2831,1,58,Wade Heerboth
763b4d27-8140-47cd-86f5-982706cd4ebb,Michael Loyd,M,0.03021,0.00456,0.00009,2829,1,59,Wade Heerboth
e21cb6e0-aabb-43b2-a112-c0a0a59081bf,Oliver Frank,M,0.04361,0.00442,0.00021,2821,1,60,Wade Heerboth
2819525e-d485-4ab3-a300-1c6dbdb3ae39,Quan Do,M,0.02535,0.00110,0.00006,2792,1,61,Wade Heerboth
43df1205-e834-4427-9f1a-4e173bf93296,Grayson Goldin,M,0.04058,0.00016,0.00024,2837,1,62,Wade Heerboth
86e1b9d3-15ea-4b76-b488-d3135e78aa7c,Wade Heerboth,M,0.02788,0.00000,0.00000,2804,1,63,Wade Heerboth
99b25b49-2a51-412d-9fbf-e1b6804acce0,Camden Chaffin,M,0.03079,-0.00043,0.00007,2827,1,64,Wade Heerboth
74afd19c-8f82-4ca2-9345-e4d693111033,Marshall Brown,M,0.02613,-0.00063,0.00003,2820,1,65,Wade Heerboth
f1151ea2-759d-4d9f-a5b9-5ccd966dc3ca,Hoang Nam Ly,M,0.03981,-0.00136,0.00028,2802,1,66,Wade Heerboth
3270dc72-53b7-4d35-aa4c-7f8b7b6bf905,Matthew Barlow,M,0.04115,-0.00146,0.00039,2822,1,67,Wade Heerboth
30d7759b-93f0-467d-a07a-970ecfac06ba,Cameron Luhring,M,0.02399,-0.00162,0.00004,2817,1,68,Wade Heerboth
0c5b84bb-4c04-4906-86bc-deb533ff4eec,Zane Ford,M,0.04701,-0.00315,0.00059,2794,1,69,Wade Heerboth
9ce32de7-16c9-4786-a7b0-8c1c2c623d69,Rafael Lenhard,M,0.04001,-0.00356,0.00035,2823,1,70,Wade Heerboth
a9a168ae-7822-4d31-b07b-fba40480c1fc,Brandon French,M,0.02438,-0.00436,0.00008,2816,1,71,Wade Heerboth
05bf7513-7f0a-4f6b-bc11-5d4b14314d91,Tom Protzek,M,0.03291,-0.00454,0.00021,2820,1,72,Wade Heerboth
94478a4a-a920-4a12-936c-4dead2ecd1d6,Max Green,M,0.02885,-0.00551,0.00017,2821,1,73,Wade Heerboth
2e0c0227-6e3e-43d5-8037-7f8bd0f9b935,Gabriel Joseph,M,0.04248,-0.00680,0.00061,2800,1,74,Wade Heerboth
7464628e-931a-44c9-b0df-749a7cb32eaa,Adam Harvey,M,0.03829,-0.00796,0.00046,2797,1,75,Wade Heerboth
a9782e86-e5ae-46d3-9194-ac89fdaed622,Alexander Crum,M,0.03810,-0.00947,0.00065,2847,1,76,Wade Heerboth
e838b7b5-ffd5-4a47-ac0b-f748dc6841d9,David Bieger,M,0.03137,-0.00989,0.00035,2835,1,77,Wade Heerboth
a384ebf9-24d7-4624-a8a8-160bef70df63,Ammar Wazir,M,0.02943,-0.01110,0.00035,2822,1,78,Wade Heerboth
518626d4-2600-4134-8c6a-0ae9315f9625,Cason Campbell,M,0.03040,-0.01177,0.00039,2793,1,79,Wade Heerboth
7afc02f4-1e87-45c2-a101-0d48ecc05f8d,Martin Stanchev,M,0.02769,-0.01214,0.00036,2833,1,80,Wade Heerboth
b2188c16-8955-451d-8b6a-945a8907528f,Tom Evans,M,0.03426,-0.01267,0.00051,3000,0,81,Wade Heerboth
469988c9-b401-4c68-9e07-e1b1b104b791,Yates Johnson,M,0.03599,-0.01413,0.00066,3000,0,82,Wade Heerboth
167e7a23-c919-460b-8586-a3966f588dcb,Hong Kit Wong,M,0.02730,-0.01422,0.00040,3000,0,83,Wade Heerboth
d70642e4-3d95-430a-a537-acc04e56c97d,Dustin Boyer,M,0.03561,-0.01431,0.00067,3000,0,84,Wade Heerboth
e1588ddc-465b-4303-9659-dab2533f80ca,Emilien Burnel,M,0.03387,-0.01496,0.00063,3000,0,85,Wade Heerboth
dc7f6ac5-f007-4b8f-b343-95e524dc7d0a,Luc Pham,M,0.02613,-0.01504,0.00043,3000,0,86,Wade Heerboth
b046a7b0-2e97-403a-b28a-210cca13d0cc,Omar Garcia-Heredia,M,0.02710,-0.01525,0.00044,3000,0,87,Wade Heerboth
a498be96-114c-4857-9d60-4ff2a3e89434,Collin Shick,M,0.02904,-0.01562,0.00052,3000,0,88,Wade Heerboth
d8d51930-abf9-468b-9e43-55a9c0728d58,Anouar Braham,M,0.02691,-0.01592,0.00046,3000,0,89,Wade Heerboth
6392c4f6-2b1d-4595-b7ff-9958bed31ff4,Ronan Camron,M,0.03117,-0.01687,0.00062,3000,0,90,Wade Heerboth
8ac6f832-de64-44eb-9bef-21031e074faa,Giang Trinh,M,0.02885,-0.01695,0.00056,3000,0,91,Wade Heerboth
cfb42bdb-d0a0-4fc7-b1ea-a77c40aff2d2,Mota Alhouni,M,0.03233,-0.01702,0.00066,3000,0,92,Wade Heerboth
84bc805f-1c7a-4151-8c50-f3236805edea,Aanik Lohani,M,0.03079,-0.01734,0.00064,3000,0,93,Wade Heerboth
